Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Transaction Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,10,56.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,12,40.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,13,384.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,14,"1,345.00"
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,15,147.50
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,16,48.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,17,11.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,18,56.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,19,23.50
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,20,15.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,CHILDREN AND FAMILY WELLBEING,QUALITY & RESOURCES - CHILDREN,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,21,72.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,22,89.50
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,23,38.50
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,24,80.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,25,16.50
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,26,32.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,27,35.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,29,10.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,30,18.50
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,31,65.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,32,"2,304.00"
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,33,32.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,34,5.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,35,40.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,36,112.00
CU,SU71823,BELL DECORATING GROUP LIMITED,30/05/2024,343444,RESOURCES  ,ASSETS & FLEET                ,CSI71921,CONTRACTUAL PAYMENTS (MAIN),Revenue,37,19.50
