Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name
Financial Resources and Value for Money,Internal Audit and Corporate Investigations,Supplies and Services,Audit Fees,05/02/29,VI-129002,760,Revenue,Reed Talent Solutions t/a Consultancy
Financial Resources and Value for Money,Internal Audit and Corporate Investigations,Supplies and Services,Audit Fees,06/02/29,VI-130916,6840,Revenue,Reed Talent Solutions t/a Consultancy
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,27/02/29,VI-132036,7256.15,Revenue,Rentokil Ltd
Community Health,Port Health Authority,Supplies and Services,Hospitality,01/03/29,VI-132364,400,Revenue,Reyson Badger Properties Ltd - The Orwell Hotel
Community Health,Port Health Authority,Supplies and Services,Hospitality,01/03/29,VC-004077,-400,Revenue,Reyson Badger Properties Ltd - The Orwell Hotel
The Environment,Environmental Protection,Employee Expenses,Technical Training,15/02/29,VI-131660,450,Revenue,Ricardo - AEA
Corporate Services,ICT,Supplies and Services,Hardware Maintenance,26/02/29,VI-131845,7397.09,Revenue,RICOH UK Ltd
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,08/02/29,VI-131037,895,Revenue,Richard Wills Training Associates
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Materials For Resale,08/02/29,VI-131084,6380.94,Revenue,Rix Petroleum Fuel & Lubricant Distributors
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,12/02/29,VI-131101,5428.03,Revenue,RJH Plastics Ltd
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,12/02/29,VI-127091,1091,Revenue,Rock Compliance Limited
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Planned Maintenance,12/02/29,VI-131214,977.9,Revenue,Rock Compliance Limited
Leader of the Council,Electoral Services,Supplies and Services,Postages,08/02/29,VI-129836,1523.15,Revenue,Royal Mail
Leader of the Council,Electoral Services,Supplies and Services,Postages,15/02/29,VI-130251,678.92,Revenue,Royal Mail
Leader of the Council,Electoral Services,Supplies and Services,Postages,23/02/29,VI-130743,297.2,Revenue,Royal Mail
Leader of the Council,Electoral Services,Supplies and Services,Postages,01/03/29,VI-131726,2789.97,Revenue,Royal Mail
Leader of the Council,Electoral Services,Supplies and Services,Postages,22/02/29,VI-132785,297.2,Revenue,Royal Mail
Corporate Services,Admin Buildings,Supplies and Services,Postages,08/02/29,VI-130996,1044.98,Revenue,Royal Mail
Corporate Services,Admin Buildings,Supplies and Services,Postages,08/02/29,VI-130652,1123.84,Revenue,Royal Mail
Corporate Services,Admin Buildings,Supplies and Services,Postages,20/02/29,VI-131598,1284.53,Revenue,Royal Mail
Corporate Services,Admin Buildings,Supplies and Services,Postages,01/03/29,VI-132464,1122.78,Revenue,Royal Mail
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Qualification Training,11/02/29,VI-130875,480,Revenue,Royal Norfolk & Suffolk Yacht Club
Deputy Leader and Housing,Housing Needs,Employee Expenses,Technical Training,01/03/29,VI-132246,285,Revenue,Royal Town Planning Institute
Community Health,Port Health Authority,Supplies and Services,Software Purchases,12/02/29,VI-131310,750,Revenue,S31A Limited
Deputy Leader and Housing,Private Sector Housing,Third Party Payments,Other Local Authorities Third Party,15/02/29,VI-131581,13397.4,Revenue,Shared Anti Fraud Service
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Employee Expenses,Technical Training,11/02/29,VI-130919,420,Revenue,Sail Southwold Ltd
Financial Resources and Value for Money,Tax Collection Cost,Supplies and Services,Bank Fees,06/02/29,VI-131589,800.52,Revenue,Santander Corporate Bank
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Bank Fees,06/02/29,VI-131588,403.62,Revenue,Santander Corporate Bank
Leader of the Council,Corporate and Democratic Management,Supplies and Services,General Purchases,20/02/29,VI-130252,359.1,Revenue,Sarnivores
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Hospitality,01/03/29,VI-131911,283.5,Revenue,Sarnivores
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/02/29,VC-004057,-8354.4,Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/02/29,VI-131852,390,Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/02/29,VI-131853,1302,Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/02/29,VI-131861,1785,Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/02/29,VI-131862,7699,Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/02/29,VI-131959,8354.4,Revenue,Savills
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,02/02/29,VC-002228,-919,Revenue,School of Business London
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,08/02/29,VI-131232,2747.46,Capital,SC Plumbing Services
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,13/02/29,VI-131527,1486.52,Revenue,SC Plumbing Services
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,13/02/29,VI-131521,626.11,Revenue,SC Plumbing Services
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,13/02/29,VI-131520,915.82,Capital,SC Plumbing Services
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/02/29,VI-132158,7360.02,Revenue,SC Plumbing Services
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/02/29,VI-132156,4795.73,Revenue,SC Plumbing Services
Corporate Services,Assets and Property Services,Supplies and Services,Software Purchases,11/02/29,VI-130977,598.4,Revenue,Scribe
Community Health,Port Health Authority,Supplies and Services,Software Purchases,11/02/29,VI-131240,345,Revenue,Showing Scene
Economic Development and Transport,Parking Services,Supplies and Services,General Purchases,12/02/29,VI-131074,332,Revenue,Signway Supplies (Datchet) Ltd
Community Health,Corporate Health and Safety,Supplies and Services,Corporate Subscriptions,01/03/29,VC-003247,-3168.49,Revenue,Skyguard Ltd
Community Health,Corporate Health and Safety,Supplies and Services,Corporate Subscriptions,01/03/29,VC-003248,-439.4,Revenue,Skyguard Ltd
Community Health,Corporate Health and Safety,Supplies and Services,Corporate Subscriptions,01/03/29,VC-003350,-22846.11,Revenue,Skyguard Ltd
Corporate Services,Assets and Property Services,Supplies and Services,Furniture and Equipment,01/03/29,VI-131600,30240,Revenue,Skyguard Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Furniture and Equipment,01/03/29,VI-125517,28890,Revenue,Skyguard Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Furniture and Equipment,01/03/29,VI-131602,28928.52,Revenue,Skyguard Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Furniture and Equipment,01/03/29,VC-003839,-28890,Revenue,Skyguard Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Furniture and Equipment,01/03/29,VC-004048,-28928.52,Revenue,Skyguard Ltd
Community Health,Health and Wellbeing,Supplies and Services,Grants & Contributions,26/02/29,VI-132209,11775,Revenue,SLM Community Leisure Charitable Trust
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,05/02/29,VI-130762,550,Revenue,SLR Consulting Ltd
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Furniture and Equipment,26/02/29,VI-132086,2590.8,Revenue,SME HCI Limited
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Furniture and Equipment,01/03/29,VI-132087,3075.3,Revenue,SME HCI Limited
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Furniture and Equipment,01/03/29,VI-132088,4297.8,Revenue,SME HCI Limited
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,05/02/29,VI-130857,316.95,Revenue,Smith Brothers Timber (East Anglia) Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,05/02/29,VI-130856,252.36,Revenue,Smith Brothers Timber (East Anglia) Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,08/02/29,VI-131255,464.2,Revenue,Smith Brothers Timber (East Anglia) Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,08/02/29,VI-131280,584.25,Revenue,Smith Brothers Timber (East Anglia) Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,12/02/29,VI-131326,481.5,Revenue,Smith Brothers Timber (East Anglia) Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,12/02/29,VI-131447,2500,Revenue,Smith Brothers Timber (East Anglia) Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,12/02/29,VI-131455,348.2,Revenue,Smith Brothers Timber (East Anglia) Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,15/02/29,VI-131618,436.45,Revenue,Smith Brothers Timber (East Anglia) Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,15/02/29,VI-131685,539.4,Revenue,Smith Brothers Timber (East Anglia) Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,26/02/29,VI-132139,1279.6,Revenue,Smith Brothers Timber (East Anglia) Ltd
Corporate Services,Human Resources,Employee Expenses,Other Direct Salary Costs,12/02/29,VI-131321,623.1,Revenue,Pluxee UK Ltd
Financial Resources and Value for Money,Recharge Accounts,Holding Account - Cash In,Payroll Deductions,26/02/29,VI-132050,1500,Revenue,Pluxee UK Ltd
Corporate Services,Human Resources,Supplies and Services,Corporate Subscriptions,22/02/29,VI-131320,10524.1,Revenue,Pluxee UK Ltd
Community Health,Port Health Authority,Supplies and Services,Software Purchases,22/02/29,VI-131967,979.2,Revenue,Boxxe Ltd
Corporate Services,Admin Buildings,Premises Expenses,Building Services - Responsive Maintenance,08/02/29,VI-131056,3578,Revenue,Solutions on Security
Corporate Services,Human Resources,Employee Expenses,Medical Fees,11/02/29,VI-131168,850,Revenue,Specsavers
Corporate Services,Admin Buildings,Holding Account - Cash Out,Capital Expenditure,05/02/29,VI-130674,1764.97,Capital,P J Spillings (Builders) Ltd
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,15/02/29,VI-131438,1784.79,Revenue,P J Spillings (Builders) Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,15/02/29,VI-131601,175571.61,Capital,P J Spillings (Builders) Ltd
"Communities, Culture, Leisure and Tourism",Public Shelters,Premises Expenses,Vandalism,20/02/29,VI-131709,662.19,Revenue,P J Spillings (Builders) Ltd
Corporate Services,Miscellaneous Land,Premises Expenses,Vandalism,22/02/29,VI-131878,776.94,Revenue,P J Spillings (Builders) Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,05/02/29,VI-130783,760,Revenue,Splice Creative Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Marketing & Promotions,13/02/29,VI-130782,1585,Revenue,Splice Creative Ltd
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Supplies and Services,Consultants,08/02/29,VI-131112,1200,Revenue,The Sports Consultancy Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,22/02/29,VI-132039,360,Revenue,St Andrews Church
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,12/02/29,VI-131304,1787.3,Revenue,Standard Life
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,08/02/29,VI-131080,2569,Capital,Stannah Lift Service Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,13/02/29,VI-131536,2569,Capital,Stannah Lift Service Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,15/02/29,VI-131717,2594.75,Revenue,Stannah Lift Service Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Lifts,01/03/29,VI-132353,1701,Revenue,Stannah Lift Service Ltd
Corporate Services,Miscellaneous Land,Supplies and Services,Surveyor Fees,05/02/29,VI-130637,1080,Revenue,Steria Consulting Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Surveyor Fees,01/03/29,VI-132245,1800,Revenue,Steria Consulting Ltd
Planning and Coastal Management,Nationally Significant Infrastructure Planning,Supplies and Services,Other Ext Provided Services,20/02/29,VI-131515,3402.67,Revenue,Storetec Services Limited
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,22/02/29,VI-131749,418.8,Revenue,Suffolk Chamber of Commerce
The Environment,Waste Management,Transport Expenses,Gate Fees,08/02/29,VI-131270,1200,Revenue,Suffolk County Council
Planning and Coastal Management,Nationally Significant Infrastructure Planning,Supplies and Services,Corporate Subscriptions,08/02/29,VI-130951,700,Revenue,Suffolk County Council
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Grants & Contributions,12/02/29,VI-131271,7500,Revenue,Suffolk County Council
Deputy Leader and Housing,Private Sector Housing,Third Party Payments,Other Local Authorities Third Party,13/02/29,VI-130705,53186.04,Revenue,Suffolk County Council
Corporate Services,Human Resources,Employee Expenses,Recruitment Advertising,15/02/29,VI-131554,1877.5,Revenue,Suffolk County Council
The Environment,Street Scene,Premises Expenses,Building Services - Responsive Maintenance,15/02/29,VI-131615,5137,Revenue,Suffolk County Council
Economic Development and Transport,Rights of Way,Supplies and Services,Consultants,27/02/29,VI-132123,285.8,Revenue,Suffolk County Council
Economic Development and Transport,Rights of Way,Supplies and Services,Consultants,27/02/29,VI-132121,288.56,Revenue,Suffolk County Council
Economic Development and Transport,Economic Development,Holding Account - Cash In,Grant,01/03/29,VI-132387,33990,Revenue,Suffolk County Council
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,18/02/29,VI-112568,11916172,Revenue,Suffolk County Council
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,20/02/29,VI-112554,2807186.34,Revenue,Suffolk County Council
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,06/02/29,VI-130937,964850.12,Revenue,Suffolk County Council
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,15/02/29,VI-130442,520,Revenue,Suffolk Libraries IPS Ltd
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,15/02/29,VI-130443,520,Revenue,Suffolk Libraries IPS Ltd
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,15/02/29,VI-130444,520,Revenue,Suffolk Libraries IPS Ltd
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,15/02/29,VI-130445,520,Revenue,Suffolk Libraries IPS Ltd
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,15/02/29,VI-130446,520,Revenue,Suffolk Libraries IPS Ltd
Corporate Services,Customer Services and Complaints,Premises Expenses,Rents Payable,15/02/29,VI-130447,840,Revenue,Suffolk Libraries IPS Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,12/02/29,VI-130542,11000,Revenue,Suffolk Mind
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,12/02/29,VI-130569,11000,Revenue,Suffolk Mind
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,18/02/29,VI-112541,2090245,Revenue,Suffolk Police & Crime Commissioner
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,08/02/29,VI-130507,32500,Revenue,Suffolk New College
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,08/02/29,VI-130466,50000,Revenue,Suffolk New College
Corporate Services,Human Resources,Employee Expenses,Qualification Training,22/02/29,VI-131859,1185,Revenue,Suffolk New College
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Surveyor Fees,01/03/29,VI-132057,1545,Revenue,Land Survey Solutions Limted
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Surveyor Fees,01/03/29,VI-132058,2500,Revenue,Land Survey Solutions Limted
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,12/02/29,VI-131311,750,Capital,Swift Catering Equipment Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rent Deposits,15/02/29,VI-131548,525,Revenue,Taylor Properties Trading Limited
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,26/02/29,VI-132178,441.09,Revenue,Taylor Properties Trading Limited
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rent Deposits,05/02/29,VI-130898,600,Revenue,Taylor Properties (Clients account)
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Holding Account - Cash Out,Capital Expenditure,08/02/29,VI-131071,1377.5,Capital,Technicus Consulting
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,12/02/29,VI-131063,2675,Revenue,Technicus Consulting
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Other Ext Provided Services,08/02/29,VI-131192,684,Revenue,Teletrac Navman UK
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Other Ext Provided Services,08/02/29,VI-131177,2508,Revenue,Teletrac Navman UK
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,20/02/29,VI-131785,3750,Capital,Tetra Tech RPS Energy Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,15/02/29,VI-131571,646.31,Revenue,The Offshoot Foundation
Community Health,Port Health Authority,Supplies and Services,General Purchases,27/02/29,VC-003835,-519.64,Revenue,RG Distribution LTD T/a The Branded Company
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Medical Fees,01/03/29,VI-131903,700,Revenue,Tide Medical Ltd
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Medical Fees,01/03/29,VI-131902,700,Revenue,Tide Medical Ltd
Financial Resources and Value for Money,Internal Audit and Corporate Investigations,Supplies and Services,Audit Fees,01/03/29,VI-132413,4900,Revenue,Tilia Solutions Ltd
Planning and Coastal Management,Planning,Supplies and Services,Advertising,08/02/29,VI-130967,333.72,Revenue,PeopleScout Ltd
Planning and Coastal Management,Planning,Supplies and Services,Advertising,20/02/29,VI-131762,250.44,Revenue,PeopleScout Ltd
Planning and Coastal Management,Planning,Supplies and Services,Advertising,20/02/29,VI-131880,305.96,Revenue,PeopleScout Ltd
Planning and Coastal Management,Planning,Supplies and Services,Advertising,01/03/29,VI-132288,307.96,Revenue,PeopleScout Ltd
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Hardware Maintenance,26/02/29,VI-132114,7350,Revenue,Totalmobile Ltd
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Other Ext Provided Services,11/02/29,VI-130890,535.43,Revenue,Travelodge
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,12/02/29,VI-131348,23077.6,Revenue,Travis Perkins
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,26/02/29,VI-132198,9511.63,Revenue,Travis Perkins
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,08/02/29,VI-130970,2075,Revenue,Tru Demolition Limited
"Communities, Culture, Leisure and Tourism",Outdoor Leisure,Premises Expenses,Building Services - Responsive Maintenance,12/02/29,VI-131443,1950,Revenue,Turners Carpentry & Joinery
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Furniture and Equipment,18/02/29,VI-132022,7285.31,Revenue,Tusker
Corporate Services,Human Resources,Supplies and Services,Other Ext Provided Services,11/02/29,VI-131260,250,Revenue,uCheck Ltd
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,12/02/29,VI-131179,1331.96,Revenue,Unison Eastern Region
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Technical Training,01/03/29,VI-132472,16442,Revenue,University of Suffolk
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,15/02/29,VI-131641,963.2,Revenue,Unity Schools Partnership
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,12/02/29,VI-131417,2500,Revenue,Richard Utting LLP
Housing Revenue Account,HRA Special Services,Transport Expenses,Vehicle Hire,15/02/29,VI-131572,260,Revenue,Vertas Group Ltd
Corporate Services,Admin Buildings,Premises Expenses,Contract Cleaning,20/02/29,VI-130620,2551.18,Revenue,Vertas Group Ltd
Economic Development and Transport,Parking Services,Supplies and Services,Other Office Expenses,22/02/29,VI-131683,550.57,Revenue,Vertas Group Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA All Sheltered Servicing,12/02/29,VI-131339,4600,Revenue,Vinyl Installation Ltd
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,13/02/29,VI-130689,6504.17,Revenue,Vivid Resourcing
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,13/02/29,VI-130688,5745,Revenue,Vivid Resourcing
The Environment,Waste Management,Supplies and Services,Telephone Calls/Data/Broadband,08/02/29,VI-130657,1860.88,Revenue,Vodafone Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,05/02/29,VI-130862,6912.5,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,05/02/29,VI-130835,4467.5,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,05/02/29,VI-130833,6555,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,05/02/29,VI-130808,12737,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,05/02/29,VI-130798,425,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,05/02/29,VI-130761,2795,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,05/02/29,VI-130755,9055,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,06/02/29,VI-130968,4850,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,06/02/29,VI-130917,5145,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,06/02/29,VI-130842,500,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,08/02/29,VI-131247,12615,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,08/02/29,VI-131234,2580,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,08/02/29,VI-131229,425,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,08/02/29,VI-130975,4772.5,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,08/02/29,VI-131284,22008,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,12/02/29,VI-130943,500,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,15/02/29,VI-131574,22790,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,15/02/29,VI-131523,350,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,15/02/29,VI-131499,6092.5,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,15/02/29,VI-131395,662.5,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,15/02/29,VI-131382,5020,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,15/02/29,VI-131283,9852.5,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,15/02/29,VI-131575,350,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,15/02/29,VI-131629,7592.5,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,20/02/29,VI-131786,4910,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,20/02/29,VI-131759,500,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,20/02/29,VI-131720,500,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,20/02/29,VI-131719,5597.5,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,20/02/29,VI-131718,350,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,20/02/29,VI-131695,350,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,22/02/29,VI-131879,4662.5,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,22/02/29,VI-131954,350,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,22/02/29,VI-131953,350,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,22/02/29,VI-131696,500,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,01/03/29,VI-132393,7865,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,01/03/29,VI-132343,662.5,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,01/03/29,VI-132340,11762.5,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,01/03/29,VI-132332,6122.5,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,01/03/29,VI-132310,10992.5,Revenue,Warmpro Insulation Specialists Ltd
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Water ,05/02/29,VI-129027,551.67,Revenue,Wave
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Water ,05/02/29,VI-130100,1170.47,Revenue,Wave
Excluded,Holding Accounts,Holding Account - Cash In,Payroll Deductions,12/02/29,VI-131147,525,Revenue,East Suffolk Conservative Councillors Group
