Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,13/12/2024,VI-127802,"1,699.32",Revenue,Raventree Ltd T/A Premiere Kitchens
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,20/12/2024,VI-127846,720.71,Revenue,Raventree Ltd T/A Premiere Kitchens
Economic Development and Transport,Economic Regeneration Towns Fund,Supplies and Services,Consultants,06/12/2024,VI-127092,395.00,Revenue,Reach Timelapse Ltd
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,06/12/2024,VI-127204,"3,291.75",Capital,Reed Specialist Recruitment
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,06/12/2024,VI-127203,"3,125.00",Capital,Reed Specialist Recruitment
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,17/12/2024,VI-127816,"3,125.00",Capital,Reed Specialist Recruitment
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,17/12/2024,VI-127817,"2,962.58",Capital,Reed Specialist Recruitment
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,20/12/2024,VI-128195,"3,291.75",Capital,Reed Specialist Recruitment
Community Health,Port Health Authority,Holding Account - Cash Out,Capital Expenditure,20/12/2024,VI-128192,"3,125.00",Capital,Reed Specialist Recruitment
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,06/12/2024,VI-127017,"1,800.00",Revenue,Richard Wills Training Associates
Economic Development and Transport,Economic Regeneration,Employee Expenses,Technical Training,20/12/2024,VI-127016,"2,250.00",Revenue,Richard Wills Training Associates
Corporate Services,ICT,Supplies and Services,Other Office Expenses,10/12/2024,VI-126857,"1,387.97",Revenue,Riso (UK) Limited
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,10/12/2024,VI-126569,"19,475.00",Revenue,Risk & Policy Analysts Ltd
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Holding Account - Cash Out,Capital Expenditure,13/12/2024,VI-127700,"17,177.22",Capital,Rock Merchanting Ltd
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Premises Expenses,Building Services - Responsive Maintenance,17/12/2024,VI-127705,"4,920.00",Revenue,Rock Merchanting Ltd
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Premises Expenses,Building Services - Responsive Maintenance,17/12/2024,VI-127704,"4,874.47",Revenue,Rock Merchanting Ltd
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Premises Expenses,Building Services - Responsive Maintenance,17/12/2024,VI-127702,600.00,Revenue,Rock Merchanting Ltd
Leader of the Council,Electoral Services,Supplies and Services,Postages,06/12/2024,VI-125810,889.35,Revenue,Royal Mail
Leader of the Council,Electoral Services,Supplies and Services,Postages,13/12/2024,VI-126139,540.42,Revenue,Royal Mail
Leader of the Council,Electoral Services,Supplies and Services,Postages,20/12/2024,VI-126589,609.51,Revenue,Royal Mail
Leader of the Council,Electoral Services,Supplies and Services,Postages,27/12/2024,VI-127638,659.98,Revenue,Royal Mail
Leader of the Council,Electoral Services,Supplies and Services,Postages,03/12/2024,VI-126585,265.60,Revenue,Royal Mail
Corporate Services,Admin Buildings,Supplies and Services,Postages,06/12/2024,VI-127041,"1,296.82",Revenue,Royal Mail
Corporate Services,Admin Buildings,Supplies and Services,Postages,18/12/2024,VI-127658,"1,610.88",Revenue,Royal Mail
Corporate Services,Admin Buildings,Supplies and Services,Postages,20/12/2024,VI-128032,"1,181.07",Revenue,Royal Mail
Planning and Coastal Management,Planning,Employee Expenses,Officer Professional Subscriptions,17/12/2024,VI-125656,368.00,Revenue,Royal Town Planning Institute
Planning and Coastal Management,Planning,Employee Expenses,Officer Professional Subscriptions,17/12/2024,VI-125840,368.00,Revenue,Royal Town Planning Institute
Planning and Coastal Management,Planning,Employee Expenses,Officer Professional Subscriptions,17/12/2024,VI-125841,368.00,Revenue,Royal Town Planning Institute
Planning and Coastal Management,Planning,Employee Expenses,Officer Professional Subscriptions,17/12/2024,VI-125842,368.00,Revenue,Royal Town Planning Institute
Planning and Coastal Management,Nationally Significant Infrastructure Planning,Employee Expenses,Officer Professional Subscriptions,17/12/2024,VI-125843,368.00,Revenue,Royal Town Planning Institute
Planning and Coastal Management,Planning,Employee Expenses,Officer Professional Subscriptions,17/12/2024,VI-125845,368.00,Revenue,Royal Town Planning Institute
Planning and Coastal Management,Nationally Significant Infrastructure Planning,Employee Expenses,Officer Professional Subscriptions,17/12/2024,VI-125847,368.00,Revenue,Royal Town Planning Institute
Planning and Coastal Management,Nationally Significant Infrastructure Planning,Employee Expenses,Officer Professional Subscriptions,17/12/2024,VI-126507,368.00,Revenue,Royal Town Planning Institute
Planning and Coastal Management,Planning,Employee Expenses,Officer Professional Subscriptions,17/12/2024,VI-126512,368.00,Revenue,Royal Town Planning Institute
Planning and Coastal Management,Planning,Employee Expenses,Officer Professional Subscriptions,20/12/2024,VI-127637,368.00,Revenue,Royal Town Planning Institute
Planning and Coastal Management,Planning,Employee Expenses,Officer Professional Subscriptions,20/12/2024,VI-127636,368.00,Revenue,Royal Town Planning Institute
Planning and Coastal Management,Planning,Employee Expenses,Officer Professional Subscriptions,20/12/2024,VI-127634,368.00,Revenue,Royal Town Planning Institute
Planning and Coastal Management,Planning,Employee Expenses,Officer Professional Subscriptions,20/12/2024,VI-127629,368.00,Revenue,Royal Town Planning Institute
Planning and Coastal Management,Nationally Significant Infrastructure Planning,Employee Expenses,Officer Professional Subscriptions,20/12/2024,VI-126514,368.00,Revenue,Royal Town Planning Institute
Planning and Coastal Management,Planning,Employee Expenses,Officer Professional Subscriptions,20/12/2024,VI-126513,368.00,Revenue,Royal Town Planning Institute
Planning and Coastal Management,Planning,Employee Expenses,Officer Professional Subscriptions,24/12/2024,VI-126515,368.00,Revenue,Royal Town Planning Institute
Planning and Coastal Management,Planning,Employee Expenses,Officer Professional Subscriptions,27/12/2024,VI-125846,368.00,Revenue,Royal Town Planning Institute
Planning and Coastal Management,Planning,Employee Expenses,Technical Training,03/12/2024,VI-126572,285.00,Revenue,Royal Town Planning Institute
Planning and Coastal Management,Planning,Employee Expenses,Technical Training,18/12/2024,VI-126382,285.00,Revenue,Royal Town Planning Institute
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,06/12/2024,VI-127097,"2,460.00",Revenue,Rushmere St Andrew  PC
Deputy Leader and Housing,Private Sector Housing,Third Party Payments,Other Local Authorities Third Party,06/12/2024,VI-126687,"13,397.40",Revenue,Shared Anti Fraud Service
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Bank Fees,05/12/2024,VI-127667,412.01,Revenue,Santander Corporate Bank
Financial Resources and Value for Money,Tax Collection Cost,Supplies and Services,Bank Fees,05/12/2024,VI-127666,"1,148.84",Revenue,Santander Corporate Bank
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,24/12/2024,VI-127899,"4,874.75",Revenue,Sanctus Ltd
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/12/2024,VI-108322,"7,876.00",Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/12/2024,VI-109324,"1,768.00",Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/12/2024,VI-109325,"7,644.00",Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/12/2024,VI-116428,"1,785.00",Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/12/2024,VI-116435,"7,699.00",Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/12/2024,VI-120681,"1,785.00",Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/12/2024,VI-120811,"7,699.00",Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/12/2024,VI-125903,"1,785.00",Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/12/2024,VI-125905,"7,699.00",Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/12/2024,VC-003002,"-2,999.06",Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/12/2024,VC-003258,"-6,972.36",Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/12/2024,VC-003219,"-4,634.58",Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/12/2024,VC-003271,"-6,637.00",Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/12/2024,VC-003272,"-7,040.00",Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/12/2024,VC-003273,"-2,112.00",Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/12/2024,VC-003274,"-4,224.00",Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/12/2024,VC-003608,"-14,489.09",Revenue,Savills
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,27/12/2024,VC-003609,-901.86,Revenue,Savills
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,06/12/2024,VI-127107,"1,111.38",Revenue,SC Plumbing Services
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,06/12/2024,VI-126945,"4,272.30",Revenue,SC Plumbing Services
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,10/12/2024,VI-127477,"3,103.74",Capital,SC Plumbing Services
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,13/12/2024,VI-127566,"1,424.10",Revenue,SC Plumbing Services
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,18/12/2024,VI-127853,"3,158.72",Revenue,SC Plumbing Services
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,20/12/2024,VI-128065,"1,034.58",Capital,SC Plumbing Services
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,24/12/2024,VI-128404,690.28,Revenue,SC Plumbing Services
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,17/12/2024,VI-127674,"50,000.00",Revenue,Seckford Hall
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Miscellaneous Other Services,11/12/2024,VI-127442,715.00,Revenue,Seedball Ltd
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,24/12/2024,VI-127558,"374,419.99",Capital,SEH French Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,27/12/2024,VI-124944,"134,355.60",Revenue,Shaw Trust Ltd
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,24/12/2024,VI-128234,"61,981.20",Revenue,Shore Construction Services Ltd
Community Health,Port Health Authority,Supplies and Services,Software Purchases,10/12/2024,VI-127492,345.00,Revenue,Sign In App
Leader of the Council,Corporate and Democratic Management,Supplies and Services,General Purchases,10/12/2024,VI-126842,465.67,Revenue,Sizewell Sports & Social Club
Economic Development and Transport,North Felixstowe Garden Neighbourhood,Supplies and Services,Consultants,24/12/2024,VI-128714,785.00,Revenue,SLR Consulting Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,03/12/2024,VI-126737,724.90,Revenue,Smith Brothers Timber (East Anglia) Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,06/12/2024,VI-127108,"1,109.70",Revenue,Smith Brothers Timber (East Anglia) Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,10/12/2024,VI-126948,280.80,Revenue,Smith Brothers Timber (East Anglia) Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,10/12/2024,VI-127014,"1,335.31",Revenue,Smith Brothers Timber (East Anglia) Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,11/12/2024,VI-127524,579.60,Revenue,Smith Brothers Timber (East Anglia) Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,13/12/2024,VI-127608,739.80,Revenue,Smith Brothers Timber (East Anglia) Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,24/12/2024,VI-128521,528.40,Revenue,Smith Brothers Timber (East Anglia) Ltd
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Holding Account - Cash Out,Capital Expenditure,13/12/2024,VI-127603,250.00,Capital,Robert Sneesby Health and Safety Ltd
Corporate Services,Human Resources,Employee Expenses,Other Direct Salary Costs,17/12/2024,VI-127366,623.10,Revenue,Pluxee UK Ltd
Financial Resources and Value for Money,Directors and PA's,Supplies and Services,Conference Fees,10/12/2024,VI-126858,950.00,Revenue,SOLACE Group Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,24/12/2024,VI-128695,"10,052.96",Revenue,Sole Bay Arts C.I.O.
Corporate Services,Human Resources,Employee Expenses,Medical Fees,10/12/2024,VI-127171,850.00,Revenue,Specsavers
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,03/12/2024,VI-126668,"19,624.02",Revenue,P J Spillings (Builders) Ltd
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,03/12/2024,VI-126669,"1,696.09",Revenue,P J Spillings (Builders) Ltd
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,03/12/2024,VI-126670,"3,373.50",Revenue,P J Spillings (Builders) Ltd
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,10/12/2024,VC-002669,"-1,955.00",Revenue,P J Spillings (Builders) Ltd
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,10/12/2024,VI-126866,349.58,Revenue,P J Spillings (Builders) Ltd
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,10/12/2024,VI-126867,"1,656.25",Revenue,P J Spillings (Builders) Ltd
Corporate Services,ICT,Premises Expenses,Minor Improvements,11/12/2024,VI-126677,"2,467.45",Revenue,P J Spillings (Builders) Ltd
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,11/12/2024,VI-126672,459.00,Revenue,P J Spillings (Builders) Ltd
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,13/12/2024,VI-127673,"78,707.48",Capital,P J Spillings (Builders) Ltd
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,18/12/2024,VI-126671,"1,338.52",Revenue,P J Spillings (Builders) Ltd
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Responsive Maintenance,24/12/2024,VI-127995,588.29,Revenue,P J Spillings (Builders) Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,24/12/2024,VI-128473,"3,487.50",Revenue,Sportscool Ipswich
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Lifts,06/12/2024,VI-126979,"6,440.00",Revenue,Stannah Lift Service Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Lifts,06/12/2024,VI-126976,"1,579.50",Revenue,Stannah Lift Service Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Lifts,10/12/2024,VI-127006,"2,661.30",Revenue,Stannah Lift Service Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Transport Expenses,Repairs & Service,03/12/2024,VI-126548,374.13,Revenue,Stacatruc Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,17/12/2024,VC-003890,"-7,500.00",Revenue,St Elizabeth Hospice
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,17/12/2024,VI-127405,"7,500.00",Revenue,St Elizabeth Hospice
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,17/12/2024,VI-127404,"11,250.00",Revenue,St Elizabeth Hospice
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Premises Expenses,Building Services - Planned Maintenance,03/12/2024,VI-126473,"3,470.00",Revenue,Steria Consulting Ltd
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Premises Expenses,Building Services - Planned Maintenance,03/12/2024,VI-126475,"1,200.00",Revenue,Steria Consulting Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Surveyor Fees,24/12/2024,VI-128678,"1,850.00",Revenue,Steria Consulting Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,24/12/2024,VI-128628,"1,500.00",Revenue,St Margaret's PCC
Planning and Coastal Management,Nationally Significant Infrastructure Planning,Supplies and Services,Other Ext Provided Services,24/12/2024,VI-127525,"3,093.60",Revenue,Storetec Services Limited
Planning and Coastal Management,Planning,Supplies and Services,Other Ext Provided Services,03/12/2024,VI-126350,"3,755.00",Revenue,Suffolk County Council
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Rents Payable,10/12/2024,VI-126449,"3,700.04",Revenue,Suffolk County Council
The Environment,Waste Management,Transport Expenses,Gate Fees,13/12/2024,VI-127554,"352,046.54",Revenue,Suffolk County Council
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Recruitment Advertising,13/12/2024,VI-127553,"1,592.50",Revenue,Suffolk County Council
Community Health,Health and Wellbeing,Supplies and Services,Other Ext Provided Services,17/12/2024,VI-127822,"4,875.00",Revenue,Suffolk County Council
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Recruitment Advertising,20/12/2024,VI-127972,"7,056.25",Revenue,Suffolk County Council
The Environment,Waste Management,Transport Expenses,Gate Fees,20/12/2024,VI-127937,"143,968.34",Revenue,Suffolk County Council
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Rents Payable,24/12/2024,VI-127823,"1,844.72",Revenue,Suffolk County Council
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,18/12/2024,VI-127615,"2,090.00",Revenue,Suffolk Family Carers Ltd
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,20/12/2024,VI-127424,"5,150.00",Revenue,Suffolk Mind
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,18/12/2024,VI-127614,"1,500.00",Revenue,Suffolk Coastal Debt Centre
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,13/12/2024,VI-127719,400.00,Revenue,Suffolk Coastal CIC
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,13/12/2024,VI-127104,"1,980.00",Revenue,Sunhigh Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,06/12/2024,VI-126956,"4,211.79",Revenue,T A K Building Maintenance Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Other Ext Provided Services,13/12/2024,VI-127753,"7,200.00",Revenue,The TAS Partnership Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,27/12/2024,VI-128788,441.09,Revenue,Taylor Properties Trading Limited
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,24/12/2024,VI-128436,575.00,Revenue,Taylor Properties (Clients account)
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Other Ext Provided Services,13/12/2024,VI-127695,624.00,Revenue,Teletrac Navman UK
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,13/12/2024,VI-127708,"2,769.75",Revenue,The Offshoot Foundation
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,03/12/2024,VI-124508,"1,908.00",Revenue,Tiaa Ltd
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,24/12/2024,VI-128427,"2,775.00",Revenue,Tilt Shift Creative
Planning and Coastal Management,Planning,Supplies and Services,Advertising,11/12/2024,VI-127528,339.06,Revenue,PeopleScout Ltd
Planning and Coastal Management,Planning,Supplies and Services,Advertising,24/12/2024,VI-128469,255.08,Revenue,PeopleScout Ltd
Planning and Coastal Management,Planning,Supplies and Services,Advertising,27/12/2024,VI-128763,491.09,Revenue,PeopleScout Ltd
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,24/12/2024,VI-128036,490.00,Capital,TM Services Audio Visual Ltd
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Hardware Maintenance,13/12/2024,VI-127679,"7,350.00",Revenue,Totalmobile Ltd
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Consultants,20/12/2024,VI-127295,765.00,Revenue,Totalmobile Ltd
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,10/12/2024,VI-127073,372.26,Revenue,Travelodge
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,10/12/2024,VI-127234,316.15,Revenue,Travelodge
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,03/12/2024,VI-126726,251.71,Revenue,Travis Perkins
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,03/12/2024,VI-126782,559.43,Revenue,Travis Perkins
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,06/12/2024,VI-127115,529.32,Revenue,Travis Perkins
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,10/12/2024,VI-127380,"10,215.34",Revenue,Travis Perkins
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,10/12/2024,VI-127296,"13,326.99",Revenue,Travis Perkins
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,10/12/2024,VI-127452,"7,848.10",Revenue,Travis Perkins
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Furniture and Equipment,10/12/2024,VI-127378,"4,633.11",Revenue,Travis Perkins
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,20/12/2024,VI-128207,480.93,Revenue,Travis Perkins
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,20/12/2024,VI-127914,"10,000.00",Revenue,Traffic Enforcement Centre
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Consultants,16/12/2024,VI-127219,"7,110.35",Revenue,Tusker
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Lifts,03/12/2024,VI-126636,"4,590.00",Revenue,Ray Tuttle Lift Services Limited
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,06/12/2024,VI-127202,"8,622.54",Revenue,UK Health Security Agency
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,17/12/2024,VI-127839,"6,111.41",Revenue,UK Health Security Agency
Planning and Coastal Management,Coastal Management,Employee Expenses,Contract Staff,06/12/2024,VI-126361,"5,983.64",Revenue,University of East Anglia
Planning and Coastal Management,Coastal Management,Employee Expenses,Contract Staff,27/12/2024,VI-128468,"5,983.64",Revenue,University of East Anglia
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,06/12/2024,VI-127230,300.00,Revenue,Richard Utting LLP
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,06/12/2024,VI-127192,550.00,Revenue,Richard Utting LLP
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,18/12/2024,VI-127883,"2,100.00",Revenue,Richard Utting LLP
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,24/12/2024,VI-128581,"1,600.00",Revenue,Richard Utting LLP
Financial Resources and Value for Money,Recharge Accounts,Premises Expenses,Water ,06/12/2024,VI-126869,"20,271.27",Revenue,Vertas Group Ltd
Corporate Services,Admin Buildings,Supplies and Services,Postages,20/12/2024,VI-128024,661.11,Revenue,Vertas Group Ltd
Corporate Services,Admin Buildings,Supplies and Services,General Purchases,01/12/2024,VI-128333,924.72,Revenue,Vertas Group Ltd
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,04/12/2024,VI-126748,611.50,Revenue,Vikings Estate Agents
The Environment,Environmental Protection,Supplies and Services,Furniture and Equipment,20/12/2024,VI-128035,600.00,Revenue,Vinyl Installation Ltd
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Miscellaneous Other Services,10/12/2024,VI-126834,499.49,Revenue,Vistaprint
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,03/12/2024,VI-126682,"6,654.17",Revenue,Vivid Resourcing
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,03/12/2024,VI-125573,"1,725.00",Revenue,Vivid Resourcing
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,06/12/2024,VI-126681,"4,800.00",Revenue,Vivid Resourcing
The Environment,Environmental Protection,Employee Expenses,Contract Staff,06/12/2024,VI-127103,"6,750.00",Revenue,Vivid Resourcing
The Environment,Environmental Protection,Employee Expenses,Contract Staff,11/12/2024,VI-127361,"3,436.01",Revenue,Vivid Resourcing
The Environment,Waste Management,Supplies and Services,Telephone Calls/Data/Broadband,06/12/2024,VI-126445,"2,225.27",Revenue,Vodafone Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,10/12/2024,VI-127458,282.00,Revenue,JW Warren
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,04/12/2024,VI-126849,350.00,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,04/12/2024,VI-126743,500.00,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,06/12/2024,VI-127116,350.00,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,06/12/2024,VI-127110,350.00,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,10/12/2024,VI-127268,350.00,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,10/12/2024,VI-127446,"6,227.50",Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,11/12/2024,VI-127479,500.00,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,11/12/2024,VI-127476,"4,462.50",Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,11/12/2024,VI-127555,"4,580.00",Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,13/12/2024,VI-127683,"4,775.00",Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,13/12/2024,VI-127659,"5,570.00",Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,13/12/2024,VI-127648,500.00,Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,13/12/2024,VI-127621,"4,377.50",Revenue,Warmpro Insulation Specialists Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,13/12/2024,VI-127439,"4,635.00",Revenue,Warmpro Insulation Specialists Ltd
