Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,28/03/2025,VI-134500,"1,985.17",Revenue,Lowestoft Vision,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134125,505.50,Revenue,Lowestoft and Waveney Breastfeeding Support,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,11/03/2025,VI-133058,948.96,Revenue,Macfarlane Group UK Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,21/03/2025,VI-134050,300.00,Revenue,Mango Learning,,,,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,21/03/2025,VI-134049,275.00,Revenue,Mango Learning,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,05/03/2025,VI-130708,762.50,Capital,Marine Management Organisation,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,28/03/2025,VI-132649,"2,592.50",Capital,Marine Management Organisation,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Corporate Subscriptions,11/03/2025,VI-133262,"11,893.20",Revenue,Maritime Cargo Processing plc,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,14/03/2025,VI-133533,"1,088.66",Capital,St Marys R C Primary School,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134143,600.00,Revenue,Mary Walker Foundation,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,12/03/2025,VI-132996,520.30,Revenue,Mattressman,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-134309,"22,330.31",Revenue,MENTA - Mid Anglian Enterprise Agency Ltd,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,19/03/2025,VI-113639,"3,808,169.00",Revenue,"Dept Levelling Up, Housing & Communities",,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,04/03/2025,VI-132394,"3,675.00",Revenue,MJ Training,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134137,"7,200.00",Revenue,MJ Training,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Other Ext Provided Services,12/03/2025,VI-132666,723.20,Revenue,Algeco UK Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,04/03/2025,VI-132341,"5,500.00",Revenue,Morabe Rural Music,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,11/03/2025,VI-132758,"26,730.00",Capital,Mountain Builders,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,18/03/2025,VI-133813,"2,895.00",Revenue,Mountfield Services Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,07/03/2025,VI-132906,"3,378.45",Revenue,Munnings Supplies Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134126,600.00,Revenue,Nacton Community Council,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134136,"5,000.00",Revenue,Nature Play CIC,,,,,,,,,,,,,,,,,,
Energy and Climate Change,Environmental Climate Change,Supplies and Services,Grants & Contributions,25/03/2025,VI-134219,"1,500.00",Revenue,Nature Play CIC,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,28/03/2025,VI-134380,"2,437.56",Revenue,Netguides Limited,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,07/03/2025,VI-132735,508.80,Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Tax Collection Cost,Supplies and Services,Advertising,07/03/2025,VI-132668,"4,436.10",Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,12/03/2025,VI-133445,445.20,Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,19/03/2025,VI-133989,349.80,Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Advertising,28/03/2025,VI-134408,572.40,Revenue,Newsquest Media Group Ltd,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,07/03/2025,VI-132702,390.00,Revenue,Newman Design,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Renovation Grants,28/03/2025,VI-134395,"2,154.00",Revenue,NJB Contractors,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Renovation Grants,28/03/2025,VI-134401,"2,612.40",Revenue,NJB Contractors,,,,,,,,,,,,,,,,,,
Leader of the Council,Legal,Supplies and Services,Legal Fees,18/03/2025,VI-133863,"17,871.60",Revenue,Norfolk County Council,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,19/03/2025,VI-133996,575.00,Capital,Norfolk Stairlifts,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Employee Expenses,Contract Staff,26/03/2025,VI-134364,"44,055.11",Revenue,North Norfolk District Council,,,,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,21/03/2025,VI-133859,"2,124.20",Revenue,Northumbrian Water Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,19/03/2025,VI-133703,"1,500.00",Revenue,Northern Nuclear Alliance Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Employee Expenses,Medical Fees,14/03/2025,VI-132889,440.00,Revenue,NowMedical,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Gas,18/03/2025,VI-131541,280.88,Revenue,Npower Business Services,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Gas,18/03/2025,VI-131542,277.82,Revenue,Npower Business Services,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-132228,"7,875.00",Revenue,NWES Property Services Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-132229,"6,475.00",Revenue,NWES Property Services Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-134318,"5,827.50",Revenue,NWES Property Services Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-134317,"8,050.00",Revenue,NWES Property Services Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,19/03/2025,VI-133895,305.00,Capital,Oaks CCTV Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,07/03/2025,VI-132892,278.50,Revenue,Onesite,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-121375,"25,000.00",Revenue,Orwell Housing Association,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-120412,"25,000.00",Revenue,Orwell Housing Association,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-134539,"14,087.00",Revenue,Orwell Housing Association,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-134540,"2,000.00",Revenue,Orwell Housing Association,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Supplies and Services,Surveyor Fees,04/03/2025,VI-132507,750.00,Revenue,Overton Surveying,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,26/03/2025,VI-134156,"22,000.00",Revenue,Ove Arup & Partners Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Employee Expenses,Qualification Training,14/03/2025,VI-133444,"1,775.00",Revenue,Oxford Professional Education Group,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,04/03/2025,VI-132223,"3,025.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,04/03/2025,VI-132581,"3,025.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,05/03/2025,VI-132584,"1,858.50",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,05/03/2025,VI-132583,"1,034.99",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,05/03/2025,VI-132582,"4,250.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,05/03/2025,VI-132227,"1,858.50",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,05/03/2025,VI-132226,"4,250.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,12/03/2025,VI-133352,"1,858.50",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,12/03/2025,VI-133353,"1,034.99",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Heads of Service,Employee Expenses,Contract Staff,12/03/2025,VI-133356,"4,250.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,12/03/2025,VI-133358,"3,025.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,18/03/2025,VI-132580,"2,123.31",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,18/03/2025,VI-133355,"2,140.20",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,19/03/2025,VI-133881,"1,858.50",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,19/03/2025,VI-133880,689.99,Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,19/03/2025,VI-133879,"3,025.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,26/03/2025,VI-134337,"3,025.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Employee Expenses,Contract Staff,26/03/2025,VI-134335,"1,593.00",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,28/03/2025,VI-134338,"1,952.05",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,28/03/2025,VI-133877,"2,367.60",Revenue,The Oyster Partnership,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,28/03/2025,VI-134367,"1,868.33",Revenue,Pakefield Community Group,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,28/03/2025,VI-134558,"10,000.00",Revenue,Pakefield Pastures,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,21/03/2025,VI-134146,"1,300.00",Revenue,Paperworks,,,,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,04/03/2025,VI-131366,627.08,Revenue,Paton and Lee,,,,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,18/03/2025,VI-133650,461.66,Revenue,Paton and Lee,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,14/03/2025,VI-132075,"3,750.00",Capital,PBR Construction (Norfolk) Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,04/03/2025,VI-132530,"1,895.00",Revenue,Pearce and Kemp Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Asbestos,18/03/2025,VI-133777,"8,082.64",Revenue,Pennington Choices Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Consultants,18/03/2025,VI-133754,"1,865.41",Revenue,Pennington Choices Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Premises Expenses,Asbestos,26/03/2025,VI-134110,989.92,Revenue,Pennington Choices Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,28/03/2025,VI-134260,"7,726.04",Revenue,Pennington Choices Ltd,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,18/03/2025,VI-133775,"16,441.70",Revenue,Perfect Circle JV Ltd,,,,,,,,,,,,,,,,,,
The Environment,Waste Management,Supplies and Services,External Printing,28/03/2025,VI-133638,823.00,Revenue,PermiServ Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,04/03/2025,VI-132496,"22,850.00",Revenue,PHS Home Solutions Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,04/03/2025,VI-132532,"14,932.00",Revenue,PHS Home Solutions Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,04/03/2025,VI-132555,"6,171.00",Revenue,PHS Home Solutions Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,07/03/2025,VI-132776,"6,671.00",Revenue,PHS Home Solutions Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,11/03/2025,VI-133228,"15,432.00",Revenue,PHS Home Solutions Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,11/03/2025,VI-133311,"6,171.00",Revenue,PHS Home Solutions Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,12/03/2025,VI-133346,"19,879.00",Revenue,PHS Home Solutions Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,19/03/2025,VI-133803,"21,445.00",Revenue,PHS Home Solutions Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,21/03/2025,VI-134106,"6,671.00",Revenue,PHS Home Solutions Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,25/03/2025,VI-134210,"14,274.00",Revenue,PHS Home Solutions Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,25/03/2025,VI-134216,"19,871.00",Revenue,PHS Home Solutions Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,25/03/2025,VI-134224,"6,671.00",Revenue,PHS Home Solutions Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,25/03/2025,VI-134286,"6,921.00",Revenue,PHS Home Solutions Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,25/03/2025,VI-134287,"14,932.00",Revenue,PHS Home Solutions Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,26/03/2025,VI-134325,"6,321.00",Revenue,PHS Home Solutions Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,26/03/2025,VI-134362,"20,937.00",Revenue,PHS Home Solutions Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,26/03/2025,VI-134353,"5,410.00",Revenue,PHS Home Solutions Ltd,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,07/03/2025,VI-132699,"4,406.69",Revenue,Pier Marketing Limited,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Financial Services,Supplies and Services,Corporate Subscriptions,21/03/2025,VI-114478,"1,100.00",Revenue,Pixel Financial Management Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Third Party Payments,Private Contractors,11/03/2025,VI-132851,"2,328.00",Revenue,Places for People,,,,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Grants & Contributions,11/03/2025,VI-133076,"1,440.00",Revenue,Places for People,,,,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Grants & Contributions,11/03/2025,VI-133077,"1,440.00",Revenue,Places for People,,,,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Grants & Contributions,11/03/2025,VI-133078,720.00,Revenue,Places for People,,,,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Grants & Contributions,11/03/2025,VI-133079,"1,440.00",Revenue,Places for People,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Indoor Leisure,Third Party Payments,Private Contractors,12/03/2025,VI-132784,"11,845.09",Revenue,Places for people,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134144,468.00,Revenue,Playground Proms,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134145,500.00,Revenue,Playground Proms,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134226,500.00,Revenue,Playground Proms,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Holding Account - Cash Out,Capital Expenditure,28/03/2025,VI-134225,"6,680.00",Capital,CN Plumbing & Heating Ltd Facilities Manage Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Building Services - Responsive Maintenance,18/03/2025,VI-133764,571.00,Revenue,Philip Pointer,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Machine Repair & Maintenance,18/03/2025,VI-133767,260.00,Revenue,Philip Pointer,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Responsive Maintenance,28/03/2025,VI-133765,"1,040.00",Revenue,Philip Pointer,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,04/03/2025,VI-132492,"6,680.24",Revenue,Polycastle NU-Span,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,07/03/2025,VI-132818,"10,487.07",Revenue,Polycastle NU-Span,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Premises Expenses,Rents Payable,07/03/2025,VI-132803,320.95,Revenue,Port of Felixstowe,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Premises Expenses,Rents Payable,07/03/2025,VI-132652,"44,027.97",Revenue,Port of Felixstowe,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Other Office Expenses,18/03/2025,VI-132049,"1,765.38",Revenue,Postroom-online Ltd,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Consultants,07/03/2025,VI-132755,311.50,Revenue,L. St John Howe t/a PO Services,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Conference Fees,07/03/2025,VI-132832,"1,270.00",Revenue,Chris Powell - The Event Expert,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Building Services - Responsive Maintenance,04/03/2025,VI-132519,"2,412.26",Revenue,Protect and Detect Systems Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Door Entry/Security,07/03/2025,VI-132900,"2,903.13",Revenue,Protect and Detect Systems Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Emergency Lighting,12/03/2025,VI-133421,"2,217.00",Revenue,Protect and Detect Systems Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Fire Alarm Servicing,14/03/2025,VI-133423,"7,087.11",Revenue,Protect and Detect Systems Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Door Entry/Security,18/03/2025,VI-133718,268.63,Revenue,Protect and Detect Systems Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,21/03/2025,VI-133844,912.00,Revenue,Provide Care Solutions Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Building Services - Responsive Maintenance,19/03/2025,VI-133741,610.50,Revenue,R J Pryce and Co Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,21/03/2025,VI-134070,333.15,Revenue,R J Pryce and Co Ltd,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Financial Services,Employee Expenses,Technical Training,04/03/2025,VI-132470,"1,323.00",Revenue,PS Tax,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Financial Services,Supplies and Services,Consultants,05/03/2025,VI-132614,"3,350.00",Revenue,PS Tax,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,04/03/2025,VI-132585,"22,214.61",Revenue,Public Analyst Scientific Services,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,14/03/2025,VI-133342,"14,108.11",Revenue,Public Analyst Scientific Services,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,18/03/2025,VI-133771,"10,296.09",Revenue,Public Analyst Scientific Services,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,18/03/2025,VI-133845,842.57,Revenue,Public Analyst Scientific Services,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,21/03/2025,VI-134103,"10,229.01",Revenue,Public Analyst Scientific Services,,,,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Medical Fees,12/03/2025,VI-132882,285.04,Revenue,Public Practice,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Other Financial Transactions,Expenditure not charged to Cost of Service,Finance Lease Interest Payable,03/03/2025,VI-132910,"60,882.33",Revenue,Pulse Fitness,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Architect Fees,04/03/2025,VI-132358,"3,760.00",Revenue,Purcell Architecture Ltd,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,04/03/2025,VI-132569,"4,948.59",Revenue,RAB Consultants Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,14/03/2025,VI-133558,"1,160.00",Revenue,Peter Ramsey General Building,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133314,"5,159.83",Revenue,Ramp and Mobility Solutions,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,21/03/2025,VI-133998,873.48,Revenue,Ramp and Mobility Solutions,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,07/03/2025,VI-132509,"1,224.28",Revenue,Raventree Ltd T/A Premiere Kitchens,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,07/03/2025,VI-132940,"1,950.85",Revenue,Raventree Ltd T/A Premiere Kitchens,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,21/03/2025,VI-133502,"1,031.49",Revenue,Raventree Ltd T/A Premiere Kitchens,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,21/03/2025,VI-133501,921.53,Revenue,Raventree Ltd T/A Premiere Kitchens,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,21/03/2025,VI-132867,"1,065.59",Revenue,Raventree Ltd T/A Premiere Kitchens,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,21/03/2025,VI-132866,"1,059.00",Revenue,Raventree Ltd T/A Premiere Kitchens,,,,,,,,,,,,,,,,,,
