Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Capital Code,Capital Code Name,Total (excludes VAT)
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,03/01/2025,AKW MEDI-CARE LTD,9286434,revenue,1KR12,DDA,#N/A,,291.07
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,15/01/2025,AKW MEDI-CARE LTD,9301844,revenue,1KR12,DDA,#N/A,,884.86
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,15/01/2025,AKW MEDI-CARE LTD,9302268,revenue,1KR12,DDA,#N/A,,700.74
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,15/01/2025,AKW MEDI-CARE LTD,9301831,revenue,1KR12,DDA,#N/A,,1096.83
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,15/01/2025,AKW MEDI-CARE LTD,9301845,revenue,1KR12,DDA,#N/A,,439.90
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,21/01/2025,AKW MEDI-CARE LTD,9304074,revenue,1KR12,DDA,#N/A,,811.16
"City Ops, Nghbrhds & Reg Srvcs",Parking,Revenue Expenditure,06/01/2025,ALAN CARR DESIGN & PRINT,9292352,revenue,1V204,Car Parking Infrastructure,#N/A,,448.00
Investment & Growth,Capital Investment & Growth,Revenue Expenditure,16/01/2025,ALAN HILLARY EVENTS LTD,9285249,revenue,1FN33,Place Innovation Programme,#N/A,,17637.00
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,16/01/2025,ALARM SUPPLIES SCOTLAND LTD,9298061,revenue,1KJ42,Security Consultancy,#N/A,,770.00
Deputy Chief Executive,Education & Skills Services,Revenue Expenditure,17/01/2025,ALARM&COMMUNICATION SYSTEMS LTD,9297871,revenue,1EA06,Westgate ASB,#N/A,,1800.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,28/01/2025,ALBANY HOUSE  (WHITLEY BAY),9311106,revenue,1MM20,Residential Care MH,#N/A,,2770.12
Operations & Regulatory Services ,Operations,Revenue Expenditure,22/01/2025,ALBANY MOTORS,9307752,revenue,3KES1,City Transport Stock,#N/A,,318.75
Adult Social Care & Prevention,Care & Support,Revenue Expenditure,17/01/2025,ALBANY OFFICE FURNITURE SOLUTIONS,9298438,revenue,1MX01,Welford Resource Centre LD,#N/A,,1510.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,15/01/2025,ALBANY OFFICE FURNITURE SOLUTIONS,9302127,revenue,1MG02,Community Health & Social Care,#N/A,,415.00
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,10/01/2025,ALBANY OFFICE FURNITURE SOLUTIONS,9296275,revenue,1KQ20,NFS Commercial Solutions,#N/A,,502.00
Housing & Communities,Head Housing Services,Revenue Expenditure,03/01/2025,ALBANY OFFICE FURNITURE SOLUTIONS,9292565,revenue,1BH04,Housing Services,#N/A,,260.00
Investment & Growth,Transport,Revenue Expenditure,03/01/2025,ALBANY OFFICE FURNITURE SOLUTIONS,9292564,revenue,1KE12,Road Activities Permit Scheme,#N/A,,384.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,28/01/2025,ALDERWOOD,9311154,revenue,1MM10,Nursing Care MH,#N/A,,6158.76
Adult Social Care & Prevention,Community Support,Revenue Income,28/01/2025,ALDERWOOD,9311154,revenue,1MM10,Nursing Care MH,#N/A,,-432.20
Children & Families,Children's Social Care,Revenue Expenditure,27/01/2025,ALEXANDERS HOUSE LTD,9310196,revenue,1MC02,External Residential Placement,#N/A,,19200.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,10/01/2025,ALL FLOORS (SERVICES) LTD,9280485,revenue,1KVWC,Minor Works Contracts,#N/A,,4205.85
Adult Social Care & Prevention,Community Support,Revenue Expenditure,07/01/2025,ALLAN COURT RESIDENTIAL HOME,9294787,revenue,1MG20,Residential Care OP,#N/A,,940.32
Adult Social Care & Prevention,Community Support,Revenue Expenditure,07/01/2025,ALLAN COURT RESIDENTIAL HOME,9294788,revenue,1MK10,Nursing Care LD,#N/A,,338.40
Adult Social Care & Prevention,Community Support,Revenue Expenditure,07/01/2025,ALLAN COURT RESIDENTIAL HOME,9294789,revenue,1MM20,Residential Care MH,#N/A,,846.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,28/01/2025,ALLAN COURT RESIDENTIAL HOME,9311167,revenue,1MG10,Nursing Care OP,#N/A,,70462.15
