Updated Beneficiary,Category/Purpose,Department,Net value,VAT Value,Gross,Date incurred -Payment Date
Anglian Water Business (National) Ltd,Water Charges,Stanmore Branch Library,38.59,0,38.59,45047
Anglian Water Business (National) Ltd,Water Charges,Stanmore Branch Library,40.07,0,40.07,45071
Anglian Water Business (National) Ltd,Water Charges,Stanmore Branch Library,62.58,0,62.58,45105
Anglian Water Business (National) Ltd,Water Charges,Stanmore Park Nursery,199.66,0,199.66,45068
Anglian Water Business (National) Ltd,Water Charges,Stanmore Park Nursery,71.69,0,71.69,45098
Anglian Water Business (National) Ltd,Water Charges,The New Bentley (Byron) NRC,90.71,0,90.71,45043
Anglian Water Business (National) Ltd,Water Charges,The New Bentley (Byron) NRC,93.27,0,93.27,45071
Anglian Water Business (National) Ltd,Water Charges,Vaughan NRC,118.68,0,118.68,45058
Anglian Water Business (National) Ltd,Water Charges,Vaughan NRC,65.58,0,65.58,45077
Aon Investments Limited,Consultants Fees,Pension Fund Investment-Admin,19416.67,3883.33,23300,45037
AON Limited Accounts Division,Insurance Premiums,Insurance Services,536540.86,0,536540.86,45061
AON Limited Accounts Division,Insurance Premiums,Insurance Services,6683.04,0,6683.04,45079
AON Limited Accounts Division,Insurance Premiums,Pension Fund Surpl/Def Ac,6048,0,6048,45079
Apetito Ltd,Catering,Adults Catering,304.76,0,304.76,45019
Apetito Ltd,Catering,Adults Catering,97.96,0,97.96,45021
Apex Housing Solutions,Accommodation,Bed&Breakfast,33859.8,0,33859.8,45027
Apex Housing Solutions,Accommodation,Bed&Breakfast,1440,0,1440,45054
Apex Housing Solutions,Accommodation,Bed&Breakfast,29875,0,29875,45064
Apex Housing Solutions,Accommodation,Bed&Breakfast,35231.8,0,35231.8,45097
Apex Housing Solutions,Accommodation,Bed&Breakfast,7984,0,7984,45100
Apple Fostering Ltd,Foster Payments,Childrens Placements,3576.07,0,3576.07,45022
Apple Fostering Ltd,Foster Payments,Childrens Placements,3576.07,0,3576.07,45057
Apple Fostering Ltd,Foster Payments,Childrens Placements,3576.07,0,3576.07,45085
Apple Tree Day Nursery,Private Nurseries,2 year old offer,1245.6,0,1245.6,45085
Apple Tree Day Nursery,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,42501.6,0,42501.6,45089
Apple Tree Day Nursery,Private Nurseries,EY SEN Inclusion Fund,3000,0,3000,45091
Apply4Technology,Computer Software,Business & Commercial Team,3300,660,3960,45092
APSE Southern Region,Conferences,"Traffic, Highway & Asset Management",99,19.8,118.8,45033
APSE Southern Region,Conferences,Library Administration,184,36.8,220.8,45064
Arale Group Ltd,Domiciliary Care,Personalisation,1084.32,0,1084.32,45037
Arale Group Ltd,Domiciliary Care,Personalisation,1084.32,0,1084.32,45071
Arale Group Ltd,Domiciliary Care,Personalisation,1084.32,0,1084.32,45104
Ardent,Build Maint Exit Cst,IT Operations Service Management,2100,420,2520,45068
Ardent,Build Maint Exit Cst,Non-Delegated Building Maintenance,18816.32,3763.26,22579.58,45021
Ardent,Build Maint Exit Cst,Non-Delegated Building Maintenance,969,193.8,1162.8,45030
Ardent,Build Maint Exit Cst,Non-Delegated Building Maintenance,8277.02,1655.4,9932.42,45033
Ardent,Build Maint Exit Cst,Non-Delegated Building Maintenance,6788.3,1357.66,8145.96,45063
Ardent,Build Maint Exit Cst,Non-Delegated Building Maintenance,4288,857.6,5145.6,45069
Ardent,Build Maint Exit Cst,Non-Delegated Building Maintenance,10998,2199.6,13197.6,45089
Ardent,Build Maint Exit Cst,Non-Delegated Building Maintenance,9291.97,1858.4,11150.37,45103
Arianna Expert Research & Consultancy,Consultants Fees,Divisional Director Targeted Services,750,0,750,45097
Ark schools T/A Isaac Newton Academy,Grants and Subscript,CLA Pupil Premium Grant,500,0,500,45019
ARKrights Solicitors,Solicitor Fees,Homelessness,5000,1000,6000,45058
Arthur J Ferryman & Associates,Consultants Fees,Cap - Housing,5047.6,746,5793.6,45047
Arthur J Ferryman & Associates,Consultants Fees,Cap - Housing,1000,200,1200,45085
Ascentia Support Services Ltd,Other Professionals,Brent SNT Childrens,1750,350,2100,45021
Ascentia Support Services Ltd,Other Professionals,Brent SNT Childrens,3750,750,4500,45030
Ascentia Support Services Ltd,Other Professionals,Brent SNT Childrens,1250,250,1500,45061
Ascentia Support Services Ltd,Other Professionals,P-DSG Transport Educ - Ops,300,60,360,45030
Ascentia Support Services Ltd,Other Professionals,P-DSG Transport Educ - Ops,600,120,720,45043
Ascentia Support Services Ltd,Other Professionals,P-DSG Transport Educ - Ops,600,120,720,45061
Ascot Care Castleview Ltd,Residential Placemnt,Long Term Care,2765.31,0,2765.31,45037
Ascot Care Castleview Ltd,Residential Placemnt,Long Term Care,2857.49,0,2857.49,45069
Ascot Care Castleview Ltd,Residential Placemnt,Long Term Care,2765.32,0,2765.32,45100
ASE Corporate Eyecare Ltd,Other Professionals,Health & Safety Services,195,39,234,45037
ASE Corporate Eyecare Ltd,Other Professionals,Health & Safety Services,390,78,468,45063
ASE Corporate Eyecare Ltd,Other Professionals,Health & Safety Services,1014,202.8,1216.8,45090
Ash Grove Childcare Ltd,Residential Schools,Early Years SEN Provision,2097.6,0,2097.6,45097
Ashfield Services,Staff training - Gen,SAQS Training,649,129.8,778.8,45027
Ashfield Services,Staff training - Gen,SAQS Training,649,129.8,778.8,45054
Ashfield Services,Staff training - Gen,SAQS Training,449,89.8,538.8,45063
Ashfield Services,Staff training - Gen,SAQS Training,649,129.8,778.8,45069
Ashfield Services,Staff training - Gen,SAQS Training,449,89.8,538.8,45084
Ashgale House (Allied Care),Residential Placemnt,Working Together - Learning Disability,7114.93,0,7114.93,45037
Ashgale House (Allied Care),Residential Placemnt,Working Together - Learning Disability,7352.09,0,7352.09,45069
Ashgale House (Allied Care),Residential Placemnt,Working Together - Learning Disability,7114.93,0,7114.93,45100
Asian People's Disability Alliance,Day Care Payments,Working Together - Learning Disability,1099.62,0,1099.62,45033
Asian People's Disability Alliance,Day Care Payments,Working Together - Learning Disability,977.44,0,977.44,45061
Asian People's Disability Alliance,Day Care Payments,Working Together - Learning Disability,1160.71,0,1160.71,45097
Askews Library Services Ltd,Books & Publications,Bibliography,1286.24,0,1286.24,45019
Askews Library Services Ltd,Books & Publications,Bibliography,10.66,0,10.66,45021
Askews Library Services Ltd,Books & Publications,Bibliography,203.75,0,203.75,45027
Askews Library Services Ltd,Books & Publications,Bibliography,78.26,0,78.26,45033
Askews Library Services Ltd,Books & Publications,Bibliography,93.61,0,93.61,45034
Askews Library Services Ltd,Books & Publications,Bibliography,729.27,0,729.27,45040
Askews Library Services Ltd,Books & Publications,Bibliography,2855.53,0,2855.53,45041
Askews Library Services Ltd,Books & Publications,Bibliography,33.19,0,33.19,45043
Askews Library Services Ltd,Books & Publications,Bibliography,300.01,0,300.01,45048
Askews Library Services Ltd,Books & Publications,Bibliography,60.32,0,60.32,45055
Askews Library Services Ltd,Books & Publications,Bibliography,1287.21,0,1287.21,45058
Askews Library Services Ltd,Books & Publications,Bibliography,20.43,0,20.43,45069
Askews Library Services Ltd,Books & Publications,Bibliography,1093.98,0,1093.98,45076
Askews Library Services Ltd,Books & Publications,Bibliography,217.71,0,217.71,45099
Askews Library Services Ltd,Books & Publications,Bibliography,533.08,0,533.08,45103
Askews Library Services Ltd,Books & Publications,Library Projects,1354.25,0,1354.25,45019
Askews Library Services Ltd,Books & Publications,Library Projects,330.2,0,330.2,45021
Askews Library Services Ltd,Books & Publications,Library Projects,52.5,0,52.5,45027
Askews Library Services Ltd,Books & Publications,Library Projects,18.2,0,18.2,45034
Askews Library Services Ltd,Books & Publications,Library Projects,9.1,0,9.1,45042
Askews Library Services Ltd,Books & Publications,Library Projects,20.36,0,20.36,45047
Askews Library Services Ltd,Books & Publications,Library Projects,20.36,0,20.36,45054
Askews Library Services Ltd,Books & Publications,Library Projects,98.53,19.7,118.23,45058
Askews Library Services Ltd,Books & Publications,Library Projects,1091.87,0,1091.87,45062
Askews Library Services Ltd,Books & Publications,Library Projects,845.01,0,845.01,45064
Askews Library Services Ltd,Books & Publications,Library Projects,31.16,0,31.16,45069
Askews Library Services Ltd,Books & Publications,Library Projects,593.77,0,593.77,45076
Askews Library Services Ltd,Books & Publications,Library Projects,90.47,18.09,108.56,45082
Askews Library Services Ltd,Books & Publications,Library Projects,122.13,18.27,140.4,45099
Askews Library Services Ltd,Books & Publications,Library Projects,312.16,0,312.16,45103
Askews Library Services Ltd,Books & Publications,Library Projects,155.15,0,155.15,45104
Askews Library Services Ltd,Books & Publications,Library Projects,1285.88,0,1285.88,45105
Aspen Village Ltd,Residential Placemnt,Long Term Care,4572.86,0,4572.86,45037
Aspen Village Ltd,Residential Placemnt,Long Term Care,4725.29,0,4725.29,45069
Aspen Village Ltd,Residential Placemnt,Long Term Care,4572.85,0,4572.85,45100
Aspirational Support,Semi Independent,Leaving Care Placements,1679.26,335.85,2015.11,45022
Aspris Children's Services,Residential Schools,Ind & Non Maint Res Sch,42842.48,0,42842.48,45086
Aspris Children's Services,Residential Schools,Ind & Non Maint Res Sch,79208.09,0,79208.09,45104
Aspris Children's Services,Residential Schools,Ind & Non Maint Res Sch,23745.48,0,23745.48,45105
Asra Park Home (Day Care),Day Care Payments,Working Together - Learning Disability,1725,0,1725,45033
Asra Park Home (Day Care),Day Care Payments,Working Together - Learning Disability,1500,0,1500,45061
Asra Park Home (Day Care),Day Care Payments,Working Together - Learning Disability,1725,0,1725,45097
Asra Park Home (Day Care),Travel Exps (public),Working Together - Learning Disability,287.5,0,287.5,45033
Asra Park Home (Day Care),Travel Exps (public),Working Together - Learning Disability,250,0,250,45061
Asra Park Home (Day Care),Travel Exps (public),Working Together - Learning Disability,287.5,0,287.5,45097
Assetgrove Youth Services,Semi Independent,Leaving Care Placements,2431.29,0,2431.29,45057
Assetgrove Youth Services,Semi Independent,Leaving Care Placements,1490.14,0,1490.14,45085
Atkins Limited,Consultants Fees,Cap - Environment,1500,300,1800,45089
Atlantic Lodge (Housing) Limited,Foster Payments,Asylum Client Expenditure,1505.67,0,1505.67,45057
Aurora Group Ltd,Residential Placemnt,Children With Disabilities Client Costs,44989.45,0,44989.45,45064
Austin Reynolds Limited,Build Maint Exit Cst,Cap - Regeneration,1998,399.6,2397.6,45021
Autism Unlimited,Residential Placemnt,Working Together - Learning Disability,83622.86,0,83622.86,45037
Autism Unlimited,Residential Placemnt,Working Together - Learning Disability,12001.43,0,12001.43,45069
Autism Unlimited,Residential Placemnt,Working Together - Learning Disability,11614.28,0,11614.28,45100
Avanti House School,Catering,Household Support Grant,980,0,980,45065
Avanti House School,Grants and Subscript,DSG SEND Support Fund,42000,0,42000,45070
Avery Healthcare,Nursing Care,Long Term Care,10092.86,0,10092.86,45037
Avery Healthcare,Nursing Care,Long Term Care,10429.29,0,10429.29,45069
Avery Healthcare,Nursing Care,Self funders L.T.- Adult Social Care,20563.99,0,20563.99,45100
Avery Healthcare,Rec Cost Ext Non-Vat,Self funders L.T.- Adult Social Care,-4171.14,0,-4171.14,45100
Avery Homes Weybridge Ltd,Nursing Care,Long Term Care,4362.43,0,4362.43,45037
Avery Homes Weybridge Ltd,Nursing Care,Long Term Care,4507.84,0,4507.84,45069
Avery Homes Weybridge Ltd,Nursing Care,Long Term Care,4362.43,0,4362.43,45100
Avica UK Limited,Catering,Milmans Day Centre,125.76,25.15,150.91,45019
Avica UK Limited,Catering,Milmans Day Centre,102.57,20.51,123.08,45041
Avica UK Limited,Cleaning Materials,Bedford House,568.27,113.65,681.92,45093
Avica UK Limited,Cleaning Materials,Bedford House,701.93,140.39,842.32,45097
Avica UK Limited,Cleaning Materials,Chandos Children's Centre,63.93,12.79,76.72,45021
Avica UK Limited,Cleaning Materials,Early Support Centre - Cedars Hub,192.82,38.56,231.38,45021
Avica UK Limited,Cleaning Materials,Early Support Centre - Cedars Hub,102.69,20.54,123.23,45103
Avica UK Limited,Cleaning Materials,Early Support Centre - Cedars Hub,6.47,1.29,7.76,45104
Avica UK Limited,Cleaning Materials,Early Support Centre - Hillview Hub,-68.39,-13.68,-82.07,45021
Avica UK Limited,Cleaning Materials,Early Support Centre - Hillview Hub,26.9,5.38,32.28,45040
Avica UK Limited,Cleaning Materials,Early Support Centre - Hillview Hub,295.38,59.08,354.46,45068
Avica UK Limited,Cleaning Materials,Early Support Centre - Hillview Hub,232.39,46.48,278.87,45103
Avica UK Limited,Cleaning Materials,Pinner Children's Centre,161.39,32.28,193.67,45021
Avica UK Limited,Cleaning Materials,Stanmore Park Nursery,248.19,49.64,297.83,45104
Avica UK Limited,Cleaning Materials,Whitefriars Childrens Centre,131.94,26.39,158.33,45021
Avica UK Limited,Cleaning Materials,Whitefriars Childrens Centre,127.04,25.41,152.45,45103
Avica UK Limited,Misc Supp & Serv Cst,Kenmore NRC,496.41,99.28,595.69,45055
Avica UK Limited,Misc Supp & Serv Cst,Kenmore NRC,64.61,12.92,77.53,45057
Avicenna Psychiatry Ltd,Misc Supp & Serv Cst,Safeguarding Adults & Quality Assurance,187.82,0,187.82,45089
Avison Young (UK) Ltd,Consultants Fees,Cap - Regeneration,4800,960,5760,45037
Avison Young (UK) Ltd,Consultants Fees,Council Regeneration Programme,10225,2045,12270,45056
AVMI Kinly Ltd,Computer Purchases,Cap- IT,43147.19,8629.43,51776.62,45105
AVMI Kinly Ltd,Computer Purchases,IT Business Management,8926.05,1785.21,10711.26,45105
Axiell ALM Limited,Other Professionals,Harrow Museum,2148.12,429.63,2577.75,45072
Axis HR Limtied,Other Professionals,Childrens Placements,1350,270,1620,45034
Ayer Associates Limited,Build Maint Exit Cst,Cap - Schools Capital Maintenance,812.5,162.5,975,45107
Ayer Associates Limited,Consultants Fees,Cap - Environment,1069.5,213.9,1283.4,45021
Ayer Associates Limited,Consultants Fees,Cap - Schools Capital Maintenance,21138.54,4227.7,25366.24,45063
Ayer Associates Limited,Consultants Fees,Cap - Schools Capital Maintenance,30800,6160,36960,45103
Ayerst Environmental Ltd,Fire Extinguishers,Cap - Housing,200,40,240,45028
Ayerst Environmental Ltd,Fire Extinguishers,Cap - Housing,1710,342,2052,45033
Ayerst Environmental Ltd,Fire Extinguishers,Cap - Housing,7575,1515,9090,45064
Ayerst Environmental Ltd,Fire Extinguishers,Cap - Housing,1710,342,2052,45065
Ayerst Environmental Ltd,Fire Extinguishers,Cap - Housing,165,33,198,45104
Ayerst Environmental Ltd,Fire Extinguishers,Cap - Housing,165,33,198,45105
Ayerst Environmental Ltd,Fire Extinguishers,Housing Repairs,600,120,720,45077
Ayerst Environmental Ltd,Fire Extinguishers,Housing Repairs,300,60,360,45078
Ayerst Environmental Ltd,Fire Extinguishers,Housing Repairs,165,33,198,45084
Ayerst Environmental Ltd,Fire Extinguishers,Housing Repairs,165,33,198,45085
Ayerst Environmental Ltd,Fire Extinguishers,Housing Repairs,165,33,198,45086
Ayerst Environmental Ltd,Fire Extinguishers,Housing Repairs,1395,279,1674,45090
Ayerst Environmental Ltd,Landld Rprs Exit Cts,Cap - Housing,1500,300,1800,45021
Ayerst Environmental Ltd,Private Contractors,Housing Repairs,930,186,1116,45019
Ayerst Environmental Ltd,Private Contractors,Housing Repairs,165,33,198,45027
Ayerst Environmental Ltd,Private Contractors,Housing Repairs,600,120,720,45040
Aylward Primary School,Catering,Household Support Grant,2310,0,2310,45065
Aylward Primary School,Grants and Subscript,DSG Dedicated Schools Grant (Dsg),6000,0,6000,45070
Aylward Primary School,Grants and Subscript,Harrow Academies ARMS,29625,0,29625,45103
Aylward Primary School,Private Nurseries,Dsg Nursery Educ Grant 3yrs & 4yrs,52047,0,52047,45089
Aylward Primary School,Private Nurseries,EY SEN Inclusion Fund,1900,0,1900,45091
B&M Hemel LLP,Residential Placemnt,Working Together - Learning Disability,4285.71,0,4285.71,45037
B&M Hemel LLP,Residential Placemnt,Working Together - Learning Disability,4428.57,0,4428.57,45069
B&M Hemel LLP,Residential Placemnt,Working Together - Learning Disability,4285.72,0,4285.72,45100
Back Care Solutions Ltd,Equipment Purchases,Health & Wellbeing,75,15,90,45071
Back Care Solutions Ltd,Equipment Purchases,Health & Wellbeing,800.99,160.2,961.19,45093
Back Care Solutions Ltd,Equipment Purchases,Safeguarding Adults & Quality Assurance,592.99,118.6,711.59,45051
Baked Bean Company,Day Care Payments,Working Together - Learning Disability,561,0,561,45042
Baked Bean Company,Day Care Payments,Working Together - Learning Disability,448.8,0,448.8,45057
Baked Bean Company,Day Care Payments,Working Together - Learning Disability,504.9,0,504.9,45097
Banham Group,Other Professionals,Harrow Arts Centre,800.71,160.14,960.85,45041
Banham Group,Security Costs,Early Support Centre - Hillview Hub,1128,225.6,1353.6,45037
Banham Group,Security Costs,Early Support Centre - Hillview Hub,-256.37,-51.27,-307.64,45048
Banham Group,Security Costs,Elmgrove Children's Centre,-544.04,-108.81,-652.85,45037
Banham Group,Security Costs,Kenmore Children's Centre,139.17,27.83,167,45050
Banham Group,Security Costs,Kenton Learning Centre,2340,468,2808,45048
Banham Group,Security Costs,P-DSG Gange Nursery,-346.72,-69.34,-416.06,45037
Banya Family Placement,Foster Payments,Asylum Client Expenditure,3607.47,0,3607.47,45057
Banya Family Placement,Foster Payments,Asylum Client Expenditure,3491.1,0,3491.1,45063
Barchester Healthcare Homes Ltd,Nursing Care,Long Term Care,4472.7,0,4472.7,45037
Barchester Healthcare Homes Ltd,Nursing Care,Long Term Care,4713.47,0,4713.47,45069
