Organisation,Supplier Name,Reference,Payment Date,Service Area/Capital Project Description,GL Account Description,Amount £ (Ex VAT)
LBHF,Housing 21,2324.4.CPMT.48608,45295,Care and Assessment Services,Social Care - Extra Care,1743.75
LBHF,Housing 21,2324.4.CPMT.48609,45295,Care and Assessment Services,Social Care - Extra Care,1743.75
LBHF,Housing 21,2324.4.CPMT.48610,45295,Care and Assessment Services,Social Care - Extra Care,1395
LBHF,Housing 21,2324.4.CPMT.48611,45295,Care and Assessment Services,Social Care - Extra Care,2272.7
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.4907,45295,Looked After Children & Leaving Care,Cleaning and Domestic Supplies,552
LBHF,Notting Hill Genesis,2324.4.CPMT.5044,45295,Capital - DFG Private Clients,Capital - Contractors - Refurbishment and Restora,4525
LBHF,One-time vendors,2324.4.CPMT.52621,45295,Coroners & Mortuaries,Coroner's Expenses,1075.9
LBHF,One-time vendors,2324.4.CPMT.52622,45295,Coroners & Mortuaries,Coroner's Expenses,895.7
LBHF,Allied Publicity Services Limited,2324.4.CPMT.5483,45295,Benefits,Stationery,580.49
LBHF,Travis Perkins Trading Company Ltd,2324.4.CPMT.5786,45295,Climate Change,"Tools, Furniture, Materials - Materials",3805.78
LBHF,Romulus Fulham Limited,2324.4.CPMT.5869,45295,Civic Campus,Premises Rent,117841.96
LBHF,United Guarding Services Ltd,2324.4.CPMT.6123,45295,Corporate Buildings & Facilities Mgmt,Security Costs including Equipment,857.5
LBHF,United Guarding Services Ltd,2324.4.CPMT.6125,45295,Corporate Buildings & Facilities Mgmt,Security Costs including Equipment,805
LBHF,Harrow Green Limited,2324.4.CPMT.6144,45295,Civic Campus,Facilities Management - Archiving,1682.85
LBHF,Entec Si Limited,2324.4.CPMT.6148,45295,Capital - WKSR - Town Hall Refurbishment,Capital - Contractors - New and Enhancement,1325
LBHF,Polaris Power and Data Ltd,2324.4.CPMT.6807,45295,Civic Campus,Premises Service Charges,843.65
LBHF,Lioness Recruitment Limited,2324.4.CPMT.6982,45295,AD Business Dev,Fees - Management Consultancy,1425
LBHF,Lioness Recruitment Limited,2324.4.CPMT.6983,45295,AD Business Dev,Fees - Management Consultancy,2375
LBHF,Lioness Recruitment Limited,2324.4.CPMT.6984,45295,AD Business Dev,Fees - Management Consultancy,2300
LBHF,Lioness Recruitment Limited,2324.4.CPMT.6985,45295,AD Business Dev,Fees - Management Consultancy,2200
LBHF,Lioness Recruitment Limited,2324.4.CPMT.6986,45295,AD Business Dev,Fees - Management Consultancy,1650
LBHF,Code Enigma Ltd,2324.4.CPMT.7111,45295,ICT Service Towers,"IT Hardware incl Support, Storage and Co",900
LBHF,Code Enigma Ltd,2324.4.CPMT.7114,45295,Communications,"IT Hardware incl Support, Storage and Co",1860
LBHF,ISWP Assessment Services Ltd,2324.4.CPMT.7131,45295,Family Support and Child Protection,Assessment - Other,7127
LBHF,ISWP Assessment Services Ltd,2324.4.CPMT.7132,45295,Family Support and Child Protection,Assessment - Other,7089.5
LBHF,ISWP Assessment Services Ltd,2324.4.CPMT.7133,45295,Family Support and Child Protection,Assessment - Other,5080
LBHF,Access UK Ltd,2324.4.CPMT.7155,45295,Social Care Finance,Payments to Voluntary Bodies,721.63
LBHF,Q House,2324.4.CPMT.7204,45295,SEND and Inclusion,Other Establishments - Unspecified,10498.66
LBHF,Q House,2324.4.CPMT.7205,45295,SEND and Inclusion,Other Establishments - Unspecified,10498.66
LBHF,Portakabin Limited,2324.4.CPMT.7331,45295,Asset Strategy & Portfolio Management,Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,606.68
LBHF,WEST LONDON WASTE AUTHORITY,2324.4.CPMT.7386,45295,Street Environment Services,Other Local Authority Charges - Waste Disposal,518
LBHF,Thames Reach Charity,2324.4.CPMT.7607,45295,Supported Housing,Payments to Private Contractors,91470.75
LBHF,Personal Data - Name Redacted,2324.4.CPMT.7947,45295,Allocations & Lettings (GF),Temporary Accommodation,8928
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.8040,45295,SEND and Inclusion,Early Years,6046
LBHF,Anand Homes Ltd,2324.4.CPMT.8126,45295,Allocations & Lettings (GF),Temporary Accommodation,4743
LBHF,Gravitas Recruitment Group,2324.4.CPMT.8171,45295,AD Business Dev,Fees - Management Consultancy,650
LBHF,MAREGO LIMITED,2324.4.CPMT.8419,45295,Disabled Children's Team,Care Packages,3112.8
LBHF,Empathy Housing Ltd,2324.4.CPMT.8709,45295,Allocations & Lettings (GF),Temporary Accommodation,2945
LBHF,Empathy Housing Ltd,2324.4.CPMT.8710,45295,Allocations & Lettings (GF),Temporary Accommodation,1710
LBHF,Empathy Housing Ltd,2324.4.CPMT.8711,45295,Allocations & Lettings (GF),Temporary Accommodation,2542
LBHF,AtkinsRéalis UK Limited,2324.4.CPMT.8838,45295,Climate Change,Fees - Technical and Professional Consul,6741
LBHF,City of London,2324.4.CPMT.906,45295,Substance Misuse/Offender Health Commiss,Payments to Health Authorities,5500
LBHF,BT Global Services,2324.4.CPMT.97,45295,Civic Campus,"IT Hardware incl Support, Storage and Co",1384.17
LBHF,Hotel/B&B/Decant Accomodation - Location Redacted,2324.4.GPC.5,45295,Allocations & Lettings (GF),Hire of Accommodation and Facilities,597
LBHF,Premier Inn,2324.4.GPC.6,45295,Electoral Services,Hire of Accommodation and Facilities,605
LBHF,Hotel/B&B/Decant Accomodation - Location Redacted,2324.4.GPC.7,45295,Allocation and Lettings,Hire of Accommodation and Facilities,900.42
LBHF,Hotel/B&B/Decant Accomodation - Location Redacted,2324.4.GPC.8,45295,Allocations & Lettings (GF),Hire of Accommodation and Facilities,3261.52
LBHF,BT Global Services,2324.4.CPMT.123,45296,ICT Service Towers,"IT Hardware incl Support, Storage and Co",14031.7
LBHF,Play Association Hammersmith & Fulham,2324.4.CPMT.1706,45296,Disabled Children's Team,Care Packages,693
LBHF,Play Association Hammersmith & Fulham,2324.4.CPMT.1707,45296,Disabled Children's Team,Care Packages,1471.05
LBHF,Play Association Hammersmith & Fulham,2324.4.CPMT.1708,45296,Disabled Children's Team,Care Packages,693
LBHF,Hotel/B&B/Decant Accomodation - Location Redacted,2324.4.CPMT.2506,45296,Allocations & Lettings (GF),Temporary Accommodation,15190
LBHF,Personal Data - Name Redacted,2324.4.CPMT.2837,45296,Education - Assets and Resources,SEN - Primary,3128.4
LBHF,Turning Point Services Ltd,2324.4.CPMT.2896,45296,Sexual Health,Payments to Voluntary Bodies,30500
LBHF,Turning Point Services Ltd,2324.4.CPMT.2899,45296,Substance Misuse/Offender Health Commiss,Fees - General,243750
LBHF,Wsp Uk Ltd,2324.4.CPMT.3336,45296,Capital - S106 King St Civic Campus,Capital - Contractors - New and Enhancement,15080
LBHF,RBKC (Non-Pension Fund),2324.4.CPMT.3418,45296,Fraud,Other Local Authority Charges - S113 Shared Service Charges,7650
LBHF,Citysprint (Uk) Ltd,2324.4.CPMT.3625,45296,Coroners & Mortuaries,Coroner's Expenses,774.69
LBHF,Citysprint (Uk) Ltd,2324.4.CPMT.3626,45296,Coroners & Mortuaries,Coroner's Expenses,531.26
LBHF,Citysprint (Uk) Ltd,2324.4.CPMT.3631,45296,Cultural Services,Payments to Transport Operators,597.59
LBHF,Sands End Health Clinic,2324.4.CPMT.3655,45296,Behaviour Change,Payments to Health Authorities,2875
LBHF,Sands End Health Clinic,2324.4.CPMT.3656,45296,Sexual Health,Payments to Health Authorities,3053.73
LBHF,Personal Data - Name Redacted,2324.4.CPMT.3818,45296,People Operations,Fees - Occupational Therapy Services,3000
LBHF,Novotel,2324.4.CPMT.3849,45296,Head of Resident Involvement,Activities and Events,1250
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.396,45296,SEND and Inclusion,Element 3 - Top-up Funding,3397.26
LBHF,Greatbatch Ltd,2324.4.CPMT.4052,45296,Capital - Mund Street - residential,Capital - Professional Fees - Consultants / Consul,668.3
LBHF,F.M Conway Ltd,2324.4.CPMT.407,45296,Capital - Shepherd´s Bush Common,Capital - Contractors - New and Enhancement,1830.78
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.4078,45296,SEND and Inclusion,Element 3 - Top-up Funding,11485
LBHF,NCER CIC,2324.4.CPMT.4113,45296,Business Intelligence,Fees - Technical and Professional Consul,5680.73
LBHF,F.M Conway Ltd,2324.4.CPMT.449,45296,Capital - King St Pedestrian Improvements,Capital - Contractors - New and Enhancement,6239
LBHF,HCP Staffing Services Ltd,2324.4.CPMT.4517,45296,Disabled Children's Team,Care Packages,712.32
LBHF,British Gas Trading Ltd,2324.4.CPMT.46,45296,Head of Resident Involvement,Energy - Electricity,845.36
LBHF,F.M Conway Ltd,2324.4.CPMT.467,45296,Capital - Hammersmith Bridge Stabilisation,Capital - Contractors - Design and Development,32068.38
LBHF,Gradient Consultants Ltd,2324.4.CPMT.4728,45296,Head of Fire & Asbestos Compliance,Fees - Surveys,2550
LBHF,Red Squirrel Tree Surgery Ltd,2324.4.CPMT.4797,45296,Highways,Planned Repairs & Maintenance - Grounds,10145
LBHF,F.M Conway Ltd,2324.4.CPMT.485,45296,Capital - Greening Schemes,Capital - Contractors - Design and Development,4159.87
LBHF,F.M Conway Ltd,2324.4.CPMT.486,45296,Capital - Greening Schemes,Capital - Contractors - Design and Development,3016
LBHF,Stoneview Maintenance Ltd,2324.4.CPMT.5209,45296,Capital - Misc Estate Works,Capital - Contractors - Refurbishment and Restora,1898.79
LBHF,Stoneview Maintenance Ltd,2324.4.CPMT.5210,45296,Capital - Misc Estate Works,Capital - Contractors - Refurbishment and Restora,4414.02
LBHF,One-time vendors,2324.4.CPMT.52769,45296,Allocations & Lettings (GF),Letting Cost Avoidance Payment,10000
LBHF,One-time vendors,2324.4.CPMT.52770,45296,Allocations & Lettings (GF),Letting Cost Avoidance Payment,10000
LBHF,British Gas Trading Ltd,2324.4.CPMT.53,45296,Head of Resident Involvement,Energy - Gas,716.66
LBHF,FCS LIVE LIMITED,2324.4.CPMT.5444,45296,Corporate Buildings & Facilities Mgmt,Reactive Repairs & Maintenance - Buildings - Plant & Machibery,5185
LBHF,Personal Data - Name Redacted,2324.4.CPMT.5447,45296,Family Support and Child Protection,Assessment - Other,666
LBHF,F.M Conway Ltd,2324.4.CPMT.565,45296,Highways,Fees - Registration and Inspection,2403.4
LBHF,F.M Conway Ltd,2324.4.CPMT.566,45296,Highways,Fees - Registration and Inspection,2762.59
LBHF,F.M Conway Ltd,2324.4.CPMT.567,45296,Highways,Fees - Registration and Inspection,922.03
LBHF,F.M Conway Ltd,2324.4.CPMT.568,45296,Highways,Payments to Private Contractors,6539.17
LBHF,F.M Conway Ltd,2324.4.CPMT.569,45296,Highways,Payments to Private Contractors,20959.09
LBHF,F.M Conway Ltd,2324.4.CPMT.575,45296,Highways,Payments to Private Contractors,18966.99
LBHF,ITS Technology Group Limited,2324.4.CPMT.5893,45296,ICT Service Towers,"IT Hardware incl Support, Storage and Co",2400
LBHF,NORTH SV LIMITED,2324.4.CPMT.6693,45296,Community Safety,Telephony,3575
LBHF,Proudlock Associates Ltd,2324.4.CPMT.6779,45296,Capital - WKSR - Town Hall Refurbishment,Capital - Professional Fees - Consultants / Consul,3120
LBHF,Infinity Care Services Limited,2324.4.CPMT.6909,45296,Disabled Children's Team,Care Packages,1152
LBHF,Infinity Care Services Limited,2324.4.CPMT.6910,45296,Disabled Children's Team,Care Packages,900
LBHF,Infinity Care Services Limited,2324.4.CPMT.6911,45296,Disabled Children's Team,Care Packages,1152
LBHF,Infinity Care Services Limited,2324.4.CPMT.6912,45296,Disabled Children's Team,Care Packages,675.5
LBHF,Infinity Care Services Limited,2324.4.CPMT.6913,45296,Disabled Children's Team,Care Packages,900
LBHF,Kainos Software Limited,2324.4.CPMT.7123,45296,Highways,"IT Software, Licences and Subscriptions",3125
LBHF,Q House,2324.4.CPMT.7206,45296,SEND and Inclusion,Other Establishments - Unspecified,10498.66
LBHF,LMP Action,2324.4.CPMT.7339,45296,School Meals and Travel Care,Activities and Events,125000
LBHF,THE QUEENSMILL TRUST,2324.4.CPMT.7491,45296,Disabled Children's Team,Care Packages,1600
LBHF,Ingka Centres UK Hammersmith B.V.,2324.4.CPMT.7523,45296,Corporate Buildings & Facilities Mgmt,Premises Rent,10000
LBHF,Lifschutz Davidson Sandilands Ltd,2324.4.CPMT.7525,45296,Capital - White City Estate pre-development,Capital - Professional Fees - Consultants / Consul,8000
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.7549,45296,Family Support and Child Protection,Fees - Technical and Professional Consul,737.5
LBHF,Access Independent Ltd,2324.4.CPMT.7974,45296,Benefits,Fees - General,1236
LBHF,V4 Services Ltd,2324.4.CPMT.7982,45296,Public Health Department,Fees - General,4406.25
LBHF,Together for Mental Wellbeing,2324.4.CPMT.8139,45296,Families and Children,Payments to Voluntary Bodies,63743
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.8404,45296,Looked After Children & Leaving Care,Fees - Management and Administration,5804.5
LBHF,D A Languages Limited,2324.4.CPMT.8562,45296,Assistant Director of Family Services,Fees - Interpreters,9309.18
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.8915,45296,SEND and Inclusion,SEN - Primary,4817.2
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.8916,45296,SEND and Inclusion,SEN - Primary,4817.2
LBHF,Hotel/B&B/Decant Accomodation - Location Redacted,2324.4.GPC.9,45296,Allocation and Lettings,Hire of Accommodation and Facilities,815.42
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.12247,45299,Looked After Children & Leaving Care,Private Rented Accommodation,1807.11
LBHF,Hotel/B&B/Decant Accomodation - Location Redacted,2324.4.CPMT.1293,45299,Homelessness Prevention & Assessment (GF,Premises Rent,1612
LBHF,London Cyrenians Housing Ltd,2324.4.CPMT.1689,45299,Ageing Well,Payments to Voluntary Bodies,46791.33
LBHF,Action on Disabilty,2324.4.CPMT.169,45299,Disabled Children's Team,Care Packages,2156.92
LBHF,Carers Network Westminster Ltd,2324.4.CPMT.1932,45299,Ageing Well,Payments to Voluntary Bodies,15900.75
LBHF,Graceful Care Ltd,2324.4.CPMT.23951,45299,Care and Assessment Services,Home Care,1342.88
LBHF,Graceful Care Ltd,2324.4.CPMT.23952,45299,Care and Assessment Services,Home Care,844.41
LBHF,Graceful Care Ltd,2324.4.CPMT.23956,45299,Care and Assessment Services,Home Care,1147.8
LBHF,Graceful Care Ltd,2324.4.CPMT.23957,45299,Care and Assessment Services,Home Care,1147.8
LBHF,Graceful Care Ltd,2324.4.CPMT.23958,45299,Care and Assessment Services,Home Care,671.72
LBHF,Graceful Care Ltd,2324.4.CPMT.23960,45299,Care and Assessment Services,Home Care,984.5
LBHF,Graceful Care Ltd,2324.4.CPMT.23961,45299,Care and Assessment Services,Home Care,738.34
LBHF,Graceful Care Ltd,2324.4.CPMT.23964,45299,Care and Assessment Services,Home Care,642.54
LBHF,Graceful Care Ltd,2324.4.CPMT.23966,45299,Care and Assessment Services,Home Care,1182.82
LBHF,Graceful Care Ltd,2324.4.CPMT.23967,45299,Care and Assessment Services,Home Care,1182.82
LBHF,Graceful Care Ltd,2324.4.CPMT.23968,45299,Care and Assessment Services,Home Care,795.01
LBHF,Graceful Care Ltd,2324.4.CPMT.23969,45299,Care and Assessment Services,Home Care,888.04
LBHF,Graceful Care Ltd,2324.4.CPMT.23971,45299,Care and Assessment Services,Home Care,618.16
LBHF,Graceful Care Ltd,2324.4.CPMT.23973,45299,Care and Assessment Services,Home Care,1006.81
LBHF,Graceful Care Ltd,2324.4.CPMT.23978,45299,Care and Assessment Services,Home Care,537.04
LBHF,Graceful Care Ltd,2324.4.CPMT.23982,45299,Care and Assessment Services,Home Care,1611.12
LBHF,Graceful Care Ltd,2324.4.CPMT.23983,45299,Care and Assessment Services,Home Care,1611.12
LBHF,Graceful Care Ltd,2324.4.CPMT.23986,45299,Care and Assessment Services,Home Care,612.01
LBHF,Graceful Care Ltd,2324.4.CPMT.23989,45299,Care and Assessment Services,Home Care,1965.55
LBHF,Graceful Care Ltd,2324.4.CPMT.25182,45299,Mental Health Services,Home Care,808.7
LBHF,Trustmarque Solutions Ltd,2324.4.CPMT.2625,45299,Digital Projects,"IT Software, Licences and Subscriptions",4182
LBHF,Bevan Brittan Llp,2324.4.CPMT.2682,45299,Capital - Hammersmith Bridge Maintenance,Capital - Legal Fees,35592.15
LBHF,Dunne & Dusted Ltd,2324.4.CPMT.27018,45299,Allocations & Lettings (GF),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,900
LBHF,BBFI CIC,2324.4.CPMT.2969,45299,Parking,Fees - Management and Administration,8619
LBHF,Posturite (Uk) Ltd,2324.4.CPMT.298,45299,Parking PCN's,"Tools, Furniture, Materials - Furniture",788.72
LBHF,Core Projects Ltd,2324.4.CPMT.3005,45299,Asset Strategy & Portfolio Management,Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,7597.35
LBHF,E4Law Ltd T/A Lextox,2324.4.CPMT.3709,45299,Family Support and Child Protection,Assessment - Other,748.5
LBHF,Wheel Get You There Ltd,2324.4.CPMT.3777,45299,Learning Disability Services,Payments to Transport Operators,720
LBHF,Wheel Get You There Ltd,2324.4.CPMT.3780,45299,Education - Assets and Resources,Payments to Transport Operators,1170
LBHF,Wheel Get You There Ltd,2324.4.CPMT.3783,45299,Disabled Children's Team,Payments to Transport Operators,1215
LBHF,Dotmailer Ltd,2324.4.CPMT.3811,45299,Communications,Postage and Delivery,700
LBHF,Stoneview Maintenance Ltd,2324.4.CPMT.38141,45299,Allocations & Lettings (GF),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,890.22
LBHF,Stoneview Maintenance Ltd,2324.4.CPMT.38151,45299,Allocations & Lettings (GF),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1108.11
LBHF,Stoneview Maintenance Ltd,2324.4.CPMT.38152,45299,Allocations & Lettings (GF),Reactive Repairs & Maintenance - Buildings - Repairs & Maintenance,1318.08
LBHF,Personal Data - Name Redacted,2324.4.CPMT.4276,45299,Behaviour Change,Payments to Health Authorities,2150
LBHF,Gowling WLG (UK) LLP,2324.4.CPMT.4285,45299,Civic Campus,Legal Costs,10942.9
LBHF,Tersus Consultancy Limited,2324.4.CPMT.43262,45299,Head of Fire & Asbestos Compliance,Planned Repairs & Maintenance - Buildings - Repairs & Maintenance,524.5
LBHF,Idverde Ltd,2324.4.CPMT.4389,45299,Capital - North Neighbourhood Investment Fund,Capital - Contractors - Refurbishment and Restora,23000
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44231,45299,Allocations & Lettings (GF),Temporary Accommodation,3064.1
LBHF,Personal Data - Name Redacted,2324.4.CPMT.44234,45299,Allocations & Lettings (GF),Letting Cost Avoidance Payment,3500
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.45848,45299,Looked After Children & Leaving Care,Semi Independent Accomodation,5970.2
LBHF,Prepaid Financial Services Ltd,2324.4.CPMT.4661,45299,Disabled Children's Team,Other Establishments - Unspecified,770
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.46833,45299,Looked After Children & Leaving Care,Semi Independent Accomodation,5704
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.48756,45299,Looked After Children & Leaving Care,Semi Independent Accomodation,4650
LBHF,Andrew Pridell Associates Ltd,2324.4.CPMT.5151,45299,Major Works & Homebuy,Fees - Surveys,1000
LBHF,One-time vendors,2324.4.CPMT.52710,45299,Economic Development,Activities and Events,691
LBHF,One-time vendors,2324.4.CPMT.52721,45299,Supported Housing,Letting Cost Avoidance Payment,1100
LBHF,One-time vendors,2324.4.CPMT.52771,45299,Allocations & Lettings (GF),Letting Cost Avoidance Payment,9900
LBHF,Apollo Home Healthcare Ltd,2324.4.CPMT.5768,45299,Disabled Children's Team,Care Packages,2006.21
