Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Contractor/ Staff Substitution,Global & Public Health,IMPLEMENTAL WORLDWIDE C.I.C.,IMPL-10000291,29907.6,The Office for Health Improvement & Disparities (OHID) has c,B3 1RL,Small,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2024,Other programme expenditure,Global & Public Health,ALLPAY LIMITED,Jan 24 Draw,5995201.98,Healthy Start Beneficiaries Pre-Paid Card Payments 23/24,HR1 3SE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2024,Other programme expenditure,Global & Public Health,ALLPAY LIMITED,Jan 24 Draw,1825027.11,Healthy Start Beneficiaries Pre-Paid Card Payments 23/24,HR1 3SE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2024,Legal Settlements and Claimants Costs,Global & Public Health,GOVERNMENT LEGAL DEPARTMENT CLIENT MONIES,Z2004231-R1,165000,Z2004231-R1,SW1H 9GL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Storage costs,Global & Public Health,KUEHNE AND NAGEL LTD,GB14227233,76801.95,Kuehne + Nagel (1 Nov 2023 -31 Mar 2026),UB11 1FG,Large,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Storage costs,Global & Public Health,ALLOGA UK LTD,SIN200093027,76477.87,Lot 1 Primary Care Storage and Distribution,DE55 2FH,Large,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,WORCESTERSHIRE COUNTY COUNCIL,06122023FS1149GD6550,8059040.25,GD6550 - Public Health Grant 2023-24 Qtr 4-E1821X-WORCESTERSHIRE COUNTY COUNCIL,WR5 2NP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,WOLVERHAMPTON CITY COUNCIL,06122023FS1149GD6550,5615735,GD6550 - Public Health Grant 2023-24 Qtr 4-E4607X-WOLVERHAMPTON CITY COUNCIL,WV1 1RG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,WOKINGHAM COUNCIL,06122023FS1149GD6550,1468807.25,GD6550 - Public Health Grant 2023-24 Qtr 4-E0306X-WOKINGHAM COUNCIL,RG40 1WJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,WIRRAL METROPOLITAN BOROUGH COUNCIL,06122023FS1149GD6550,7999815.5,GD6550 - Public Health Grant 2023-24 Qtr 4-E4305X-WIRRAL METROPOLITAN BOROUGH COUNCIL,CH27 9FQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,WINDSOR AND MAIDENHEAD ROYAL BOROUGH OF,06122023FS1149GD6550,1282212.25,GD6550 - Public Health Grant 2023-24 Qtr 4-E0305X-WINDSOR AND MAIDENHEAD ROYAL BOROUGH OF,SL6 1RF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,WILTSHIRE COUNTY COUNCIL,13122023FS1527GD6550,115812,GD6550 - Public Health Grant 2023-24 Qtr 4 Uplift-E3902X-WILTSHIRE COUNTY COUNCIL,BA14 8JN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,WILTSHIRE COUNTY COUNCIL,06122023FS1149GD6550,4650565.25,GD6550 - Public Health Grant 2023-24 Qtr 4-E3902X-WILTSHIRE COUNTY COUNCIL,BA14 8JN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,WESTMORLAND AND FURNESS UA,06122023FS1149GD6550,1998786.5,GD6550 - Public Health Grant 2023-24 Qtr 4-E0902X-Westmorland and Furness Council,LA9 4DQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,WESTMINSTER CITY COUNCIL,06122023FS1149GD6550,8602560.75,GD6550 - Public Health Grant 2023-24 Qtr 4-E5022X-WESTMINSTER CITY COUNCIL,WC2N 6NU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,WEST SUSSEX COUNTY COUNCIL,06122023FS1149GD6550,9356626.5,GD6550 - Public Health Grant 2023-24 Qtr 4-E3820X-WEST SUSSEX COUNTY COUNCIL,PO19 1RG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,WEST NORTHAMPTONSHIRE COUNCIL,06122023FS1149GD6550,4932611.25,GD6550 - Public Health Grant 2023-24 Qtr 4-E2802X-WEST NORTHAMPTONSHIRE,CB3 0AP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,WEST BERKSHIRE COUNCIL,06122023FS1149GD6550,1585855,GD6550 - Public Health Grant 2023-24 Qtr 4-E0302X-WEST BERKSHIRE COUNCIL,RG14 5LD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,WARWICKSHIRE COUNTY COUNCIL,06122023FS1149GD6550,6266464,GD6550 - Public Health Grant 2023-24 Qtr 4-E3720X-WARWICKSHIRE COUNTY COUNCIL,CV34 4RH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,WARRINGTON BOROUGH COUNCIL,06122023FS1149GD6550,3330733,GD6550 - Public Health Grant 2023-24 Qtr 4-E0602X-WARRINGTON BOROUGH COUNCIL,WA1 1BN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,WANDSWORTH LONDON BOROUGH COUNCIL,06122023FS1149GD6550,7592835.75,GD6550 - Public Health Grant 2023-24 Qtr 4-E5021X-WANDSWORTH LONDON BOROUGH COUNCIL,SW18 2PU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,WALTHAM FOREST LONDON BOROUGH COUNCIL,06122023FS1149GD6550,4389108.25,GD6550 - Public Health Grant 2023-24 Qtr 4-E5049X-WALTHAM FOREST LONDON BOROUGH COUNCIL,E17 4JF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,WALSALL METROPOLITAN BOROUGH COUNCIL,06122023FS1149GD6550,4829304.75,GD6550 - Public Health Grant 2023-24 Qtr 4-E4606X-WALSALL METROPOLITAN BOROUGH COUNCIL,WS1 1RG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,WAKEFIELD METROPOLITAN DISTRICT COUNCIL,06122023FS1149GD6550,6578904.5,GD6550 - Public Health Grant 2023-24 Qtr 4-E4705X-WAKEFIELD METROPOLITAN DISTRICT COUNCIL,WF1 9AJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,TOWER HAMLETS LONDON BOROUGH COUNCIL,06122023FS1149GD6550,9647653.5,GD6550 - Public Health Grant 2023-24 Qtr 4-E5020X-TOWER HAMLETS LONDON BOROUGH COUNCIL,E2 0HQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,TORBAY COUNCIL,06122023FS1149GD6550,2603352.5,GD6550 - Public Health Grant 2023-24 Qtr 4-E1102X-TORBAY COUNCIL,TQ1 3DR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,THURROCK BOROUGH COUNCIL,06122023FS1149GD6550,3074919.75,GD6550 - Public Health Grant 2023-24 Qtr 4-E1502X-THURROCK BOROUGH COUNCIL,RM17 0LT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,THE LONDON BOROUGH OF RICHMOND UPON THAMES,06122023FS1149GD6550,2548945,GD6550 - Public Health Grant 2023-24 Qtr 4-E5047X-RICHMOND UPON THAMES BOROUGH COUNCIL,TW1 3BZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,TELFORD AND WREKIN BOROUGH OF,06122023FS1149GD6550,3399412,GD6550 - Public Health Grant 2023-24 Qtr 4-E3201X-TELFORD AND WREKIN BOROUGH OF,TF3 4LF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,SWINDON BOROUGH COUNCIL,06122023FS1149GD6550,2734372.25,GD6550 - Public Health Grant 2023-24 Qtr 4-E3901X-SWINDON BOROUGH COUNCIL,SN1 2JH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,SUTTON LONDON BOROUGH COUNCIL,06122023FS1149GD6550,2704475.75,GD6550 - Public Health Grant 2023-24 Qtr 4-E5048X-SUTTON LONDON BOROUGH COUNCIL,SM1 1EA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,SURREY COUNTY COUNCIL,06122023FS1149GD6550,10232469,GD6550 - Public Health Grant 2023-24 Qtr 4-E3620X-SURREY COUNTY COUNCIL,KT1 2DN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,SUNDERLAND CITY METROPOLITAN BOROUGH COUNCIL,06122023FS1149GD6550,6494413,GD6550 - Public Health Grant 2023-24 Qtr 4-E4505X-SUNDERLAND CITY METROPOLITAN BOROUGH COUNCIL,SR2 7DN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,SUFFOLK COUNTY COUNCIL,06122023FS1149GD6550,8175764.25,GD6550 - Public Health Grant 2023-24 Qtr 4-E3520X-SUFFOLK COUNTY COUNCIL,IP1 2DH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,STOKE ON TRENT CITY COUNCIL,06122023FS1149GD6550,6107374.75,GD6550 - Public Health Grant 2023-24 Qtr 4-E3401X-STOKE ON TRENT CITY COUNCIL,ST4 4TS,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,STOCKTON ON TEES BOROUGH COUNCIL,06122023FS1149GD6550,3834119.75,GD6550 - Public Health Grant 2023-24 Qtr 4-E0704X-STOCKTON ON TEES BOROUGH COUNCIL,TS23 2YD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,STAFFORDSHIRE COUNTY COUNCIL,06122023FS1149GD6550,10646528.75,GD6550 - Public Health Grant 2023-24 Qtr 4-E3421X-STAFFORDSHIRE COUNTY COUNCIL,ST16 2NF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,ST HELENS METROPOLITAN BOROUGH COUNCIL,06122023FS1149GD6550,3889126.75,GD6550 - Public Health Grant 2023-24 Qtr 4-E4303X-ST HELENS METROPOLITAN BOROUGH COUNCIL,WA10 1HP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,SOUTHWARK LONDON BOROUGH COUNCIL,06122023FS1149GD6550,7616623.75,GD6550 - Public Health Grant 2023-24 Qtr 4-E5019X-SOUTHWARK LONDON BOROUGH COUNCIL,SE1 2QH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,SOUTHEND-ON-SEA CITY COUNCIL,06122023FS1149GD6550,2600345,GD6550 - Public Health Grant 2023-24 Qtr 4-E1501X-SOUTHEND ON SEA BOROUGH COUNCIL,SS2 6ER,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,SOUTHAMPTON CITY COUNCIL,06122023FS1149GD6550,4614848,GD6550 - Public Health Grant 2023-24 Qtr 4-E1702X-SOUTHAMPTON CITY COUNCIL,SO15 1GX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,SOUTH TYNESIDE COUNCIL,06122023FS1149GD6550,3663098.5,GD6550 - Public Health Grant 2023-24 Qtr 4-E4504X-SOUTH TYNESIDE COUNCIL,NE33 2RL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,SOUTH GLOUCESTERSHIRE COUNCIL,13122023FS1527GD6550,57200,GD6550 - Public Health Grant 2023-24 Qtr 4 Uplift-E0103X-SOUTH GLOUCESTERSHIRE COUNCIL,BS15 9TR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,SOUTH GLOUCESTERSHIRE COUNCIL,06122023FS1149GD6550,2536352.75,GD6550 - Public Health Grant 2023-24 Qtr 4-E0103X-SOUTH GLOUCESTERSHIRE COUNCIL,BS15 9TR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,SOMERSET COUNTY COUNCIL,06122023FS1149GD6550,5648786.25,GD6550 - Public Health Grant 2023-24 Qtr 4-E3320X-SOMERSET COUNCIL,TA1 4DY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,SOLIHULL METROPOLITAN BOROUGH COUNCIL,06122023FS1149GD6550,3053614.5,GD6550 - Public Health Grant 2023-24 Qtr 4-E4605X-SOLIHULL METROPOLITAN BOROUGH COUNCIL,B91 9GN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Grants to local authorities,Global & Public Health,SLOUGH BOROUGH COUNCIL,06122023FS1149GD6550,2026745.5,GD6550 - Public Health Grant 2023-24 Qtr 4-E0304X-SLOUGH BOROUGH COUNCIL,SL1 3UF,Govn,,,
