Transparency Report March 2024,,,,,
Date,Supplier,Dept,CC Description,Ledger Code,Value £
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£380.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£550.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£650.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£550.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£580.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£450.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£460.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£250.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£290.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£300.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£300.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£500.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£785.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£320.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£450.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£550.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£400.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£427.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£550.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£320.00
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Repairs - Aldenham,Sub-Contractors,£255.00
