Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation,Service Division Categorisation,Expense Type
Milton Keynes City Council,15-Jul-24,51501123325,£552.00,Ragdoll Training and Therapeutic Services Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,15-Jul-24,51501123329,£552.00,Ragdoll Training and Therapeutic Services Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,15-Jul-24,51501123324,£552.00,Ragdoll Training and Therapeutic Services Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,15-Jul-24,51501123334,£552.00,Ragdoll Training and Therapeutic Services Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,15-Jul-24,51501123332,£552.00,Ragdoll Training and Therapeutic Services Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,15-Jul-24,51501123321,£552.00,Ragdoll Training and Therapeutic Services Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,15-Jul-24,51501123327,£552.00,Ragdoll Training and Therapeutic Services Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,15-Jul-24,51501119914,£560.28,Normans (Burton upon Trent) Ltd,Children's Services,Education Outcome Service,Educational equipment
Milton Keynes City Council,15-Jul-24,51501119770,£565.92,Teaching Personnel Ltd,Children's Services,Education Outcome Service,Professional Fees and Hired Services
Milton Keynes City Council,15-Jul-24,51501119894,£590.12,CCS Media Limited,Finance & Resources - Services,ICT,Computer hardware - purchase
Milton Keynes City Council,15-Jul-24,51501116878,£600.00,St Albans Chambers,Law & Governance,Legal,Consultancy
Milton Keynes City Council,15-Jul-24,51501119934,£600.36,Eastern Shires Purchasing Organisation,Children's Services,Corporate Parenting,Specialist Supplies and Materials
Milton Keynes City Council,15-Jul-24,51501128962,£654.28,BW Foods Ltd T/a Wiltshire Farm Foods,Adult Services,Supported Housing for Older People,Catering Provisions
Milton Keynes City Council,15-Jul-24,51501128946,£659.93,Euclid Limited,Environment & Property,Assistant Director Highways and Transport,Subscriptions
Milton Keynes City Council,15-Jul-24,51501123336,£690.00,Ragdoll Training and Therapeutic Services Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,15-Jul-24,51501123331,£690.00,Ragdoll Training and Therapeutic Services Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,15-Jul-24,51501123328,£690.00,Ragdoll Training and Therapeutic Services Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,15-Jul-24,51501123335,£690.00,Ragdoll Training and Therapeutic Services Ltd,Children's Services,Corporate Parenting,Professional Fees and Hired Services
Milton Keynes City Council,15-Jul-24,51501128966,£706.24,BW Foods Ltd T/a Wiltshire Farm Foods,Adult Services,Supported Housing for Older People,Catering Provisions
Milton Keynes City Council,15-Jul-24,51501122746,£708.00,Chartered Institute of Internal Auditors,Finance & Resources - Services,Internal Audit,Staff Training & Development
Milton Keynes City Council,15-Jul-24,51501124013,£751.33,Luton Borough Council,Children's Services,Corporate Parenting,Residential Care
Milton Keynes City Council,15-Jul-24,51501119946,£758.10,Greensands Medical Practice,Public Health,NHS Health Check Programme,Professional Fees and Hired Services
Milton Keynes City Council,15-Jul-24,51501129734,£768.00,Ward Andrews Ltd,Children's Services,Assistant Director - Children and Families,Professional Fees and Hired Services
