Portfolio,Directorate,Division,Service Area,Type of Expenditure,Payee,Payment Date,Amount (£)
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Fast Hire UK Ltd,45352,844.79
Place,Economy,Economy,Facilities Management,Operational Materials,Rhodes & Sons Construction Ltd,45300,844.34
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Aggregates Industries UK Ltd (Bardon Aggregates),45363,844.07
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Lisa Houghton,45362,843.75
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Maintenance Agreements,Info Technology Supply Ltd,45362,842.4
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Fast Hire UK Ltd,45351,842.26
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Galleries Exhibition Costs,Bespoke Scientific Limited,45350,841.65
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Corlett Electrical Engineering Co (1981) Ltd,45372,841.57
Corporate Services,Corporate Services,Finance,Audit,Refuse Collection,Shred Station Ltd,45314,841.5
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Premier Compliance UK Ltd,45299,840
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Training Expenses,Back Care Solutions Ltd,45343,840
People,Children´s Services,"Education, Skills & Early Years",Community / Adult Learning,Services - Professional Fees,Appledore Private Day Nursery Ltd,45335,840
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Anita Claxton,45366,840
Place,Economy,Economy,Property Management,General Provision - Repairs & Maintenance,Optima Building Solutions Ltd,45309,840
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Services - Professional Fees,Pennine Social Care Ltd,45358,840
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Ellie Whiteside-Hunt,45336,840
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Agency Staff,Carl Thomas,45320,840
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Medlock Day Nursery Ltd,45377,839.85
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Aggregates Industries UK Ltd (Bardon Aggregates),45370,838.91
Place,Economy,Economy,Property Management,General Provision - Repairs & Maintenance,Bespoke Refrigeration and Air Conditioning Ltd,45331,838.68
Place,Economy,Economy,Facilities Management,Catering - Food,Dunsters Farm Ltd,45330,838.16
People,Children´s Services,"Education, Skills & Early Years",Community / Adult Learning,Services - Professional Fees,Shooting Stars Nursery TA The Daycare Ltd,45348,836
Place,Environmental Services,Environmental Services,Fleet Management,Hire Of Other Vehicles,Enterprise Rent-A-Car UK Ltd t/a Enterprise Flex-E-Rent Ltd,45316,835.8
Place,Environmental Services,Environmental Services,Fleet Management,Hire Of Other Vehicles,Enterprise Rent-A-Car UK Ltd t/a Enterprise Flex-E-Rent Ltd,45364,835.8
Place,Youth & Communities,Community Services,Stronger Communities,Asylum Seekers,First Choice Homes Ltd (FCHO),45366,835.63
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,E Smith & Son,45303,835.55
Place,Environmental Services,Environmental Services,Highways,Publicity And Marketing,Reach Publishing Services Limited,45376,835.2
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Fireproof Fire Engineering Ltd,45345,835
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Operational Materials,New Image (Public Relations) Ltd,45300,835
Place,Environmental Services,Environmental Services,Environmental Management,Services - Payments To Contractors,HLC Countryside & Garden,45378,835
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Hansen Psychological Consultancy & Associates Ltd,45337,832.9
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45316,832.63
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Olivia Edwards,45362,830
Corporate Services,Corporate Services,HR & Organisational Development,HR Strategy,Training Expenses,Sheffield Hallam University,45365,830
People,Children´s Services,Children´s Social Care,Children in Care,CWD Community Independent Care,Pennine Social Care Ltd,45364,828
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Payments to Academies - Schools only,E-ACT Royton & Crompton Academy,45303,828
Corporate Services,Corporate Services,"Customer, Digital and Transformation",Customer Services,Agency Staff,Robert Walters,45344,827.6
Corporate Services,Corporate Services,Finance,Revenues and Benefits,Agency Staff,Badenoch and Clarke Ltd t/a Adecco,45323,827.52
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,Krafty Kids Oldham Ltd,45337,826.3
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,Sunny Smiles Day Nursery,45337,826.3
Place,Economy,Economy,Estates,Gas,Total Gas & Power Ltd,45329,826.12
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Brabners LLP t/a Brabners Chaffe Street Solicitors,45349,826
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45295,825.92
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45323,825.92
Corporate Services,Corporate Services,Finance,Revenues and Benefits,Comms - Postages,Financial Data Management,45300,825.68
Place,Economy,Economy,Property Management,General Provision - Repairs & Maintenance,E Smith & Son,45329,825.16
Place,Environmental Services,Environmental Services,Environmental Management,Operational Materials,Mechplant North West Ltd,45348,825
Place,Environmental Services,Environmental Services,Environmental Management,Operational Materials,John Winterburn Agricultural Contractor,45365,825
Place,Environmental Services,Environmental Services,Public Protection,Operational Materials,PeopleScout Limited,45314,825
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Out Of Borough Education,Whitworth Community High School,45369,825
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,North Chadderton School,45322,825
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Agency Staff,Nina Semertzidou,45371,825
Place,Economy,Economy,Estates,Operational Materials,Crown Workspace Limited,45322,825
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,JLA HVAC Ltd,45330,824.91
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45348,824.17
Place,Economy,Economy,Facilities Management,Catering - Food,Dunsters Farm Ltd,45369,822.25
People,Children´s Services,Children´s Social Care,Children in Care,Semi - Independent Unit,Stepping Stones Project,45329,821.7
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Retained DSG,St Hughs CE Primary School,45377,821.7
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Consumables,Sudlows Enterprise Services Ltd,45330,821.31
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45348,820.4
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Hansen Psychological Consultancy & Associates Ltd,45337,819
Place,Environmental Services,Environmental Services,Highways,Hired Moveable Plant,Rowan Ashworth Ltd,45330,816
Place,Economy,Economy,Facilities Management,Catering - Food,Dunsters Farm Ltd,45337,815.93
Place,Economy,Economy,Facilities Management,Catering - Food,Dunsters Farm Ltd,45322,815.43
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,TXM Healthcare Limited,45310,815
Place,Environmental Services,Environmental Services,Fleet Management,Hire Of Other Vehicles,Enterprise Rent-A-Car UK Ltd t/a Enterprise Flex-E-Rent Ltd,45316,814.8
Place,Environmental Services,Environmental Services,Fleet Management,Hire Of Other Vehicles,Enterprise Rent-A-Car UK Ltd t/a Enterprise Flex-E-Rent Ltd,45364,814.8
People,Children´s Services,Schools,Schools,Additional grant for Schools,Oasis Academy Clarksfield,45376,814.63
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45329,813.59
People,Children´s Services,"Education, Skills & Early Years",Community / Adult Learning,Examination Expenses,Ascentis,45350,813
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Assistance To Families Grants,PERSONAL DETAILS REDACTED,45296,811.72
Corporate Services,Corporate Services,Finance,Revenues and Benefits,Comms - Postages,Financial Data Management,45308,810.93
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45323,810.13
Place,Environmental Services,Environmental Services,Environmental Management,Operational Materials,GBR Wholesale Flowers Ltd,45331,810
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Suzanne H Bowden,45363,808.63
Place,Strategic Highways,Capital - Transport,Capital - Trans - Highway Major Works/Drainage schemes,Construction - Main Contractor,Keywest Partnership Ltd,45364,808.5
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45320,807.36
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Fast Hire UK Ltd,45343,805.64
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Fast Hire UK Ltd,45343,805.64
Corporate Services,Corporate Services,"Customer, Digital and Transformation",Customer Services,Services - Professional Fees,APS Group,45378,805.13
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Advanced Child Care Assessments Ltd,45306,805
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Galleries Exhibition Costs,Jed Atkinson,45371,805
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Aggregates Industries UK Ltd (Bardon Aggregates),45301,804.91
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Services - Professional Fees,Pennine Social Care Ltd,45373,802.5
Place,Economy,Economy,Estates,Maintenance Contracts,Puretech UK Ltd,45373,802
Place,Economy,Economy,Facilities Management,Catering - Food,Dunsters Farm Ltd,45300,801.54
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Publications,Askews & Holts Library Services Ltd,45307,801.49
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45302,801.35
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45302,801.35
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45330,801.35
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45330,801.35
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45358,801.35
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45358,801.35
People,Children´s Services,Children´s Social Care,Children in Care,CWD Community Independent Care,Pennine Social Care Ltd,45322,801.32
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Forensic Testing Service LTD,45334,800.73
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Limb to Limb Tree Services Ltd,45379,800
Place,Youth & Communities,Community Services,Community Safety,Services - Professional Fees,New Image (Public Relations) Ltd,45338,800
Place,Environmental Services,Environmental Services,Fleet Management,Hire Of Other Vehicles,Leeds Commercial Ltd t/a L C Vehicle Hire Ltd,45310,800
Place,Environmental Services,Environmental Services,Fleet Management,Hire Of Other Vehicles,Leeds Commercial Ltd t/a L C Vehicle Hire Ltd,45310,800
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Rowan Ashworth Ltd,45300,800
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Operational Materials,Oldham Band Lees,45294,800
Place,Environmental Services,Environmental Services,Environmental Management,Operational Materials,John Winterburn Agricultural Contractor,45356,800
People,Children´s Services,Children´s Social Care,Children in Care,CWD Community Independent Care,Pennine Social Care Ltd,45322,800
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Kate Henthorn,45322,800
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Kate Henthorn,45336,800
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Services - Professional Fees,Hannah Murray,45369,800
Corporate Services,Corporate Services,"Customer, Digital and Transformation",Customer Services,Services - Professional Fees,Age UK Oldham,45327,800
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,The Morton Partnership Ltd,45334,800
People,Children´s Services,Children´s Social Care,Childrens Safeguarding,Training Expenses,Royal Borough of Kensington and Chelsea,45314,800
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Temperley Taylor LLP,45352,800
People,Children´s Services,Children´s Social Care,Children in Care,Occupational Therapy Service,Dragon Occupational Therapy Ltd,45299,800
People,Children´s Services,Children´s Social Care,Children in Care,Occupational Therapy Service,Dragon Occupational Therapy Ltd,45299,800
People,Children´s Services,Children´s Social Care,Children in Care,Occupational Therapy Service,Dragon Occupational Therapy Ltd,45299,800
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Shabana Bi,45337,800
Place,Environmental Services,Environmental Services,Public Protection,Services - Payments To Contractors,Cornerstone Leisure Ltd,45322,800
People,Children´s Services,"Education, Skills & Early Years",Learning Services,Services - Professional Fees,Little Saplings Before and After School Club,45355,800
People,Children´s Services,Children´s Social Care,Children in Care,Interpreter/Translation Services,D A Languages Ltd,45344,799.9
Place,Environmental Services,Environmental Services,Fleet Management,Operational Materials,MRB Workshop Services Ltd,45328,799.9
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,General Provision - Repairs & Maintenance,E Smith & Son,45330,799.62
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,Oasis Academy Clarksfield,45303,799.6
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Home Tuition,Academy21 Ltd,45376,799
Place,Economy,Economy,Estates,Maintenance Contracts,Corlett Electrical Engineering Co (1981) Ltd,45335,798.84
Place,Youth & Communities,Community Services,District Partnerships,Grants,Protec Security Group Limited (NW) Ltd,45329,798.75
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,SWIIS International Ltd,45300,798.28
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,SWIIS International Ltd,45306,798.28
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,SWIIS International Ltd,45313,798.28
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,SWIIS International Ltd,45320,798.28
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,SWIIS International Ltd,45322,798.28
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,SWIIS International Ltd,45328,798.28
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,SWIIS International Ltd,45331,798.28
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,SWIIS International Ltd,45336,798.28
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,SWIIS International Ltd,45345,798.28
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,SWIIS International Ltd,45355,798.28
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,SWIIS International Ltd,45358,798.28
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,SWIIS International Ltd,45364,798.28
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,SWIIS International Ltd,45371,798.28
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,SWIIS International Ltd,45373,798.28
People,Children´s Services,Children´s Social Care,Children in Care,Childrens Independent Foster Agency,SWIIS International Ltd,45377,798.28
Place,Economy,Economy,Property Management,General Provision - Repairs & Maintenance,Corlett Electrical Engineering Co (1981) Ltd,45320,797.55
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Weightmans LLP,45327,797.5
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,TXM Healthcare Limited,45300,797.5
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Pickering Psychology Services Ltd,45317,797.23
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Pickering Psychology Services Ltd,45317,797.23
Corporate Services,Corporate Services,Finance,Revenues and Benefits,Comms - Postages,Financial Data Management,45300,797.19
Place,Environmental Services,Environmental Services,Highways,Publicity And Marketing,Reach Publishing Services Limited,45329,796.71
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,Bleep 360 Care Limited,45376,796.05
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Waterman Aspen Ltd,45299,796
Place,Environmental Services,Environmental Services,Fleet Management,Vehicle Maintenance - Contract,Contel Ltd,45334,796
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Alliance Disposables Ltd,45300,795.25
Place,Economy,Economy,Property Management,General Provision - Repairs & Maintenance,Walker Fire (UK) Ltd,45294,795
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Walker Fire (UK) Ltd,45309,795
Place,Environmental Services,Environmental Services,Environmental Management,Operational Materials,Ash Timber,45344,795
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Damian Broadbent,45358,795
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Hire Of Other Vehicles,Crelling Harnesses For Disabled,45352,793.5
Place,Economy,Economy,Facilities Management,Catering - Food,Dunsters Farm Ltd,45307,792.36
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Securitas Technology Ltd,45355,792
Place,"Economic Development, Enterprise and Skills",Capital - Boroughwide,Capital - Boroughwide Developments,Fees - Agency,Weightmans LLP,45358,792
Place,Youth & Communities,Youth Services Client,Youth Services Client,Educational Curriculum Equipment,Hirst Footwear Limited,45377,788.91
Place,Environmental Services,Environmental Services,Fleet Management,Hire Of Other Vehicles,Enterprise Rent-A-Car UK Ltd t/a Enterprise Flex-E-Rent Ltd,45316,787.5
Place,Environmental Services,Environmental Services,Fleet Management,Hire Of Other Vehicles,Enterprise Rent-A-Car UK Ltd t/a Enterprise Flex-E-Rent Ltd,45364,787.5
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45342,787.5
Place,Economy,Economy,Facilities Management,Catering - Food,Dunsters Farm Ltd,45369,787.06
Corporate Services,Corporate Services,Finance,Revenues and Benefits,Agency Staff,Meritec Limited,45377,786.6
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Services - Professional Fees,TNP Ltd,45307,785
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Services - Professional Fees,TNP Ltd,45324,785
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Comms - Mobile Telephones,Insight Direct (UK) Ltd,45345,784.95
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Interpreter/Translation Services,D A Languages Ltd,45327,782.57
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,TXM Healthcare Limited,45300,782.5
Place,Economy,Economy,Property Management,General Provision - Repairs & Maintenance,JLA HVAC Ltd,45342,780.33
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Galleries Exhibition Costs,Pro-Service Group Ltd,45366,780
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,St. Mary’s Medical Centre,45323,780
People,Children´s Services,"Education, Skills & Early Years",SEND Services,Services - Professional Fees,Independent Parental Special Education Advice (IPSEA),45320,780
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Services - Professional Fees,Pennine Social Care Ltd,45337,780
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Paul Hart,45366,780
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Publications,Askews & Holts Library Services Ltd,45373,779.71
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Aggregates Industries UK Ltd (Bardon Aggregates),45345,779.65
Place,Environmental Services,Environmental Services,Public Protection,Operational Materials,Animal Wardens Ltd,45349,779.5
Corporate Services,Corporate Services,"Customer, Digital and Transformation",Customer Services,Agency Staff,Robert Walters,45331,779.25
Corporate Services,Corporate Services,"Customer, Digital and Transformation",Customer Services,Agency Staff,Robert Walters,45364,779.25
Corporate Services,Corporate Services,"Customer, Digital and Transformation",Customer Services,Agency Staff,Robert Walters,45364,779.25
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Bespoke Refrigeration and Air Conditioning Ltd,45331,777.6
Corporate Services,Corporate Services,"Customer, Digital and Transformation",Customer Services,Agency Staff,Robert Walters,45344,775.88
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45317,775.42
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Walker Fire (UK) Ltd,45372,775
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,Alpha Biolaboratories Legal Limited,45336,775
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Payments To Carers/Volunteers/Providers,Habitat Oldham,45366,775
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Family Hubs - Home Learning Environment,Hope Education Ltd,45378,774.29
People,Community Health and Adult Social Care,Community Health & Social Care,Clusters,Legal Expenses,Dr S J Prangnell,45351,773.4
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Cemex Materials Ltd,45306,773.13
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Cemex Materials Ltd,45306,773.13
Place,Environmental Services,Environmental Services,Environmental Management,Services - Payments To Contractors,No Graffiti Ltd,45309,773
Corporate Services,Corporate Services,"Customer, Digital and Transformation",Customer Services,Agency Staff,Robert Walters,45302,772.85
Corporate Services,Corporate Services,"Customer, Digital and Transformation",Customer Services,Agency Staff,Robert Walters,45302,772.85
Corporate Services,Corporate Services,"Customer, Digital and Transformation",Customer Services,Agency Staff,Robert Walters,45344,772.85
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45358,772.69
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Ashes Lane Playgroup,45349,772.53
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Fast Hire UK Ltd,45343,770.45
Place,Environmental Services,Environmental Services,Highways,Publicity And Marketing,Reach Publishing Services Limited,45299,768.91
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45349,768.25
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45348,768.16
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Paramount Plumbing & Heating,45299,768
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Cemex Materials Ltd,45362,767.44
Place,Environmental Services,Environmental Services,Fleet Management,Vehicle Maintenance - Contract,Dennis Eagle Ltd,45307,767.3
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Delph Pre School,45377,766.92
Place,Economy,Economy,Facilities Management,Catering - Food,Dunsters Farm Ltd,45356,765.96
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Legal Expenses,D A Languages Ltd,45306,765.6
Corporate Services,Corporate Services,"Customer, Digital and Transformation",Customer Services,Agency Staff,Robert Walters,45344,765.53
Place,Environmental Services,Environmental Services,Environmental Management,Services - Payments To Contractors,J A Jones & Sons (Churchtown) Ltd,45373,765
Place,Environmental Services,Environmental Services,Fleet Management,Vehicle Maintenance - Contract,Southfield RCV Services Limited,45338,765
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,TXM Healthcare Limited,45307,765
People,Children´s Services,Schools,Schools,Additional grant for Schools,Richmond Academy (The Harmony Trust),45377,764.75
People,Children´s Services,Schools,Schools,Additional grant for Schools,Focus Academy Trust UK Ltd TA Freehold Community Primary Academy,45377,764.75
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Aggregates Industries UK Ltd (Bardon Aggregates),45356,763.18
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45320,762.84
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45350,762.84
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Payments To Carers/Volunteers/Providers,Kids Planet Day Nurseries Ltd,45363,762.67
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,JLA HVAC Ltd,45328,761.88
Place,Economy,Economy,Facilities Management,Catering - Food,Dunsters Farm Ltd,45307,761.22
Place,Youth & Communities,Community Services,District Partnerships,Operational Materials,Fullcircle NW CIC,45335,760
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Walker Fire (UK) Ltd,45328,760
Place,Environmental Services,Environmental Services,Environmental Management,Operational Materials,HLC Countryside & Garden,45327,760
Place,Environmental Services,Environmental Services,Highways,Services - Payments To Contractors,Trafficare Ltd,45371,760
People,Children´s Services,Children´s Social Care,Children in Care,CWD Community Independent Care,Pennine Social Care Ltd,45322,758.62
Corporate Services,Corporate Services,HR & Organisational Development,HR Strategy,Agency Staff,Hays Specialist Recruitment,45301,758.25
Corporate Services,Corporate Services,HR & Organisational Development,HR Strategy,Agency Staff,Hays Specialist Recruitment,45317,758.25
Corporate Services,Corporate Services,HR & Organisational Development,HR Strategy,Agency Staff,Hays Specialist Recruitment,45334,758.25
Corporate Services,Corporate Services,HR & Organisational Development,HR Strategy,Agency Staff,Hays Specialist Recruitment,45334,758.25
Corporate Services,Corporate Services,HR & Organisational Development,HR Strategy,Agency Staff,Hays Specialist Recruitment,45349,758.25
People,Children´s Services,"Education, Skills & Early Years",Learning Services - Early Years,Services - Payments To Contractors,Sarah´s Childminding,45349,758.17
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Flogas Uk Ltd,45360,757.78
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Personnel Leasing Limited,45349,757.62
Corporate Services,Corporate Services,"Customer, Digital and Transformation",Customer Services,Agency Staff,Robert Walters,45302,757.22
People,Children´s Services,Children´s Social Care,Children in Care,CWD Community Independent Care,Optima Health and Social Care Ltd,45350,756.8
Place,Environmental Services,Environmental Services,Highways,Operational Materials,Aggregates Industries UK Ltd (Bardon Aggregates),45369,756.3
People,Children´s Services,Children´s Social Care,Children in Care,Direct Payments,PERSONAL DETAILS REDACTED,45320,756
People,Children´s Services,"Education, Skills & Early Years",SEND Services,SEND - Home Tuition,Academy21 Ltd,45376,756
Corporate Services,Corporate Services,"Customer, Digital and Transformation",Customer Services,Agency Staff,Robert Walters,45344,755.19
Place,Environmental Services,Environmental Services,Environmental Management,Operational Materials,M R M Street Furniture Ltd,45301,755
Place,Economy,Economy,Facilities Management,Catering - Food,Dunsters Farm Ltd,45342,753.65
Place,Economy,Economy,Estates,General Provision - Repairs & Maintenance,Corlett Electrical Engineering Co (1981) Ltd,45341,753.62
People,Children´s Services,Children´s Social Care,Children in Care,Out of Borough Placement,TXM Healthcare Limited,45300,752.5
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,NonStop Consulting Ltd,45320,752.14
People,Children´s Services,"Education, Skills & Early Years",Community / Adult Learning,Services - Professional Fees,Ambrose Nursery Ltd,45362,752
Place,Youth & Communities,Community Services,District Partnerships,Grants,Clarksfield Community Group,45359,752
Place,"Heritage, Libraries and Arts","Heritage, Libraries and Arts","Heritage, Libraries and Arts",Services - Professional Fees,S Nelson,45356,750
Place,Environmental Services,Environmental Services,Environmental Management,Operational Materials,Timberplay Ltd,45379,750
Corporate Services,Corporate Services,"Customer, Digital and Transformation",Customer Services,Room Hire,Neon Hub,45371,750
