Detail Spend Analysis by Account ,,,
,,,
,,,
11/02/2023,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMktplace,125.88
13/02/2023,DISCOUNT STORES,ARGOS CROSBY,49.99
16/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,DVLA DRIVER ONLINE,34
23/02/2023,DISCOUNT STORES,ARGOS RICE LANE,99.98
23/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,DVLA DRIVER ONLINE,20
23/02/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,DVLA DRIVER ONLINE,34
28/02/2023,DISCOUNT STORES,ARGOS RICE LANE,99.98
01/03/2023,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,LANCASHIRE CC WEBSITE,35
02/03/2023,POSTAL SERVICES-GOVERNMENT ONLY,POST OFFICE COUNTER,15.3
02/03/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,DVLA DRIVER ONLINE,34
07/03/2023,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,HM PASSPORT OFFICE,93
09/03/2023,DISCOUNT STORES,ARGOS RICE LANE,139.97
