SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-£500 for period August 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
Abbeyfield North Mersey,"2,153.21",15/08/2024,Physical Support - Older People 65+,R4049,Adult Social Care,Physical Support - Older People 65+ - Nursing- Short Term
Abbeyfield North Mersey,"2,189.80",15/08/2024,Physical Support - Older People 65+,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbeyfield North Mersey,"2,767.80",15/08/2024,Physical Support - Older People 65+,R4049,Adult Social Care,Physical Support - Older People 65+ - Nursing- Short Term
Abbeyfield North Mersey,"2,886.68",15/08/2024,Physical Support - Older People 65+,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbeyfield North Mersey,"2,886.68",15/08/2024,Physical Support - Older People 65+,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbeyfield North Mersey,"2,886.68",15/08/2024,Physical Support - Older People 65+,R4042,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Nursing Ho
Abbeyfield North Mersey,"15,148.38",15/08/2024,Physical Support - Older People 65+,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbeyfield North Mersey,"18,038.62",15/08/2024,Physical Support - Older People 65+,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
ABL Health Ltd,"52,185.42",01/08/2024,IWS- Smoking & Tobacco,R4341,Health and Wellbeing,IWS- Smoking & Tobacco - Payments To NHS- General
Abzorb Systems Ltd,"1,782.50",08/08/2024,Supporting Families Programme,R2655,Children's Social Care,Supporting Families Programme - Computer Costs
AC Plant Glazing Ltd,968,07/08/2024,Stock / Stock Adjustment Account,H0101,Operational In-House Services,Stock / Stock Adjustment Account - Stock - Hawthorne Road Depot - Vehicle Maintenance
Access UK Ltd,"5,450.00",30/11/2023,Central Services,R2655,Adult Social Care,Central Services - Computer Costs
Accomplish Group Lifestyles Ltd,660.48,15/08/2024,Learning Disability Support -Adults 18-64,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,663.04,15/08/2024,Mental Health Support - Adults 18-64,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,663.04,15/08/2024,Learning Disability Support - Older People 65+,R4043,Adult Social Care,Learning Disability Support - Older People 65+ - Supported Living
Accomplish Group Lifestyles Ltd,663.04,15/08/2024,Learning Disability Support -Adults 18-64,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,663.04,15/08/2024,Mental Health Support - Adults 18-64,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,663.04,15/08/2024,Learning Disability Support -Adults 18-64,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,743.04,15/08/2024,Learning Disability Support - Older People 65+,R4043,Adult Social Care,Learning Disability Support - Older People 65+ - Supported Living
Accomplish Group Lifestyles Ltd,794.22,15/08/2024,Physical Support - Adults 18-64,R4043,Adult Social Care,Physical Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,825.6,15/08/2024,Learning Disability Support -Adults 18-64,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,825.6,15/08/2024,Learning Disability Support -Adults 18-64,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,825.6,15/08/2024,Learning Disabilities-Pooled Budget,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living
Accomplish Group Lifestyles Ltd,866.88,15/08/2024,Learning Disability Support -Adults 18-64,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
