SEFTON COUNCIL: Supplier Payments where charge to specific cost centre is >= +/-�500 for period April 2024,,,,,,
SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
Accomplish Group Lifestyles Ltd,"1,806.42",25/04/2024,AL10,R4043,Adult Social Care,Learning Disability Support - Older People 65+ - Supported Living
Accomplish Group Lifestyles Ltd,"2,150.50",25/04/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living
Accomplish Group Lifestyles Ltd,"2,236.52",25/04/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living
Accomplish Group Lifestyles Ltd,"2,269.20",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"2,269.20",25/04/2024,AP05,R4043,Adult Social Care,Physical Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"2,269.20",25/04/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"2,269.20",25/04/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"2,580.60",25/04/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living
Accomplish Group Lifestyles Ltd,"3,010.70",25/04/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living
Accomplish Group Lifestyles Ltd,"3,010.70",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"3,462.90",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"3,462.90",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"3,462.90",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"3,462.90",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"3,843.70",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"3,956.92",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"4,214.98",25/04/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living
Accomplish Group Lifestyles Ltd,"4,214.98",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"4,516.05",25/04/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living
Accomplish Group Lifestyles Ltd,"4,516.05",25/04/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living
Accomplish Group Lifestyles Ltd,"4,516.05",25/04/2024,AH10,R4043,Adult Social Care,Learning Disabilities-Pooled Budget - Supported Living
Accomplish Group Lifestyles Ltd,"5,419.26",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"5,419.26",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"8,429.96",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"8,696.10",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"8,696.10",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"9,581.04",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"9,634.24",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"13,849.22",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"18,064.20",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Group Lifestyles Ltd,"18,064.20",25/04/2024,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
Accomplish Lifestyles Group Ltd,560,05/04/2024,AN05,R5070,Adult Social Care,Mental Health Support - Adults 18-64 - Clients Personal Allowances
Achieve Together Ltd,594.16,25/04/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Achieve Together Ltd,632.34,25/04/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Achieve Together Ltd,"1,064.96",25/04/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Achieve Together Ltd,"1,665.60",25/04/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Achieve Together Ltd,"1,782.90",25/04/2024,AN05,R4043,Adult Social Care,Mental Health Support - Adults 18-64 - Supported Living
Acorn Venture Farm,624,25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
Acre Development Consulting Ltd,"9,405.00",31/03/2024,UA49,R2470,Growth Programme,Pre Development - Consultancy and Professional Services
Acre Development Consulting Ltd,"17,755.00",01/03/2024,UA49,R2470,Growth Programme,Pre Development - Consultancy and Professional Services
Acronym Community Empowerment (ACE),"3,291.48",31/03/2024,YL50,R2723,Economic Growth and Housing,"LCR Multiply Numeracy Gran - Officers Travel, Subsistence & Conference Expenses"
Activate Community & Education Services,"-2,600.00",25/04/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
Adi-Gardiner Ltd,501.89,17/04/2024,SS05,R2030,Operational In-House Services,Alarms - Equipment Furniture & Materials
