PAYMENT DATE,SUPPLIER,SERVICE,DEPARTMENT ,DESCRIPTION,£ SPEND (EXCLUDING VAT,
21/02/2024,HSA Savings Scheme,PAYROLL & PENSIONS CONTROL A/CS,BALANCE SHEET,PAYROLL VOLUNTARY DEDUCTIONS,296.06,
21/02/2024,HSA Savings Scheme,PAYROLL & PENSIONS CONTROL A/CS,BALANCE SHEET,PAYROLL VOLUNTARY DEDUCTIONS,1386.35,
21/02/2024,Hustle & Heels Ladies Lunch Limited,UKSPF LOCAL BUSINESS,BUILDING INCLUSIVE GROWTH & AREA REGENERATION,CONSULTANCY FEES,13650,
21/02/2024,James Building Contractors Ltd,AWD EQUIP & ADAPT (PRE JUNE 02),"PACKAGES,PLACEMENTS AND CARERS",BUILDING ALTERATIONS AND MATERIALS,2421.99,
21/02/2024,Johnson Austin Partnership LLP,INSURANCE PROVISIONS,BALANCE SHEET,LONG TERM PROVISIONS - INSURANCE,525,
21/02/2024,Johnson Austin Partnership LLP,INSURANCE PROVISIONS,BALANCE SHEET,LONG TERM PROVISIONS - INSURANCE,525,
21/02/2024,JRL Caledonian Modular Limited,EDWARD STREET DEVELOPMENT,CAPITAL,ASSETS UNDER CONSTRUCTION COST,49227.5,
21/02/2024,JRL Caledonian Modular Limited,HOME PARK HOUSING,CAPITAL,ASSETS UNDER CONSTRUCTION COST,49227.5,
21/02/2024,Kendra Energy Solutions Limited,FM HARD SERVICES,FACILITIES MANAGEMENT & CIVIC EVENTS,CYCLICAL/PLANNED MAINTENANCE - BUILDING,475,
21/02/2024,Kendra Energy Solutions Limited,FM HARD SERVICES,FACILITIES MANAGEMENT & CIVIC EVENTS,CYCLICAL/PLANNED MAINTENANCE - BUILDING,525,
21/02/2024,Kendra Energy Solutions Limited,FM HARD SERVICES,FACILITIES MANAGEMENT & CIVIC EVENTS,CYCLICAL/PLANNED MAINTENANCE - BUILDING,475,
21/02/2024,LeBern Limited,BED & BREAKFAST,HOUSING NEEDS,RENTS PAYABLE,3937,
21/02/2024,Lewisham Homes Ltd,HOUSING MANAGEMENT SYSTEM,NOT IN HIERARCHY,ASSETS UNDER CONSTRUCTION COST,17000,
21/02/2024,Lewisham Labour Group,PAYROLL & PENSIONS CONTROL A/CS,BALANCE SHEET,PAYROLL VOLUNTARY DEDUCTIONS,6271.74,
21/02/2024,Lewisham Schools for the Future SPV 4 Ltd,BUILD. SCH. FOR FUTURE PFI UNITARY CHARGES,SGM ESTATE COMPLIANCE,PFI AND PPP SCHEMES,770043.66,
21/02/2024,Lewisham Schools for the Future SPV 4 Ltd,BUILD. SCH. FOR FUTURE PFI UNITARY CHARGES,SGM ESTATE COMPLIANCE,PFI AND PPP SCHEMES,-60922.28,
21/02/2024,Lewisham Schools for the Future SPV1 Ltd,BUILD. SCH. FOR FUTURE PFI UNITARY CHARGES,SGM ESTATE COMPLIANCE,PFI AND PPP SCHEMES,842853.79,
21/02/2024,Lewisham Schools for the Future SPV2 Ltd,BUILD. SCH. FOR FUTURE PFI UNITARY CHARGES,SGM ESTATE COMPLIANCE,PFI AND PPP SCHEMES,282992.72,
21/02/2024,Lewisham Schools for the Future SPV3 Ltd,BUILD. SCH. FOR FUTURE PFI UNITARY CHARGES,SGM ESTATE COMPLIANCE,PFI AND PPP SCHEMES,385148.54,
21/02/2024,LHG Wembley Ltd,BED & BREAKFAST,HOUSING NEEDS,RENTS PAYABLE,3410,
21/02/2024,Lloret Fire Soutions Limited,SFL - FH TRANSFORMATION (CAPITAL),HEAD OF SERVICE FOR PREVENTION & EARLY HELP,FACILITIES MANAGEMENT,626.34,
21/02/2024,London Borough of Brent,SHARED SERVICE,IT & DIGITAL SERVICES,ICT MANTENANCE & SUPPORT COSTS,495141,
21/02/2024,London Borough of Lambeth,LAMBETH TRIPARTITE AGREEMENT,SEXUAL HEALTH,HEALTHCARE SERVICES - GENERAL,97103.57,
21/02/2024,London Clapham Common Ltd,BED & BREAKFAST,HOUSING NEEDS,RENTS PAYABLE,2170,
21/02/2024,London Clapham South Ltd,BED & BREAKFAST,HOUSING NEEDS,RENTS PAYABLE,8835,
21/02/2024,London Croydon Ltd,BED & BREAKFAST,HOUSING NEEDS,RENTS PAYABLE,6820,
21/02/2024,London Peckham Ltd,BED & BREAKFAST,HOUSING NEEDS,RENTS PAYABLE,8060,
21/02/2024,London Walthamstow Ltd,BED & BREAKFAST,HOUSING NEEDS,RENTS PAYABLE,12904.5,
21/02/2024,Manor Sales and Lettings Ltd,BED & BREAKFAST,HOUSING NEEDS,RENTS PAYABLE,18793.8,
21/02/2024,Masher Brothers Ltd,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,R & M MAJOR WORKS,5897.79,
21/02/2024,Masher Brothers Ltd,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,R & M MAJOR WORKS,7357.61,
21/02/2024,Millwall Community Trust Ltd,HOLIDAY ACTIVITY AND FOOD PROGRAMME,HEAD OF SERVICE FOR PREVENTION & EARLY HELP,PRIVATE CONTRACTORS PAYMENT - OTHER,1200,
21/02/2024,MML Finance Limited,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",NURSING HOMES - PRIVATE CONTRACTORS PAYMENT,5891.28,
21/02/2024,MML Finance Limited,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",NURSING HOMES - PRIVATE CONTRACTORS PAYMENT,5891.28,
21/02/2024,MML Finance Limited,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",NURSING HOMES - PRIVATE CONTRACTORS PAYMENT,5511.2,
21/02/2024,Mulalley & Co Ltd,DECENT HOMES - NORTH 2023/24,NOT IN HIERARCHY,ASSETS UNDER CONSTRUCTION COST,293654.58,
21/02/2024,Mulalley & Co Ltd,BUILDING SAFETY - SPRINKLER INSTALLATIONS - 2023/24,NOT IN HIERARCHY,ASSETS UNDER CONSTRUCTION COST,59323.09,
21/02/2024,O2 (UK) Ltd,LEWISHAM HOMES NON SLA,IT & DIGITAL SERVICES,TELEPHONES - LAND LINES,964.5,
21/02/2024,Odgers Interim,GOVERANCE,HEAD OF SERVICE FOR STRATEGY & IMPROVEMENT,AGENCY STAFF,7000,
21/02/2024,Odgers Interim,GOVERANCE,HEAD OF SERVICE FOR STRATEGY & IMPROVEMENT,AGENCY STAFF,7000,
21/02/2024,Odgers Interim,GOVERANCE,HEAD OF SERVICE FOR STRATEGY & IMPROVEMENT,AGENCY STAFF,7000,
21/02/2024,Odgers Interim,GOVERANCE,HEAD OF SERVICE FOR STRATEGY & IMPROVEMENT,AGENCY STAFF,5600,
21/02/2024,Odgers Interim,GOVERANCE,HEAD OF SERVICE FOR STRATEGY & IMPROVEMENT,AGENCY STAFF,4900,
21/02/2024,Odgers Interim,GOVERANCE,HEAD OF SERVICE FOR STRATEGY & IMPROVEMENT,AGENCY STAFF,7000,
21/02/2024,Oyster Partnership,ENVIRONMENTAL HEALTH-FOOD AND SAFETY (NEW),ENVIRONMENTAL HEALTH & TRADING STANDARDS,ENVIRONMENTAL SERVICES - OTHER,1215,
21/02/2024,Oyster Partnership,ENVIRONMENTAL HEALTH-FOOD AND SAFETY (NEW),ENVIRONMENTAL HEALTH & TRADING STANDARDS,ENVIRONMENTAL SERVICES - OTHER,1296,
21/02/2024,Oyster Partnership,ENVIRONMENTAL HEALTH - AIR QUALITY CONTROL,ENVIRONMENTAL HEALTH & TRADING STANDARDS,ENVIRONMENTAL SERVICES - OTHER,1836,
21/02/2024,Palmgrange Ltd,PHYSICAL SUPPORT NEIGHBOURHOOD 2 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",NURSING HOMES - PRIVATE CONTRACTORS PAYMENT,7283.14,
21/02/2024,PeopleScout Limited,RECHARGEABLE WORKS: TRANSPORT,HIGHWAYS AND STREETSCENE,PRIVATE CONTRACTORS PAYMENT - OTHER,289.42,
21/02/2024,Permanent Futures Limited,PROGRAMME MANAGEMENT,HEAD OF SERVICE FOR STRATEGY & IMPROVEMENT,PRIVATE CONTRACTORS PAYMENT - OTHER,39750,
21/02/2024,Phoenix Futures,SUPP PEOPLE: PEOPLE WITH ALCOHOL PROBLEMS,SUPPORTING PEOPLE,HEALTHCARE SERVICES - GENERAL,62509,
21/02/2024,Profad Care Agency,PHYSICAL SUPPORT NEIGHBOURHOOD 2 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",HOME CARE - PRIVATE CONTRACTORS PAYMENT,12904.95,
21/02/2024,Reccom Ltd t/a CMS,FM HARD SERVICES,FACILITIES MANAGEMENT & CIVIC EVENTS,PROFESSIONAL SERVICES ,1185.85,
21/02/2024,Rentokil Initial UK t/a Initial washroom hygiene,BUILDING CLEANING,FACILITIES MANAGEMENT & CIVIC EVENTS,CLEANING SERVICES,1077.1,
21/02/2024,RGE Services,LH FIRE ASSESSMENTS & WORK,HOUSING QUALITY AND INVESTMENT - HRA,FIRE ASSESSMENT,330.87,
21/02/2024,RGE Services,LH FIRE ASSESSMENTS & WORK,HOUSING QUALITY AND INVESTMENT - HRA,FIRE ASSESSMENT,330.87,
21/02/2024,RGE Services,LH FIRE ASSESSMENTS & WORK,HOUSING QUALITY AND INVESTMENT - HRA,FIRE ASSESSMENT,330.87,
21/02/2024,RGE Services,LH M & E WORKS,HOUSING QUALITY AND INVESTMENT - HRA,SECURITY OF PREMISES,273.38,
21/02/2024,Royal Hospital for Neuro Disab,SUPPORT AND MEMORY COGNITION ALL NEIGHBOURHOODS - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",NURSING HOMES - PRIVATE CONTRACTORS PAYMENT,12546.28,
21/02/2024,Royal Hospital for Neuro Disab,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",NURSING HOMES - PRIVATE CONTRACTORS PAYMENT,13063.58,
21/02/2024,Royal Hospital for Neuro Disab,PHYSICAL SUPPORT NEIGHBOURHOOD 4 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",NURSING HOMES - PRIVATE CONTRACTORS PAYMENT,14409.55,
21/02/2024,Royal Hospital for Neuro Disab,PHYSICAL SUPPORT NEIGHBOURHOOD 3 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",NURSING HOMES - PRIVATE CONTRACTORS PAYMENT,14411.28,
21/02/2024,Royal Hospital for Neuro Disab,PHYSICAL SUPPORT NEIGHBOURHOOD 1 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",NURSING HOMES - PRIVATE CONTRACTORS PAYMENT,7737.14,
21/02/2024,Royal Hospital for Neuro Disab,PHYSICAL SUPPORT NEIGHBOURHOOD 1 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",NURSING HOMES - PRIVATE CONTRACTORS PAYMENT,7253.57,
21/02/2024,Royal Hospital for Neuro Disab,PHYSICAL SUPPORT NEIGHBOURHOOD 4 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",NURSING HOMES - PRIVATE CONTRACTORS PAYMENT,14990.71,
21/02/2024,Royal Hospital for Neuro Disab,PHYSICAL SUPPORT NEIGHBOURHOOD 2 - CONTINUING HEALTH CARE,"PACKAGES,PLACEMENTS AND CARERS",NURSING HOMES - PRIVATE CONTRACTORS PAYMENT,14990.71,
21/02/2024,Safe Homes S.E Ltd,BED & BREAKFAST,HOUSING NEEDS,RENTS PAYABLE,6045,
21/02/2024,Safeguard Pest Control and Environmental Services Ltd,BUILDING CLEANING,FACILITIES MANAGEMENT & CIVIC EVENTS,CLEANING SERVICES,589,
21/02/2024,Safeguard Pest Control and Environmental Services Ltd,BUILDING CLEANING,FACILITIES MANAGEMENT & CIVIC EVENTS,CLEANING SERVICES,284.75,
21/02/2024,Safeguard Pest Control and Environmental Services Ltd,BUILDING CLEANING,FACILITIES MANAGEMENT & CIVIC EVENTS,CLEANING SERVICES,589,
21/02/2024,Safeguard Pest Control and Environmental Services Ltd,BUILDING CLEANING,FACILITIES MANAGEMENT & CIVIC EVENTS,CLEANING SERVICES,284.75,
21/02/2024,Salutem Shared Services II Ltd,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,5842.7,
21/02/2024,Salutem Shared Services II Ltd,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,5654.23,
21/02/2024,Salutem Shared Services II Ltd,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,5842.7,
21/02/2024,Salutem Shared Services II Ltd,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,5654.23,
21/02/2024,Salutem Shared Services II Ltd,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,5842.7,
21/02/2024,Salutem Shared Services II Ltd,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,5842.7,
21/02/2024,Sanctuary 16 ltd,CLA PLACEMENTS ,CORPORATE PARENTING,SEMI-INDEPENDENT PLACEMENTS,27457.14,
21/02/2024,Shuttleworth (UK) Ltd,BED & BREAKFAST,HOUSING NEEDS,RENTS PAYABLE,12648,
21/02/2024,Signature Health and Living Ltd,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,17020,
21/02/2024,Signature Health and Living Ltd,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,5365,
21/02/2024,Signature Health and Living Ltd,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,5735,
21/02/2024,Signature Health and Living Ltd,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,5862.86,
21/02/2024,Signature Health and Living Ltd,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,5048.57,
21/02/2024,Signature Health and Living Ltd,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,5048.57,
21/02/2024,Signature Health and Living Ltd,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,4722.86,
21/02/2024,Signature Health and Living Ltd,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,5048.57,
21/02/2024,Smart Sec Solutions Ltd,REGISTRARS,CORPORATE CUSTOMER RELATIONS,SECURITY OF PREMISES,3548.89,
21/02/2024,Smart Sec Solutions Ltd,SECURITY,FACILITIES MANAGEMENT & CIVIC EVENTS,SECURITY OF PREMISES,275,
21/02/2024,Smart Sec Solutions Ltd,SECURITY,FACILITIES MANAGEMENT & CIVIC EVENTS,SECURITY OF PREMISES,1123.87,
21/02/2024,Smart Sec Solutions Ltd,SECURITY,FACILITIES MANAGEMENT & CIVIC EVENTS,SECURITY OF PREMISES,22920,
21/02/2024,Smart Sec Solutions Ltd,SAFER COMMUNITIES SERVICE,SAFER COMMUNITIES,SECURITY OF PREMISES,1229.26,
21/02/2024,Smart Sec Solutions Ltd,SECURITY,FACILITIES MANAGEMENT & CIVIC EVENTS,SECURITY OF PREMISES,966.94,
21/02/2024,Smart Sec Solutions Ltd,CSC INFRASTRUCTURE,CSC SENIOR MANAGEMENT TEAM,PRIVATE CONTRACTORS PAYMENT - OTHER,1795.24,
21/02/2024,Smart Sec Solutions Ltd,SYDENHAM COMMUNITY HUB,VOLUNTARY AND COMMUNITY SECTOR GRANTS & ASSEMBLIES,ENERGY EFFICIENCY,342.66,
21/02/2024,Smart Sec Solutions Ltd,SECURITY,FACILITIES MANAGEMENT & CIVIC EVENTS,SECURITY OF PREMISES,21393.12,
21/02/2024,Smart Sec Solutions Ltd,SECURITY,FACILITIES MANAGEMENT & CIVIC EVENTS,SECURITY OF PREMISES,19235.45,
21/02/2024,Smart Sec Solutions Ltd,SECURITY,FACILITIES MANAGEMENT & CIVIC EVENTS,SECURITY OF PREMISES,10672.44,
21/02/2024,Smart Sec Solutions Ltd,REGISTRARS,CORPORATE CUSTOMER RELATIONS,SECURITY OF PREMISES,2916.38,
21/02/2024,Smart Sec Solutions Ltd,CATFORD COMPLEX,FACILITIES MANAGEMENT & CIVIC EVENTS,SECURITY OF PREMISES,949.93,
21/02/2024,Smart Sec Solutions Ltd,CIVIC EVENTS,CORP. PROV: GENERAL,STAFF TRAVEL- OTHER (E.G. TAXIS/ FLIGHTS),400.32,
21/02/2024,Smartspace Property Solutions Ltd,BED & BREAKFAST,HOUSING NEEDS,RENTS PAYABLE,14086.4,
21/02/2024,Solace Group Ltd,CHIEF EXECUTIVE'S OFFICE,CHIEF EXECUTIVE'S OFFICE,STAFF TRAINING AND DEVELOPMENT,300,
21/02/2024,Sports Courts UK Limited,SD: LEWISHAM PARKS DEVELOPMENT PROJECT - LTA,LEISURE,PROFESSIONAL SERVICES ,700,
21/02/2024,Starfish Search Limited,COMMUNITY SERVICES DMT,STRATEGY & RESOURCES,PROFESSIONAL SERVICES ,3000,
21/02/2024,Streetscene Addiction Recovery Ltd,DAAT-ADULT PLACEMENTS TIER 4 REHAB AND DETOX,DRUG ACTION TEAM,HEALTHCARE SERVICES - GENERAL,3640,
21/02/2024,Sundry Suppliers,LH DISREPAIRS COSTS,HOUSING QUALITY AND INVESTMENT - HRA,FACILITIES MANAGEMENT,1200,
21/02/2024,Sundry Suppliers,PENSION FUND: CONTRIB. & BENEFITS,PENSION FUND,RETURN OF CONTRIBUTIONS,3045.94,
21/02/2024,Supreme Care Services Ltd,CWCN DOM CARE - CARE IN HOME,CHILDREN WITH COMPLEX NEEDS,DOMICILIARY CARE - THIRD PARTY,739.98,
21/02/2024,Supreme Care Services Ltd,CWCN DOM CARE - CARE IN HOME,CHILDREN WITH COMPLEX NEEDS,DOMICILIARY CARE - THIRD PARTY,725.7,
21/02/2024,Supreme Care Services Ltd,CWCN DOM CARE - CARE IN HOME,CHILDREN WITH COMPLEX NEEDS,DOMICILIARY CARE - THIRD PARTY,260.8,
21/02/2024,Supreme Care Services Ltd,CWCN DOM CARE - CARE IN HOME,CHILDREN WITH COMPLEX NEEDS,DOMICILIARY CARE - THIRD PARTY,436.2,
21/02/2024,Supreme Care Services Ltd,CWCN DOM CARE - CARE IN HOME,CHILDREN WITH COMPLEX NEEDS,DOMICILIARY CARE - THIRD PARTY,305.8,
21/02/2024,Supreme Care Services Ltd,CWCN DOM CARE - CARE IN HOME,CHILDREN WITH COMPLEX NEEDS,DOMICILIARY CARE - THIRD PARTY,321.96,
21/02/2024,Supreme Care Services Ltd,CWCN DOM CARE - CARE IN HOME,CHILDREN WITH COMPLEX NEEDS,DOMICILIARY CARE - THIRD PARTY,521.6,
21/02/2024,Supreme Care Services Ltd,CWCN DOM CARE - CARE IN HOME,CHILDREN WITH COMPLEX NEEDS,DOMICILIARY CARE - THIRD PARTY,455.53,
21/02/2024,Supreme Care Services Ltd,CWCN DOM CARE - CARE IN HOME,CHILDREN WITH COMPLEX NEEDS,DOMICILIARY CARE - THIRD PARTY,321.09,
21/02/2024,Supreme Care Services Ltd,CWCN DOM CARE - CARE IN HOME,CHILDREN WITH COMPLEX NEEDS,DOMICILIARY CARE - THIRD PARTY,254.74,
21/02/2024,Supreme Care Services Ltd,CWCN DOM CARE - CARE IN HOME,CHILDREN WITH COMPLEX NEEDS,DOMICILIARY CARE - THIRD PARTY,305.8,
21/02/2024,Supreme Care Services Ltd,CWCN DOM CARE - CARE IN HOME,CHILDREN WITH COMPLEX NEEDS,DOMICILIARY CARE - THIRD PARTY,326,
21/02/2024,Syntonic Kitchen Technicians Limited,EMU:CATERING-EQUIPMENT/MAINTENANCE,EDUCATION CATERING,RESPONSIVE REPAIRS - BUILDING,564,
21/02/2024,Teatree Property Ltd,BED & BREAKFAST,HOUSING NEEDS,RENTS PAYABLE,17608,
21/02/2024,Thames 21 Ltd,BECKENHAM PLACE PARK - EASTERN PARK,NOT IN HIERARCHY,ASSETS UNDER CONSTRUCTION COST,18074.22,
21/02/2024,Theori Housing Management Services Ltd,BED & BREAKFAST,HOUSING NEEDS,RENTS PAYABLE,4245,
21/02/2024,Transport & General Workers Union,PAYROLL & PENSIONS CONTROL A/CS,BALANCE SHEET,PAYROLL VOLUNTARY DEDUCTIONS,1207.76,
21/02/2024,Unison,PAYROLL & PENSIONS CONTROL A/CS,BALANCE SHEET,PAYROLL VOLUNTARY DEDUCTIONS,1961.08,
21/02/2024,Unison,PAYROLL & PENSIONS CONTROL A/CS,BALANCE SHEET,PAYROLL VOLUNTARY DEDUCTIONS,8289.82,
21/02/2024,Vivid Resourcing Ltd,CORPORATE LETTING TEAM,SGM CAPITAL PROGRAMME,PROFESSIONAL SERVICES ,1900,
21/02/2024,Vivid Resourcing Ltd,CORPORATE LETTING TEAM,SGM CAPITAL PROGRAMME,PROFESSIONAL SERVICES ,1900,
21/02/2024,Vivid Resourcing Ltd,CORPORATE LETTING TEAM,SGM CAPITAL PROGRAMME,PROFESSIONAL SERVICES ,1900,
21/02/2024,Waterman Aspen Ltd,TRANSPORT PROJECTS - CPZ PROGRAMME,CAPITAL,ASSETS UNDER CONSTRUCTION COST,2159,
21/02/2024,Waterman Aspen Ltd,TRANSPORT PROJECTS - CPZ PROGRAMME,CAPITAL,ASSETS UNDER CONSTRUCTION COST,2720,
21/02/2024,Waterman Aspen Ltd,TRANSPORT PROJECTS - CPZ PROGRAMME,CAPITAL,ASSETS UNDER CONSTRUCTION COST,2720,
21/02/2024,Waterman Aspen Ltd,TRANSPORT PROJECTS - CPZ PROGRAMME,CAPITAL,ASSETS UNDER CONSTRUCTION COST,2720,
21/02/2024,Waterman Aspen Ltd,TRANSPORT PROJECTS - CPZ PROGRAMME,CAPITAL,ASSETS UNDER CONSTRUCTION COST,2720,
21/02/2024,Waterman Aspen Ltd,STRATEGIC TRANSPORT,HIGHWAYS AND STREETSCENE,STREET & TRAFFIC MGT - OTHER,1776,
21/02/2024,White Ribbon Campaign UK,SAFER COMMUNITIES - VIOLENCE AGAINST WOMEN AND GIRLS (VAWG) TEAM,SAFER COMMUNITIES,HEALTHCARE SERVICES - GENERAL,1100,
21/02/2024,Xafinity Paymaster,PAYROLL & PENSIONS CONTROL A/CS,BALANCE SHEET,OTHER CREDITORS - PUBLIC CORPORATIONS AND TRADING FUNDS,1930.14,
21/02/2024,Xafinity Paymaster,PAYROLL & PENSIONS CONTROL A/CS,BALANCE SHEET,OTHER CREDITORS - PUBLIC CORPORATIONS AND TRADING FUNDS,1567.86,
21/02/2024,YPR LIMITED,CWCN DOM CARE - CARE IN HOME,CHILDREN WITH COMPLEX NEEDS,DOMICILIARY CARE - THIRD PARTY,1500,
21/02/2024,YPR LIMITED,CWCN DOM CARE - CARE IN HOME,CHILDREN WITH COMPLEX NEEDS,DOMICILIARY CARE - THIRD PARTY,625,
21/02/2024,YPR LIMITED,CWCN DOM CARE - CARE IN HOME,CHILDREN WITH COMPLEX NEEDS,DOMICILIARY CARE - THIRD PARTY,625,
21/02/2024,YPR LIMITED,CWCN DOM CARE - CARE IN HOME,CHILDREN WITH COMPLEX NEEDS,DOMICILIARY CARE - THIRD PARTY,1000,
21/02/2024,Zot Ltd,ADULT SERVICES BUSINESS SUPPORT,SERVICE DEVELOPMENT AND  IMPROVEMENT UNIT,CLIENT TRAVEL- TAXIS & OTHER,260,
22/02/2024,3 Arrows Properties Ltd,BED & BREAKFAST,HOUSING NEEDS,RENTS PAYABLE,9052,
22/02/2024,3663 (BFS Group Ltd ),ALL: PREMISES AND SITE MANAGEMENT,ADULT LEARNING LEWISHAM (ALL),CATERING AND VENDING SUPPLIES,473.43,
22/02/2024,3663 (BFS Group Ltd ),ALL: PREMISES AND SITE MANAGEMENT,ADULT LEARNING LEWISHAM (ALL),CATERING AND VENDING SUPPLIES,1253.26,
22/02/2024,3663 (BFS Group Ltd ),ALL: PREMISES AND SITE MANAGEMENT,ADULT LEARNING LEWISHAM (ALL),CATERING AND VENDING SUPPLIES,556.49,
22/02/2024,Redacted,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 1 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,462,
22/02/2024,Angelface Preschool,3 & 4 YEAR OLD ENTITLEMENT,EARLY YEARS QUALITY & SUFFICIENCY,GRANTS AND CONTRIBUTIONS,1078,
22/02/2024,Autism Hampshire,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 4 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,2182.37,
22/02/2024,Autism Hampshire,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 4 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,2255.12,
22/02/2024,Beechcroft Care Home,PHYSICAL SUPPORT NEIGHBOURHOOD 2 - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,89411.65,
22/02/2024,Birketts LLP,A205 ROAD REALIGNMENT,CAPITAL,ASSETS UNDER CONSTRUCTION COST,17464,
22/02/2024,Birketts LLP,SMALL & COMPLEX SITES,CAPITAL,ASSETS UNDER CONSTRUCTION COST,337682.61,
22/02/2024,Bondcare London Ltd,SENSORY SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",NURSING HOMES - PRIVATE CONTRACTORS PAYMENT,3472,
22/02/2024,Bright Future Care Services Limited,CLA PLACEMENTS ,CORPORATE PARENTING,SEMI-INDEPENDENT PLACEMENTS,5314.29,
22/02/2024,Browne Jacobson,ADULT SERVICES BUSINESS SUPPORT,SERVICE DEVELOPMENT AND  IMPROVEMENT UNIT,LEGAL FEES,397,
22/02/2024,Browne Jacobson,ADULT SERVICES BUSINESS SUPPORT,SERVICE DEVELOPMENT AND  IMPROVEMENT UNIT,LEGAL FEES,384,
22/02/2024,Browne Jacobson,ADULT SERVICES BUSINESS SUPPORT,SERVICE DEVELOPMENT AND  IMPROVEMENT UNIT,LEGAL FEES,542.6,
22/02/2024,Brownhill Lodge,PHYSICAL SUPPORT ALL NEIGHBOURHOODS - RESIDENTIAL AND NURSING,"PACKAGES,PLACEMENTS AND CARERS",RESIDENTIAL PLACEMENTS,36697,
