PAYMENT DATE,SUPPLIER,SERVICE,DEPARTMENT,DESCRIPTION,£ SPEND (EXCLUDING VAT),
01/03/2024,Redacted,PRIVATE SECTOR LEASING,PRIVATE SECTOR HOUSING,RENTS PAYABLE,950,
01/03/2024,Atlantic Lodge (Housing) Ltd,LEAVING CARE ACCOMMODATION ,CORPORATE PARENTING,RENTS PAYABLE,9100,
01/03/2024,Atlantic Lodge (Housing) Ltd,PRIVATELY MANAGED ACCOMODATION,PRIVATE SECTOR HOUSING,RENTS PAYABLE,3362.58,
01/03/2024,Attachment Research Community (ARC),VIRTUAL SCHOOL EXTENDED DUTIES ,HEAD OF VIRTUAL SCHOOL,PAYMENT TO OTHER LOCAL AUTHORITIES,2980,
01/03/2024,Auditel Rental and Services Ltd,STRATEGIC WASTE MANAGEMENT - ADMINISTRATION,STRATEGIC WASTE MANAGEMENT,FACILITIES MANAGEMENT,5193,
01/03/2024,Avondale Support Limited,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 3 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,14400,
01/03/2024,Avondale Support Limited,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 3 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,4800,
01/03/2024,Axia Investments Ltd (Redacted),PRIVATELY MANAGED ACCOMODATION,PRIVATE SECTOR HOUSING,RENTS PAYABLE,2056.29,
01/03/2024,Redacted,OTHER CARE ARRANGEMENTS,CORPORATE PARENTING,SPECIAL GUARDIANSHIP PAYMENTS,424.1,
01/03/2024,Redacted,LEAVING CARE ACCOMMODATION ,CORPORATE PARENTING,SUPPORTED LODGINGS PAYMENTS,510,
01/03/2024,BSW Heating Limited,LH GAS & BOILER WORKS,HOUSING QUALITY AND INVESTMENT - HRA,FACILITIES MANAGEMENT,90772.34,
01/03/2024,BZ For Care Ltd,LEARNING DISABILITY SUPPORT NEIGHBOURHOOD 3 - CARE AT HOME,"PACKAGES,PLACEMENTS AND CARERS",SUPPORTED LODGINGS PAYMENTS,5314.02,
