Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Indflag(T)
20/11/2023,II,4148970,7241.12,HC117989,Redacted,202408,Safeguarding and Family Support,Third Party Payments,No
20/11/2023,II,4148971,7241.12,HC117989,Redacted,202408,Safeguarding and Family Support,Third Party Payments,No
20/11/2023,II,4148972,7241.12,HC117989,Redacted,202408,Safeguarding and Family Support,Third Party Payments,No
20/11/2023,II,4148973,7241.12,HC117989,Redacted,202408,Safeguarding and Family Support,Third Party Payments,No
20/11/2023,II,4148976,680.16,HC129228,Hereford Pharmacy,202408,Public Health,Supplies & Services,No
19/11/2023,II,4148982,6507,HC108852,Provide Solutions Commercial & Domestic Ltd,202408,Schools,Premises-Related Expenditure,No
19/11/2023,II,4148983,419.93,HC106975,Hoople Ltd,202408,Schools,Employees,No
19/11/2023,II,4148984,1597.24,HC129153,Redacted,202408,Schools,Supplies & Services,Yes
19/11/2023,II,4148985,502.13,HC202574,Hanks' Meat and Game Ltd,202408,Schools,Supplies & Services,No
19/11/2023,II,4148986,440,HC124186,H & H Coaches Ltd,202408,Schools,Transport-Related Expenditure,No
19/11/2023,II,4148992,745,HC116909,Butterflies Child Counselling & Play Therapy,202408,Schools,Supplies & Services,No
19/11/2023,II,4148998,530.99,HC123578,The DM Lab,202408,Schools,Supplies & Services,No
19/11/2023,II,4149000,783.83,HC111060,RM Educational Resources Ltd T/A TTS,202408,Schools,Supplies & Services,No
22/11/2023,II,4149006,1669.66,HC108260,Orange PLC (Airtime),202408,Corporate Support Services,Supplies & Services,No
21/11/2023,II,4149010,1053.41,HC103177,Killgerm Chemicals Ltd,202408,Economy and Growth,Supplies & Services,No
20/11/2023,II,4149013,5000,HC111414,West Mercia  Womens Aid,202408,Commissioned Services,Third Party Payments,No
20/11/2023,II,4149014,2550,HC131015,Seymore Surveyors Ltd,202408,Capital Planning Delivery Board,Capital Expenditure,No
20/11/2023,II,4149016,1086.17,HC101343,Enterprise Rent A Car UK T/A Flex E Rent,202408,Education and Commissioning,Transport-Related Expenditure,No
20/11/2023,II,4149018,1205.63,HC101343,Enterprise Rent A Car UK T/A Flex E Rent,202408,Education and Commissioning,Transport-Related Expenditure,No
20/11/2023,II,4149019,13800,HC121975,Penna Plc,202408,HR and Organisational Development,Third Party Payments,No
20/11/2023,II,4149020,562,HC101667,Chaplins Limited,202408,Schools,Supplies & Services,No
20/11/2023,II,4149021,783.23,HC109997,Spa Gas Ltd,202408,Schools,Premises-Related Expenditure,No
20/11/2023,II,4149024,3365,HC132212,Playwood Ltd,202408,Schools Devolved Capital,Capital Expenditure,No
21/11/2023,II,4149025,1905.7,HC111347,WFL (UK) t/a Watson Fuels,202408,Schools,Premises-Related Expenditure,No
21/11/2023,II,4149026,5120,HC124818,The Groundwork South Trust Ltd,202408,Schools,Supplies & Services,No
20/11/2023,II,4149033,4600,HC126031,Forest Coaches Ltd,202408,"Highways, Environment and Waste",Transport-Related Expenditure,No
22/11/2023,II,4149034,3810,HC111641,The Wye & Usk Foundation,202408,"Highways, Environment and Waste",Transfer Payments,No
22/11/2023,II,4149037,2183,HC129875,Redacted,202408,Housing,Supplies & Services,No
22/11/2023,II,4149038,550,HC126623,Viking School Visits Ltd,202408,Schools,Supplies & Services,No
21/11/2023,II,4149041,1607.13,HC116376,Hamptons Resourcing,202408,Central Childrens Directorate Costs,Employees,No
22/11/2023,II,4149043,708.93,HC118939,Riverside Primary School - HCC,202408,"Highways, Environment and Waste",Premises-Related Expenditure,No
22/11/2023,II,4149044,825.8,HC118939,Riverside Primary School - HCC,202408,"Highways, Environment and Waste",Premises-Related Expenditure,No
22/11/2023,II,4149046,800,HC128278,Metro Rod,202408,Strategic Assets,Third Party Payments,No
22/11/2023,II,4149047,800,HC128278,Metro Rod,202408,Strategic Assets,Third Party Payments,No
21/11/2023,II,4149052,1118.5,HC101648,CF Roberts (Electrical Contractors) Plc,202408,Children & Young People Capital,Capital Expenditure,No
21/11/2023,II,4149058,3269.17,HC127171,Askews & Holts Library Services Ltd,202408,Cultural Services,Supplies & Services,No
21/11/2023,II,4149062,900,HC201038,ACS Technical Services Ltd,202408,Schools,Support Services,No
21/11/2023,II,4149063,1790,HC112925,Style Midlands,202408,Schools,Premises-Related Expenditure,No
21/11/2023,II,4149066,1321.43,HC101861,Clearview Cleaning Services,202408,Schools,Premises-Related Expenditure,No
21/11/2023,II,4149067,468.9,HC102156,D & D Network Services Ltd,202408,Schools,Support Services,No
22/11/2023,II,4149068,511.38,HC104018,Highground Maintenance Limited,202408,Schools,Premises-Related Expenditure,No
22/11/2023,II,4149069,805,HC111685,Yeomans Travel Ltd,202408,Schools,Premises-Related Expenditure,No
21/11/2023,II,4149075,1380,HC102044,Countrywide Grounds Maintenance Ltd,202408,Schools,Premises-Related Expenditure,No
21/11/2023,II,4149076,2624.3,HC200096,Catercater Limited,202408,Schools,Supplies & Services,No
22/11/2023,II,4149080,3245,HC126125,Attenti Consulting,202408,Central Childrens Directorate Costs,Employees,No
21/11/2023,II,4149081,3540,HC126125,Attenti Consulting,202408,Central Childrens Directorate Costs,Employees,No
22/11/2023,II,4149082,3600,HC126125,Attenti Consulting,202408,Central Childrens Directorate Costs,Employees,No
22/11/2023,II,4149084,632.7,HC113515,Redacted,202408,Transformation and Improvement,Supplies & Services,Yes
22/11/2023,II,4149086,460,HC128491,Melissa Jones,202408,Governance and Legal Services,Supplies & Services,No
