Council Name,Date,TransNo,Amount £ (Excl VAT),Supplier name,Supplier Category,Expense Area,Expense Type,Expense Code
Royal Borough of Kingston,07/07/2023,70051794,"1,026.45",LONDON BOROUGH OF MERTON,CENTRAL & LOCAL GOVERNMENT,Corporate & Communities,Payments to Other Local Authorities,A51005
Royal Borough of Kingston,07/07/2023,70051794,"5,145.94",LONDON BOROUGH OF MERTON,CENTRAL & LOCAL GOVERNMENT,Place,Infrastructure Assets - Project Management,C12000
Royal Borough of Kingston,07/07/2023,70051794,"1,183.84",LONDON BOROUGH OF MERTON,CENTRAL & LOCAL GOVERNMENT,Place,Infrastructure Assets - Project Management,C12000
Royal Borough of Kingston,07/07/2023,70051794,75.27,LONDON BOROUGH OF MERTON,CENTRAL & LOCAL GOVERNMENT,Place,Infrastructure Assets - Project Management,C12000
Royal Borough of Kingston,07/07/2023,70051794,567.97,LONDON BOROUGH OF MERTON,CENTRAL & LOCAL GOVERNMENT,Place,Infrastructure Assets - Project Management,C12000
Royal Borough of Kingston,07/07/2023,70051794,"7,794.18",LONDON BOROUGH OF MERTON,CENTRAL & LOCAL GOVERNMENT,Place,Infrastructure Assets - Project Management,C12000
Royal Borough of Kingston,07/07/2023,70051794,"5,002.24",LONDON BOROUGH OF MERTON,CENTRAL & LOCAL GOVERNMENT,Place,Infrastructure Assets - Project Management,C12000
Royal Borough of Kingston,07/07/2023,70051794,171.08,LONDON BOROUGH OF MERTON,CENTRAL & LOCAL GOVERNMENT,Place,Infrastructure Assets - Project Management,C12000
Royal Borough of Kingston,07/07/2023,70051794,479.01,LONDON BOROUGH OF MERTON,CENTRAL & LOCAL GOVERNMENT,Place,Infrastructure Assets - Project Management,C12000
Royal Borough of Kingston,07/07/2023,70051794,"1,005.92",LONDON BOROUGH OF MERTON,CENTRAL & LOCAL GOVERNMENT,Place,Infrastructure Assets - Project Management,C12000
Royal Borough of Kingston,07/07/2023,70051794,"23,968.26",LONDON BOROUGH OF MERTON,CENTRAL & LOCAL GOVERNMENT,Place,Payments to Other Local Authorities,A51005
Royal Borough of Kingston,18/10/2023,70056910,"3,517.34",LONDON BOROUGH OF MERTON,CENTRAL & LOCAL GOVERNMENT,Corporate & Communities,Payments to Other Local Authorities,A51005
Royal Borough of Kingston,28/11/2023,70059431,"4,000.00",LONDON BOROUGH OF MERTON,CENTRAL & LOCAL GOVERNMENT,Corporate & Communities,Equipment And Materials Purchase,A40000
Royal Borough of Kingston,28/11/2023,70059432,"4,000.00",LONDON BOROUGH OF MERTON,CENTRAL & LOCAL GOVERNMENT,Corporate & Communities,Equipment And Materials Purchase,A40000
Royal Borough of Kingston,31/10/2023,70058266,"10,927.50",London Clapham Common LTD,ACCOMMODATION BED & BREAKFAST,Place,Bed & Breakfast,A56000
Royal Borough of Kingston,31/10/2023,70058261,"4,340.00",London Clapham South,ACCOMMODATION BED & BREAKFAST,Place,Bed & Breakfast,A56000
Royal Borough of Kingston,07/09/2023,70057738,"7,200.00",LONDON COUNCILS,CENTRAL & LOCAL GOVERNMENT,Corporate & Communities,PCFL - Debt Registrations & Legal Costs,A51006
Royal Borough of Kingston,04/10/2023,70058069,"45,000.00",LONDON COUNCILS,CENTRAL & LOCAL GOVERNMENT,Corporate & Communities,Subscriptions,A47010
Royal Borough of Kingston,31/10/2023,70058263,"3,255.00",London Croydon LTD,ACCOMMODATION BED & BREAKFAST,Place,Bed & Breakfast,A56000
Royal Borough of Kingston,22/11/2023,70059149,"3,519.76",LONDON GRID  FOR LEARNING LIMITED,IT EQUIPMENT MAINTENANCE,Corporate & Communities,IT Hardware Maintenance,A45008
Royal Borough of Kingston,09/11/2023,70058444,"1,500.00",London Hearts,SUNDRY SUPPLIER - FINANCE,Corporate & Communities,"Grants, Contributions & Donations",A47005
Royal Borough of Kingston,31/10/2023,70058260,"14,230.00",London Hounslow LTD,ACCOMMODATION BED & BREAKFAST,Place,Bed & Breakfast,A56000
Royal Borough of Kingston,26/10/2023,70057746,"1,722.00",London Kims Dance Club,SUNDRY SUPPLIER - FINANCE,Corporate & Communities,Payments to Voluntary Organisations,A54005
Royal Borough of Kingston,01/11/2023,90283928,"5,357.14",LONDON RESIDENTIAL HEALTHCARE LTD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90283932,"4,991.66",LONDON RESIDENTIAL HEALTHCARE LTD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90283935,"3,503.44",LONDON RESIDENTIAL HEALTHCARE LTD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90283938,"3,857.14",LONDON RESIDENTIAL HEALTHCARE LTD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90283940,"4,564.29",LONDON RESIDENTIAL HEALTHCARE LTD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90283942,"3,363.34",LONDON RESIDENTIAL HEALTHCARE LTD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90283946,"2,709.73",LONDON RESIDENTIAL HEALTHCARE LTD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90283952,"3,571.11",LONDON RESIDENTIAL HEALTHCARE LTD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90283957,"3,751.24",LONDON RESIDENTIAL HEALTHCARE LTD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
Royal Borough of Kingston,01/11/2023,90283960,"3,571.11",LONDON RESIDENTIAL HEALTHCARE LTD,SOCIAL SERVICES RESIDENTIAL,Adult Social Care & Health,Independent Placements,A56006
