Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation ,Service Division Categorisation,Expense Type
Milton Keynes City Council,05-Jan-24,51501028358,"£2,942.12",Simply Carehome Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028365,"£2,942.12",Gold Care Management Services Ltd Re: Bletchley House,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028369,"£2,942.12",Gold Care Management Services Ltd Re: Bletchley House,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028007,"£2,949.56",Tyringham Care Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028267,"£2,951.28",Sanctuary Care Ltd Re: Caton House,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,05-Jan-24,51501027788,"£2,952.60",Blessings Care Ltd,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,05-Jan-24,51501027317,"£2,952.60",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501027357,"£2,952.60",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501027549,"£2,952.60",Infinate Limited,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501027265,"£2,954.28",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501028245,"£2,991.32",Methodist Homes,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,05-Jan-24,51501028402,"£2,997.36",DES Healthcare Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028409,"£3,000.00",Kingsley Healthcare (BL) Limited,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,05-Jan-24,51501027982,"£3,015.72",Olney Care Homes Limited T/a Bay House Residential Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501027637,"£3,015.87",Intrust Care Ltd,Adult Services,Autism,Living support grants
Milton Keynes City Council,05-Jan-24,51501028188,"£3,022.24",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028360,"£3,035.84",Simply Carehome Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028276,"£3,053.96",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,05-Jan-24,51501028291,"£3,056.12",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,05-Jan-24,51501026666,"£3,072.80",Redacted Personal Data ,Adult Services,Learning Disability,Domiciliary Care
Milton Keynes City Council,05-Jan-24,51501027379,"£3,079.14",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501027389,"£3,079.14",Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,05-Jan-24,51501027607,"£3,109.51",Precious Homes Support Limited,Adult Services,Learning Disability,Living support grants
