Updated,TT,Transaction Number,Amount,Ap/Ar ID,Ap/Ar ID(T),Period,Expense Area(T),Cipfa(T),Individual Supplier(T)
21/02/2023,GI,3169126,796.75,HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169127,952.25,HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169128,"1,014.00",HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169129,"1,014.00",HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169130,952.25,HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169131,"1,014.00",HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169132,"1,323.50",HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169134,710.25,HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169135,452.25,HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169136,452.25,HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169137,452.25,HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
21/02/2023,GI,3169138,823.5,HC106975,Hoople Ltd,202311,Dedicated Schools Grant,Support Services,No
