Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,06/09/2024,601532770,13712,0,13712,Hawthorn Hotel,People (Adults),Rents
Salford City Council,06/09/2024,601532887,3400,0,3400,Howarth Housing Group,People (Adults),Rents
Salford City Council,06/09/2024,1600742006,12324,2054,10270,Jep Youth Engagement Ltd,People (Childrens),Payments to Agencies
Salford City Council,06/09/2024,1600742512,2217.6,369.6,1848,Karcher ( Uk ) Ltd,Place,Vehicle annual contract Hire (vms)
Salford City Council,06/09/2024,1600742521,2217.6,369.6,1848,Karcher ( Uk ) Ltd,Place,Vehicle annual contract Hire (vms)
Salford City Council,06/09/2024,6003965904,656.4,0,656.4,Lion Fpg,Resources & Transformation,Printing & Photocopying
Salford City Council,06/09/2024,601532973,692,0,692,Liverpool University Hospital Nhs T,Public Health,Payments to Agencies
Salford City Council,06/09/2024,1600742313,11510.4,1918.4,9592,Lodestone Oxford Limited,Public Health,Marketing & Publicity
Salford City Council,06/09/2024,1600742441,2588.44,431.41,2157.03,Manchester Ship Canal Company,Place,Principal Road Maintenance
Salford City Council,06/09/2024,601532971,613.96,0,613.96,Mwl Teaching Hospitals Nhs Trust,Public Health,Payments to Agencies
Salford City Council,06/09/2024,1600742561,7628.58,0,7628.58,Next Stage A Way Forward Youth,People (Childrens),Payments to Agencies
Salford City Council,06/09/2024,1600742558,3600,600,3000,Nexus Planning Limited,Capital Expenditure,External Fees - Other
Salford City Council,06/09/2024,601533071,103962.16,17327.03,86635.13,Nsl Ltd,Place,Contractors
Salford City Council,06/09/2024,601533034,19913.35,3318.89,16594.46,Peel Media Ltd,Resources & Transformation,Service Tenancies
Salford City Council,06/09/2024,1600742471,1740,290,1450,Pixel Financial Management Ltd,Resources & Transformation,Other Professional Fees
Salford City Council,06/09/2024,6003965927,600,0,600,Ppma,Resources & Transformation,Subscriptions
Salford City Council,06/09/2024,601532899,501.6,83.6,418,Psi (Resources) Limited,Place,delegated kitchen formula
Salford City Council,06/09/2024,601532900,507.6,84.6,423,Psi (Resources) Limited,Place,delegated kitchen formula
Salford City Council,06/09/2024,1600741990,23783.22,0,23783.22,Raise The Youth Foundation Cic Ltd,People (Childrens),SEN Expenditure
Salford City Council,06/09/2024,1600741992,30351.15,0,30351.15,Raise The Youth Foundation Cic Ltd,People (Childrens),SEN Expenditure
Salford City Council,06/09/2024,1600741993,30351.15,0,30351.15,Raise The Youth Foundation Cic Ltd,People (Childrens),SEN Expenditure
Salford City Council,06/09/2024,1600741996,31398.9,0,31398.9,Raise The Youth Foundation Cic Ltd,People (Childrens),SEN Expenditure
Salford City Council,06/09/2024,1600741997,31398.9,0,31398.9,Raise The Youth Foundation Cic Ltd,People (Childrens),SEN Expenditure
Salford City Council,06/09/2024,1600741994,32446.65,0,32446.65,Raise The Youth Foundation Cic Ltd,People (Childrens),SEN Expenditure
Salford City Council,06/09/2024,1600741991,33407.1,0,33407.1,Raise The Youth Foundation Cic Ltd,People (Childrens),SEN Expenditure
Salford City Council,06/09/2024,1600741995,36864.15,0,36864.15,Raise The Youth Foundation Cic Ltd,People (Childrens),SEN Expenditure
Salford City Council,06/09/2024,1600741989,38265.15,0,38265.15,Raise The Youth Foundation Cic Ltd,People (Childrens),SEN Expenditure
Salford City Council,06/09/2024,6003965526,4325.03,0,4325.03,Redacted Data,People (Adults),Home Helps
Salford City Council,06/09/2024,6003965416,16772.41,0,16772.41,Redacted Data,People (Adults),Home Helps
Salford City Council,06/09/2024,6003965427,22730.05,0,22730.05,Redacted Data,People (Adults),Home Helps
Salford City Council,06/09/2024,6003965522,29007.93,0,29007.93,Redacted Data,People (Adults),Home Helps
Salford City Council,06/09/2024,6003965389,36237.19,0,36237.19,Redacted Data,People (Adults),Home Helps
Salford City Council,06/09/2024,6003965501,40985.4,0,40985.4,Redacted Data,People (Adults),Home Helps
Salford City Council,06/09/2024,6003965485,44746.76,0,44746.76,Redacted Data,People (Adults),Home Helps
