Department,Spending area,Expense type,Posting date,Reference,Amount,Supplier Name with Redactions
Hampshire & Isle of Wight Constabulary,EMPLOYEE RELATIONS,Technical and Professional Consultant F,45391,2200214246,1050,Redacted - Personal Payment
Hampshire & Isle of Wight Constabulary,EMPLOYEE RELATIONS,Technical and Professional Consultant F,45405,2200215151,1925,Redacted - Personal Payment
Hampshire & Isle of Wight Constabulary,Estate Building Security,General Maintenance,45383,2200213717,1965,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Estate Building Security,Security Costs,45383,2200213702,2437.46,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Estate Building Security,Security Costs,45383,2200213704,2424.47,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Estate Building Security,Security Costs,45383,2200214259,2787.46,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Estate Building Security,Security Costs,45383,2200214337,1495.17,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Estate Building Security,Security Costs,45383,2200214344,2626.46,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Estate Building Security,Security Costs,45383,2200214345,3338.61,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Estate Building Security,Security Costs,45383,2200214346,2048.16,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Estate Building Security,Security Costs,45383,2200214347,1845.17,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Estate Building Security,Security Costs,45383,2200213744,119641.7,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Estate Building Security,Security Costs,45398,2200214736,819.6,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Estate Building Security,Security Costs,45399,2200214846,44055,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Estate Building Security,Security Costs,45407,2200215360,1011,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Estate Building Security,Security Costs,45411,2200215419,1135,Redacted - Operational
Hampshire & Isle of Wight Constabulary,Estate Building Security,Security Costs,45411,2200215420,1790.5,Redacted - Operational
