DCC Transparency Report Supplier Payment over ï¿½500,,,,,,,,,,,,,
,,,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,,Purpose of Spend,Procurement Classification,Selection Code 3 Description,,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,3138,14118,564.96,East OP (over 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,3171,14121,672,East Adults (under 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,3189,14122,668.24,East Adults (under 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,3230,14126,"1,141.28",East OP (over 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,1467,14127,"1,104.00",East OP (over 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,1477,14128,740.12,East Adults (under 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,1494,14129,622.36,East Adults (under 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,25/04/2023,1499,14130,900,East Adults (under 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,1514,14131,840,East OP (over 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,1528,14132,976.32,East Adults (under 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,6,14133,578.32,West OP (over 65) Physical - DP/Mgd,,SME,,
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,REDACTED,25/04/2023,1552,14134,"1,717.84",West Adults (under 65) Sensory - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,1566,14135,945.2,West OP (over 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,1575,14137,"1,197.12",West OP (over 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Mental Health Support,Community Support - Mental Health Suppor,REDACTED,25/04/2023,1584,14138,767.4,West OP (under 65) Mental Health - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,1625,14140,"1,064.00",West OP (over 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,25/04/2023,1644,14142,"7,466.96",West Adults (under 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,1645,14143,"1,365.36",West Adults (under 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,25/04/2023,1647,14144,"1,154.44",West Adults (under 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,1652,14145,754.44,West Adults (under 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,25/04/2023,1653,14146,968.04,West Adults (under 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,25/04/2023,1838,14152,546.8,West Adults (under 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,25/04/2023,1840,14153,"1,780.00",West OP (over 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,25/04/2023,1844,14154,583.04,West Adults (under 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,25/04/2023,1857,14155,"1,840.00",West Adults (under 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,1895,14156,"1,126.88",West Adults (under 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,25/04/2023,1909,14157,640,West Adults (under 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,25/04/2023,1971,14163,"1,345.24",West OP (over 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,25/04/2023,1972,14164,"1,664.88",West OP (over 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,25/04/2023,1990,14166,"2,101.64",West Adults (under 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,REDACTED,25/04/2023,2008,14167,520.56,West Adults (under 65) Sensory - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,2039,14168,"1,049.00",West OP (over 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,2050,14169,806.04,West OP (over 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,2064,14170,"1,077.52",West OP (over 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,25/04/2023,2071,14171,734.4,West Adults (under 65) LD - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,2072,14172,"4,863.84",West Adults (under 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,REDACTED,25/04/2023,2095,14175,825.24,West OP (over 65) Sensory - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,25/04/2023,2153,14180,"7,631.12",West Adults (under 65) Physical - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1677,14183,"4,590.20",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1678,14184,864,Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1684,14185,"1,793.36",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1714,14186,"2,630.44",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1735,14187,"3,401.44",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1755,14188,"1,801.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1770,14189,"1,432.52",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1781,14190,"2,457.60",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1787,14191,"1,285.60",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1788,14192,"1,444.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1790,14193,"1,680.28",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1803,14195,"13,792.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1812,14196,"4,590.20",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1826,14198,"1,216.24",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1830,14199,"1,852.40",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1837,14200,642.8,Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1837,14201,"1,200.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1842,14202,"1,200.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1843,14203,"2,443.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1846,14204,882.96,Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1853,14205,"1,560.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1854,14206,"1,725.20",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1862,14207,"1,695.84",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1864,14208,600,Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1865,14209,860.2,Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1867,14210,"3,299.20",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1869,14211,947.04,Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1872,14212,"4,459.72",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1873,14213,"1,208.04",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1874,14214,"1,208.04",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1876,14215,"1,209.24",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1879,14216,"2,692.44",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1881,14217,"3,741.96",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1885,14218,"1,583.08",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1889,14219,"1,201.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1894,14220,"1,200.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1896,14221,"1,370.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1897,14222,675.64,Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1898,14223,514.44,Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1904,14225,"2,404.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1906,14226,"1,641.28",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1913,14227,"3,348.32",Ordinary Lives MH Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1915,14228,"1,168.32",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1916,14229,"1,727.92",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1921,14230,"3,068.68",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1927,14231,"1,191.48",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1934,14232,"2,665.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1947,14233,"2,097.56",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1948,14234,"1,300.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1950,14235,"1,308.04",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1967,14236,"3,741.96",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1987,14237,"3,388.44",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2023,14238,"1,308.04",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2028,14239,"2,785.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2044,14240,"3,457.68",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2056,14241,"1,620.04",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2057,14242,"1,463.44",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2058,14243,"5,391.24",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2066,14244,"2,672.24",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2086,14245,"9,498.28",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2097,14246,"8,230.84",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2098,14247,"1,600.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2116,14248,569.96,Ordinary Lives MH Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2148,14249,"6,523.84",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2251,14251,"1,440.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2265,14252,"1,508.60",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2306,14253,"2,615.52",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2341,14254,"1,224.88",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2356,14255,"3,360.00",Ordinary Lives Sensory Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2380,14257,"2,948.40",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2387,14258,934.4,Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2415,14259,"2,607.24",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2443,14260,"6,519.24",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2469,14261,"7,266.96",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,2502,14262,"5,559.72",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,3081,14263,"1,400.00",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,3229,14264,"2,738.04",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1478,14265,"3,503.76",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1489,14266,"1,299.20",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1506,14267,"2,446.80",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,25/04/2023,1541,14268,"3,799.92",Ordinary Lives LD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,25/04/2023,2165,14286,"1,110.36",Central/East MH PD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,25/04/2023,2358,14293,"1,264.36",Central/East MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,25/04/2023,2359,14294,"1,689.48",Central/East MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,25/04/2023,2366,14295,840,Central/East MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,25/04/2023,2367,14296,726.84,Central/East MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,25/04/2023,2386,14297,"1,184.04",Central/East MH PD Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,25/04/2023,2392,14298,"2,123.84",Central/East MH Memory Support (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,25/04/2023,2426,14301,807.16,Central/East MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business),,
People Services - Adults and Health,Mental Health,Mental Health Support,Mental Health - Mental Health Support,REDACTED,25/04/2023,2429,14302,889.44,Central/East MH Support Adults (under 65) - DP/Mgd,,Individual (Non Business),,
