,,,,,,,,,,
Organisation name,Organisation Code,Directorate,Service Category label,Service Category code,Supplier name,Payment date,Transaction number,Net Amount,Purpose of spend,Procurement category name
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,839.64",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,839.64",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,839.64",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,839.64",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,432.64",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3078,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,220.31",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3152,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,354.54",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3993,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,839.64",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,839.64",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,839.64",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,839.64",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,839.64",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,839.64",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3590,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,617.64",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,432.64",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3993,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,543.64",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3200,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,154.82",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3200,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,891.44,Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3200,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,167.60",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3200,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,362.20",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3200,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,946.00",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3231,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,675.56",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3993,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,501.92",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3790,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,543.64",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3790,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,543.64",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3078,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"2,064.81",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3993,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,543.64",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3993,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"3,353.36",Recruitment,Indirect Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"6,463.20",Recruitment,Indirect Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,7190,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,587.60,Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,7190,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,641.84,Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,2078,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"5,792.33",Recruitment,Indirect Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Housing Services,6165,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,655.20,Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Adult Social Care,6012,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,920.95,Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Cultural and Related Services,2139,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,987.94,Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Housing Services,6130,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,927.48,Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Planning Services,5643,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,053.94",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Cultural and Related Services,7505,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,648.98,Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Cultural and Related Services,7505,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,650.46,Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Cultural and Related Services,7505,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,650.46,Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Cultural and Related Services,7505,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,648.63,Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Cultural and Related Services,7505,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,692.44,Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Environmental And Regulatory Services,7031,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"2,324.28",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Environmental And Regulatory Services,7031,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"2,905.35",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Environmental And Regulatory Services,7031,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"2,905.35",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Highways And Transport Services,5005,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,740.90",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Highways And Transport Services,5235,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,731.05",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Highways And Transport Services,5021,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"2,448.90",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Strategy & Change,Central Services,7105,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,993.65,Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Strategy & Change,Central Services,7130,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,800.00",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Strategy & Change,Central Services,7130,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"2,025.00",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Strategy & Change,Central Services,7105,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"2,347.28",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Strategy & Change,Central Services,7105,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"3,211.88",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Strategy & Change,Central Services,7105,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"2,567.96",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Strategy & Change,Central Services,7105,HAYS SPECIALIST RECRUITMENT LTD RECEIPTS RECRUITMENT FILE ONLY,24/12/2024,12076047,"1,322.26",Agency Staff,Direct Employee Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,8608,HOPEWORX RE-USE CENTRE,24/12/2024,12076047,"1,416.67",Furniture Purchase,Equipment Furniture And Materials
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9008,IGNE UXO LIMITED,24/12/2024,12076047,840.00,Contractors General,Contractors General
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,INDIGO CHILDREN'S CARE HOMES LTD,24/12/2024,12076047,"26,000.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,INTEGRATED SERVICES PROGRAMME,24/12/2024,12076047,"3,373.72",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Highways And Transport Services,5225,INTERNATIONAL PARKING SYSTEMS (UK) LIMITED,24/12/2024,12076047,943.90,Services,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3455,IRON MOUNTAIN (UK) PLC,24/12/2024,12076047,947.42,Document Archive,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Environmental And Regulatory Services,7035,JAD SERVICES LTD,24/12/2024,12076047,"1,500.00",Repairs And Maintenance Contracts,"Repairs, alterations and maintenance of buildings"
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3456,JOANNE HINES T/A OYSTER-WS,24/12/2024,12076047,564.00,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Adult Social Care,6012,REDACTED PERSONAL DATA,24/12/2024,12076047,500.00,Additional Allowances (non employee),Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3456,JUMP START CENTRE LTD,24/12/2024,12076047,807.50,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Adult Social Care,6012,REDACTED PERSONAL DATA,24/12/2024,12076047,500.00,Additional Allowances (non employee),Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Cultural And Related Services,4200,KEEP BRITAIN TIDY,24/12/2024,12076047,"3,110.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,KEYS PCE LIMITED,24/12/2024,12076047,"28,812.16",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3092,KITES CHILDRENS SERVICES LTD,24/12/2024,12076047,"11,309.32",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,KITES CHILDRENS SERVICES LTD,24/12/2024,12076047,"22,618.68",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Cultural And Related Services,4123,LECS (UK) LTD,24/12/2024,12076047,"1,250.00",Repairs And Maintenance Contracts,"Repairs, alterations and maintenance of buildings"
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3290,LEIGHVIEW HOUSE LTD T/A LEIGHVIEW HOUSE ROMFORD LTD,24/12/2024,12076047,700.00,Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3307,LEIGHVIEW HOUSE LTD T/A LEIGHVIEW HOUSE ROMFORD LTD,24/12/2024,12076047,-885.72,Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3308,LEIGHVIEW HOUSE LTD T/A LEIGHVIEW HOUSE ROMFORD LTD,24/12/2024,12076047,"1,100.00",Accomodation Payment,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Finance & Resources,Central Services,8608,LIGHTHOUSE FURNITURE PROJECT LTD,24/12/2024,12076047,"3,932.55",Furniture Purchase,Equipment Furniture And Materials
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,LIONCARE LTD T/A SEAFIELDS,24/12/2024,12076047,"21,711.86",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3250,MAJESTIC FAMILY SERVICES LIMITED,24/12/2024,12076047,"11,057.05",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Central Services,9010,MARLOW INTEGRATED DESIGNS LTD,24/12/2024,12076047,644.00,Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Housing Services,9005,MARSTAN BDB LLP,24/12/2024,12076047,"1,285.71",Main Contractor,Main Contractor
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3265,REDACTED PERSONAL DATA,24/12/2024,12076047,"2,641.50",Conveyance of Clients,Contract Hire And Operating Leases
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Strategy & Change,Adult Social Care,3201,MISS KATE MILLER,24/12/2024,12076047,500.00,Commissioned Training,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Strategy & Change,Central Services,7105,MISS KATE MILLER,24/12/2024,12076047,800.00,Barristers fees,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1105,MISS TARISAI MUSWABURI T/A PTSMART CARE,24/12/2024,12076047,"5,603.50",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1205,MISS TARISAI MUSWABURI T/A PTSMART CARE,24/12/2024,12076047,"1,498.06",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3188,REDACTED PERSONAL DATA,24/12/2024,12076047,"1,344.00",Conveyance of Clients,Contract Hire And Operating Leases
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Central Services,9007,MOTT MACDONALD,24/12/2024,12076047,"54,453.85",Contractors General,Contractors General
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Housing Services,6010,MR & MRS G CETNIK T/A PAVILION HOTEL,24/12/2024,12076047,"1,323.00",Accommodation Costs,Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3025,REDACTED PERSONAL DATA,24/12/2024,12076047,"1,318.00",Grants,Grants And Subscriptions
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Housing Services,6130,MR MARK JOSEPH T/A ARCH CORPORATE LTD,24/12/2024,12076047,"1,150.00",Loans,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Adult Social Care,6012,REDACTED PERSONAL DATA,24/12/2024,12076047,500.00,Additional Allowances (non employee),Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Adult Social Care,6012,REDACTED PERSONAL DATA,24/12/2024,12076047,500.00,Additional Allowances (non employee),Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Adult Social Care,6012,REDACTED PERSONAL DATA,24/12/2024,12076047,500.00,Additional Allowances (non employee),Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3992,REDACTED PERSONAL DATA,24/12/2024,12076047,825.00,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3455,REDACTED PERSONAL DATA,24/12/2024,12076047,626.15,Guardianship Orders,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1365,MRS T J WOODGATE T/A TOP CATS,24/12/2024,12076047,"1,153.78",Pet Boarding,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1305,REDACTED PERSONAL DATA,24/12/2024,12076047,"5,985.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Adult Social Care,6012,REDACTED PERSONAL DATA,24/12/2024,12076047,500.00,Additional Allowances (non employee),Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Adult Social Care,6012,REDACTED PERSONAL DATA,24/12/2024,12076047,500.00,Additional Allowances (non employee),Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Adult Social Care,1007,NATIONAL FEDERATION OF ALMOS LTD,24/12/2024,12076047,750.00,Consultancy Services,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Children And Education Services,7010,NE LON NHS FT T/A NORTH EAST LONDON NHS FOUNDATION TRUST,24/12/2024,12076047,"19,492.67",Education Services,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1209,NEATER SOLUTIONS LTD,24/12/2024,12076047,"3,450.00",Tools And Equipment Purchase,Equipment Furniture And Materials
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3310,NEW WAY TUITION LTD,24/12/2024,12076047,900.00,Education Services,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3092,NEW WAY TUITION LTD,24/12/2024,12076047,"2,160.00",Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3481,NEWHAVEN CARE LIMITED,24/12/2024,12076047,"16,398.40",Professional Fees,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Planning Services,5520,NEWSQUEST MEDIA GROUP LTD,24/12/2024,12076047,781.11,Non Staff Advertising,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Strategy & Change,Central Services,7105,NTC SERVICES LIMITED T/A MR GRAHAME RICHARDSON,24/12/2024,12076047,690.00,Barristers fees,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Housing Services,6010,OCTAGON PIER T/A PARK INN PALACE,24/12/2024,12076047,"2,958.31",Accommodation Costs,Expenses
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Public Health,1512,OPEN ROAD SOLUTIONS LIMITED,24/12/2024,12076047,"3,750.00",Medical And Health Services,Services
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Environmental And Regulatory Services,4575,OSBORNE RICHARDSON LTD,24/12/2024,12076047,566.00,Private Contractors,Other Agencies
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Adults & Communities,Adult Social Care,1209,OTS LIMITED,24/12/2024,12076047,"2,449.00",Alterations And Adaptations,"Repairs, alterations and maintenance of buildings"
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Environment & Place,Cultural And Related Services,4200,PLASWOOD GROUP T/A BPI RECYCLED PRODUCTS,24/12/2024,12076047,"3,852.98",Materials,Equipment Furniture And Materials
Southend-on-Sea City Council,https://opendatacommunities.org/doc/unitary-authority/southend,ED Children & Public Health,Children And Education Services,3592,PRECIOUS CHILD CONTACT SERVICES LTD,24/12/2024,12076047,962.50,Private Contractors,Other Agencies
