Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Service Area Categorisation (MKC only),Service Division Categorisation (MKC only),Expense Type
Milton Keynes City Council,03-Mar-23,51500870264,"-£1,485.16",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870284,"-£1,485.16",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870270,"-£1,485.16",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500871048,"-£1,469.12",Adara Healthcare Ltd t/a Burlington Hall,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871140,"-£1,457.14",Adara Healthcare Ltd t/a Burlington Hall,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,03-Mar-23,51500870870,"-£1,456.32",Methodist Homes,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871065,"-£1,377.72",Acer Healthcare Operations Limited,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871059,"-£1,335.28",Acer Healthcare Operations Limited,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870695,"-£1,314.60",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870801,"-£1,311.52",Valuecare Ltd Re: Lathbury Manor,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870898,"-£1,305.92",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870705,"-£1,289.96",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870757,"-£1,282.72",Tyringham Care Ltd,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871046,"-£1,251.40",Adara Healthcare Ltd t/a Burlington Hall,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870717,"-£1,224.28",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870704,"-£1,223.88",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870690,"-£1,221.32",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871106,"-£1,212.72",Lansglade Homes Ltd t/a Annandale Lodge,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870738,"-£1,208.52",Olney Care Homes Limited T/a Bay House Residential Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870829,"-£1,195.92",Greensleeves Homes Trust Re: Tickford Abbey,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870805,"-£1,195.44",Valuecare Ltd Re: Lathbury Manor,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870869,"-£1,193.08",Methodist Homes,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870896,"-£1,185.52",Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871104,"-£1,145.40",Lansglade Homes Ltd t/a Annandale Lodge,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870760,"-£1,132.56",Tyringham Care Ltd,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870799,"-£1,124.12",Valuecare Ltd Re: Lathbury Manor,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871173,"-£1,100.13",Simply Carehome Ltd,Adult Services,Commissioning & Contracts,Residential Care
Milton Keynes City Council,03-Mar-23,51500870758,"-£1,094.48",Tyringham Care Ltd,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870356,"-£1,087.24",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870339,"-£1,087.24",Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870644,"-£1,086.00",Sanctuary Care Ltd Re: Caton House,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870748,"-£1,083.53",Cinnabar Support and Living Ltd Re: The Beeches,Adult Services,Mental Health,Residential Care
Milton Keynes City Council,03-Mar-23,51500871102,"-£1,083.48",Royal Masonic Benevolent Institution Care Company t/a Cornwallis Court,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870693,"-£1,073.48",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870696,"-£1,061.64",Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870916,"-£1,059.20",Cinnabar Support and Living Ltd Re: The Stratfords Residential Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871142,"-£1,032.96",Macintyre Care,Adult Services,Learning Disability,Residential Care
Milton Keynes City Council,03-Mar-23,51500870806,"-£1,013.44",Valuecare Ltd Re: Lathbury Manor,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870781,"-£1,005.88",Barchester Healthcare Homes Ltd Re: Ashby House Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870739,"-£1,000.44",Olney Care Homes Limited T/a Bay House Residential Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871057,-£997.24,P J Care Ltd Re: Mallard House,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870713,-£996.80,Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870712,-£988.20,Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870639,-£985.60,Sanctuary Care Ltd Re: Caton House,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870873,-£966.84,Methodist Homes,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500869578,-£956.31,Yelverton Care LLP Re: The Long Brook RH,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871051,-£947.20,Parklands Nursing Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870288,-£944.88,Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870815,-£937.84,Valuecare Ltd Re: Lathbury Manor,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870930,-£928.46,Acer Healthcare Operations Limited,Adult Services,Commissioning & Contracts,Nursing Care
Milton Keynes City Council,03-Mar-23,51500870626,-£927.56,SAH Nursing Homes Ltd Re: Rosalyn House,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871049,-£918.44,Adara Healthcare Ltd t/a Burlington Hall,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500869588,-£905.48,Yelverton Care LLP Re: The Long Brook RH,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500869584,-£905.48,Yelverton Care LLP Re: The Long Brook RH,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500869581,-£905.48,Yelverton Care LLP Re: The Long Brook RH,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500869585,-£905.48,Yelverton Care LLP Re: The Long Brook RH,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500869583,-£905.48,Yelverton Care LLP Re: The Long Brook RH,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500869587,-£905.48,Yelverton Care LLP Re: The Long Brook RH,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500869586,-£905.48,Yelverton Care LLP Re: The Long Brook RH,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500869582,-£905.48,Yelverton Care LLP Re: The Long Brook RH,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870699,-£905.28,Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871091,-£905.28,Simply Carehome Ltd,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870899,-£883.92,Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870072,-£873.38,Infinate Limited,Adult Services,Mental Health,Living support grants
Milton Keynes City Council,03-Mar-23,51500870643,-£873.24,Sanctuary Care Ltd Re: Caton House,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870703,-£869.80,Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870707,-£863.12,Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870906,-£860.64,Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870832,-£852.36,Greensleeves Homes Trust Re: Tickford Abbey,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870780,-£851.68,Barchester Healthcare Homes Ltd Re: Ashby House Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871093,-£848.92,Simply Carehome Ltd,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500869579,-£840.80,Yelverton Care LLP Re: The Long Brook RH,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870057,-£837.32,Infinate Limited,Adult Services,Autism,Living support grants
Milton Keynes City Council,03-Mar-23,51500870598,-£837.32,Infinate Limited,Adult Services,Autism,Living support grants
Milton Keynes City Council,03-Mar-23,51500870600,-£837.32,Infinate Limited,Adult Services,Autism,Living support grants
Milton Keynes City Council,03-Mar-23,51500871094,-£827.24,Simply Carehome Ltd,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870709,-£805.72,Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870894,-£783.72,Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870830,-£775.76,Greensleeves Homes Trust Re: Tickford Abbey,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870734,-£775.48,Olney Care Homes Limited T/a Bay House Residential Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871100,-£772.12,GCH (Hertfordshire) Ltd,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870735,-£768.16,Olney Care Homes Limited T/a Bay House Residential Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870691,-£766.48,Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870706,-£766.32,Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871060,-£751.12,Acer Healthcare Operations Limited,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870641,-£748.08,Sanctuary Care Ltd Re: Caton House,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870798,-£736.40,Valuecare Ltd Re: Lathbury Manor,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870109,-£731.80,Fremantle Trust,Adult Services,Learning Disability,Living support grants
Milton Keynes City Council,03-Mar-23,51500870804,-£729.48,Valuecare Ltd Re: Lathbury Manor,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871089,-£724.52,Simply Carehome Ltd,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870701,-£721.64,Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870897,-£721.28,Eminence Care Service (Broomfield) Ltd Re:Broomfield Residential Care,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500871081,-£720.40,Caretech Community Services Ltd,Adult Services,Learning Disability,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870747,-£716.40,Cinnabar Support and Living Ltd Re: The Beeches,Adult Services,Mental Health,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870736,-£711.16,Olney Care Homes Limited T/a Bay House Residential Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870708,-£707.80,Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870725,-£706.80,Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870802,-£690.60,Valuecare Ltd Re: Lathbury Manor,Adult Services,Commissioning & Contracts,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870918,-£689.52,Cinnabar Support and Living Ltd Re: The Stratfords Residential Home,Adult Services,Learning Disability,Client Care Contributions
Milton Keynes City Council,03-Mar-23,51500870700,-£688.88,Avery Homes (Nelson) Limited re Milton Court Care Home,Adult Services,Commissioning & Contracts,Client Care Contributions
