﻿PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
02-OCT-2024,C&FS (P),REDACTED PERSONAL DATA,GENERAL,5323-External SEN Providers Independent Sch,£869.73
02-OCT-2024,Corporate Resources (CR) (P),Andy Kirk Contractors Ltd,SUBCONTRACTOR,2101-R&M Buildings,"£5,600.00"
02-OCT-2024,C&FS (P),REDACTED PERSONAL DATA,GENERAL,5621-Transfer Payments,£542.58
02-OCT-2024,Environment & Transport (P),APSE (Association for Public Service Excellence),TRADE SUPPLIER,4909-Subscriptions,"£1,070.00"
02-OCT-2024,C&FS (P),Arch Homes & Support Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£6,793.34"
02-OCT-2024,Environment & Transport (P),Arriva Midlands Ltd,TRADE SUPPLIER,5428-Minimum Cost Contracts,"£167,608.73"
02-OCT-2024,Environment & Transport (P),Ausden Clark Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£520.00
02-OCT-2024,Environment & Transport (P),Ausden Clark Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£540.00
02-OCT-2024,Environment & Transport (P),Ausden Clark Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£720.00
02-OCT-2024,Environment & Transport (P),Ausden Clark Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£1,040.00"
02-OCT-2024,Environment & Transport (P),Ausden Clark Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£980.00
02-OCT-2024,Environment & Transport (P),Ausden Clark Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£520.00
02-OCT-2024,C&FS (P),BABBLEBROOKE LTD&&EYRS1772,GENERAL,4908-Grants,£630.00
02-OCT-2024,Environment & Transport (P),Bains Travel,TRADE SUPPLIER,3125-Transport External Operator Contract,"£1,100.00"
02-OCT-2024,Environment & Transport (P),Bains Travel,TRADE SUPPLIER,3125-Transport External Operator Contract,£744.00
02-OCT-2024,Environment & Transport (P),Bains Travel,TRADE SUPPLIER,3125-Transport External Operator Contract,£920.00
02-OCT-2024,Environment & Transport (P),Bains Travel,TRADE SUPPLIER,3125-Transport External Operator Contract,"£2,160.00"
02-OCT-2024,Environment & Transport (P),Bains Travel,TRADE SUPPLIER,3125-Transport External Operator Contract,£753.00
02-OCT-2024,Environment & Transport (P),Bains Travel,TRADE SUPPLIER,3125-Transport External Operator Contract,"£3,970.00"
02-OCT-2024,Environment & Transport (P),Bains Travel,TRADE SUPPLIER,3125-Transport External Operator Contract,£540.00
02-OCT-2024,Environment & Transport (P),Bains Travel,TRADE SUPPLIER,3125-Transport External Operator Contract,£660.00
02-OCT-2024,Environment & Transport (P),Bains Travel,TRADE SUPPLIER,3125-Transport External Operator Contract,"£4,340.00"
02-OCT-2024,C&FS (P),BEAVER CHILDCARE LTD T/A CHARNWOOD  PRE SCHOOL & OUT OF SCHOOL CLUB&&EYRS2598042,GENERAL,4908-Grants,"£1,890.00"
02-OCT-2024,C&FS (P),BEAVER CHILDCARE LTD T/A CHARNWOOD NURSERY  & PRE SCHOOL&&EYRS1519,GENERAL,4908-Grants,"£1,540.00"
02-OCT-2024,C&FS (P),BEAVER CHILDCARE LTD T/A CHARNWOOD PRESCHOOL&&EYRSEY562091,GENERAL,4908-Grants,"£2,100.00"
02-OCT-2024,Environment & Transport (P),Bennie Equipment Ltd,TRADE SUPPLIER,5411-Private Contractors - General,£710.97
02-OCT-2024,Environment & Transport (P),Biffa Waste Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£11,678.07"
02-OCT-2024,Corporate Resources (CR) (P),Blaby District Council,OTHER LOCAL AUTHORITIES,2311-Rates,"£392,751.00"
02-OCT-2024,C&FS (P),BLUEBELL NURSERY SCHOOL&&EYRS1748,GENERAL,4908-Grants,"£1,050.00"
02-OCT-2024,C&FS (P),BRADGATE PRESCHOOL&&EYRSEXMT0090,GENERAL,4908-Grants,£693.00
02-OCT-2024,Corporate Resources (CR) (P),British Telecommunications Plc,TRADE SUPPLIER,4606-IT Telecommunications Line Rental,"£3,643.00"
02-OCT-2024,C&FS (P),Cambridge Seminars College Ltd,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£15,750.00"
02-OCT-2024,C&FS (P),Cambridge Seminars College Ltd,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£3,160.00"
02-OCT-2024,Adults & Communities (P),Carlton Construction Services,SUBCONTRACTOR,2102-R&M Buildings Service Contracts,"£5,680.00"
02-OCT-2024,C&FS (P),REDACTED PERSONAL DATA,GENERAL,5323-External SEN Providers Independent Sch,"£1,619.38"
02-OCT-2024,C&FS (P),CHILDCARE CORPORATION LTD T/A THE LAURELS DAY NURSERY AND PRESCHOOL&&EYRS2637847,GENERAL,4908-Grants,£700.00
02-OCT-2024,C&FS (P),CHILDREN 1ST AT SHEPSHED&&EYRS1705,GENERAL,4908-Grants,"£1,680.00"
02-OCT-2024,Environment & Transport (P),Chipside Ltd,TRADE SUPPLIER,4907-Bank Charges,"£1,201.20"
02-OCT-2024,C&FS (P),REDACTED PERSONAL DATA,GENERAL,5323-External SEN Providers Independent Sch,£972.22
02-OCT-2024,C&FS (P),REDACTED PERSONAL DATA,GENERAL,5323-External SEN Providers Independent Sch,"£1,245.23"
02-OCT-2024,C&FS (P),REDACTED PERSONAL DATA,GENERAL,5323-External SEN Providers Independent Sch,£555.38
02-OCT-2024,C&FS (P),Clubszone CZ Ltd,GENERAL,4908-Grants,"£4,400.00"
02-OCT-2024,Environment & Transport (P),Coalville Cabs Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£627.00
02-OCT-2024,Environment & Transport (P),Coalville Cabs Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£627.90
02-OCT-2024,Environment & Transport (P),Coalville Cabs Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£1,876.80"
02-OCT-2024,Environment & Transport (P),Coalville Cabs Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£1,624.00"
02-OCT-2024,Environment & Transport (P),Coalville Cabs Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£1,020.40"
02-OCT-2024,Environment & Transport (P),Coalville Cabs Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£763.20
02-OCT-2024,Environment & Transport (P),Coalville Cabs Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£672.75
02-OCT-2024,Environment & Transport (P),Coalville Cabs Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£732.55
02-OCT-2024,Environment & Transport (P),Coalville Cabs Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,£533.60
02-OCT-2024,Environment & Transport (P),Coalville Cabs Ltd,TRADE SUPPLIER,3125-Transport External Operator Contract,"£1,072.26"
