PAYMENT DATE,DEPARTMENT,SUPPLIER NAME,PAY GROUP,ACCOUNT DESCRIPTION,NET AMOUNT
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£6,713.71"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£3,672.86"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£6,428.57"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£4,224.86"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£7,477.12"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£6,642.86"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£6,642.86"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£6,507.96"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£6,642.86"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£6,642.86"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£4,074.29"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£6,673.46"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),"£11,766.71"
01-Nov-24,C&FS (P),DFD Care and Support Services Ltd,TRADE SUPPLIER,5411-Private Contractors - General,"£6,642.86"
01-Nov-24,C&FS (P),Diverse Academies Trust T/A East Leake Academy,TRADE SUPPLIER,5323-External SEN Providers Independent Sch,"£4,879.28"
01-Nov-24,Environment & Transport (P),Dixons Coach & Travel Services,TRADE SUPPLIER,3125-Transport External Operator Contract,"£3,143.70"
01-Nov-24,C&FS (P),DJB Safeguarding Ltd,TRADE SUPPLIER,4507-Consultants & Specialists,£975.00
01-Nov-24,C&FS (P),DR&C Private Home Care Limited,TRADE SUPPLIER,5429-Community/Domiciliary,"£1,457.00"
01-Nov-24,C&FS (P),Duston Care Ltd,TRADE SUPPLIER,5451-LCT/LAC (Not Fostered),£550.00
01-Nov-24,Corporate Resources (CR) (P),Emarketeers Ltd,TRADE SUPPLIER,4603-IT Software Licenses/Subscription,"£2,100.00"
01-Nov-24,Environment & Transport (P),Enterprise Flex E Rent,TRADE SUPPLIER,3301-Vehicle & Plant Hire,"£1,746.57"
01-Nov-24,Environment & Transport (P),Enterprise Flex E Rent,TRADE SUPPLIER,3301-Vehicle & Plant Hire,"£1,746.57"
01-Nov-24,Environment & Transport (P),Enterprise Flex E Rent,TRADE SUPPLIER,3301-Vehicle & Plant Hire,"£2,378.67"
01-Nov-24,Environment & Transport (P),Enterprise Flex E Rent,TRADE SUPPLIER,3301-Vehicle & Plant Hire,"£1,746.57"
01-Nov-24,Environment & Transport (P),Enterprise Flex E Rent,TRADE SUPPLIER,3301-Vehicle & Plant Hire,£772.59
01-Nov-24,Environment & Transport (P),Enterprise Flex E Rent,TRADE SUPPLIER,3301-Vehicle & Plant Hire,£772.59
01-Nov-24,Environment & Transport (P),Enterprise Flex E Rent,TRADE SUPPLIER,3301-Vehicle & Plant Hire,"£2,378.67"
01-Nov-24,Environment & Transport (P),Enterprise Flex E Rent,TRADE SUPPLIER,3301-Vehicle & Plant Hire,£678.93
01-Nov-24,Environment & Transport (P),Enterprise Flex E Rent,TRADE SUPPLIER,3301-Vehicle & Plant Hire,£678.93
01-Nov-24,Environment & Transport (P),Enterprise Flex E Rent,TRADE SUPPLIER,3301-Vehicle & Plant Hire,£774.06
01-Nov-24,Environment & Transport (P),Enterprise Flex E Rent,TRADE SUPPLIER,3301-Vehicle & Plant Hire,"£2,378.67"
01-Nov-24,Environment & Transport (P),Enterprise Flex E Rent,TRADE SUPPLIER,3301-Vehicle & Plant Hire,£772.59
01-Nov-24,Environment & Transport (P),Enterprise Flex E Rent,TRADE SUPPLIER,3301-Vehicle & Plant Hire,"£1,746.57"
01-Nov-24,Environment & Transport (P),Enterprise Flex E Rent,TRADE SUPPLIER,3301-Vehicle & Plant Hire,"£2,378.67"
01-Nov-24,Environment & Transport (P),Enterprise Flex E Rent,TRADE SUPPLIER,3301-Vehicle & Plant Hire,£774.06
01-Nov-24,Environment & Transport (P),Enterprise Flex E Rent,TRADE SUPPLIER,3301-Vehicle & Plant Hire,"£1,073.52"
