date,supplier,directorate,purpose,amount
2023-04-21,Wakefield Metropolitan District Council,"Strategy, Comms & Intelligence",Grants and Agency costs,255607.68
2023-04-21,Kirklees Council,"Strategy, Comms & Intelligence",Grants and Agency costs,18050.49
2023-04-21,Bradford MDC,"Strategy, Comms & Intelligence",Grants and Agency costs,45899.26
2023-04-21,Leeds Teaching Hospitals NHS Trust,"Strategy, Comms & Intelligence",Grants and Agency costs,73754.98
2023-04-21,CFYDC (Chance) - Chapeltown Youth Development Centre,"Policing, Environment & Place",Grants and Agency costs,7890.8
2023-04-21,West Yorkshire Learning Providers Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,48900
2023-04-21,Bradford MDC,Projects,Projects,252692.45
2023-04-21,Bradford MDC,Projects,Projects,1583810.2
2023-04-21,Kirklees Council,Projects,Projects,17231.04
2023-04-21,Leeds City Council,Projects,Projects,1522791.44
2023-04-21,The Hawkins Consultancy Ltd,"Policing, Environment & Place",Consultancy and Professional Services,3156.96
2023-04-21,Munroe K Luxembourg SA,Projects,Projects,298609.83
2023-04-24,D. Noble Ltd,Projects,Projects,33112.67
2023-04-24,Wakefield Metropolitan District Council,Projects,Projects,9582.89
2023-04-24,Kirklees Council,Projects,Projects,112550.26
2023-04-27,Leeds City Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,12103.65
2023-04-27,Wakefield Metropolitan District Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,12256.83
2023-04-27,Calderdale MBC,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,10562.59
2023-04-27,Pudsey Grammar School,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,500
2023-04-27,Bruntcliffe Academy,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,500
2023-04-27,Brigshaw Learning Partnership,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,500
2023-04-27,Catherine Knibbs LTD,"Policing, Environment & Place",Grants and Agency costs,1500
2023-04-27,A Clemes,"Policing, Environment & Place",Consultancy and Professional Services,952.56
2023-04-27,Ottomans and Beds Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,10835
2023-04-27,Leeds City College,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,6000
2023-04-27,Foresight West Yorkshire Business Accelerator LP,Projects,Projects,99726.03
2023-04-27,Abbey Grange Academy,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,500
2023-04-27,Temple Learning Academy,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,500
2023-04-27,New Collaborative Learning Trust,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,500
2023-04-28,Apprentify Limited,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,5999.4
2023-04-28,Bradford MDC,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,16553.9
2023-04-28,Calderdale MBC,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,19103.260000000002
2023-04-28,Harrogate Borough Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,11899.55
2023-04-28,Kirklees Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,15976.62
2023-04-28,Leeds City Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,30908.12
2023-04-28,Wakefield Metropolitan District Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,6724.900000000001
2023-04-28,City of York Council,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,14086.41
2023-05-05,Natasha Mort,"Policing, Environment & Place",Consultancy and Professional Services,1064.45
2023-05-05,Bradford at Night Limited,"Policing, Environment & Place",Grants and Agency costs,33865
2023-05-05,Arley Foods Limited,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,50000
2023-05-05,Kirklees Council,Projects,Projects,426498.48
2023-05-05,Kirklees Council,Projects,Projects,159540.64
2023-05-05,City of York Council,Projects,Projects,96409.89
2023-05-05,City of York Council,Projects,Projects,450959.96
2023-05-05,City of York Council,Projects,Projects,290549.1
2023-05-05,City of York Council,Projects,Projects,1216172.15
2023-05-05,Foresight West Yorkshire Business Accelerator LP,Projects,Projects,1970443.35
2023-05-05,Leeds City Council,Projects,Projects,14755
2023-05-05,Northern Trains,Projects,Projects,1446436.94
2023-05-10,Bradford MDC,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,12227.22
2023-05-15,West Yorkshire Learning Providers Ltd,"Inclusivity, Economy, Skills & Culture",Grants and Agency costs,10124
2023-05-15,Bradford MDC,"Policing, Environment & Place",Grants and Agency costs,41988.76
2023-05-15,Kirklees Council,"Policing, Environment & Place",Grants and Agency costs,15820.2
2023-05-15,Leeds City Council,"Policing, Environment & Place",Grants and Agency costs,90075.56
2023-05-15,St Giles Trust,"Policing, Environment & Place",Grants and Agency costs,76825.44
2023-05-15,St Giles Trust,"Policing, Environment & Place",Grants and Agency costs,9677.83
2023-05-15,Calderdale MBC,"Policing, Environment & Place",Grants and Agency costs,44293.09
2023-05-15,Catch 22 Charity Ltd,"Policing, Environment & Place",Grants and Agency costs,8062
2023-05-15,Wakefield Metropolitan District Council,"Policing, Environment & Place",Grants and Agency costs,42500
2023-05-15,Wakefield Metropolitan District Council,"Policing, Environment & Place",Grants and Agency costs,72617.88
2023-05-15,Outwood Academy Hemsworth,"Policing, Environment & Place",Grants and Agency costs,49990.31
2023-05-15,Brathay Trust,"Policing, Environment & Place",Grants and Agency costs,31712.1
2023-05-15,St. James's University Hospital,"Policing, Environment & Place",Grants and Agency costs,109263.11
2023-05-15,The Youth Association,"Policing, Environment & Place",Grants and Agency costs,20058.8
