Cost Centre,Account,Expense Type,Supplier ID,Supplier Name,Trans No.,Payment Date,Amount excl. vat
Investment Programme Financing,60801,IT Software - Capital,9581,thinkproject UK Limited,7045699,45295,4401.9
Adult Education,32751,Provider Delivery Fees - Grant,9593,Shrewsbury Colleges Group,8014739,45314,6089.66
Adult Education,32752,Provider Delivery Fees - Contract,9594,Netcom Training Ltd,8014741,45314,260515.76
West Midlands Cycle Hire,31571,External Advice,9596,Serco Ltd,7046347,45313,3600
West Midlands Cycle Hire,31571,External Advice,9596,Serco Ltd,7046368,45313,3294.12
West Midlands Cycle Hire,31578,Management Fees,9596,Serco Ltd,7045663,45295,15766
West Midlands Cycle Hire,31578,Management Fees,9596,Serco Ltd,7046346,45313,118733.71
Adult Education,32752,Provider Delivery Fees - Contract,9598,Back 2 Work Complete Training Ltd,8014741,45314,26590.56
Adult Education,32752,Provider Delivery Fees - Contract,9601,Enterkey Training Ltd,8014741,45314,11957.35
Adult Education,32752,Provider Delivery Fees - Contract,9603,Challenge TRG Skills Limited,8014741,45314,90489.25
Adult Education,32752,Provider Delivery Fees - Contract,9604,Release Potential Ltd,8014741,45314,62011.31
Adult Education,32751,Provider Delivery Fees - Grant,9612,Dudley Metropolitan Borough Council,8014739,45314,125526.17
Adult Education,32751,Provider Delivery Fees - Grant,9613,University College Birmingham,8014739,45314,55258.18
Adult Education,32751,Provider Delivery Fees - Grant,9613,University College Birmingham,8014741,45314,10528.69
Adult Education,32751,Provider Delivery Fees - Grant,9614,The Workers Education Association,8014739,45314,62637
Adult Education,32751,Provider Delivery Fees - Grant,9615,NCG trading as Kidderminster College,8014739,45314,5005.63
Head of Operational Assets - Bus Stations,30502,Routine Maintenance,9640,Durolas,7046838,45322,1950
Head of Operational Assets - Rail Car Parks,30502,Routine Maintenance,9640,Durolas,7046839,45322,750
Director of Development & Delivery,60395,Physical Construction,9640,Durolas,7045892,45295,2000
Metro Programme Director,60395,Physical Construction,9673,TES Limited SME,7045974,45295,5881.85
Accessible Transport - Customer Service,31608,Software Maintenance,9684,8X8,7045873,45295,1354
Accessible Transport - Customer Service,31608,Software Maintenance,9684,8X8,7045874,45295,1354
Accessible Transport - Customer Service,31608,Software Maintenance,9684,8X8,7045875,45295,1354
Accessible Transport - Customer Service,31608,Software Maintenance,9684,8X8,7045877,45295,1354
Head of IT Delivery,31608,Software Maintenance,9684,8X8,7045878,45295,2340.1
Head of IT Delivery,31608,Software Maintenance,9684,8X8,7045879,45295,2340.16
Head of IT Delivery,31608,Software Maintenance,9684,8X8,7045880,45295,2340
Head of IT Delivery,31608,Software Maintenance,9684,8X8,7045881,45295,2340
Head of IT Delivery,31608,Software Maintenance,9684,8X8,7045882,45295,2341.84
Head of IT Delivery,31608,Software Maintenance,9684,8X8,7045883,45295,2340
Head of IT Delivery,31608,Software Maintenance,9684,8X8,7045884,45295,2340.08
Accessible Transport - Customer Service,31608,Software Maintenance,9684,8X8,7045946,45299,1354
Head of Swift,31603,IT Hardware,9698,Ticketer,7046354,45306,7200
UKSPF,31572,Consultants,9703,C&W Business Solutions,7046257,45302,21498.03
Industrial Strategy,31671,Revenue Contributions to Third Parties,9703,C&W Business Solutions,7046256,45302,249603.07
Delivery Director - Metro,31571,External Advice,9727,Highway Traffic Management Limited,7037239,45316,1090
Delivery Director - Metro,31571,External Advice,9727,Highway Traffic Management Limited,7046755,45316,1090
Metro Programme Director,60633,Tram Purchase Payments,9727,Highway Traffic Management Limited,7042863,45306,1635
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,9765,Birmingham City Council,7045295,45295,716
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,9765,Birmingham City Council,7046835,45322,816
Head of Bus,60002,Local Authority Staff Costs,9765,Birmingham City Council,7046677,45316,4552.14
Metro Programme Director,60394,Traffic Management,9765,Birmingham City Council,7045295,45295,1106
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,9779,Eon Energy Solutions Ltd (SE),7046585,45313,1461.3
Head of Operational Assets - Bus Infrastructure,60395,Physical Construction,9779,Eon Energy Solutions Ltd (SE),7045848,45295,1549.36
Head of Operational Assets - Bus Stations,60395,Physical Construction,9779,Eon Energy Solutions Ltd (SE),7045849,45295,17452.49
Head of Operational Assets - Bus Infrastructure,60395,Physical Construction,9779,Eon Energy Solutions Ltd (SE),7046584,45313,2260.44
Head of Operational Assets - Bus Infrastructure,60395,Physical Construction,9779,Eon Energy Solutions Ltd (SE),7046910,45322,8557.12
Head of Operational Assets - Bus Infrastructure,60395,Physical Construction,9779,Eon Energy Solutions Ltd (SE),7046911,45322,650
Head of Operational Assets - Bus Stations,60636,Bus Shelter Purchases,9779,Eon Energy Solutions Ltd (SE),7045847,45295,1579.86
Head of Operational Assets - Bus Infrastructure,30757,Shelter Repairs,9799,Dudley MBC,7046840,45322,810
Metro Programme Director,60002,Local Authority Staff Costs,9799,Dudley MBC,7046304,45322,213488.4
Metro Programme Director,60141,Legal Advice,9799,Dudley MBC,7046303,45320,17500
Metro Programme Director,60394,Traffic Management,9799,Dudley MBC,7045982,45295,822
Metro Programme Director,60394,Traffic Management,9799,Dudley MBC,7046840,45322,1752
Delivery Director - Sustainable Transport,60561,Contributions to 3rd Parties,9799,Dudley MBC,3004255,45316,52732.7
Delivery Director - Sustainable Transport,60561,Contributions to 3rd Parties,9799,Dudley MBC,3004277,45322,84047.13
Concessions Schemes,32433,Other Concessions ( Metro & Rail ),9801,First Trenitalia West Coast Rail Limited,3004187,45295,13738.35
Concessions Schemes,32433,Other Concessions ( Metro & Rail ),9801,First Trenitalia West Coast Rail Limited,3004276,45322,13738.75
Director of Housing & Regeneration,31571,External Advice,9802,Cast Consult Ltd,7045687,45295,5018
Director of Midlands Connect,31571,External Advice,9825,Atkins Réalis UK Limited,7045902,45295,7230.9
Director of Midlands Connect,31571,External Advice,9825,Atkins Réalis UK Limited,7045903,45295,9405
Director of Midlands Connect,31571,External Advice,9825,Atkins Réalis UK Limited,7046330,45313,1994.5
Delivery Director - Sustainable Transport,60890,Contingency (non-specific),9825,Atkins Réalis UK Limited,7046568,45313,21425.53
Director of Midlands Connect,31571,External Advice,9832,Censuswide Limited,7046446,45313,3600
Head of Swift,31604,IT Software Licenses and Applications,9862,Novoville,7045935,45295,12000
Head of Swift,31604,IT Software Licenses and Applications,9862,Novoville,7046297,45302,1000
Head of Swift,31604,IT Software Licenses and Applications,9862,Novoville,7046771,45320,1000
Commonwealth Games Legacy Fund,31572,Consultants,9878,ARTS COUNCIL ENGLAND,7045857,45295,4244.63
Commonwealth Games Legacy Fund,31572,Consultants,9878,ARTS COUNCIL ENGLAND,7046804,45320,4244.63
Director of Housing & Regeneration,60110,Financial & Commerical Advice,9942,Frontier Development Capital,7045886,45295,2500
Sprint,60001,Project Support Costs,9970,Arden Business Solutions Ltd,7046038,45299,8503.95
"Director of Policy, Strategy & Innovation",60001,Project Support Costs,9971,PJA Civil Engineering Limited,7046406,45306,1495
Metro Programme Director,60001,Project Support Costs,9973,Bloom Procurement Services Limited,7045119,45295,10710
Metro Programme Director,60001,Project Support Costs,9973,Bloom Procurement Services Limited,7045392,45295,9922.5
Metro Programme Director,60001,Project Support Costs,9973,Bloom Procurement Services Limited,7045393,45295,13230
Metro Programme Director,60001,Project Support Costs,9973,Bloom Procurement Services Limited,7045972,45313,18900
Metro Programme Director,60001,Project Support Costs,9973,Bloom Procurement Services Limited,7046064,45306,11121.56
Metro Programme Director,60001,Project Support Costs,9973,Bloom Procurement Services Limited,7046134,45302,11687
Metro Programme Director,60001,Project Support Costs,9973,Bloom Procurement Services Limited,7046665,45316,11121.56
Metro Programme Director,60001,Project Support Costs,9973,Bloom Procurement Services Limited,7046666,45316,11687
Metro Programme Director,60001,Project Support Costs,9973,Bloom Procurement Services Limited,7046951,45322,6300
