Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?,DG Group,Director
"Housing, Communities & Local Government",MHCLG,06/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",Live Life Social Enterprises,2100345205,COF23 153 LIVE LIFE SOCIAL ENTERPRISES LIMITED,BT28 1LN,"£60,600.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,06/09/2024,Consulting,Safer and Greener Buildings,DELOITTE  LLP,5106314960,Consultancy,MK9 1FD,"£142,890.00",,Safer and Greener Buildings,Ben Llewellyn
"Housing, Communities & Local Government",MHCLG,06/09/2024,Current Grants to Non Profit Bodies,"Local Growth, Communities and Devolution",Live Life Social Enterprises,2100345206,COF23 153 LIVE LIFE SOCIAL ENTERPRISES LIMITED,BT28 1LN,"£40,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,06/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,Regeneration Housing and Planning,Verian Group UK Limited,5106314995,Healthy Homes Research and Development Evaluation ,SW1P 3JA,"£67,000.00",,Regeneration Housing and Planning,Charlotte Spencer
"Housing, Communities & Local Government",MHCLG,06/09/2024,Professional services,Regeneration Housing and Planning,CEL GROUP,5106314990,HIA fund extension,WA2 0YL,"£88,000.00",,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,06/09/2024,Security,CFO and Corporate,CABINET OFFICE HR SHARED SERVICES,5106314959,DULHC 2024/25 Government Security Centre,NP10 8FZ,"£114,000.00",,CFO and Corporate,Andy Hobart
"Housing, Communities & Local Government",MHCLG,09/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,GREATER LONDON AUTHORITY,2100345126,2021-26 Affordable Homes Programme grant for 2024/,SE10 1AP,"£47,314,100.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,09/09/2024,Cap Grants to Local Authorities (DEL),Regeneration Housing and Planning,GREATER LONDON AUTHORITY,2100345127,2016-23 Affordable Homes Programme grant 2024/25,SE10 1AP,"£32,616,554.00",Yes,Regeneration Housing and Planning,Emma Payne
"Housing, Communities & Local Government",MHCLG,09/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,LEEDS CITY COUNCIL,2100345244,Grant Funding for Hong Kong British Nationals Welcome Hubs,LS1 3AD,"£147,471.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,09/09/2024,Current Grants to Non Profit Bodies,"Local Growth, Communities and Devolution",Holloway Community Shop CIC,2100345242,COF23 164 HOLLOWAY COMMUNITY SHOP CIC,DE4 5AR,"£50,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,09/09/2024,Current Grants to Non Profit Bodies,Regeneration Housing and Planning,East of England Local Gov Associati,2100345243,Grant Funding for Hong Kong British Nationals Welcome Hubs,IP33 3YU,"£171,839.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,09/09/2024,IT - Service Contracts,CFO and Corporate,TAMESIDE MBC,5106315014,"MoU between MHCLG, and Tameside Metropol",OL6 0GA,"£389,442.00",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,09/09/2024,Research and Development,Local Government & Public Services,Verian Group UK Limited,5106315016,Community cohesion research,SW1P 3JA,"£56,212.80",,Local Government & Public Services,Brendan Threlfall
"Housing, Communities & Local Government",MHCLG,09/09/2024,Research and Development,Local Government & Public Services,Verian Group UK Limited,5106315017,Community cohesion research,SW1P 3JA,"£84,321.60",,Local Government & Public Services,Brendan Threlfall
"Housing, Communities & Local Government",MHCLG,09/09/2024,Software Licences,Safer and Greener Buildings,PHOENIX SOFTWARE LTD,5106315020,"USMART LICENSE, CONFIGURATION AND SUPPOR",YO42 1NS,"£48,576.00",,Safer and Greener Buildings,Ben Llewellyn
"Housing, Communities & Local Government",MHCLG,10/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,Regeneration Housing and Planning,Verian Group UK Limited,5106315063,Healthy Homes Evaluation - Invoice Sched,SW1P 3JA,"£146,664.00",,Regeneration Housing and Planning,Charlotte Spencer
"Housing, Communities & Local Government",MHCLG,10/09/2024,Grant in Aid to NDPBs (non budget),Regeneration Housing and Planning,LEASEHOLD ADVISORY SERVICE,2100345320,Grant payment to Leasehold Advisory Service,EC4Y 8JX,"£129,083.00",Yes,Regeneration Housing and Planning,Charlotte Spencer
"Housing, Communities & Local Government",MHCLG,10/09/2024,IT - Service Contracts,CFO and Corporate,SOFTWIRE TECHNOLOGY LTD,5106315077,2024-25 - Data Collection Service,NW5 1TL,"£140,195.00",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,11/09/2024,IT - Service Contracts,CFO and Corporate,DAISY CORPORATE SERVICES TRADING LT,5106315111,Telephony 3 year Service costs,BB9 5SR,"£41,291.17",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,11/09/2024,IT - Service Contracts,Safer and Greener Buildings,MADE TECH LTD,5106315098,Energy Calculation as a Service,EC2A 4NE,"£54,385.20",,Safer and Greener Buildings,Catherine Adams
"Housing, Communities & Local Government",MHCLG,11/09/2024,Rent,CFO and Corporate,GOVERNMENT PROPERTY AGENCY,5106315110,Multi Building Rent 24/25 Year,B2 5LS,"£73,564.40",,CFO and Corporate,Andy Hobart
"Housing, Communities & Local Government",MHCLG,11/09/2024,Steady State Service Provision,CFO and Corporate,GOVERNMENT PROPERTY AGENCY,5106315110,Multi Building Landlord Services incl. R,B2 5LS,"£50,658.13",,CFO and Corporate,Andy Hobart
"Housing, Communities & Local Government",MHCLG,11/09/2024,Steady State Service Provision,CFO and Corporate,GOVERNMENT PROPERTY AGENCY,5106315110,Multi Building Workplace Services 24/25,B2 5LS,"£37,532.46",,CFO and Corporate,Andy Hobart
"Housing, Communities & Local Government",MHCLG,12/09/2024,Cap Grants to Local Authorities (DEL),Safer and Greener Buildings,EASTEND HOMES LTD,3700287135,Grant Payment,E1 6PS,"£446,160.00",Yes,Safer and Greener Buildings,Camilla Sheldon
"Housing, Communities & Local Government",MHCLG,12/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",Retail Trust,2100345389,COF24 065 RETAIL TRUST,WC2H 9NS,"£200,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,12/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",Whitworth Leisure Centre CIC,2100345385,COF24 080 WHITWORTH LEISURE CENTRE CIC,OL12 8BT,"£180,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,12/09/2024,Current (non AEF) Grants to Local Authorities,Safer and Greener Buildings,BRIGHTON & HOVE COUNCIL,2100345388,New burdens funding for enforcement,BN1 1JE,"£96,469.28",Yes,Safer and Greener Buildings,Ben Llewellyn
"Housing, Communities & Local Government",MHCLG,12/09/2024,Current (non AEF) Grants to Local Authorities,Safer and Greener Buildings,LB TOWER HAMLETS,2100345387,New burdens funding for enforcement,E14 2BG,"£248,858.00",Yes,Safer and Greener Buildings,Ben Llewellyn
"Housing, Communities & Local Government",MHCLG,12/09/2024,Current Grants to Non Profit Bodies,"Local Growth, Communities and Devolution",Whitworth Leisure Centre CIC,2100345386,COF24 080 WHITWORTH LEISURE CENTRE CIC,OL12 8BT,"£36,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,12/09/2024,EXP – PURCHASE OF GOODS /SERVICES R & D,Regeneration Housing and Planning,MADE TECH LTD,5106315010,Technical Support ,EC2A 4NE,"£96,000.00",,Regeneration Housing and Planning,Charlotte Spencer
"Housing, Communities & Local Government",MHCLG,12/09/2024,Fees,CFO and Corporate,HM TREASURY,5106315139,GIAA Internal Audit 24/25,NR7 0HS,"£165,453.75",,CFO and Corporate,Andy Hobart
"Housing, Communities & Local Government",MHCLG,12/09/2024,Fees,CFO and Corporate,HM TREASURY,5106315140,GIAA ERDF AUDIT FEES 24/25,NR7 0HS,"£386,500.00",,CFO and Corporate,Andy Hobart
"Housing, Communities & Local Government",MHCLG,12/09/2024,IT - Service Contracts,CFO and Corporate,MADE TECH LTD,5106315149,Civil Service Training ,EC2A 4NE,"£87,684.00",,CFO and Corporate,Andy Hobart
"Housing, Communities & Local Government",MHCLG,12/09/2024,IT - Service Contracts,Regeneration Housing and Planning,Version 1 Solutions Ltd,5106315166,Technical Support ,B97 4DL,"£202,670.52",,Regeneration Housing and Planning,Caroline Crowther
"Housing, Communities & Local Government",MHCLG,12/09/2024,Management Consultancy,CFO and Corporate,MOORHOUSE CONSULTING LTD,5106315155,Consultancy,EC4A 3AG,"£31,093.75",,CFO and Corporate,Andy Hobart
"Housing, Communities & Local Government",MHCLG,12/09/2024,Miscellaneous Legal Costs,Safer and Greener Buildings,WALKER MORRIS LLP,5106315187,Legal Advice,LS1 4DL,"£26,087.14",,Safer and Greener Buildings,Ben Llewellyn
"Housing, Communities & Local Government",MHCLG,12/09/2024,Miscellaneous Legal Costs,Safer and Greener Buildings,WALKER MORRIS LLP,5106315188,Legal Advice,LS1 4DL,"£30,398.63",,Safer and Greener Buildings,Ben Llewellyn
"Housing, Communities & Local Government",MHCLG,12/09/2024,Professional services,Safer and Greener Buildings,DELOITTE  LLP,5106315159,Consultancy,MK9 1FD,"£54,840.00",,Safer and Greener Buildings,Ben Llewellyn
"Housing, Communities & Local Government",MHCLG,13/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",The Owain Glyndwr Comm Hotel Ltd,2100345170,COF24 036 THE OWAIN GLYNDWR COMMUNITY HOTEL LTD,LL21 0DL,"£245,155.20",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,13/09/2024,Current (non AEF) Grants to Local Authorities,Regeneration Housing and Planning,NOTTINGHAM CC,2100345390,Grant Funding for Hong Kong British Nationals Welcome Hubs,NG2 3NG,"£210,658.00",Yes,Regeneration Housing and Planning,Sarah Barrett
"Housing, Communities & Local Government",MHCLG,13/09/2024,Fixed Maintenance,Safer and Greener Buildings,Deconstruct Uk Ltd,5106315223,Safety and maintenance work on GT,WC2N 6DU,"£365,190.84",,Safer and Greener Buildings,Claire Metcalfe
"Housing, Communities & Local Government",MHCLG,13/09/2024,IT - Service Contracts,CFO and Corporate,AirWalk Consulting Reply Ltd,5106315278,Cloud Service Delivery Project Support M,EH2 3ES,"£270,204.00",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,13/09/2024,IT - Service Contracts,CFO and Corporate,ARCULUS CYBER SECURITY LTD,5106315199,2024-25 Local Government Cyber & Digital,BN3 2PJ,"£186,435.94",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,13/09/2024,IT - Service Contracts,CFO and Corporate,ARCULUS CYBER SECURITY LTD,5106315200,2024-25 Local Government Cyber & Digital,BN3 2PJ,"£80,212.50",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,13/09/2024,IT - Service Contracts,CFO and Corporate,ARCULUS CYBER SECURITY LTD,5106315201,2024-25 Local Government Cyber & Digital,BN3 2PJ,"£248,775.00",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,13/09/2024,IT - Service Contracts,CFO and Corporate,County HR Solutions Ltd T/A CHR Sol,5106315293,Local Government Digital,CM2 6DH,"£342,000.00",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,13/09/2024,IT - Service Contracts,CFO and Corporate,Moore Stephens Insight Limited,5106315214,DLUHC S/4Hana & BW/4Hana transformation,S1 2EX,"£175,673.92",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,13/09/2024,IT - Service Contracts,Regeneration Housing and Planning,TPXimpact Limited,5106315085,Technical Support ,SE1 9RG,"£160,335.00",,Regeneration Housing and Planning,Caroline Crowther
"Housing, Communities & Local Government",MHCLG,13/09/2024,IT Consultancy,CFO and Corporate,AirWalk Consulting Reply Ltd,5106315276,Cyber security engineer as pre the terms,EH2 3ES,"£30,894.00",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,13/09/2024,Software Licences,CFO and Corporate,Freshworks Inc,5106315230,RED Freshservice 12mths,94403-2199,"£88,199.28",,CFO and Corporate,Gill Stewart
"Housing, Communities & Local Government",MHCLG,13/09/2024,Software Licences,Safer and Greener Buildings,PHOENIX SOFTWARE LTD,5106315290,"USMART LICENSE, CONFIGURATION AND SUPPOR",YO42 1NS,"£170,016.00",,Safer and Greener Buildings,Ben Llewellyn
"Housing, Communities & Local Government",MHCLG,16/09/2024,Cap Grants to Local Authorities (DEL),Safer and Greener Buildings,HOMES ENGLAND,2100345456,Payment to Other Government Dept,NE4 5BZ,"£1,279,879.00",Yes,Safer and Greener Buildings,Camilla Sheldon
"Housing, Communities & Local Government",MHCLG,16/09/2024,Cap Grants to Local Authorities (DEL),Safer and Greener Buildings,HOMES ENGLAND,2100345457,Payment to Other Government Dept,NE4 5BZ,"£6,068,598.00",Yes,Safer and Greener Buildings,Camilla Sheldon
"Housing, Communities & Local Government",MHCLG,16/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",LEIGH ATHERTON TYLDESLEY HERITAGE G,2100345461,Consultancy,WN7 2TW,"£250,000.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,16/09/2024,Capital Grants to Private Sect Non Profit,"Local Growth, Communities and Devolution",MEADS (EASTBOURNE) COMM CENTRE,2100345465,Consultancy,BN21 4BE,"£183,200.00",Yes,"Local Growth, Communities and Devolution",Jessica Blakely
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,ADUR DC,3700287761,Grant payable by the Exchequer,BN11 1HA,"£176,644.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,AMBER VALLEY BC,3700288327,Grant payable by the Exchequer,DE5 3BT,"£349,490.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,ARUN DC,3700288291,Grant payable by the Exchequer,BN17 5LF,"£478,020.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,ASHFIELD DC,3700287954,Grant payable by the Exchequer,NG17 8DA,"£320,624.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,ASHFORD BC,3700288080,Grant payable by the Exchequer,TN23 1PL,"£464,256.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,AVON FIRE AUTHORITY,3700287899,Grant payable by the Exchequer,BS20 8JJ,"£245,476.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,Babergh and Mid Suffolk,3700288225,Grant payable by the Exchequer,IP1 2BX,"£303,874.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BARKING & DAGENHAM LB,3700287152,Grant payable by the Exchequer,RM10 7BY,"£208,487.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BARKING & DAGENHAM LB,3700287520,Grant payable by the Exchequer,RM10 7BY,"£332,887.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BARKING & DAGENHAM LB,3700287666,Grant payable by the Exchequer,RM10 7BY,"£1,810,410.00",Yes,Local Government & Public Services,Nico Heslop
"Housing, Communities & Local Government",MHCLG,16/09/2024,Current (non AEF) Grants to Local Authorities,Local Government & Public Services,BARKING & DAGENHAM LB,3700287734,Grant payable by the Exchequer,RM10 7BY,"£892,251.00",Yes,Local Government & Public Services,Nico Heslop
