Authority,Pro Class,Supplier,Date,Dept,Cost Code,Invoiced
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stepping Stones Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,1340.64
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stepping Stones Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,3148.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stepping Stones Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2067.89
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stepping Stones Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2505.33
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stepping Stones Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,2242.24
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stepping Stones Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Reviewing Team,3419.98
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stepping Stones Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,6283.22
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stepping Stones Services Ltd,45294,Health and Adult Care (formerly OCO),Community Care - Learning Disability Team,1272.32
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Stockport MBC,45309,Children & Young People,Adoption Service,28666
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45294,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,560.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45294,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45294,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45294,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45294,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,596.51
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45294,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2983.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45294,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45294,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45294,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45294,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45294,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45294,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45294,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45294,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45322,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45322,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45322,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45322,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45322,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,560.4
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45322,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45322,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2983.84
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45322,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45322,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45322,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45322,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45322,Health and Adult Care (formerly OCO),Community Care - Community Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45322,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45322,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2753.44
Bury Metropolitan Borough Council,Social Community Care Supplies and Services,Sunny Bank P.R.S. Limited,45322,Health and Adult Care (formerly OCO),Community Care - Older Peoples Mental Health Team,2753.44
Bury Metropolitan Borough Council,Works (Construction / Repair / Maintenance),Sure Maintenance Ltd,45308,"Business, Growth & Infrastructure",Lettings - Offices Tenancies,1194.25
