Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,Business and Resources,Furniture & Equipment - General,Community Champions Fund,01/08/2023,2901.50,£0.00,Action Advertising (Style Brands Marketing),237097,Revenue,STC181970
South Tyneside Council,00CL,Economic Regeneration Group,Other Service Contracts & Supplies,Economic Growth Staffing,01/08/2023,2919.00,£0.00,Bloom Procurement Services,235860,Revenue,STC181976
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,2932.00,£0.00,Redacted - personal info,213800,Revenue,STC181981
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,2950.00,£0.00,Redacted - personal info,213800,Revenue,STC181989
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,3071.00,£0.00,Redacted - personal info,213800,Revenue,STC182014
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,3082.00,£0.00,Redacted - personal info,213800,Revenue,STC182015
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,3192.00,£0.00,Redacted - personal info,213800,Revenue,STC182046
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,3228.00,£0.00,Redacted - personal info,213800,Revenue,STC182060
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,3228.00,£0.00,Redacted - personal info,213800,Revenue,STC182061
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,3228.00,£0.00,Redacted - personal info,213800,Revenue,STC182062
South Tyneside Council,00CL,Economic Regeneration Group,Environmental Services,Environmental Protection,01/08/2023,3336.67,£0.00,West Hall Boarding Kennels and Livery Yard,236150,Revenue,STC182108
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,3584.14,£0.00,Redacted - personal info,213800,Revenue,STC182172
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,3641.00,£0.00,Redacted - personal info,213800,Revenue,STC182193
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,3920.14,£0.00,Redacted - personal info,213800,Revenue,STC182234
South Tyneside Council,00CL,"Childrens, Adults & Families Group","Foster Carers Basic, Holiday & Age Related Allowances",In House Fostering,01/08/2023,4144.00,£0.00,Redacted - personal info,213800,Revenue,STC182276
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,01/08/2023,4245.44,£0.00,Aspire Healthcare,221004,Revenue,STC182288
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,01/08/2023,4245.44,£0.00,Aspire Healthcare,221004,Revenue,STC182289
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Supported Living,Learning Disability Support,01/08/2023,4245.44,£0.00,Aspire Healthcare,221004,Revenue,STC182290
