Name of Organisation,Body,Service Area,Service Detail,Spend Description,Date,Amount (Net of VAT),Unrecoverable VAT,Supplier Name,Spend,Spend,Transaction Reference
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Hedworth Lane JMI Kitchen,Catering Provisions,01/06/23,345.23,£0.00,Hopwells Ltd,217225,Revenue,10916605663
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Daycare Biddick Hall,Catering Provisions,01/06/23,-5.40,£0.00,Asda Groceries Online,215446,Revenue,10916605547
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Simonside Jnr Kitchen,Catering Provisions,01/06/23,200.92,£0.00,Hopwells Ltd,217330,Revenue,10916605699
South Tyneside Council,00CL,"Childrens, Adults & Families Group",West Boldon JMI Kitchen,Catering Provisions,01/06/23,44.01,£0.00,Hopwells Ltd,217335,Revenue,10916605723
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Jarrow School Kitchen,Catering Provisions,01/06/23,138.63,£0.00,Hopwells Ltd,217530,Revenue,10916605777
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Simonside Jnr Kitchen,Catering Provisions,01/06/23,-30.93,£0.00,Hopwells Ltd,217330,Revenue,10916605705
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Westoe Crown Kitchen,Catering Provisions,01/06/23,733.77,£0.00,Hopwells Ltd,217390,Revenue,10916605727
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Participation,Other Service Contracts & Supplies,01/06/23,11.80,£0.00,Tim Hortons,212070,Revenue,10916605499
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Biddick Hall Inf Kitchen,Catering Provisions,01/06/23,191.09,£0.00,Hopwells Ltd,217220,Revenue,10916605599
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Day Care Cluster 5 Boldon,Furniture & Equipment - General,01/06/23,24.99,£0.00,Home Bargains South Sh,215465,Revenue,10916605523
South Tyneside Council,00CL,"Childrens, Adults & Families Group",St Oswalds CE JMI Kitchen,Catering Provisions,01/06/23,237.49,£0.00,Hopwells Ltd,217365,Revenue,10916605685
South Tyneside Council,00CL,"Childrens, Adults & Families Group",Toner Avenue Jnr Kitchen,Catering Provisions,01/06/23,255.52,£0.00,Hopwells Ltd,217395,Revenue,10916605709
