query agr_getbrowser 'Monthly Spend Report (SE)',,,,,,,,,
sort,,,,,,,,,
columns,text apar_id,text xapar_id,amount,text account,text xaccount,text pay_date__1,text voucher_no,text xstr20dim_1,text xdim_1
,Supplier ID,Supplier ID(T),Amount,Account,Account(T),Payment Date,TransNo,Service(T),Cost Centre(T)
"subtotal,outline ",,,,,,,,,
INSERTED DETAIL,701687,A-Stat Office Technology Limited,"1,006.13",R4304,Photocopier Operating Lease,19/05/2023,191146406,Schools,The King's Church of England School
INSERTED DETAIL,701687,A-Stat Office Technology Limited,169.82,R4304,Photocopier Operating Lease,19/05/2023,191146429,Schools,The King's Church of England School
INSERTED DETAIL,701687,A-Stat Office Technology Limited,31.89,R4304,Photocopier Operating Lease,19/05/2023,191146428,Schools,The King's Church of England School
INSERTED DETAIL,701748,B + G Cleaning Systems Limited,219.00,R2700,Contract Cleaning,26/05/2023,130390322,Waste Services,Waste Collection and Recycling Service  General
INSERTED DETAIL,701748,B + G Cleaning Systems Limited,110.00,R4003,Equipment - R & M,15/05/2023,191143750,Fleet Services,Fleet Management
INSERTED DETAIL,701748,B + G Cleaning Systems Limited,22.98,R4003,Equipment - R & M,15/05/2023,191143750,Fleet Services,Fleet Management
INSERTED DETAIL,701748,B + G Cleaning Systems Limited,25.90,R4003,Equipment - R & M,15/05/2023,191143750,Fleet Services,Fleet Management
INSERTED DETAIL,701748,B + G Cleaning Systems Limited,11.28,R4003,Equipment - R & M,15/05/2023,191143750,Fleet Services,Fleet Management
INSERTED DETAIL,701748,B + G Cleaning Systems Limited,5.80,R4003,Equipment - R & M,15/05/2023,191143750,Fleet Services,Fleet Management
INSERTED DETAIL,701784,Bains Supersave Limited,38.40,R4309,Books,10/05/2023,130388712,Local Economy,Ashmore Park Library
INSERTED DETAIL,701811,Barr & Grosvenor Limited,"5,130.00",C5011,Grants paid out to other organisations,23/05/2023,130389730,,GF - AIM for GOLD - ERDF
INSERTED DETAIL,701818,British Assoc Of Supported Empl,320.00,R4701,Subscriptions,10/05/2023,130388880,Skills,"Supported Employment			"
INSERTED DETAIL,701944,Birmingham CC - General Fund,"1,073.81",R4503,Comms - Postage,12/05/2023,130385964,Governance Services,Electoral Registration
INSERTED DETAIL,701944,Birmingham CC - General Fund,"10,318.12",R1301,Enhanced Pension,16/05/2023,191144221,Central Corporate Budgets,Local Government Reorganisation
INSERTED DETAIL,701944,Birmingham CC - General Fund,"2,298.58",R4503,Comms - Postage,16/05/2023,130389369,Governance Services,Electoral Registration
INSERTED DETAIL,701944,Birmingham CC - General Fund,"9,680.84",R4503,Comms - Postage,23/05/2023,130389205,Support Services,Business Support Unit
INSERTED DETAIL,701983,Blakenhall Neighbourhood Nursery,"30,041.28",R5035,TPP - Private Nursery Education Funding,23/05/2023,191147126,Early Years,Early Years Universal Entitlement for 3 and 4 Year Olds
