Transparency Report September 2023,,,,,,,,
Body Name,Service Code,Service Label,Exp Code,Expenditure Category Lvl 6,Date,Transaction Number,Supplier Name,Total
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976446,Bluebell School Limited,3445.4
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976447,Bluebell School Limited,3445.4
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976413,Bluebell School Limited,4562.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976448,Bluebell School Limited,4562.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976449,Bluebell School Limited,4562.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976450,Bluebell School Limited,4562.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976451,Bluebell School Limited,4562.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976452,Bluebell School Limited,4562.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976505,Bluebell School Limited,6145.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976506,Bluebell School Limited,6145.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976507,Bluebell School Limited,6145.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976508,Bluebell School Limited,6145.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976509,Bluebell School Limited,6145.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976510,Bluebell School Limited,6145.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976511,Bluebell School Limited,6145.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976512,Bluebell School Limited,6145.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976513,Bluebell School Limited,6145.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976517,Bluebell School Limited,6145.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976518,Bluebell School Limited,6145.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976520,Bluebell School Limited,6145.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976521,Bluebell School Limited,6145.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976522,Bluebell School Limited,6145.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976523,Bluebell School Limited,6145.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976407,Bluebell School Limited,6844.2
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976417,Bluebell School Limited,6844.2
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976524,Bluebell School Limited,6890.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976525,Bluebell School Limited,6890.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976526,Bluebell School Limited,6890.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976416,Bluebell School Limited,7756.76
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976528,Bluebell School Limited,9125.6
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976529,Bluebell School Limited,9125.6
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45169.999444444446,SOT0976530,Bluebell School Limited,9125.6
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45172.999444444446,SOT0976535,Bluebell School Limited,6890.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45172.999444444446,SOT0976536,Bluebell School Limited,6890.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45172.999444444446,SOT0976537,Bluebell School Limited,6890.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45172.999444444446,SOT0976539,Bluebell School Limited,6890.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45172.999444444446,SOT0976540,Bluebell School Limited,6890.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45172.999444444446,SOT0976541,Bluebell School Limited,6890.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45172.999444444446,SOT0976542,Bluebell School Limited,6890.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45172.999444444446,SOT0976543,Bluebell School Limited,6890.8
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45172.999444444446,SOT0976532,Bluebell School Limited,9125.6
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45172.999444444446,SOT0976533,Bluebell School Limited,9125.6
Stoke City Council,4CAF,Children and Family Services,DE113,Services,45172.999444444446,SOT0976534,Bluebell School Limited,9125.6
Stoke City Council,4CAF,Children and Family Services,BC101,Rents,45176.999444444446,SOT0978110,Blurton Community Hub,895.25
Stoke City Council,4CAF,Children and Family Services,EG223,Other establishments,45169.999444444446,SOT0975843,Bobbles Day Nursery,2610
Stoke City Council,4CAF,Children and Family Services,DB104,Catering,45176.999444444446,SOT0978448,Booker,668.7
Stoke City Council,4CAF,Children and Family Services,EG133,Other establishments,45176.999444444446,SOT0978895,Bridging Gaps Fostering Agency,3400
Stoke City Council,4CAF,Children and Family Services,EG223,Other establishments,45190.999444444446,SOT0984315,Brook Cottage Childminding,530.1
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45183.999444444446,SOT0980468,CabAbility,2100
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45183.999444444446,SOT0980469,CabAbility,2100
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45183.999444444446,SOT0980464,CabAbility,2240
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45183.999444444446,SOT0980472,CabAbility,2625
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45183.999444444446,SOT0980473,CabAbility,2640
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45183.999444444446,SOT0980466,CabAbility,2848
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45183.999444444446,SOT0980470,CabAbility,2848
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45183.999444444446,SOT0980465,CabAbility,2912
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45183.999444444446,SOT0980471,CabAbility,3024
Stoke City Council,4CAF,Children and Family Services,DF100,Communications and computing,45188.999444444446,SOT0978454,Caci Limited,9191.49
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45176.999444444446,SOT0978829,Capstone Foster Care (Midlands) Ltd,88957.48999999999
Stoke City Council,4CAF,Children and Family Services,EG133,Other establishments,45190.999444444446,SOT0984519,CARE FOR ME HOUSING AND SUPPORT LLP,5314.29
