,Transparency Report November 2023,,,,,,,
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45231,SOT1001209,AMG Nursing and Care Services,1095.76
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45238,SOT1001354,AMG Nursing and Care Services,1756.15
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45238,SOT1002897,AMG Nursing and Care Services,1605.62
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45247,SOT1007771,AMG Nursing and Care Services,1746.1
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45247,SOT1008171,AMG Nursing and Care Services,1746.1
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45252,SOT1009996,AMG Nursing and Care Services,872.88
Stoke City Council,4CAF,Children and Family Services,EG139,Other establishments,45252,SOT1009997,AMG Nursing and Care Services,893.08
Stoke City Council,4STAR,Strategy & Resources,BB103,Energy costs,45254,SOT1010023,AMP Biomass Fuel Ltd T/A AMP Clean Energy,682.18
Stoke City Council,4STAR,Strategy & Resources,BB103,Energy costs,45254,SOT1011309,AMP Biomass Fuel Ltd T/A AMP Clean Energy,1270.47
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45238,SOT1002469,AMR Property Services Ltd,2812
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003185,Anchor Hanover Group T/A Park Hall Care Home,12950.78
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011094,Anchor Hanover Group T/A Park Hall Care Home,17500.780000000002
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003185,Anchor Hanover Group T/A Park Hall Care Home,23551.18
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011094,Anchor Hanover Group T/A Park Hall Care Home,23551.18
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003185,Anchor Hanover Group T/A Park Hall Care Home,7475.5599999999995
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011094,Anchor Hanover Group T/A Park Hall Care Home,9796.990000000002
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45239,SOT1003185,Anchor Hanover Group T/A Park Hall Care Home,-1198.22
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45253,SOT1011094,Anchor Hanover Group T/A Park Hall Care Home,-1198.22
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45239,SOT1003185,Anchor Hanover Group T/A Park Hall Care Home,-2756.48
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45253,SOT1011094,Anchor Hanover Group T/A Park Hall Care Home,-2756.48
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,Fees and Charges,45239,SOT1003185,Anchor Hanover Group T/A Park Hall Care Home,-1028
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC660,Fees and Charges,45253,SOT1011094,Anchor Hanover Group T/A Park Hall Care Home,-1028
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003190,Anchor Hanover Group T/A The Cedars Home,21070.24
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011099,Anchor Hanover Group T/A The Cedars Home,-4826.800000000001
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003190,Anchor Hanover Group T/A The Cedars Home,12102.64
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011099,Anchor Hanover Group T/A The Cedars Home,12102.64
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45239,SOT1003190,Anchor Hanover Group T/A The Cedars Home,1240
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG209,Other establishments,45253,SOT1011099,Anchor Hanover Group T/A The Cedars Home,1240
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45253,SOT1011099,Anchor Hanover Group T/A The Cedars Home,-524
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45239,SOT1003190,Anchor Hanover Group T/A The Cedars Home,-1280
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45253,SOT1011099,Anchor Hanover Group T/A The Cedars Home,-1280
Stoke City Council,4SCHL,Schools,dh102,Grants and subscriptions,45252,SOT1007962,Angel Solutions Limited,795
Stoke City Council,4PUBH,Public Health,DE108,Services,45238,SOT1002821,REDACTED - Personal Data,530
Stoke City Council,4PUBH,Public Health,DE108,Services,45238,SOT1002835,REDACTED - Personal Data,520
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXALE,Land and Buildings,45231,SOT1000098,Anthony Collins Solicitors,1660.5
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXALE,Land and Buildings,45240,SOT1003376,Anthony Collins Solicitors,4430
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXALE,Land and Buildings,45259,SOT1011307,Anthony Collins Solicitors,1025
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45233,SOT1001527,Anthony Collins Solicitors,1216.5
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45233,SOT1001532,Anthony Collins Solicitors,825
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45233,SOT1001536,Anthony Collins Solicitors,1054.5
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45233,SOT1001538,Anthony Collins Solicitors,645
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45238,SOT1002218,Anthony Collins Solicitors,1041
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45238,SOT1002664,Anthony Collins Solicitors,906
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45238,SOT1002768,Anthony Collins Solicitors,966
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45238,SOT1002769,Anthony Collins Solicitors,1053
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45238,SOT1002776,Anthony Collins Solicitors,523
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45238,SOT1002777,Anthony Collins Solicitors,1638
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45238,SOT1002818,Anthony Collins Solicitors,1500
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45238,SOT1002846,Anthony Collins Solicitors,799.5
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45238,SOT1002848,Anthony Collins Solicitors,1041
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45238,SOT1002849,Anthony Collins Solicitors,743.5
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45238,SOT1002850,Anthony Collins Solicitors,1029
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45240,SOT1003331,Anthony Collins Solicitors,790
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45240,SOT1003511,Anthony Collins Solicitors,2325
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45247,SOT1007797,Anthony Collins Solicitors,1079.5
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45252,SOT1010093,Anthony Collins Solicitors,1029.5
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45233,SOT1001267,Anthony Hodari Solicitors,9504.02
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45240,SOT1003542,Anthony Hodari Solicitors,15610.91
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45247,SOT1008368,Anthony Hodari Solicitors,1006.89
Stoke City Council,4HRAHT,Housing Transformation,DK107,Miscellaneous expenses,45259,SOT1011844,Anthony Hodari Solicitors,2970.66
Stoke City Council,4HRAHT,Housing Transformation,IC516,Property Based Charges,45231,SOT1001053,REDACTED - Personal Data,1652.94
Stoke City Council,4HDG,"Housing, Development & Growth",DE100,Services,45245,SOT1000146,Apollo Eagle Consulting Ltd,754.08
Stoke City Council,4HDG,"Housing, Development & Growth",DA101,Equipment  furniture and mater,45245,SOT1007671,Applied Radiators,1296
Stoke City Council,4HDG,"Housing, Development & Growth",DE105,Services,45252,SOT1010560,Applied Town Planning Limited,2470
Stoke City Council,4SCHL,Schools,DE100,Services,45245,SOT1003547,Aquaid (Midlands And South Wales),742.2
Stoke City Council,4STARC,Strategy & Resources Capital,QXWBC,Works,45238,SOT0983992,Aquaplus Ltd,3285
Stoke City Council,4STARC,Strategy & Resources Capital,QXWRC,Works,45236,SOT0999592,Aquaplus Ltd,5475
Stoke City Council,4HGDC,"Housing, Development & Growth Capital",QXWBE,External Fees,45257,SOT1003368,Arcadis Consulting (UK) Ltd,24175.41
Stoke City Council,4CAF,Children and Family Services,EA144,Independent units within CC,45257,000009156213042,ARGOS  ,572.46
Stoke City Council,4CAF,Children and Family Services,EA144,Independent units within CC,45257,000009181696064,ARGOS  ,530.79
Stoke City Council,4CAF,Children and Family Services,EA144,Independent units within CC,45257,000009181696066,ARGOS  ,518.95
Stoke City Council,4HDG,"Housing, Development & Growth",DA101,Equipment  furniture and mater,45245,SOT1007624,Arnold Clark Automobles Limited,574.13
Stoke City Council,4HDG,"Housing, Development & Growth",DA101,Equipment  furniture and mater,45254,SOT1011488,Arnold Clark Automobles Limited,739.9
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,Equipment  furniture and mater,45233,SOT1001368,Arnold Clark Automobles Limited,693.48
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,Equipment  furniture and mater,45233,SOT1001829,Arnold Clark Automobles Limited,2101.83
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,Equipment  furniture and mater,45245,SOT1007600,Arnold Clark Automobles Limited,2030.35
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,Equipment  furniture and mater,45247,SOT1008694,Arnold Clark Automobles Limited,2030.35
Stoke City Council,4HDG,"Housing, Development & Growth",DA102,Equipment  furniture and mater,45254,SOT1011275,Arnold Clark Automobles Limited,1053.97
Stoke City Council,4HDG,"Housing, Development & Growth",CC104,Contract hire&operating leases,45240,SOT1001372,Arnold Clark Finance Ltd,1130.08
Stoke City Council,4HDG,"Housing, Development & Growth",DA139,Equipment  furniture and mater,45247,SOT1008374,Arriva Midlands Limited,3428
Stoke City Council,4SCHL,Schools,BI100,Grounds maintenance costs,45247,SOT1008564,Artificial Giant,2200
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003131,Ash Hall Nursing Home,22120
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011037,Ash Hall Nursing Home,22120
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45239,SOT1003131,Ash Hall Nursing Home,1134.16
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG207,Other establishments,45253,SOT1011037,Ash Hall Nursing Home,1134.16
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45239,SOT1003131,Ash Hall Nursing Home,1932.1
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG208,Other establishments,45253,SOT1011037,Ash Hall Nursing Home,1932.1
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45239,SOT1003131,Ash Hall Nursing Home,-1352
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC656,Fees and Charges,45253,SOT1011037,Ash Hall Nursing Home,-1352
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45239,SOT1003131,Ash Hall Nursing Home,-1134.16
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,IC658,Fees and Charges,45253,SOT1011037,Ash Hall Nursing Home,-1134.16
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003894,Ash House Care Ltd,37842.01
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45231,SOT1000111,Ash House Care Ltd,1091.2
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45239,SOT1003237,Ashfields Care Home,1841.28
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,EG205,Other establishments,45253,SOT1011148,Ashfields Care Home,1841.28
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003877,Ashwood Children Care Homes,24357.14
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DE100,Services,45257,SOT1010661,Asist,34749.33
Stoke City Council,4STAR,Strategy & Resources,DD113,Printing  stationery and gener,45231,SOT1001008,Askews & Holts Library Services Ltd,824.03
Stoke City Council,4STAR,Strategy & Resources,DD113,Printing  stationery and gener,45236,SOT1002154,Askews & Holts Library Services Ltd,807.67
Stoke City Council,4STAR,Strategy & Resources,DD113,Printing  stationery and gener,45252,SOT1010144,Askews & Holts Library Services Ltd,829.03
Stoke City Council,4STAR,Strategy & Resources,DD113,Printing  stationery and gener,45259,SOT1012212,Askews & Holts Library Services Ltd,784.18
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003872,AspireOne Care Ltd,17457.43
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003873,AspireOne Care Ltd,16753.29
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003874,AspireOne Care Ltd,17050
Stoke City Council,4CAF,Children and Family Services,DK135,Miscellaneous expenses,45244,SOT1003915,Aspris Children`s Services,34688
Stoke City Council,4HLCYP,CYP Holding Accounts,DH101,Grants and subscriptions,45240,SOT1003612,Aspris Children`s Services,565.47
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,DA211,Equipment  furniture and mater,45252,SOT1010137,Astor Bannerman (Medical) Limited,744
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001445,Atkinson Lewis,1444
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45233,SOT1001447,Atkinson Lewis,2446
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45252,SOT1009183,Atkinson Lewis,639
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45254,SOT1010971,Atkinson Lewis,1258
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45254,SOT1010972,Atkinson Lewis,511.2
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45254,SOT1011338,Atkinson Lewis,695
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45259,SOT1012151,Atkinson Lewis,1125
Stoke City Council,4STAR,Strategy & Resources,DG105,Expenses,45259,SOT1012152,Atkinson Lewis,1003
Stoke City Council,4CAF,Children and Family Services,DE100,Services,45252,SOT1001303,Attachment Works Ltd,2816
Stoke City Council,4CAF,Children and Family Services,de113,Services,45245,SOT1007528,Aurora Hanley School,21587.91
Stoke City Council,4CAF,Children and Family Services,de113,Services,45245,SOT1007538,Aurora Hanley School,1994.67
Stoke City Council,4CAF,Children and Family Services,de113,Services,45245,SOT1007539,Aurora Hanley School,378674.49
Stoke City Council,4SCHIW,Social Care Health Int & Wellb,eg136,Other establishments,45250,SOT1009140,Austin Ben Limited,844.75
Stoke City Council,4CAF,Children and Family Services,cc109,Contract hire&operating leases,45240,SOT1003563,Autocab,34352.93
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45247,SOT1008199,Autocab,3190
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45247,SOT1008200,Autocab,535.5
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45247,SOT1008361,Autocab,1630
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45247,SOT1008362,Autocab,504
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45247,SOT1008364,Autocab,907.2
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45247,SOT1008365,Autocab,963.9
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45247,SOT1008516,Autocab,2234
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45247,SOT1008537,Autocab,3574.4
Stoke City Council,4CAF,Children and Family Services,EG217,Other establishments,45247,SOT1008538,Autocab,4468
