Body Name,Supplier Name,Supplier Code,Transaction Ref/No,Payment Date,Gross Value (Detail),Vat Amount,Service Label,Service code,Expenditure Code,Expenditure Category,Service Division,,Directorate,Directorate Description,Department,Department Description,Sub Team,Sub Team Description
Blackpool Council,Select Medical,1000932,90957,06/10/2023,"6,909.57","1,151.63",Balance Sheet,90000,19081,VAT ADJUSTMENT,Not Applicable,,NA,Not Applicable,NA,Not Applicable,NA,Not Applicable
Blackpool Council,Pro-Active Management Associates Ltd,1003511,90964,09/10/2023,"1,200.00",0,General Overheads,10491,63413,Consultants,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Remedian It Solutions Ltd,1003035,90984,10/10/2023,"7,632.00","1,272.00",Boundary Primary - General,10082,63533,Computer Software Purchases,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED071,Boundary Park Community
Blackpool Council,ELAHUB LTD,1140580,90992,03/10/2023,660,110,Corporate Training,64004,60915,Conferences,Chief Executive,,CEXTOT,Chief Executive,OWD,Organisation & Workforce Dev,OWD2,Organisation & Workforce Dev
Blackpool Council,Health Assured Ltd,1002978,91000,03/10/2023,"3,170.70",528.45,Corporate Health,64003,60992,Medical Fees,Chief Executive,,CEXTOT,Chief Executive,OCHEALT,Doesn?t Exist,OCHEALT2,Doesn?t Exist
Blackpool Council,Crest Scaffolding Ltd,1002153,91001,03/10/2023,"1,722.00",287,Winter Gardens,50039,61012,Maintenance Private Contractor,Communication & Regeneration,,AMCPI,Communication & Regeneration,FMAK,Acquisitions 9/10,FMAK2,Acquisitions 9/10
Blackpool Council,Wyre Scaffolding Ltd,1004403,91004,03/10/2023,336,56,Tower,50041,61012,Maintenance Private Contractor,Communication & Regeneration,,AMCPI,Communication & Regeneration,FMAK,Acquisitions 9/10,FMAK2,Acquisitions 9/10
Blackpool Council,Fox Fire Security Limited,1002168,91006,09/10/2023,"1,554.00",259,167 Hornby Road,40045,61012,Maintenance Private Contractor,Resources,,TRSTOT,Resources,AEB,Buildings,BDCH,Buildings -Childrens
Blackpool Council,Lifeline Language Services Ltd,1001286,91019,03/10/2023,300,50,Lac Financial Assistance,10544,65507,Personal,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Lifeline Language Services Ltd,1001286,91024,03/10/2023,356.28,59.38,Lac Financial Assistance,10544,65507,Personal,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
Blackpool Council,Key Engineering Supplies Ltd,1000771,91029,30/10/2023,"1,740.77",290.13,Assess & Rehab Ctr (186),20017,63031,Cleaning Equipment Purchase,Adult Services,,ADULTS,Adult Services,APDBBB,Arc,APDBBB2,Arc
Blackpool Council,Advanced Health And Care Limited,1002038,91071,09/10/2023,"1,635.19",272.53,Internal Homecare Services,20003,62201,Contract Hire,Adult Services,,ADULTS,Adult Services,APDBAB,Homecare Reablement,APDBAB2,Homecare Reablement
Blackpool Council,Association Of Directors Of Public Health Uk,1002975,91076,09/10/2023,"4,250.00",0,Pharmoutcomes,62020,64501,Private Contractors,Public Health,,PUBHEL,Public Health,PUBGRT1,Public Health Grant Spend,PUBGRT3,Public Health Grant Spend
Blackpool Council,BRAZEN PR,1140607,91084,03/10/2023,"2,760.00",460,Blackpool Museum Project,50023,63315,Marketing,Communication & Regeneration,,AMCPI,Communication & Regeneration,AHHB,Blackpool Museum Project,AHHB2,Blackpool Museum Project
Blackpool Council,Wandle Teaching School Alliance,1004558,91137,03/10/2023,750,0,St Bernadettes -General,10174,63711,Subscriptions,Children's Services,,CHISER,Children's Services,DELEGA,Schools - Delegated,ED191,St Bernadettes Catholic
Blackpool Council,Bedspace Resource Ltd,1002502,91171,03/10/2023,"1,163.88",193.98,Leaving Care,10530,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA11,Senior Management
Blackpool Council,Mchalls Accommodation Ltd T/A Mchalls Hotel,1005098,91187,31/10/2023,"9,300.00",0,Housing Options Manager,64013,63801,Other Expenses,Chief Executive,,CEXTOT,Chief Executive,HOPTION,Housing Options,HOPTION2,Housing Options
Blackpool Council,Meadows Care Limited,1001434,91212,02/10/2023,"1,847.47",0,External Residential,10541,64501,Private Contractors,Children's Services,,CHISER,Children's Services,JEA,Senior Management,JEA2,Senior Management
