Organisation name,Organisation Code,Effective date,Directorate / service where expenditure incurred,Service Category label,Service category URI,Supplier (Beneficiary) name,Local supplier (beneficiary) internal reference,Supplier,Supplier registered charity number,VCSE grant,Payment date - G/L Date,Transaction number,Net Amount,Irrecoverable VAT,purpose_of_spend,Procurement classification / merchant category: Council’s procurement category name,Procurement classification / merchant category: CPV label,Procurement classification / merchant category: CPV code,Procurement classification / merchant category: Proclass label,Procurement classification / merchant category: Proclass code,card_transaction
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arcus Consulting Llp,1265536,,,,01/04/2024,2200386157,"6,000.00",,Other Consultants,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Arcus Consulting Llp,1265536,,,,23/05/2024,2200395471,"5,800.00",,Other Consultants,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Ark Build Plc ,1231173,,,,22/05/2024,2200395111,"2,869.03",,Other Consultants,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Ascendit Lifts Limited,1305556,,,,07/06/2024,2200398386,"3,577.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Ascendit Lifts Limited,1305556,,,,07/06/2024,2200398388,"9,617.00",,Payments to main contractor,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Ashfords Llp ,1232627,,,,01/04/2024,2200384373,574,,Legal Fees & expenses,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Ashfords Llp ,1232627,,,,01/04/2024,2200384468,"2,099.00",,Other Consultants,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Ashfords Llp ,1232627,,,,01/04/2024,2200386158,"2,100.00",,Legal Fees & expenses,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Ashfords Llp ,1232627,,,,03/04/2024,2200384815,"2,385.50",,Legal Fees & expenses,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Ashfords Llp ,1232627,,,,03/04/2024,2200384818,925.5,,Legal Fees & expenses,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Ashfords Llp ,1232627,,,,03/04/2024,2200384819,925.5,,Legal Fees & expenses,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Ashfords Llp ,1232627,,,,03/04/2024,2200384849,"2,385.50",,Legal Fees & expenses,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Ashfords Llp ,1232627,,,,02/05/2024,2200391325,"8,000.00",,Other Consultants,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Ashfords Llp ,1232627,,,,02/05/2024,2200391326,592,,Other Consultants,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Ashfords Llp ,1232627,,,,09/05/2024,2200392424,"1,460.00",,Professional Fees : Non Legal,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Ashfords Llp ,1232627,,,,10/05/2024,2200392571,"8,622.00",,Professional Fees : Non Legal,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Ashfords Llp ,1232627,,,,10/05/2024,2200392683,850,,Legal Fees & expenses,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Ashfords Llp ,1232627,,,,10/05/2024,2200392685,736,,Legal Fees & expenses,,,,,,No
The Royal Borough of Kensington and Chelsea,RBKC,,Statutory Year-End Adjustments,Statutory Year-End Adjustments,,Ashfords Llp ,1232627,,,,14/05/2024,2200393403,564,,Legal Fees & expenses,,,,,,No
