Supplier,Transaction Number,Transaction Date,Payment Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,604.24,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,668.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,668.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,508.58,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,604.24,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,664.41,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,617.73,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,656.78,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,617.73,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,573.91,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,668.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,668.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,533.24,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,668.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,635.25,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.03,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,583.14,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,664.41,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,664.41,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,668.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,610.87,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,635.25,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,617.73,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,735.6,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,508.58,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,668.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,664.41,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,521.01,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,664.41,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,664.41,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,604.24,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,735.6,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,664.41,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,735.6,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,664.41,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,521.01,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,664.41,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,641.87,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,668.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,668.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.03,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,668.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,608.31,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,521.01,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,542.94,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,767.19,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,668.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,525.43,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,591.53,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,668.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,517.21,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,533.24,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,668.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,668.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,610.87,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,516.67,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,694.68,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,668.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,668.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,753.11,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,668.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,668.81,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,508.58,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,648.4,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,637.89,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11165104,08/12/2024,03/01/2025,620.9,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
