Supplier,Transaction Number,Transaction Date,Invoice Line Value (net of VAT),Account,Bal Sheet Level 1,Bal Sheet Level 2
ESE WORLD LTD,55580147,05/08/2024,"3,793.92",Litter Bins,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
EURO TRUCK BODIES LTD,57716228,08/08/2024,695,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
FCN FROZEN FOODS LIMITED,57716221,08/08/2024,641.24,Catering Provisions,SUPPLIES & SERVICES,CATERING
FCN FROZEN FOODS LIMITED,57715140,25/07/2024,725.89,Catering Provisions,SUPPLIES & SERVICES,CATERING
FCN FROZEN FOODS LIMITED,57715141,24/07/2024,745.84,Catering Provisions,SUPPLIES & SERVICES,CATERING
FCN FROZEN FOODS LIMITED,57715720,01/08/2024,"1,342.58",Catering Provisions,SUPPLIES & SERVICES,CATERING
FRESH DARLINGTON LTD,55579645,31/07/2024,764.63,Hospitality & Room Hire,SUPPLIES & SERVICES,EXPENSES
G & A SECURITY,55578440,17/07/2024,"3,194.12",Repairs - Intruder Alarms,PREMISES,FIXTURES & FITTINGS
GASTRONORTH,55576623,28/06/2024,"5,899.99",Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
GEMCO SERVICE LTD,57715623,02/07/2024,"1,462.00",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
GLOBAL MEDIA GROUP SERVICES LTD,55576461,30/06/2024,915,Marketing & Advertising,SUPPLIES & SERVICES,EXPENSES
GLOBAL MEDIA GROUP SERVICES LTD,55579468,25/07/2024,"1,180.74",Marketing & Advertising,SUPPLIES & SERVICES,EXPENSES
GREENCHEM SOLUTIONS LTD,55578062,19/07/2024,805,Vehicle Fuel,TRANSPORT,DIRECT TRANSPORT COSTS
GREEN-TECH,55580252,06/08/2024,"1,055.95",Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
HARVEST COMMUNICATIONS LIMITED,55578203,22/07/2024,774,Marketing & Advertising,SUPPLIES & SERVICES,EXPENSES
HINSON SECURITY,55580122,05/08/2024,712.32,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
HINSON SECURITY,55578292,18/07/2024,"1,626.38",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
HINSON SECURITY,55578375,22/07/2024,"1,102.40",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
HOPWELLS LIMITED,57716218,07/08/2024,502.74,Catering Provisions,SUPPLIES & SERVICES,CATERING
HOPWELLS LIMITED,57716856,09/08/2024,742.77,Catering Provisions,SUPPLIES & SERVICES,CATERING
HOPWELLS LIMITED,57716841,06/08/2024,"1,572.36",Catering Provisions,SUPPLIES & SERVICES,CATERING
HOPWELLS LIMITED,57714322,24/07/2024,669.04,Catering Provisions,SUPPLIES & SERVICES,CATERING
HOPWELLS LIMITED,57716415,30/07/2024,"1,567.94",Catering Provisions,SUPPLIES & SERVICES,CATERING
HOPWELLS LIMITED,57716419,02/08/2024,553.37,Catering Provisions,SUPPLIES & SERVICES,CATERING
HOPWELLS LIMITED,57716400,26/07/2024,"2,520.24",Catering Provisions,SUPPLIES & SERVICES,CATERING
HURWORTH PARISH COUNCIL,55578640,23/07/2024,"4,370.33",Parish Litter Collection,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
HVK PRODUCTIONS UK LIMITED,55578625,31/07/2024,"49,258.10",Artist Payments,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
IAN RIGBY TECHNICAL SERVICES,55578545,22/07/2024,650,Other Supplies & Services,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
INNOVATIVE SAFETY SYSTEMS LIMITED,55578480,23/07/2024,"3,672.00",Ict Hardware Support & Maintenance,SUPPLIES & SERVICES,COMMUNICATIONS & COMPUTING
INSEEGO LTD,55579762,31/07/2024,"1,046.52",Ict Software Support & Maintenance,SUPPLIES & SERVICES,COMMUNICATIONS & COMPUTING
INSTITUTE OF SWIMMING LTD,55579637,31/07/2024,660,Employee Training Course Costs,EMPLOYEES,Indirect Employee Costs
IPL PLASTICS (UK) T/A IPL HULL,55580333,26/07/2024,"4,181.40",Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
ISECURE GROUP LTD,55578147,22/07/2024,913.5,Security Services,SUPPLIES & SERVICES,SERVICES
ISECURE GROUP LTD,55580064,05/08/2024,812,Security Services,SUPPLIES & SERVICES,SERVICES
J T ATKINSON & SONS LTD,55578628,23/07/2024,"2,222.50",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
JM MARKETING LTD,55578738,06/08/2024,754,Misc. Insurances,SUPPLIES & SERVICES,SERVICES
KARCHER (UK) LTD,55578324,19/07/2024,715.5,Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
LANDSCAPE SUPPLY COMPANY,55579964,20/05/2024,"1,242.24",Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
LEEC LTD,55579102,28/07/2024,958,Equipment R&M,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
LWC TEESSIDE,57716412,30/07/2024,"1,659.10",Bar Provisions For Resale,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
LWC TEESSIDE,57714326,23/07/2024,879.63,Bar Provisions For Resale,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
LWC TEESSIDE,57716394,27/07/2024,"1,744.05",Bar Provisions For Resale,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
LWC TEESSIDE,57716395,31/07/2024,"1,678.47",Bar Provisions For Resale,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
LWC TEESSIDE,57716396,02/08/2024,952.18,Bar Provisions For Resale,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
LWC TEESSIDE,57716835,27/06/2024,"1,936.66",Bar Provisions For Resale,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,629.54,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,548.83,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,723.7,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,588.55,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,588.55,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,588.55,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,588.55,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,632.07,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,632.07,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,525.3,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,700.09,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,617.12,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,617.12,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,606.56,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,637.63,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,525.3,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,632.22,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,532.54,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,637.63,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,588.55,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,588.55,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,588.55,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,632.07,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,617.12,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,617.12,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,721.32,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,700.09,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,663.61,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163308,11/08/2024,588.55,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,588.55,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,588.55,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,588.55,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,588.55,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,578.52,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,607.97,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,632.07,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,588.55,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,588.55,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,588.55,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,588.55,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,632.07,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MAGNIT GLOBAL GRI LTD,11163388,18/08/2024,588.18,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MATTHEW DENHAM,55578293,20/07/2024,"1,605.00",Projects,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
MISS TESS TICKLE,55579915,26/07/2024,500,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
MITIE PROPERTY SERVICES (NORTH EAST)  LTD,55577434,09/07/2024,575,Building Repairs And Maintenance,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
MOT19 LTD,55579274,13/08/2024,"20,863.04",Artist Payments,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
MRS C E M WRIGHT M.B.E,55577873,20/06/2024,550,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
MSO PRODUCTIONS LTD,55579440,15/08/2024,"6,981.06",Artist Payments,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
N L COMMERCIALS DARLINGTON LTD,55579398,31/07/2024,"1,725.00",Vehicle Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
NEASHAM NURSERIES LTD,55578251,15/07/2024,"17,603.95",Finished Bedding,PREMISES,GROUNDS MAINTENANCE
NIGEL DENT GARAGE SERVICES,57715071,24/07/2024,"3,627.17",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
NORTHERN MUNICIPAL SPARES LIMITED (PROBRUSH),55577843,16/07/2024,"1,458.29",Sweeper Brushes,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
PALMERS TYRES LTD,57716443,31/07/2024,520,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
PALMERS TYRES LTD,57716448,06/08/2024,540,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
PETER BULMER,55579216,20/07/2024,"2,000.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
PHS GROUP,55579820,01/08/2024,675.59,Refuse Services,Non Resource Allocation,CENTRAL SUPPORT SERVICES
PINSEEKER (UK) LTD,55580176,19/07/2024,"1,793.45",Furniture,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
PLYLINE SERVICES LTD,57715674,25/07/2024,525,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
PLYLINE SERVICES LTD,57715674,25/07/2024,525,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
PPL PRS LTD,55578386,12/06/2024,"8,880.47",Licences,SUPPLIES & SERVICES,EXPENSES
PRESTIGE PRODUCTIONS,55579466,14/08/2024,"5,376.64",Artist Payments,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
PROSPEC LTD,55579101,28/07/2024,"1,380.00",Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
PULSE PRODUCTIONS,55579282,02/07/2024,"1,000.00",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
RE:GEN GROUP,55578407,31/07/2024,"1,095.00",Repairs - Asbestos Removal,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
RENNYCO LTD,55578681,23/07/2024,"2,945.00",Building Repairs And Maintenance,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
RKP ACCESS PLATFORMS LIMITED,55576897,03/07/2024,900,Plant Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
RKP ACCESS PLATFORMS LIMITED,55576897,03/07/2024,600,Plant Hire,TRANSPORT,CONTRACT HIRE & OPERATING LEASES
SCOTT ENSBURY,55578549,23/07/2024,"1,925.00",Marketing & Advertising,SUPPLIES & SERVICES,EXPENSES
SCOTT ENSBURY,55580165,04/08/2024,500,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
SEWELL & CARR,55579023,26/07/2024,"2,861.62",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
SEWELL & CARR,55578855,24/07/2024,944,Routine Maintenance,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
SEWELL & CARR,55580187,26/07/2024,640,Other Supplies & Services,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
SISTER ACT THEATRE LIMITED,55579463,19/08/2024,"100,000.00",Artist Payments,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
SMITH & ALLAN LTD,55580144,05/08/2024,763.97,Responsive-Empty Hse Redecor,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
SOPHIE SEITA,55579984,02/08/2024,"1,200.00",Projects,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
SPORTMAX,55578508,19/07/2024,"1,756.75",Items For Resale,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
SPRINGBOARD RESEARCH LTD,55578911,31/07/2024,625,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
STARLITE OUTDOOR,55577933,01/07/2024,750,Marketing & Advertising,SUPPLIES & SERVICES,EXPENSES
STONEGRAVE AGGREGATES LTD,55580221,28/08/2024,"750,000.00",Waste Management,THIRD PARTY PAYMENTS,PRIVATE CONTRACTORS
STREETSCAPE,55579295,20/06/2024,"2,420.00",Building Repairs And Maintenance,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
TEES WOMEN POETS,55578429,22/07/2024,900,Projects,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
TERBERG MATEC UK LTD,57715649,26/07/2024,"1,001.34",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
TERBERG MATEC UK LTD,57715650,26/07/2024,550,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
TERBERG MATEC UK LTD,57715651,26/07/2024,"1,555.07",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
TERBERG MATEC UK LTD,57715652,26/07/2024,546.56,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
TERBERG MATEC UK LTD,57715656,02/08/2024,874.45,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
TERBERG MATEC UK LTD,57715658,02/08/2024,835.97,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
TGI MEDIA,55579840,01/08/2024,750,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
THE ACTIVE LIFE FOUNDATION,55578714,24/07/2024,720,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
THE GROVE MEDIA LIMITED,55579327,30/07/2024,"1,900.20",Marketing & Advertising,SUPPLIES & SERVICES,EXPENSES
THEATRE HULLABALOO,55578909,08/08/2024,"2,530.00",Ticket Sales Paid To Others,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
TRACKS,55578229,22/07/2024,850,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
VIBE PRINT LIMITED/TA 1 CALL 4,55579682,17/07/2024,"1,937.49",Marketing & Advertising,SUPPLIES & SERVICES,EXPENSES
VIVEDIA LTD,55579384,31/07/2024,"1,970.00",Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
WESTON ENTERTAINMENTS LTD,55579260,29/07/2024,750,Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
WHISTL UK LIMITED,55579087,28/07/2024,"2,618.04",Postages,SUPPLIES & SERVICES,COMMUNICATIONS & COMPUTING
WHITEHOUSE FUNERAL SERVICE LTD,55577066,04/07/2024,883,Contract Funerals,SUPPLIES & SERVICES,SERVICES
WOODS HYDRAULIC SERVICE LTD T/A PIRTEK CLEVELAND,57715682,07/08/2024,747.2,Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
YOUR NRG LTD,55578654,24/07/2024,"4,653.95",Vehicle Fuel,TRANSPORT,DIRECT TRANSPORT COSTS
YOUR NRG LTD,55580013,02/08/2024,"17,826.71",Vehicle Fuel,TRANSPORT,DIRECT TRANSPORT COSTS
YOUR NRG LTD,55578427,22/07/2024,"2,793.48",Vehicle Fuel,TRANSPORT,DIRECT TRANSPORT COSTS
YOUR NRG LTD,55578428,22/07/2024,"17,610.27",Vehicle Fuel,TRANSPORT,DIRECT TRANSPORT COSTS
LOCAL GOVERNMENT ASSOCIATION,55578996,26/07/2024,567,Conferences & Seminars,EMPLOYEES,Indirect Employee Costs
700 CLUB,55579315,30/07/2024,"18,061.00",Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
ALLIED PUBLICITY SERVICES,55579362,30/07/2024,829.86,Ict Software Support & Maintenance,SUPPLIES & SERVICES,COMMUNICATIONS & COMPUTING
CRITIQOM LIMITED,55579742,31/07/2024,848.7,Postages,SUPPLIES & SERVICES,COMMUNICATIONS & COMPUTING
CRITIQOM LIMITED,55579742,31/07/2024,848.69,Postages,SUPPLIES & SERVICES,COMMUNICATIONS & COMPUTING
G & A SECURITY,55580076,05/08/2024,"3,505.88",Security Services,SUPPLIES & SERVICES,SERVICES
GOOSEPOOL HOTEL DARLINGTON DND GROUP LTD,55579098,28/07/2024,"7,425.03",Board & Lodgings For Homeless Clients,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
GOOSEPOOL HOTEL DARLINGTON DND GROUP LTD,55578085,21/07/2024,"8,775.03",Board & Lodgings For Homeless Clients,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
GOOSEPOOL HOTEL DARLINGTON DND GROUP LTD,55580044,04/08/2024,"6,991.69",Board & Lodgings For Homeless Clients,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
HANOVER HOUSING ASSOCIATION,55580155,23/08/2024,702.71,Setting Up Home Grant,TRANSFER PAYMENTS,SOCIAL SERVICES CLIENTS
METRO MOTELS LTD,55579348,30/07/2024,500,Board & Lodgings For Homeless Clients,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
METRO MOTELS LTD,55579349,30/07/2024,933.33,Board & Lodgings For Homeless Clients,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
NEC SOFTWARE SOLUTIONS,55579721,31/07/2024,"2,084.85",Professional Fees & Consultancy,SUPPLIES & SERVICES,SERVICES
THE PROPERTY BOX,55578167,03/08/2024,"1,106.00",Grants,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
TKB HOUSING CIC,55579017,29/07/2024,"1,145.50",Board & Lodgings For Homeless Clients,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
TKB HOUSING CIC,55580138,05/08/2024,"1,412.00",Board & Lodgings For Homeless Clients,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
TOAST PROPERTIES,55578478,08/07/2024,"4,690.00",Board & Lodgings For Homeless Clients,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
TOAST PROPERTIES,55579183,08/07/2024,"5,290.00",Board & Lodgings For Homeless Clients,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
TOAST PROPERTIES,55579669,19/08/2024,"5,790.00",Board & Lodgings For Homeless Clients,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
ANCHOR HANOVER GROUP,55578323,19/07/2024,"68,839.16",Other Supplies & Services,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
APEC ENVIRONMENTAL,55578908,24/07/2024,"1,400.00",Asbestos Survey,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
ARCUS CONSULTING LLP,55579753,31/07/2024,517,Responsive - Void E.P.C.,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
B & Q PLC,55578097,21/07/2024,708.34,Responsive-Empty Hse Redecor,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
B & Q PLC,55577799,14/07/2024,"2,150.01",Responsive-Empty Hse Redecor,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
B & Q PLC,55580040,05/08/2024,828.33,Responsive-Empty Hse Redecor,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
BRIEN & SON LOCKSMITHS,55579266,29/07/2024,"1,685.60",Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
BT TELEPHONE PAYMENT CENTRE,55579485,08/08/2024,728,Telephone Costs,SUPPLIES & SERVICES,COMMUNICATIONS & COMPUTING
CAREIUM UK LIMITED,55579235,29/07/2024,592,Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CAREIUM UK LIMITED,55579671,28/07/2024,"8,950.00",Equipment,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
CORONA ENERGY LTD,57716332,15/08/2024,"1,869.24",Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57716333,15/08/2024,920.39,Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57716344,15/08/2024,834.22,Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57716360,15/08/2024,"2,436.66",Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57716365,15/08/2024,"1,523.45",Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57716366,15/08/2024,"1,656.53",Gas,PREMISES,ENERGY COSTS
CORONA ENERGY LTD,57716367,15/08/2024,"2,205.97",Gas,PREMISES,ENERGY COSTS
CROSSLING LTD,55578882,25/07/2024,"2,119.83",Materials,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
EASBY FLOORING LTD,55580224,05/08/2024,565.86,Fixtures And Fittings,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
EASBY FLOORING LTD,55577937,16/07/2024,558.71,Fixtures And Fittings,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
EASBY FLOORING LTD,55578004,17/07/2024,577.51,Fixtures And Fittings,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
EASBY FLOORING LTD,55578760,22/07/2024,661.81,Fixtures And Fittings,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
EASBY FLOORING LTD,55578769,23/07/2024,743.79,Fixtures And Fittings,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
EASBY FLOORING LTD,55578778,24/07/2024,724.66,Fixtures And Fittings,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
HOUSEMARK LTD,55577898,20/06/2024,630,Conferences & Seminars,EMPLOYEES,Indirect Employee Costs
MAGNIT GLOBAL GRI LTD,11163291,04/08/2024,519.99,Agency Staff Costs - Non Teaching,EMPLOYEES,Direct Employee Costs
MINISTRY OF JUSTICE,55579182,08/07/2024,"26,206.81",Subscriptions,SUPPLIES & SERVICES,GRANTS & SUBSCRIPTIONS
MITIE PROPERTY SERVICES (NORTH EAST) LTD,55575637,21/06/2024,"1,213.70",Cyclical - External Painting,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
MITIE PROPERTY SERVICES (NORTH EAST) LTD,55579004,26/07/2024,"1,251.18",Responsive - Empty Hse Repairs,PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
MITIE PROPERTY SERVICES (NORTH EAST) LTD,55579000,26/07/2024,"1,326.65",Responsive Repairs (General),PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
MITIE PROPERTY SERVICES (NORTH EAST) LTD,55579001,26/07/2024,"1,382.32",Responsive Repairs (General),PREMISES,"REPAIRS, ALT, MAINT OF BLDGS"
NEWCASTLE CITY COUNCIL,55578708,16/01/2024,"9,984.00",Furniture,SUPPLIES & SERVICES,"EQUIPMENT, FURNITURE & MATERIALS"
