,,LOCAL GOVERNMENT TRANSPARENCY CODE,,,,,,,,,,
,,EXPENDITURE AND GOVERNMENT PROCUREMENT CARD EXPENDITURE OVER £500 ,,,,,,,,,,
,,QUARTER 4 - 2024/2025,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Organisation Name,Transaction Number,Service Label,Organisation Unit,Expenditure Category,Payment Date,Net Value,Non Recoverable VAT,Capital or Revenue,Supplier,Card Transaction,Procurement Classification / Merchant Category - Proclass Code,Procurement Classification / Merchant Category - Proclass Description
Hartlepool Borough Council,0060597672,Adult & Community Based Services,Commissioning - Adults,Housing Related Support,45665,46083.15,0,Revenue,Thirteen Housing Group Limited,No,391100,"Works - Construction, Repair & Maintenance - Buildings "
Hartlepool Borough Council,0086608171,Adult & Community Based Services,Commissioning - Adults,Kennelling/Vets/Dog Warden,45727,1399,0,Revenue,AHHFP LIMITED,No,180020,Environmental Services - Animal Services - Kennel Services
Hartlepool Borough Council,0086604313,Adult & Community Based Services,Commissioning - Adults,Kennelling/Vets/Dog Warden,45686,1699.4,0,Revenue,AHHFP LIMITED,No,180020,Environmental Services - Animal Services - Kennel Services
Hartlepool Borough Council,0086605493,Adult & Community Based Services,Commissioning - Adults,Kennelling/Vets/Dog Warden,45695,2955.98,0,Revenue,AHHFP LIMITED,No,180020,Environmental Services - Animal Services - Kennel Services
Hartlepool Borough Council,0086607546,Adult & Community Based Services,Commissioning - Adults,National Assistnce Act Burials,45720,1391.72,0,Revenue,Victoria House Funeral Service Limited,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0086608116,Adult & Community Based Services,Commissioning - Adults,National Assistnce Act Burials,45727,1558,0,Revenue,Victoria House Funeral Service Limited,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0086603902,Adult & Community Based Services,Commissioning - Adults,Prof Fees -External Consultant,45674,5000,0,Revenue,Advice at Hart CIC,No,209999,Financial Services - Not Elsewhere Classified 
Hartlepool Borough Council,0086603885,Adult & Community Based Services,Commissioning - Adults,Prof Fees -External Consultant,45693,1110,0,Revenue,Civica Uk Limited,No,279999,Information Communication Technology - Not Elsewhere Classified 
Hartlepool Borough Council,0086603887,Adult & Community Based Services,Commissioning - Adults,Prof Fees -External Consultant,45693,4125,0,Revenue,Civica Uk Limited,No,279999,Information Communication Technology - Not Elsewhere Classified 
Hartlepool Borough Council,0086608301,Adult & Community Based Services,Commissioning - Adults,Prof Fees -External Consultant,45742,4227.6,0,Revenue,Civica Uk Limited,No,279999,Information Communication Technology - Not Elsewhere Classified 
Hartlepool Borough Council,0086607226,Adult & Community Based Services,Commissioning - Adults,Prof Fees -External Consultant,45735,4275,0,Revenue,Civica Uk Limited,No,279999,Information Communication Technology - Not Elsewhere Classified 
Hartlepool Borough Council,0086605192,Adult & Community Based Services,Commissioning - Adults,Prof Fees -External Consultant,45706,4322.4,0,Revenue,Civica Uk Limited,No,279999,Information Communication Technology - Not Elsewhere Classified 
Hartlepool Borough Council,0086602326,Adult & Community Based Services,Commissioning - Adults,Prof Fees -External Consultant,45665,4362.6,0,Revenue,Civica Uk Limited,No,279999,Information Communication Technology - Not Elsewhere Classified 
Hartlepool Borough Council,0086606304,Adult & Community Based Services,Commissioning - Adults,Prof Fees -External Consultant,45721,4500,0,Revenue,Civica Uk Limited,No,279999,Information Communication Technology - Not Elsewhere Classified 
Hartlepool Borough Council,0086605006,Adult & Community Based Services,Commissioning - Adults,Prof Fees -External Consultant,45688,5000,0,Revenue,Hartlepool Citizens Advice Bureau,No,201700,Financial Services - Grants 
Hartlepool Borough Council,0086603621,Adult & Community Based Services,Commissioning - Adults,Prof Fees -External Consultant,45665,5000,0,Revenue,West View Advice & Resource Centre Ltd,No,261000,Human Resources - Accommodation 
Hartlepool Borough Council,0086607445,Adult & Community Based Services,Commissioning - Adults,Prof Fees -External Consultant,45721,5000,0,Revenue,West View Advice & Resource Centre Ltd,No,261000,Human Resources - Accommodation 
Hartlepool Borough Council,0086594713,Adult & Community Based Services,Commissioning - Adults,Purchase - Computer Software,45713,-4875,0,Revenue,Access Uk Ltd,No,271600,Information Communication Technology - Software - Customised & Bespoke
Hartlepool Borough Council,0086598672,Adult & Community Based Services,Commissioning - Adults,Purchase - Computer Software,45713,1600,0,Revenue,Access Uk Ltd,No,271600,Information Communication Technology - Software - Customised & Bespoke
Hartlepool Borough Council,0086601279,Adult & Community Based Services,Commissioning - Adults,Purchase - Computer Software,45713,1600,0,Revenue,Access Uk Ltd,No,271600,Information Communication Technology - Software - Customised & Bespoke
