DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,System Reference,Exclusive Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Adult Learning - Non SFA,ASSOCIATION OF UKRAINIANS IN GREAT BRITAIN DERBY BRANCH,05/03/2024,84596,344253,950,Maths Multiplier Grant,40 - SME,SME
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,NATIONAL GRID ELECTRICITY DISTRIBUTION PLC,05/03/2024,84659,344255,"6,900.26",TCF Tranche 2 - Bus & Rapid Transit Links: Partnership Corri,10 - Company,Company
Chief Executives,Finance & Business Support,Business Support & Information Governance,Business Support,FINANCIAL DATA MANAGEMENT LTD,05/03/2024,83579,344265,"1,947.63",Transactional Services,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Regeneration and Economic Growth,Regeneration Projects,DEREK LATHAM AND CO LTD,05/03/2024,83621,344267,750,Regeneration Projects,40 - SME,SME
People Services - Children & Young People,Non-Schools,Commissioning,Commissioned Providers,DERBY LEISURE LIMITED DERBY LEISURE & EVENTS VENUE,05/03/2024,84832,344269,580,Reducing Parental Conflict,10 - Company,Company
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,DENNIS EAGLE LTD,05/03/2024,83471,344276,578.75,Vehicle Maintenance,10 - Company,Company
Chief Executives,"Corporate Governance, Procurement & Property",Democracy & Elections,Democracy - Electoral Services/ Land Cha,CROCKER BROS LTD,05/03/2024,83545,344280,842.63,Conduct of Regional Elections,40 - SME,SME
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Adult Learning - SFA,CITY AND GUILDS,05/03/2024,83463,344315,"2,841.60",ESOL Curriculum,10 - Company,Company
People Services - Children & Young People,Non-Schools,Learning & Inclusion,Adult Learning - SFA,CITY AND GUILDS,05/03/2024,83463,344317,563.2,ESOL Curriculum,10 - Company,Company
People Services - Adults and Health,Adult Social Care,Senior Management,Senior Management,CARE ANALYTICS (UK) LTD,05/03/2024,84938,344321,"7,500.00",Senior Management,10 - Company,Company
Communities & Place,Communities,Waste Disposal,Stores Road Depot & Fleet Management,CERTAS ENERGY UK LIMITED,05/03/2024,84533,344325,"41,115.70",Fleet Hire,40 - SME,SME
Communities & Place,City Sustainability,Traffic & Transportation,Transport Planning,WATERMAN ASPEN LTD,05/03/2024,83457,344328,"4,980.00",Transport Planning,40 - SME,SME
Communities & Place,City Growth & Vibrancy,Culture & Leisure,Leisure,WARD,05/03/2024,84470,344349,530,Derby Multi Use Sports Arena,40 - SME,SME
Communities & Place,City Sustainability,Highways Maintenance,Highways Maintenance,AMA SUPPLIES LTD,05/03/2024,83555,344351,664.76,Highways Maintenance Reactionary Works,40 - SME,SME
Communities & Place,City Sustainability,Highways Assest and Engineering,Engineering,WATERMAN ASPEN LTD,05/03/2024,83457,344353,"2,010.00",Engineering Section,40 - SME,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,Digital Enablement & Automation,Digital Services,BT PLC S98 1BT,05/03/2024,83460,344370,"18,860.69",IT Infrastructure,10 - Company,Company
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,Digital Enablement & Automation,Digital Services,BT PLC S98 1BT,05/03/2024,83460,344376,"3,308.79",IT Infrastructure,10 - Company,Company
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,SWARCO UK AND IRELAND LTD,05/03/2024,84599,344380,770,Private Network Fibre Upgrade,40 - SME,SME
Chief Executives,Digital & Physical Infrastructure and Customer Engagement,Digital Enablement & Automation,Digital Services,BT PLC S98 1BT,05/03/2024,83460,344381,"1,030.56",IT Infrastructure,10 - Company,Company
Neighbourhoods,Neighbourhoods,Neighbourhoods,Neighbourhoods,XAIS ASSET MANAGEMENT LTD,05/03/2024,84174,344382,"22,588.00",TCF Tranche 2 - Bus & Rapid Transit Links: Partnership Corri,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,CREATIVE SUPPORT LTD,05/03/2024,83629,344400,555.52,West/South MH Support Adults (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,CREATIVE SUPPORT LTD,05/03/2024,83629,344401,555.56,Central/East MH Support OP (over 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,CREATIVE SUPPORT LTD,05/03/2024,83629,344406,694.4,West/South MH Support Adults (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,CREATIVE SUPPORT LTD,05/03/2024,83629,344416,555.56,Central/East MH Support OP (over 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Sensory Support,CREATIVE SUPPORT LTD,05/03/2024,83629,344419,694.4,Central Adults (under 65) Sensory - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,CREATIVE SUPPORT LTD,05/03/2024,83629,344420,555.52,West/South MH Support Adults (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,CREATIVE SUPPORT LTD,05/03/2024,83629,344421,555.56,Central/East MH PD Support (under 65) - DP/Mgd,40 - SME,SME
People Services - Adults and Health,Adult Social Care,Community Support,Mental Health Support,CREATIVE SUPPORT LTD,05/03/2024,83629,344425,"1,180.48",Central/East MH Support Adults (under 65) - DP/Mgd,40 - SME,SME
