DCC Transparency Report Supplier Payment over £500,,,,,,,,,,,
,,,,,,,,,,,
Directorate Description,Department Description,Division Description,Section Description,Supplier Name,Payment Date,Payment Reference,Revised Report Amount,Revised Report Amount,Purpose of Spend,Procurement Classification,Selection Code 3 Description
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,7579,"2,251.16","2,251.16",Preparing for Adulthood PD Support - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,7619,702.56,702.56,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,7622,"3,112.00","3,112.00",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,7659,"1,000.00","1,000.00",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,7757,"1,038.04","1,038.04",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,7822,745.6,745.6,Preparing for Adulthood PD Support - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,7930,"1,340.72","1,340.72",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,7983,690.64,690.64,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8018,"3,708.04","3,708.04",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8028,"2,351.24","2,351.24",Preparing for Adulthood PD Support - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8036,"2,608.88","2,608.88",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8043,"2,068.80","2,068.80",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8063,"3,550.40","3,550.40",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8096,"1,065.72","1,065.72",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8098,"3,352.64","3,352.64",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8116,"1,277.40","1,277.40",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8134,"1,084.32","1,084.32",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8153,"2,287.88","2,287.88",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8158,525.64,525.64,Preparing for Adulthood Memory Support - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8162,695.4,695.4,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8163,"1,857.80","1,857.80",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8165,"1,240.48","1,240.48",Preparing for Adulthood PD Support - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8185,702.04,702.04,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8203,603.88,603.88,Preparing for Adulthood PD Support - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8221,738.56,738.56,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8234,"1,846.72","1,846.72",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8235,975.44,975.44,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8237,"1,134.60","1,134.60",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8249,690.48,690.48,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8272,"1,135.56","1,135.56",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8275,634.6,634.6,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8314,"1,105.96","1,105.96",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8333,960.48,960.48,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8334,"1,612.84","1,612.84",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8338,"1,128.80","1,128.80",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8344,"1,514.72","1,514.72",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8350,"1,567.24","1,567.24",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8364,528.04,528.04,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8394,837.24,837.24,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8396,522.04,522.04,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8407,853.44,853.44,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8408,803.16,803.16,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8446,709.32,709.32,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8485,712.44,712.44,Preparing for Adulthood Sensory Support - R/N,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8492,"1,543.92","1,543.92",Preparing for Adulthood PD Support - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8496,812.68,812.68,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8507,"1,221.88","1,221.88",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8509,878.6,878.6,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8532,"1,378.16","1,378.16",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8543,"1,284.80","1,284.80",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8578,543.88,543.88,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8584,813.56,813.56,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8598,"1,058.24","1,058.24",Preparing for Adulthood PD Support - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8631,988.4,988.4,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8654,873.12,873.12,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8667,"1,744.40","1,744.40",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8674,"3,697.84","3,697.84",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8684,558.6,558.6,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8696,754.76,754.76,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8697,523.56,523.56,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8768,824.64,824.64,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8773,506.68,506.68,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8778,573,573,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8928,"1,248.00","1,248.00",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8938,"1,977.68","1,977.68",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,8971,736.84,736.84,Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,7289,"4,048.04","4,048.04",Preparing for adulthood 18-24 LD ? DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,7311,"2,123.12","2,123.12",Preparing for Adulthood PD Support - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Transitions and Ordinary Lives,Learning Disability Support,Transitions and Ordinary Lives - Learnin,REDACTED,23/05/2023,7334,"1,976.32","1,976.32",Preparing for Adulthood PD Support - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7221,801.16,801.16,South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7245,"3,266.56","3,266.56",South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,7363,576.76,576.76,South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7385,881.08,881.08,South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,7400,640.72,640.72,South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7405,765.96,765.96,South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7423,"1,912.92","1,912.92",South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,7442,"1,030.36","1,030.36",South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7461,836.08,836.08,South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7469,884.4,884.4,South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,7478,935.84,935.84,South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,7481,942.4,942.4,South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7488,699.72,699.72,South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,7534,"1,640.08","1,640.08",South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,7539,794.36,794.36,South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,7593,570.8,570.8,South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7603,748.08,748.08,South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,7626,848.64,848.64,South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,7628,"1,144.84","1,144.84",South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Support to Carers,Community Support - Support to Carers,REDACTED,23/05/2023,7670,"1,031.84","1,031.84",South Adults Support to Carers: Community: Direct Payments,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7677,895,895,South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,7687,751.24,751.24,South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,7688,864,864,South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,7694,"1,157.64","1,157.64",South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Support to Carers,Community Support - Support to Carers,REDACTED,23/05/2023,7715,"1,401.96","1,401.96",South Adults Support to Carers: Community: Direct Payments,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,7721,"2,669.12","2,669.12",South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7735,780.4,780.4,South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,7754,780,780,South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,REDACTED,23/05/2023,7759,565.28,565.28,South Adults (under 65) Sensory - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,7761,597.8,597.8,South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,REDACTED,23/05/2023,7764,691.8,691.8,South Adults (under 65) Sensory - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7783,"2,094.72","2,094.72",South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,7787,601.24,601.24,South OP (over 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7795,"1,683.76","1,683.76",South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7901,956.12,956.12,South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7940,844.48,844.48,South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,REDACTED,23/05/2023,7946,"1,853.04","1,853.04",South OP (under 65) Memory - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,7963,"1,512.88","1,512.88",South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8021,766.56,766.56,South OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,REDACTED,23/05/2023,8025,845.08,845.08,South Adults (under 65) Sensory - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8050,784.6,784.6,South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,REDACTED,23/05/2023,8065,"1,256.56","1,256.56",South OP (over 65) Sensory - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,8074,520,520,South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8086,"2,076.32","2,076.32",South OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8117,675.28,675.28,South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,8136,"1,036.32","1,036.32",South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,REDACTED,23/05/2023,8222,"1,148.04","1,148.04",South OP (over 65) Sensory - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8266,"2,367.60","2,367.60",South OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,8328,924.68,924.68,South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8374,"2,224.80","2,224.80",South OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Learning Disability Support,Community Support - Learning Disability,REDACTED,23/05/2023,8403,847.24,847.24,South Adults (under 65) LD - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8447,716.36,716.36,South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8551,"1,044.48","1,044.48",South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8610,802.32,802.32,South Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,REDACTED,23/05/2023,8017,"1,350.12","1,350.12",West Adults (under 65) Sensory - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8054,687.84,687.84,West Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Support with Memory and Cognition,Community Support - Support with Memory,REDACTED,23/05/2023,8068,837.44,837.44,West OP (under 65) Memory - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8075,"1,165.56","1,165.56",West OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8105,"2,037.20","2,037.20",West OP (over 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,REDACTED,23/05/2023,8143,673.12,673.12,West Adults (under 65) Sensory - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,REDACTED,23/05/2023,8171,"2,400.00","2,400.00",West OP (over 65) Sensory - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Physical Support,Community Support - Physical Support,REDACTED,23/05/2023,8213,"1,072.40","1,072.40",West Adults (under 65) Physical - DP/Mgd,,Individual (Non Business)
People Services - Adults and Health,Community Support,Sensory Support,Community Support - Sensory Support,REDACTED,23/05/2023,8246,"1,108.32","1,108.32",West OP (over 65) Sensory - DP/Mgd,,Individual (Non Business)
