Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category
0000326309,THAMESWAY CONTRACTORS LTD,10/12/2024,"10,202.76","1,700.46",Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326310,THAMESWAY CONTRACTORS LTD,10/12/2024,"10,260.00","1,710.00",Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326311,THE OYSTER PARTNERSHIP,10/12/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000326313,REDACTED PERSONAL INFORMATION,10/12/2024,"26,111.57","4,351.93",Human Resources,Human Resources,Consultants fees
0000326314,REDACTED PERSONAL INFORMATION,10/12/2024,724.68,120.78,Human Resources,Human Resources,Consultants fees
0000326316,REDACTED PERSONAL INFORMATION,10/12/2024,"5,400.00",900.00,Asset Management,Charter Building,Consultants fees
0000326318,FLOWBIRD SMART CITY UK LTD,20/12/2024,642.00,107.00,Car Parks,Car Park Administration,Operational Equipment Maint.
0000326319,FLOWBIRD SMART CITY UK LTD,20/12/2024,"1,244.40",207.40,Car Parks,Car Park Administration,Operational Equipment Maint.
0000326321,REDACTED PERSONAL INFORMATION,24/12/2024,870.00,145.00,Housing Needs,Step-Down Accommodation,Contract cleaning
0000326322,REDACTED PERSONAL INFORMATION,10/12/2024,"8,487.60","1,414.60",Housing Needs,LAHF properties,Void repair work
0000326323,REDACTED PERSONAL INFORMATION,10/12/2024,"11,607.60","1,934.60",Housing Needs,LAHF properties,Void repair work
0000326324,REDACTED PERSONAL INFORMATION,10/12/2024,"9,124.80","1,520.80",Housing Needs,LAHF properties,Void repair work
0000326325,REDACTED PERSONAL INFORMATION,10/12/2024,"13,296.00","2,216.00",Housing Needs,LAHF properties,Void repair work
0000326326,REDACTED PERSONAL INFORMATION,10/12/2024,"16,170.00","2,695.00",Housing Needs,LAHF properties,Void repair work
0000326327,REDACTED PERSONAL INFORMATION,10/12/2024,"13,555.20","2,259.20",Housing Needs,LAHF properties,Void repair work
