Purchasing Organisation,Payment Date,Voucher Number (Internal Classification),Payment Number,Supplier Name,Service Area,Amount (œ),Purpose,Supplier Type (Internal Classification),Invoice Type (Internal Classification),Cost Centre No,Directorate
RBC Legal Entity,01/12/2022,4739729,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,2188.92,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739729,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-628.02,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739730,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,627.75,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739730,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-180.11,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4745748,349706,RESPONSE ORGANISATION,PS Acquired Community Services,1142.04,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745749,349706,RESPONSE ORGANISATION,PS Acquired Community Services,1631.49,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4737456,349707,MR ALEX FORBES,JLT Disbursements,795,Misc. Legal Expenses,SUPPLIER,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,01/12/2022,4737461,349707,MR ALEX FORBES,JLT Disbursements,620,Misc. Legal Expenses,SUPPLIER,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,01/12/2022,4739287,349707,MR ALEX FORBES,JLT Disbursements,1970,Misc. Legal Expenses,SUPPLIER,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,01/12/2022,4739288,349707,MR ALEX FORBES,JLT Disbursements,675,Misc. Legal Expenses,SUPPLIER,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,01/12/2022,4739289,349707,MR ALEX FORBES,JLT Disbursements,795,Misc. Legal Expenses,SUPPLIER,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,01/12/2022,4739312,349707,MR ALEX FORBES,JLT Disbursements,795,Misc. Legal Expenses,SUPPLIER,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,01/12/2022,4735917,349708,FCC RECYCLING (UK) LTD,Grounds Maintenance,1043.28,Parks Tipping,SUPPLIER,STANDARD,1306,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4735919,349708,FCC RECYCLING (UK) LTD,Streetscene,1762.44,Waste Disposal,SUPPLIER,STANDARD,4567,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4735920,349708,FCC RECYCLING (UK) LTD,Refuse Collection,8145.41,Tipping Charge,SUPPLIER,STANDARD,4561,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4734509,349712,DENNIS EAGLE LTD,Fleet Management,3545.2,Unfair Wear + Tear Costs,SUPPLIER,STANDARD,4552,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4745539,349713,M&D SERVICES,Streetscene,5300,TPP to Others,SUB-CONTRACTOR,STANDARD,4567,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4745539,349713,M&D SERVICES,Streetscene,3800,TPP to Others,SUB-CONTRACTOR,STANDARD,4567,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4737713,349714,DNA LEGAL LTD,JLT Disbursements,737,Misc. Legal Expenses,SUPPLIER,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,01/12/2022,4737329,349715,EDUFOCUS LIMITED,Health & Safety,5948,Health + Safety,Third Party Supplier,STANDARD,2700,LAAA-Directorate of Resources
RBC Legal Entity,01/12/2022,4734577,349716,NLC NOVA LIFT CO LTD,Repairs,7152,Lifts,SUB-CONTRACTOR,STANDARD,5970,HAAA-Housing Revenue Account
RBC Legal Entity,01/12/2022,4745506,349717,PROVIDE SESS LTD,Corporate FM - Community Buildings,214,Security Charges,Third Party Supplier,STANDARD,3739,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4745506,349717,PROVIDE SESS LTD,Corporate FM - Community Buildings,23,Security Charges,Third Party Supplier,STANDARD,3739,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4745506,349717,PROVIDE SESS LTD,Corporate FM - Community Buildings,30,Security Charges,Third Party Supplier,STANDARD,3739,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4745506,349717,PROVIDE SESS LTD,Corporate FM - Community Buildings,23,Security Charges,Third Party Supplier,STANDARD,3739,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4745506,349717,PROVIDE SESS LTD,Corporate FM - Community Buildings,30,Security Charges,Third Party Supplier,STANDARD,3739,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4745506,349717,PROVIDE SESS LTD,Corporate FM - Office Buildings,113,Security Charges,Third Party Supplier,STANDARD,3738,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4736715,349720,F M CONWAY LTD,Highways and Drainage,921.94,Materials Direct,SUB-CONTRACTOR,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4736716,349720,F M CONWAY LTD,Highways and Drainage,450.87,Materials Direct,SUB-CONTRACTOR,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4745513,349721,DR LIONEL J DEAN,Crematorium,20,Memorials & Commemorative Plaq,INDIVIDUAL,STANDARD,4606,LAAA-Directorate of Resources
RBC Legal Entity,01/12/2022,4745513,349721,DR LIONEL J DEAN,Crematorium,2756.5,Medical Fees,INDIVIDUAL,STANDARD,4606,LAAA-Directorate of Resources
RBC Legal Entity,01/12/2022,4745695,349723,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Mental Health Community Services,2168.12,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745696,349723,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Mental Health Community Services,2168.12,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745697,349723,MEDCARE HOME SERVICES LTD T/A PROACTIVE LIFE,Mental Health Community Services,2168.12,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745512,349726,DR BUSHRA BI,Crematorium,20,Medical Fees,Third Party Supplier,STANDARD,4606,LAAA-Directorate of Resources
RBC Legal Entity,01/12/2022,4745512,349726,DR BUSHRA BI,Crematorium,2812,Medical Fees,Third Party Supplier,STANDARD,4606,LAAA-Directorate of Resources
RBC Legal Entity,01/12/2022,4745512,349726,DR BUSHRA BI,Crematorium,20,Medical Fees,Third Party Supplier,STANDARD,4606,LAAA-Directorate of Resources
RBC Legal Entity,01/12/2022,4745512,349726,DR BUSHRA BI,Crematorium,1480,Medical Fees,Third Party Supplier,STANDARD,4606,LAAA-Directorate of Resources
RBC Legal Entity,01/12/2022,4745722,349730,SPECTRUM GROUP SERVICES LIMITED,PS Acquired Community Services,1380.4,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745723,349730,SPECTRUM GROUP SERVICES LIMITED,PS Acquired Community Services,1380.4,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745724,349730,SPECTRUM GROUP SERVICES LIMITED,PS Acquired Community Services,576.81,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745726,349730,SPECTRUM GROUP SERVICES LIMITED,PS Acquired Community Services,690.2,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745727,349730,SPECTRUM GROUP SERVICES LIMITED,PS Acquired Community Services,1222.64,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745728,349730,SPECTRUM GROUP SERVICES LIMITED,PS Acquired Community Services,1104.32,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745729,349730,SPECTRUM GROUP SERVICES LIMITED,PS Acquired Community Services,1242.36,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745731,349730,SPECTRUM GROUP SERVICES LIMITED,Mental Health Community Services,1301.52,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745732,349730,SPECTRUM GROUP SERVICES LIMITED,PS Acquired Community Services,1104.32,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745733,349730,SPECTRUM GROUP SERVICES LIMITED,PS Acquired Community Services,1104.32,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745734,349730,SPECTRUM GROUP SERVICES LIMITED,PS Acquired Community Services,1183.2,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745738,349730,SPECTRUM GROUP SERVICES LIMITED,PS Acquired Community Services,552.16,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745739,349730,SPECTRUM GROUP SERVICES LIMITED,PS Acquired Community Services,552.16,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745740,349730,SPECTRUM GROUP SERVICES LIMITED,PS Acquired Community Services,966.28,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745742,349730,SPECTRUM GROUP SERVICES LIMITED,PS Acquired Community Services,552.16,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745744,349730,SPECTRUM GROUP SERVICES LIMITED,Mental Health Community Services,1301.52,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745745,349730,SPECTRUM GROUP SERVICES LIMITED,PS Acquired Community Services,1479,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745746,349730,SPECTRUM GROUP SERVICES LIMITED,Social Support,1109.25,Purchased Care,Third Party Supplier,STANDARD,5790,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745747,349730,SPECTRUM GROUP SERVICES LIMITED,PS Acquired Community Services,1064.88,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4737972,349731,CSN CARE GROUP LTD T/A CAREWATCH,PS Acquired Community Services,907.12,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4737974,349731,CSN CARE GROUP LTD T/A CAREWATCH,PS Acquired Community Services,1069.81,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4737975,349731,CSN CARE GROUP LTD T/A CAREWATCH,PS Acquired Community Services,798.66,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4737977,349731,CSN CARE GROUP LTD T/A CAREWATCH,PS Acquired Community Services,1306.45,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4737981,349731,CSN CARE GROUP LTD T/A CAREWATCH,Social Support,764.15,Purchased Care,Third Party Supplier,STANDARD,5790,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4737985,349731,CSN CARE GROUP LTD T/A CAREWATCH,PS Acquired Community Services,2750.94,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4737986,349731,CSN CARE GROUP LTD T/A CAREWATCH,PS Acquired Community Services,1912.84,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4734706,349732,TRUSTMARQUE SOLUTIONS LTD,Communications,467.63,Software Licences,Third Party Supplier,STANDARD,2075,EAAA-Chief Executive
RBC Legal Entity,01/12/2022,4734715,349732,TRUSTMARQUE SOLUTIONS LTD,IT Management,935.26,Software Licences,Third Party Supplier,STANDARD,2300,LAAA-Directorate of Resources
RBC Legal Entity,01/12/2022,4732468,349735,AGILISYS LIMITED,Future ICT operating model,825,IT - Costs/Equipment,Third Party Supplier,STANDARD,8636,ZZZC-Capital
RBC Legal Entity,01/12/2022,4732468,349735,AGILISYS LIMITED,Future ICT operating model,1237.5,IT - Costs/Equipment,Third Party Supplier,STANDARD,8636,ZZZC-Capital
RBC Legal Entity,01/12/2022,4732468,349735,AGILISYS LIMITED,Future ICT operating model,69.6,IT - Costs/Equipment,Third Party Supplier,STANDARD,8636,ZZZC-Capital
RBC Legal Entity,01/12/2022,4745273,349736,ENRICHED CARE SUPPORT SERVICES LTD,Mental Health Community Services,-775.66,Purchased Care,Third Party Supplier,CREDIT,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745790,349736,ENRICHED CARE SUPPORT SERVICES LTD,Mental Health Community Services,4960,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745791,349736,ENRICHED CARE SUPPORT SERVICES LTD,Mental Health Community Services,2400,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745792,349736,ENRICHED CARE SUPPORT SERVICES LTD,Mental Health Community Services,3280,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745794,349736,ENRICHED CARE SUPPORT SERVICES LTD,LD Community Services,8900,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745471,349737,TMS CONSULTANCY T/A TRAFFIC MANAGEMENT & SAFETY LIMITED,Strategic Transport & Concessionary Fares,1900,Consultancy Fees,Third Party Supplier,STANDARD,4726,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4736743,349738,WF EDUCATION GROUP LTD,Reading Libraries,518,Equipment Purchase & Repair,Third Party Supplier,STANDARD,1400,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4728888,349740,SCOPE OF MIND LTD,Adults Quality and Safeguarding Team,2889.8,Professional Fees,Third Party Supplier,STANDARD,5158,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4737785,349742,I CARE (2018) LTD,PS Acquired Community Services,1106.57,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4736281,349743,POINTONE POS LTD,Old Town Hall Refurbishment,797.5,Equipment,Third Party Supplier,STANDARD,8002,ZZZC-Capital
RBC Legal Entity,01/12/2022,4745534,349745,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,Berkshire West Public Health Hub,301.14,NHS Trusts,Third Party Supplier,STANDARD,2002,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745534,349745,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,Berkshire West Public Health Hub,243.4,NHS Trusts,Third Party Supplier,STANDARD,2002,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745607,349746,CARE OUTLOOK LTD,Mental Health Community Services,718.28,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745488,349748,ZIP HEATERS UK T/A ZIP WATER,Corporate FM - Office Buildings,725.04,Equipment Purchase & Repair,Third Party Supplier,STANDARD,3738,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4745488,349748,ZIP HEATERS UK T/A ZIP WATER,Corporate FM - Office Buildings,13743.32,Equipment Purchase & Repair,Third Party Supplier,STANDARD,3738,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4745488,349748,ZIP HEATERS UK T/A ZIP WATER,Corporate FM - Office Buildings,119.17,Equipment Purchase & Repair,Third Party Supplier,STANDARD,3738,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4739750,349750,CARE4U WE LTD,LD Community Services,2180.88,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739751,349750,CARE4U WE LTD,LD Community Services,10283,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739754,349750,CARE4U WE LTD,Mental Health Community Services,2789.9,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739755,349750,CARE4U WE LTD,Mental Health Community Services,2526.54,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739757,349750,CARE4U WE LTD,Mental Health Community Services,2140.02,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739758,349750,CARE4U WE LTD,LD Community Services,3285.74,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739759,349750,CARE4U WE LTD,LD Community Services,4238.38,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
