Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Neighbourhoods,Agency Admin/Cleric,Professional,1905756704,45001,MATRIX SCM LTD,5497.75
Adult Services & Hea,Private Contractors,Agency & Contract Services,5101061338,45001,LIVERPOOL ADVOCACY RIGHTS INFORMATI,5000
Adult Services & Hea,Consultancy,Professional Fees,5101061388,45001,PENNA PLC,4720
Neighbourhoods,Agency Admin/Cleric,Professional,1905756703,45001,MATRIX SCM LTD,4630.8
Neighbourhoods,Agency Admin/Cleric,Professional,1905756683,45001,MATRIX SCM LTD,4540.8
Neighbourhoods,Agency Admin/Cleric,Professional,1905756603,45001,MATRIX SCM LTD,4230.95
Adult Services & Hea,Agency Admin/Cleric,Professional,1905756695,45001,MATRIX SCM LTD,4158.3
City Development,R&M - Building Works,R&M Technical Support,5101061380,45001,SPIE LIMITED,3973.2
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101061415,45001,ACORN CARE & EDUCATION LTD,3756.83
Capital Regen,Capital Regen,Misc- General,5101061410,45001,PERFECT CIRCLE JV LTD,3713.36
Neighbourhoods,Agency Admin/Cleric,Professional,1905756702,45001,MATRIX SCM LTD,3595.25
