Service Area,Expense Type,Description,SAP Document Number,Posting date,Vendor,Actual Value
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948152,45147,BEST CARE LIVERPOOL LTD,540
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948627,45147,ABBEY CARE,532.28
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947666,45147,IMAGINE,532.28
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947689,45147,IMAGINE,532.28
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947694,45147,IMAGINE,532.28
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947705,45147,IMAGINE,532.28
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947865,45147,RICHMOND FELLOWSHIP,532.28
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948121,45147,ACCOMPLISH GROUP LTD - BIRMINGHAM,532.28
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948228,45147,PSS UK,532.28
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947825,45147,L'ARCHE LIVERPOOL,532.28
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948604,45147,BROTHERS OF CHARITY SERVICES MERSEY,532.28
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947993,45147,GRACEFIELD HEALTH CARE LTD,522.78
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948647,45147,MAKING SPACE,520.49
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948420,45147,COMMUNITY INTEGRATED CARE,507.95
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948458,45147,COMMUNITY INTEGRATED CARE,507.95
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948459,45147,COMMUNITY INTEGRATED CARE,507.95
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948463,45147,COMMUNITY INTEGRATED CARE,507.95
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948464,45147,COMMUNITY INTEGRATED CARE,507.95
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948467,45147,COMMUNITY INTEGRATED CARE,507.95
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948419,45147,COMMUNITY INTEGRATED CARE,507.95
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948454,45147,COMMUNITY INTEGRATED CARE,507.95
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948285,45147,THE FRANCES TAYLOR FOUNDATION LIVER,505.67
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947674,45147,IMAGINE,503.77
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947687,45147,IMAGINE,503.77
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948664,45147,MAKING SPACE,501.48
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947875,45147,JUST ONE RECRUITMENT,500.91
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947882,45147,JUST ONE RECRUITMENT,500.91
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948294,45147,THE FRANCES TAYLOR FOUNDATION LIVER,500.53
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948413,45147,COMMUNITY INTEGRATED CARE,-532.28
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948449,45147,COMMUNITY INTEGRATED CARE,-855.46
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947956,45147,BEDSPACE RESOURCE LTD,-1400
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948019,45147,HOMEBIRD CARE,-2230.44
City Law & Governanc,Furniture(Not Office,General Supplies,5101076380,45147,CHILDWALL TABLE & CHAIR HIRE,-2280
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905947642,45147,IMAGINE,-6549.12
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948801,45148,PSS UK,153467
Neighbourhoods,Private Contractors,Agency & Contract Services,1905948800,45148,THE WHITECHAPEL CENTRE,79235.26
Neighbourhoods,Non Employ Prof Fees,Professional Fees,5101076649,45148,AECOM LTD,77394.22
Neighbourhoods,Private Contractors,Agency & Contract Services,1905948799,45148,LIVERPOOL UNIVERSITY HOSPITALS NHS,36500.5
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101076600,45148,ALPHA CARS LIVERPOOL LTD,26965.8
Neighbourhoods,Private Contractors,Agency & Contract Services,1905948797,45148,YMCA TOGETHER,17762
Neighbourhoods,Private Contractors,Agency & Contract Services,1905948798,45148,YMCA TOGETHER,17500
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101076603,45148,CAVALRY HEALTHCARE LTD,15410
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101076557,45148,BOLTON COUNCIL,15315
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948795,45148,NHS CHESHIRE AND MERSEYSIDE ICB,12259.83
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905948796,45148,NHS CHESHIRE AND MERSEYSIDE ICB,12224.32
Capital Leisure Serv,Capital Leisure Serv,Misc- General,1905948802,45148,Liverpool Cricket Club Junior Crick,10000
Children & Young Peo,VoluntaryAssoc.17/18,Agency & Contract Services,5101076609,45148,WILKS FORENSIC PSYCHOLOGY LTD,8086
City Development,"Misc Supp, Tool, Equ",General Supplies,5101076568,45148,SOUTHAMPTON CARGO HANDLING LTD,5934.25
Children & Young Peo,OLA'sRecoup2017/18,Agency & Contract Services,5101076577,45148,THE TOGETHER TRUST,5863.92
Neighbourhoods,Agency Non Admn/Cler,Other Manual,5101076560,45148,CITY CARE AGENCY LTD,5796
City Development,Non Employ Prof Fees,Professional Fees,5101076656,45148,OCD EVENT MANAGEMENT,5500
Children & Young Peo,Voluntary Assoc.1617,Agency & Contract Services,5101076602,45148,CAVALRY HEALTHCARE LTD,5231
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905949244,45148,****REDACTED PERSONAL INFO****,5161.71
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905950311,45148,COMFORT CALL LTD,5054.99
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905949664,45148,MERSEYCARE JULIE ANN,4600.2
City Law & Governanc,Mortuary Fees,General Services Expenses,5101076533,45148,LIVERPOOL UNIVERSITY HOSPITALS NHS,4311.7
Neighbourhoods,Non Employ Prof Fees,Professional Fees,5101076613,45148,EASYWAY UMBRELLA LTD,4250
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905951574,45148,HOMECARERS (LIVERPOOL) LTD,4244.74
Neighbourhoods,Agency Non Admn/Cler,Other Manual,5101076558,45148,TRANSPORT SOLUTIONS GROUP UK LTD,4150
City Development,Events,General Services Expenses,1905948823,45148,Liverpool Port Logistics Ltd,4140
City Development,Non Employ Prof Fees,Professional Fees,5101076650,45148,VIV'ID (A) LTD,4000
Children & Young Peo,Priv.Prov'N 3 Yr Old,Grants & Subscriptions,1905949230,45148,FIVE CHILDREN AND FAMILIES TRUST LT,3978
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905951418,45148,CRG HOMECARE LTD,3759.32
Children & Young Peo,Priv.Prov'N 3 Yr Old,Grants & Subscriptions,1905949046,45148,PLAYTOTS LTD,3393
City Development,Examination Fees (Ge,General Services Expenses,5101076612,45148,NCFE,3195
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101076559,45148,LIVERPOOL COMMUNITY TRANSPORT,3144
Children & Young Peo,Priv.Prov'N 3 Yr Old,Grants & Subscriptions,1905949057,45148,SPRING PARK NURSERY,2925
City Law & Governanc,Mortuary Fees,General Services Expenses,5101076532,45148,LIVERPOOL UNIVERSITY HOSPITALS NHS,2790.4
Children & Young Peo,Priv.Prov'N 3 Yr Old,Grants & Subscriptions,1905949038,45148,MUDDY FOOTPRINTS EYC (PARKLANDS),2749.5
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905949236,45148,****REDACTED PERSONAL INFO****,2727.64
Adult Services & Hea,Private Contractors,Agency & Contract Services,1905949726,45148,MERSEYCARE JULIE ANN,2612.12
Adult Services & Hea,Kennelling Of Animal,General Services Exp Social Svs Clients,5101076631,45148,ANIMAL WARDENS LTD,2549.17
Neighbourhoods,Bus Hire (General),Hire & Operating Leases,5101076529,45148,J MAGUIRE TRAVEL,2520
