Service Division Org,Expense Type,Detailed Expense Typ,Expense Code,Amount,Supplier Name,,
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"4,936.74",SJ Cook & Sons,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Other Expenses,Courses Fees,"2,003.00",College of Policing Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicle Conversions,"2,300.00",PVL UK Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,,"2,100.00 MEWA LLP(Medical Expert Witness",A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,495.25,UNIVERSITY OF THE WEST OF ENGLAND,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"3,197.98",SJ Cook & Sons,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Employees,Police Staff Pay & Allowances,Staffing Agency,"1,958.62",Hays Specialist Recruitment Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Employees,Police Pay & Allowances,Police PC - Basic Pay & NI,"40,875.73",PCC for Gloucestershire,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"3,076.00",North Somerset Council,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Other Expenses,Courses Fees,525.00,Think Different Events Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,783.20,Cary Uk Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Other Expenses,Courses Fees,"2,003.00",College of Policing Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Communications & Computing,Hardware - R&M,502.27,Telefonica UK Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,647.20,,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Subsistence & Conference,Conference & Meeting Expenses,575.00,The Hare & Hounds Hotel,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,586.52 Micheldever Tyres Ltd,,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Premises,Rent Rates & Water,National Non Domestic Rates,"1,871.00",North Somerset Council,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Vehicle Conversions,"103,117.50",Sparks Commercial Services Ltd,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Local Policing,Employees,Police Overtime,Police PC - Basic Pay & OT,"12,001.19",PCC for Dorset,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Specialist Operations,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,600.00,Network Counselling & Training Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Supplies & Services,Other Expenses,Financial Adjustments,0.02,Citron Hygiene UK Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
PCC,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,"18,375.00",North Somerset Council,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Employees,Police Staff Pay & Allowances,Staffing Agency,"1,759.11",Hays Specialist Recruitment Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Capital Charges,Capital Charges,Other Plant & Equipment,"1,983.33",Trek Bicycle Corporation Ltd (Brist,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Transport,Vehicle Allowances,Travel fares,"1,296.65",,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Equipment Furniture & Materials,Equipment,"5,400.00",,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Premises,Rent Rates & Water,National Non Domestic Rates,"10,046.00",Bristol City Council,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Local Policing,Supplies & Services,Communications & Computing,Software - Purchases (S&M),"6,000.00",Sopra Steria Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Local Policing,Supplies & Services,Other Expenses,Courses Fees,"1,100.00",Professional Development Group,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Investigative Support,Supplies & Services,Other Expenses,Courses Fees,"13,400.00",Alecto Forensic Services Ltd,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Specialist Operations,Employees,Police Pay & Allowances,Police PC - Police Pension,"5,292.40",PCC for Wiltshire,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Communications & Computing,Network Services,"1,528.00",Vodafone,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Employees,Police Staff Overtime,Police Staff - Overtime,388.37,PCC for Wiltshire,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Clothing Uniforms & Laundry,Clothing & Uniforms - Issues,"1,924.31",Fowlers of Bristol Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Subsistence & Conference,Conference & Meeting Expenses,796.60,Landmarc Support Services Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Supplies & Services,Professional Fees & Consultancy,Professional Fees & Consultancy,834.18,Scott Dunn Consultants,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
PCC,Third Party Payments,Payments to Clients,Grants - Voluntary Orgs,"14,916.66",Resolve West,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,"1,747.48 My Staff Shop Limited",,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,"3,171.78",Bidfood,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Operational Support,Supplies & Services,Equipment Furniture & Materials,Equipment,"1,220.00",Viking Arms Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Hire,Hired Vehicle Costs,533.40,Scot Group Ltd,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Equipment Furniture & Materials,Equipment,"1,992.00",Axon Public Safety UK Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,"-1,074.53",Staceys Motors,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Analyse,Transport,Vehicle Allowances,Travel fares,689.03,,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Supplies & Services,Clothing Uniforms & Laundry,Clothing & Uniforms - Issues,497.87,Cambium Advisory Limited,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Support Functions,Transport,Vehicle Maintenance,Vehicle costs - repair and maintenance,500.10,GOODYEAR TYRES UK LTD,A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Roads Policing,Supplies & Services,Communications & Computing,Software - Licences,"120,661.40",PHOENIX SOFTWARE LTD,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
Support Functions,Supplies & Services,Contractors/ Fees & Hired Services,Fees & Hired,"28,963.91",Gingersnap Creative Management Ltd,B,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category B
Criminal Justice Arrangements,Supplies & Services,Other Expenses,Remand costs,,"1,758.95 WA Products (UK) Ltd t/a SceneSafe",A,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category A
Specialist Operations,Transport,Vehicle Allowances,Travel fares,98.78,PCC for Dorset,C,The CC/PCC are satisfied the spend represents VFM in accordance with the requirements of category C
