Nstrg(T),Cipfsubj(T),Cipfsubs(T),TransNo,Seq no,Period,Supplier ID(T),Amount,Updated
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099668,1,202305,Barclaycard - Global Commercial Payments,116.63 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099766,1,202305,Barclaycard - Global Commercial Payments,95.84 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099982,1,202305,Barclaycard - Global Commercial Payments,24.51 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099983,1,202305,Barclaycard - Global Commercial Payments,74.19 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099984,1,202305,Barclaycard - Global Commercial Payments,-99.80 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100724,1,202305,Barclaycard - Global Commercial Payments,82.50 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101353,1,202305,Barclaycard - Global Commercial Payments,63.76 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101354,1,202305,Barclaycard - Global Commercial Payments,25.00 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101357,1,202305,Barclaycard - Global Commercial Payments,62.98 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099119,1,202305,Barclaycard - Global Commercial Payments,5.63 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200099546,1,202305,Barclaycard - Global Commercial Payments,120.31 ,01/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200101995,1,202305,Barclaycard - Global Commercial Payments,89.15 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200102062,1,202305,Barclaycard - Global Commercial Payments,63.50 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200102347,1,202305,Barclaycard - Global Commercial Payments,144.02 ,15/08/2023
Children's Social Care & Lifelong Learning,Supplies and Services,"Furn, Equip & Mats",200100107,1,202305,Barclaycard - Global Commercial Payments,41.25 ,15/08/2023
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",200100722,1,202305,Barclaycard - Global Commercial Payments,33.07 ,15/08/2023
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",200100655,1,202305,Barclaycard - Global Commercial Payments,228.00 ,15/08/2023
Corporate Services & Governance,Supplies and Services,"Furn, Equip & Mats",200100865,1,202305,Barclaycard - Global Commercial Payments,587.64 ,15/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200077981,1,202305,Barclaycard - Global Commercial Payments,18.62 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200081984,1,202305,Barclaycard - Global Commercial Payments,17.98 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200083148,1,202305,Barclaycard - Global Commercial Payments,113.04 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200084697,1,202305,Barclaycard - Global Commercial Payments,7.50 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200084700,1,202305,Barclaycard - Global Commercial Payments,-2.00 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200084774,1,202305,Barclaycard - Global Commercial Payments,4.99 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200084919,1,202305,Barclaycard - Global Commercial Payments,11.00 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200084940,1,202305,Barclaycard - Global Commercial Payments,15.03 ,01/08/2023
"Housing, Environment and Healthy Communities",Supplies and Services,"Furn, Equip & Mats",200084994,1,202305,Barclaycard - Global Commercial Payments,34.41 ,01/08/2023
