Service Area,Service Division,Expense Type,Expense Code,Detailed Expense Type,Payment Date,Transaction Number,Amount Exc VAT,Supplier Name,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,26/09/2024,4318428-13188-04,"£1,032.23",OPUS BUILDING SERVICES LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,26/09/2024,4318428-13188-05,"£1,398.78",OPUS BUILDING SERVICES LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,26/09/2024,4318428-13188-07,£743.16,OPUS BUILDING SERVICES LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,26/09/2024,4318428-13188-08,"£1,480.52",OPUS BUILDING SERVICES LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Stock A926,926900,Stock in hand-Inventory system,26/09/2024,4318433-XL322572,£794.00,PARK ELECTRICAL DISTRIBUTORS LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Stock A926,926900,Stock in hand-Inventory system,26/09/2024,4318433-XL322573,"£4,227.50",PARK ELECTRICAL DISTRIBUTORS LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,460251,Contract Payments,26/09/2024,4318439-9290-08,"£38,965.05",PAVEMENT TESTING SERVICES LTD.,,,,,,
Resources BK0010,Digital Services,Vehicles Equipment Furniture and Fittings,912701,Computer equipment,26/09/2024,4318446-OP/I761545,"£1,043.12",PROBRAND LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Transfer Payments,510037,School Children,26/09/2024,4318452-43837,"£10,321.50",RAINBOW NURSERY LTD (MIDDLESTONE MOOR).,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318452-43948,"£14,571.90",RAINBOW NURSERY LTD (MIDDLESTONE MOOR).,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318452-44117,"£11,978.40",RAINBOW NURSERY LTD (MIDDLESTONE MOOR).,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,26/09/2024,4318453-10100/240844,"£80,617.58",RAINTON CONSTRUCTION LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,26/09/2024,4318453-10100/240845,"£188,141.12",RAINTON CONSTRUCTION LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,26/09/2024,4318453-10100/240846,"£101,905.76",RAINTON CONSTRUCTION LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,26/09/2024,4318453-10100/240853,"£76,264.02",RAINTON CONSTRUCTION LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,26/09/2024,4318453-10100/240854,"£88,270.86",RAINTON CONSTRUCTION LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,26/09/2024,4318453-10100/240855,"£104,559.06",RAINTON CONSTRUCTION LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,26/09/2024,4318453-10100/240856,"£109,668.40",RAINTON CONSTRUCTION LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Third Party Payments,430100,Rendered by Private Contractors,26/09/2024,4318453-10100/240858,"£152,612.60",RAINTON CONSTRUCTION LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318456-43949,"£21,048.30",RIBBON ACADEMY TRUST.,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Transfer Payments,510037,School Children,26/09/2024,4318457-43839,"£16,824.05",RIBBON DAYCARE LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318457-43950,"£9,138.92",RIBBON DAYCARE LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318457-44119,"£22,646.67",RIBBON DAYCARE LTD.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Supplies and Services,340001,Postages E340,26/09/2024,4318465-9071171493,"£19,870.17",ROYAL MAIL GROUP PLC.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318467-43951,"£2,910.60",SACRISTON ACADEMY - EARLY YEARS T/A PRIVATE NURSERY.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,364501,Grants to Voluntary Organisations,26/09/2024,4318471-4100924170,"£1,000.00",SC CARPETS.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318478-43954,"£6,032.88",SHINING STARS PARKHILL LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318478-44123,"£2,121.18",SHINING STARS PARKHILL LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Transfer Payments,510037,School Children,26/09/2024,4318479-43843,£516.08,SHONA O`DOWD T/A LITTLE TYKES DAYCARE.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318479-44124,£748.65,SHONA O`DOWD T/A LITTLE TYKES DAYCARE.,,,,,,
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,338078,Services,26/09/2024,4318483-CI62073,"£3,332.80",SKYGUARD LTD T/A PEOPLESAFE.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318492-43868,"£8,803.20",STANLEY LEARNING PARTNERSHIP.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318493-43956,"£10,453.80",STANLEY LEARNING PARTNERSHIP.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318494-43886,"£5,397.00",STANLEY LEARNING PARTNERSHIP.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318495-43926,"£6,350.40",STANLEY LEARNING PARTNERSHIP.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318495-44088,"£5,240.55",STANLEY LEARNING PARTNERSHIP.,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Transfer Payments,510037,School Children,26/09/2024,4318496-43845,"£5,160.75",STEPPING STONES DAY NURSERY (DURHAM).,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318496-43965,"£3,238.20",STEPPING STONES DAY NURSERY (DURHAM).,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318496-44129,"£2,620.28",STEPPING STONES DAY NURSERY (DURHAM).,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,26/09/2024,4318497-51966,"£3,706.36",STONEGRAVE AGGREGATES LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318498-43968,"£4,857.30",SUNSHINE DAY NURSERY LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318498-44132,"£3,368.93",SUNSHINE DAY NURSERY LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Transfer Payments,510037,School Children,26/09/2024,4318499-43846,"£11,353.65",SUNSHINE DAY NURSERY LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318499-43966,"£14,030.10",SUNSHINE DAY NURSERY LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318499-44130,"£13,101.38",SUNSHINE DAY NURSERY LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Transfer Payments,510037,School Children,26/09/2024,4318500-43847,"£12,901.88",SUNSHINE DAY NURSERY LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318500-43967,"£11,279.10",SUNSHINE DAY NURSERY LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318500-44131,"£12,727.05",SUNSHINE DAY NURSERY LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318511-43953,"£14,782.95",THE LAIDLAW SCHOOLS TRUST T/A SEDGEFIELD HARDWICK PRIMARY SCHOOL.,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Transfer Payments,510037,School Children,26/09/2024,4318512-43850,"£4,644.68",THE LAURELS CHILD CARE COMPANY LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318512-43969,"£10,254.30",THE LAURELS CHILD CARE COMPANY LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318512-44135,"£8,609.48",THE LAURELS CHILD CARE COMPANY LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,338044,Services,26/09/2024,4318513-13178,"£2,097.00",THE LUCY FAITHFULL FOUNDATION.,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Transfer Payments,510037,School Children,26/09/2024,4318517-43851,"£2,064.30",TINY TINKERS NURSERY.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318517-43970,"£1,587.60",TINY TINKERS NURSERY.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318517-44136,"£4,491.90",TINY TINKERS NURSERY.,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Transfer Payments,510037,School Children,26/09/2024,4318519-43791,"£13,934.03",TM NURSERY ENTERPRISES LTD T/A JACK IN THE BOX DAYCARE.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318519-43911,"£8,635.20",TM NURSERY ENTERPRISES LTD T/A JACK IN THE BOX DAYCARE.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318519-44066,"£9,732.45",TM NURSERY ENTERPRISES LTD T/A JACK IN THE BOX DAYCARE.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318520-43885,"£12,952.80",TOGETHER LEARNING PARTNERSHIP (CLEVES CROSS PRIMARY SCHOOL).,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318522-43971,"£7,427.70",TOTS `R` US.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318522-44137,"£8,983.80",TOTS `R` US.,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Transfer Payments,510037,School Children,26/09/2024,4318528-43854,"£6,708.98",TRIMDON`S LITTLE TYKES LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318528-43974,"£1,079.40",TRIMDON`S LITTLE TYKES LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318528-44138,"£2,994.60",TRIMDON`S LITTLE TYKES LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318529-43975,"£2,200.80",TUDHOE LEARNING TRUST.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318530-43964,"£2,646.00",TUDHOE LEARNING TRUST.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318531-43955,"£7,427.70",TUDHOE LEARNING TRUST.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,304221,Equipment and Materials,26/09/2024,4318532-IN0340995,"£1,593.85",TUDOR (UK) LTD T/A TUDOR ENVIRONMENTAL.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,26/09/2024,4318534-266188,"£1,465.47",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,26/09/2024,4318534-266196,"£1,299.55",TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,26/09/2024,4318534-266201,£879.90,TYNEDALE ROADSTONE LTD.,,,,,,
Neighbourhoods and Climate Change,Highways,Supplies and Services,304221,Equipment and Materials,26/09/2024,4318534-266203,"£1,472.92",TYNEDALE ROADSTONE LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Transfer Payments,510037,School Children,26/09/2024,4318539-43774,"£11,869.73",UNIVERSITY OF DURHAM DAY NURSERY.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318539-43897,"£6,085.80",UNIVERSITY OF DURHAM DAY NURSERY.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318539-44048,"£4,117.58",UNIVERSITY OF DURHAM DAY NURSERY.,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Transfer Payments,510037,School Children,26/09/2024,4318545-43855,£516.08,VICTORIA ROBINSON CHILDCARE.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318545-44139,"£1,122.98",VICTORIA ROBINSON CHILDCARE.,,,,,,
Dedicated Schools Grant BG0015,DSG Schools Block,Supplies and Services,304259,Equipment and Materials,26/09/2024,4318546-OP/I217356,"£3,693.05",VIDA GLOBAL T/A JAMES LECKEY DESIGN LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,210057,Repair and Maintenance of Vehicles,26/09/2024,4318548-290959,£591.57,VISHAY PM ONBOARD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,338047,Services,26/09/2024,4318552-23249003,"£1,516.63",WARNER BROS ENTERTAINMENT UK LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Transfer Payments,510037,School Children,26/09/2024,4318556-43857,"£6,192.90",WHEATLEY HILL COMMUNITY NURSERY LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318556-43977,"£9,353.40",WHEATLEY HILL COMMUNITY NURSERY LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318556-44140,"£8,235.15",WHEATLEY HILL COMMUNITY NURSERY LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Transfer Payments,510037,School Children,26/09/2024,4318558-43858,"£9,289.35",WINGATE COMMUNITY CHILDCARE LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318558-44141,"£14,973.00",WINGATE COMMUNITY CHILDCARE LTD.,,,,,,
Dedicated Schools Grant BG0015,DSG High Needs Block,Transfer Payments,510037,School Children,26/09/2024,4318559-43860,"£12,385.80",YORK HOUSE NURSERY.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510030,School Children,26/09/2024,4318559-43980,"£14,571.90",YORK HOUSE NURSERY.,,,,,,
Dedicated Schools Grant BG0015,DSG Early Years Block,Transfer Payments,510032,School Children,26/09/2024,4318559-44143,"£13,475.70",YORK HOUSE NURSERY.,,,,,,
Chief Executives Office,Legal & Democratic Services,Supplies and Services,338108,Services,27/09/2024,4318650-17082024,"£1,250.00",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,27/09/2024,4318564-SI-007199,"£10,183.00",ABACUS PLAYGROUNDS LTD.,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,384700,Miscellaneous Expenses,27/09/2024,4318631-NEI-HCL-05-2024-001,£500.00,CONSETT AMATEUR SWIMMING CLUB (ASC).,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Third Party Payments,430100,Rendered by Private Contractors,27/09/2024,4318869-7350873,£723.91,VERTU MOTORS PLC T/A BRISTOL STREET MOTORS.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,27/09/2024,4318578-02638,£986.00,REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,Supplies and Services,384199,Miscellaneous Expenses,27/09/2024,4318649-4SEPT24,£690.00,REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Resources BK0010,HR & Employee Services,Supplies and Services,338059,Services,27/09/2024,4318651-OHW0924/001/DCC,£916.66,REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Supplies and Services,384700,Miscellaneous Expenses,27/09/2024,4318665-RES-09-2024-530,"£4,438.43",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Regeneration Economy and Growth,Culture Sport and Tourism,Supplies and Services,338047,Services,27/09/2024,4318667-GALA101,"£7,000.00",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Regeneration Economy and Growth,Business Durham,Supplies and Services,338099,Services,27/09/2024,4318719-39055,"£1,788.22",REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,27/09/2024,4318842-4821,£994.98,REDACTED - PAYMENT TO INDIVIDUAL,,,,,,
Adult and Health Services,Head of Adults,Third Party Payments,478151,Purchase of Care,27/09/2024,4318565-SI-2242,£914.89,ACCEPT CARE LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Premises,108099,Service Repairs and Maintenance,27/09/2024,4318566-23251,£686.55,ACEDA LTD.,,,,,,
Neighbourhoods and Climate Change,Community Protection,Supplies and Services,338027,Services,27/09/2024,4318569-28570033,£600.00,AECOM LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,338094,Services,27/09/2024,4318573-8364,£798.00,ALINGTON HOUSE COMMUNITY ASSOCIATION.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,338094,Services,27/09/2024,4318573-8384,£684.00,ALINGTON HOUSE COMMUNITY ASSOCIATION.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,338094,Services,27/09/2024,4318573-8401,£798.00,ALINGTON HOUSE COMMUNITY ASSOCIATION.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,27/09/2024,4318577-SI30614,£810.00,AMBIC LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Supplies and Services,364359,Grants to Voluntary Organisations,27/09/2024,4318582-36934,£702.00,APPLE BLOSSOM DAY NURSERY.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Premises,108135,Service Repairs and Maintenance,27/09/2024,4318585-31711,"£1,312.80",ARM PIPETEK LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,27/09/2024,4318587-HI3334320,£622.16,ARNOLD CLARK CAR & VAN RENTAL.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,27/09/2024,4318587-HI3336428,£607.46,ARNOLD CLARK CAR & VAN RENTAL.,,,,,,
Regeneration Economy and Growth,Transport and Contract Services,Third Party Payments,430106,Rendered by Private Contractors,27/09/2024,4318589-122280,"£83,679.34",ARRIVA NORTHUMBRIA LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Supplies and Services,384199,Miscellaneous Expenses,27/09/2024,4318596-002/TRANSITIONPROGRAMME,"£1,370.88",BELLA MARIE TRAINING ACADEMY LTD.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,27/09/2024,4318601-0896,"£1,113.66",BIRDS TAXIS LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,27/09/2024,4318601-0897,"£2,740.05",BIRDS TAXIS LTD.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,27/09/2024,4318601-0898,£770.00,BIRDS TAXIS LTD.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,27/09/2024,4318601-0899,"£1,613.20",BIRDS TAXIS LTD.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,27/09/2024,4318601-0900,£915.20,BIRDS TAXIS LTD.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,27/09/2024,4318601-1001,"£1,344.00",BIRDS TAXIS LTD.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,27/09/2024,4318601-1002,"£1,260.00",BIRDS TAXIS LTD.,,,,,,
Adult and Health Services,Head of Adults,Transport,230005,Contract Hire,27/09/2024,4318601-1003,£968.40,BIRDS TAXIS LTD.,,,,,,
Regeneration Economy and Growth,Planning & Housing,Supplies and Services,344033,Telephones,27/09/2024,4318606-VP075994700611,"£5,937.65",BRITISH TELECOMMUNICATIONS PLC.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Premises,120009,Energy Costs,27/09/2024,4318613-4162758,£764.29,BUSINESS STREAM LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Premises,120009,Energy Costs,27/09/2024,4318613-4848591,£577.80,BUSINESS STREAM LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Premises,120009,Energy Costs,27/09/2024,4318613-5542113,£751.60,BUSINESS STREAM LTD.,,,,,,
Adult and Health Services,Head of Adults,Supplies and Services,338366,Services,27/09/2024,4318615-96625,"£1,066.16",CARE ABILITY HEALTHCARE LTD.,,,,,,
Adult and Health Services,Head of Adults,Supplies and Services,338366,Services,27/09/2024,4318615-96626,£705.17,CARE ABILITY HEALTHCARE LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Third Party Payments,440062,Other third party payments E440,27/09/2024,4318618-4100924043,£641.32,CASTLE VIEW PRIVATE DAY NURSERY LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,27/09/2024,4318619-13261,"£1,350.05",CATHEDRAL LOCK & SAFE SERVICES LTD.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,27/09/2024,4318619-13262,"£1,446.70",CATHEDRAL LOCK & SAFE SERVICES LTD.,,,,,,
Resources BK0010,Transactional & Customer Services,Supplies and Services,338066,Services,27/09/2024,4318626-C/BN311529,"£1,012.95",CIVICA UK LTD.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230007,Contract Hire,27/09/2024,4318628-C/12040,"£3,976.00",COCHRANES T/A KELVIN TRAVEL.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Premises,108099,Service Repairs and Maintenance,27/09/2024,4318629-12393,£960.50,COMPLIANCE GROUP ELECTRICAL LTD.,,,,,,
Chief Executives Office,Legal & Democratic Services,Supplies and Services,338066,Services,27/09/2024,4318638-01-10282280,"£5,228.20",DAC BEACHCROFT LLP.,,,,,,
Chief Executives Office,Communications Management,Supplies and Services,332029,Printing Stationery and Gen Off Exps,27/09/2024,4318646-52819,£600.00,DESIGN X PRESS LTD.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318647-DH2437E,£648.00,DH2 CABS.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318647-DH2437H,£700.00,DH2 CABS.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318647-DH2437I,£880.00,DH2 CABS.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318647-DH2437K,£750.00,DH2 CABS.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318647-DH2437M,£506.00,DH2 CABS.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318647-DH2437P,"£1,500.00",DH2 CABS.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318647-DH2437Q,£602.00,DH2 CABS.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318647-DH2437X,£720.00,DH2 CABS.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318647-DH2438D,£736.00,DH2 CABS.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318647-DH2438G,£880.00,DH2 CABS.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318647-DH2438I,£770.00,DH2 CABS.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318647-DH2438K,£560.00,DH2 CABS.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318647-DH2438M,£660.00,DH2 CABS.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318647-DH2438O,£900.00,DH2 CABS.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318647-DH2438P,£602.00,DH2 CABS.,,,,,,
Children and Young Peoples Services,Head of Childrens Social Care,Transport,230005,Contract Hire,27/09/2024,4318647-DH2438Y,£630.00,DH2 CABS.,,,,,,
Resources - C A C,Resources - C A C- Level C,Third Party Payments,440070,Other third party payments E440,27/09/2024,4318655-RES-09-2024-466A,"£29,514.00",EASINGTON COLLIERY PARISH COUNCIL.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230008,Contract Hire,27/09/2024,4318657-1897,"£2,695.80",EAST DURHAM TAXIS.,,,,,,
Children and Young Peoples Services,Head of Education and Skills,Transport,230012,Contract Hire,27/09/2024,4318657-1948,"£3,060.52",EAST DURHAM TAXIS.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Third Party Payments,430100,Rendered by Private Contractors,27/09/2024,4318659-1135-005,"£15,700.77",ECO REND NORTH EAST.,,,,,,
Regeneration Economy and Growth,Corporate Property and Land,Supplies and Services,304221,Equipment and Materials,27/09/2024,4318660-059-341895,£632.60,EDMUNDSON ELECTRICAL LTD.,,,,,,
Neighbourhoods and Climate Change,Environmental Services,Transport,230005,Contract Hire,27/09/2024,4318669-8215168,"£1,445.36",ENTERPRISE FLEX-E-RENT T/A BURNT TREE GROUP LTD.,,,,,,
