Local authority department which incurred the expenditure,Service Division,Cost Centre,Summary of the Purpose of Expenditure,Expense Type,Expense Code,Detailed Expense Type,Date of Transaction,Transaction Number,Beneficiary,Merchant Category Number,Merchant Category,Gross Amount,VAT,Net Amount
Regeneration Economy and Growth,Culture Sport and Tourism,010664,Freemans Quay Leisure Centre,Supplies and Services,304403,Equipment and Materials,18-Dec-2024,000010390969016,AMZNMktplace 0A8U02825,5999,Other consumables,27.98,0.00,27.98
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,324117,Provisions E324,18-Dec-2024,000010390969030,TESCO STORES 2916,5411,Catering costs - provisions,111.86,0.00,111.86
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Premises,120037,Energy Costs,18-Dec-2024,000010390969120,OCTOPUS ENERGY LTD,4900,Other fuels,154.11,0.00,154.11
Neighbourhoods and Climate Change,Environmental Services,031200,North Pennines Core,Supplies and Services,324117,Provisions E324,18-Dec-2024,000010390969182,Cotherstone Old Chapel,5462,Catering costs - provisions,20.10,0.00,20.10
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Supplies and Services,384997,Miscellaneous Expenses,18-Dec-2024,000010390969238,TESCO STORES 6329,5411,Personalisation Pot,200.00,0.00,200.00
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Supplies and Services,384997,Miscellaneous Expenses,18-Dec-2024,000010390969246,TESCO STORES 6329,5411,Personalisation Pot,200.00,0.00,200.00
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Supplies and Services,384997,Miscellaneous Expenses,18-Dec-2024,000010390969252,TESCO STORES 6329,5411,Personalisation Pot,200.00,0.00,200.00
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Supplies and Services,384997,Miscellaneous Expenses,18-Dec-2024,000010390969256,TESCO STORES 6329,5411,Personalisation Pot,200.00,0.00,200.00
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Supplies and Services,384997,Miscellaneous Expenses,18-Dec-2024,000010390969264,TESCO STORES 6329,5411,Personalisation Pot,200.00,0.00,200.00
Regeneration Economy and Growth,Planning & Housing,031599,P&H-Homeless Prevention-Prevention Initiatives,Supplies and Services,308011,Furniture,18-Dec-2024,000010390969268,ASDA STORES,5411,Furniture repair and replacement,58.50,0.00,58.50
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,372009,Subscriptions E372,18-Dec-2024,000010390969300,NETFLIX.COM,4899,Subscriptions 372009,10.99,0.00,10.99
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,372009,Subscriptions E372,18-Dec-2024,000010390969306,NETFLIX.COM,4899,Subscriptions 372009,17.99,0.00,17.99
Children and Young Peoples Services,Head of Childrens Social Care,085331,New Lea Childrens Home,Supplies and Services,304259,Equipment and Materials,18-Dec-2024,000010390969314,M and M Direct Ltd,5941,Equipment-purchase and rental,19.98,0.00,19.98
Regeneration Economy and Growth,Corporate Property and Land,010525,Catering - Green Lane,Supplies and Services,324117,Provisions E324,18-Dec-2024,000010391160658,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,71.33,0.00,71.33
Regeneration Economy and Growth,Corporate Property and Land,030691,Catering - Durham Dales Centre,Supplies and Services,324117,Provisions E324,18-Dec-2024,000010391160666,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,275.02,0.00,275.02
Adult and Health Services,Head of Adults,055643,Hawthorn House LD Respite Unit,Supplies and Services,324117,Provisions E324,18-Dec-2024,000010391160672,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,25.66,0.00,25.66
Adult and Health Services,Head of Adults,055643,Hawthorn House LD Respite Unit,Supplies and Services,324117,Provisions E324,18-Dec-2024,000010391160678,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,11.83,0.00,11.83
Regeneration Economy and Growth,Corporate Property and Land,021242,Catering - County Hall,Supplies and Services,324117,Provisions E324,18-Dec-2024,000010391160706,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,13.21,0.00,13.21
Regeneration Economy and Growth,Corporate Property and Land,021242,Catering - County Hall,Supplies and Services,324117,Provisions E324,18-Dec-2024,000010391160710,JR HOLLAND FOODSERVICE,5499,Catering costs - provisions,43.20,0.00,43.20
Children and Young Peoples Services,Head of Education and Skills,071733,Shildon Childcare,Employees,040149,Recruitment Instruction and Training,18-Dec-2024,000010396528838,ST JOHN AMBULANCE,8398,Training-all costs,200.40,0.00,200.40
Children and Young Peoples Services,Head of Childrens Social Care,085341,High Etherley Satelite Home,Supplies and Services,324117,Provisions E324,18-Dec-2024,000010396529052,774 026,5411,Catering costs - provisions,25.29,0.00,25.29
Children and Young Peoples Services,Head of Education and Skills,070102,Engagement with Young People,Employees,040149,Recruitment Instruction and Training,18-Dec-2024,000010396529392,PREMIER INN,3811,Training-all costs,483.96,0.00,483.96
Children and Young Peoples Services,Head of Education and Skills,070102,Engagement with Young People,Employees,040149,Recruitment Instruction and Training,18-Dec-2024,000010396529404,PREMIER INN,3811,Training-all costs,-8.99,0.00,-8.99
Children and Young Peoples Services,Head of Education and Skills,071802,Louisa Cent Nursery,Supplies and Services,324117,Provisions E324,18-Dec-2024,000010396529812,ALDI STORES,5411,Catering costs - provisions,16.05,0.00,16.05
Regeneration Economy and Growth,Corporate Property and Land,030691,Catering - Durham Dales Centre,Supplies and Services,324117,Provisions E324,18-Dec-2024,000010396685192,BESTWAY WHOLESALE,5300,Catering costs - provisions,-6.99,0.00,-6.99
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,18-Dec-2024,000010403454086,Park Head Hotel,7011,Conferencesseminars fees etc,50.00,0.00,50.00
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Employees,040149,Recruitment Instruction and Training,18-Dec-2024,000010403456156,PAYPAL HTSWEETS,8931,Training-all costs,311.76,51.96,259.80
Adult and Health Services,Commissioning inc Supporting People,052113,Comm.-Older People SLAs,Supplies and Services,304403,Equipment and Materials,19-Dec-2024,000010390967448,AMZNMktplace 9C72A2OB5,5999,Other consumables,26.96,0.00,26.96
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030689,Inward Investment and Aftercare,Supplies and Services,336005,Advertising E336,19-Dec-2024,000010396528280,LinkedIn Ads 101000944,7311,Advertising other than for staff,66.35,0.00,66.35
Children and Young Peoples Services,Head of Childrens Social Care,085368,Children in Care Team 5,Supplies and Services,338045,Services,19-Dec-2024,000010396528328,HM PASSPORT OFFICE,9399,Legal expenses 338045,57.50,0.00,57.50
Children and Young Peoples Services,Head of Childrens Social Care,085368,Children in Care Team 5,Supplies and Services,338045,Services,19-Dec-2024,000010396528334,HM PASSPORT OFFICE,9399,Legal expenses 338045,57.50,0.00,57.50
Children and Young Peoples Services,Head of Education and Skills,071801,Selby Cottage Childcare Centre,Supplies and Services,304403,Equipment and Materials,19-Dec-2024,000010396528340,AMZNMktplace KB8YC9E55,5999,Other consumables,38.49,6.42,32.07
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,19-Dec-2024,000010396528374,UBER TRIP,4121,Staff travelling,43.99,0.00,43.99
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,19-Dec-2024,000010396528376,BOOKING #24955922,4121,Staff travelling,4.50,0.00,4.50
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,19-Dec-2024,000010396528384,BOOKING #24960904,4121,Staff travelling,4.50,0.00,4.50
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,19-Dec-2024,000010396528390,TRAVELODGE,3615,Conferencesseminars fees etc,-378.95,0.00,-378.95
Regeneration Economy and Growth,Planning & Housing,031623,P&H-Homeless Prevention-Rough Sleeping,Supplies and Services,384997,Miscellaneous Expenses,19-Dec-2024,000010396528448,WWW.ARGOS.CO.UK,5311,Personalisation Pot,161.50,0.00,161.50
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Premises,120037,Energy Costs,19-Dec-2024,000010396528552,EDF UK CARD PAYMENTS,4900,Other fuels,31.53,0.00,31.53
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Premises,120037,Energy Costs,19-Dec-2024,000010396528558,UTILITA ENERGY LIMITED,4900,Other fuels,175.85,0.00,175.85
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Supplies and Services,348037,Subsistence E348,19-Dec-2024,000010396528596,Costa Chester-le-Stre,5812,Subsistence,3.20,0.00,3.20
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Supplies and Services,348037,Subsistence E348,19-Dec-2024,000010396528602,Costa Chester-le-Stre,5812,Subsistence,6.20,0.00,6.20
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Transport,235057,Public Transport,19-Dec-2024,000010396528606,WWW.GONORTHEAST.CO.UK,4111,Staff travelling,4.00,0.00,4.00
Children and Young Peoples Services,Head of Childrens Social Care,085626,Families First Shildon,Supplies and Services,338045,Services,19-Dec-2024,000010396528624,WWW.NOTTINGHAMCITY.GOV,9399,Legal expenses 338045,12.50,0.00,12.50
Children and Young Peoples Services,Head of Childrens Social Care,085626,Families First Shildon,Supplies and Services,338045,Services,19-Dec-2024,000010396528630,WWW.NOTTINGHAMSHIRE.GO,9399,Legal expenses 338045,12.50,0.00,12.50
Children and Young Peoples Services,Head of Childrens Social Care,085626,Families First Shildon,Supplies and Services,338045,Services,19-Dec-2024,000010396528636,NCC CARD PAYMENT,9399,Legal expenses 338045,-12.50,0.00,-12.50
Children and Young Peoples Services,Head of Childrens Social Care,085553,Children with Disability Home- Aycliffe fire station,Supplies and Services,348037,Subsistence E348,19-Dec-2024,000010396528776,RP Booked It-Lane7 Dur,5813,Subsistence,57.00,0.00,57.00
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,384999,Miscellaneous Expenses,19-Dec-2024,000010396528846,THE MAJESTIC THEATRE,7922,Other expenses,31.62,0.00,31.62
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396528868,TESCO STORES 2916,5411,Catering costs - provisions,53.15,0.00,53.15
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,328041,Clothing uniforms and laundry E328,19-Dec-2024,000010396528872,MNK Parisia,5651,Clothing uniforms and laundry,63.00,0.00,63.00
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,304999,Equipment and Materials,19-Dec-2024,000010396528878,SUPERDRUG STORES PLC,5912,Misc equipment tools and materials,10.14,0.00,10.14
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396528882,B&M 206 - NORTHGATE,5399,Catering costs - provisions,97.03,0.00,97.03
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,308011,Furniture,19-Dec-2024,000010396528892,JAYS INTERIORS,5719,Furniture repair and replacement,18.00,0.00,18.00
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,304259,Equipment and Materials,19-Dec-2024,000010396528900,SPORTSDIRECT.COM,5941,Equipment-purchase and rental,14.99,0.00,14.99
Children and Young Peoples Services,Head of Childrens Social Care,085348,Solo Home Hudson House,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396528932,TESCO STORES 2971,5411,Catering costs - provisions,30.50,0.00,30.50
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,19-Dec-2024,000010396528952,UBER TRIP,4121,Staff travelling,16.58,0.00,16.58
Children and Young Peoples Services,Head of Education and Skills,071732,Dean Bank Childcare,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396528972,ASDA STORES,5411,Catering costs - provisions,70.59,0.00,70.59
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030690,Durham Dales Centre - Gift Shop,Supplies and Services,304403,Equipment and Materials,19-Dec-2024,000010396529030,GREETINGS C BY NT LTD,5947,Other consumables,361.60,0.00,361.60
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030690,Durham Dales Centre - Gift Shop,Supplies and Services,384999,Miscellaneous Expenses,19-Dec-2024,000010396529036,WWW.PARKLANEONLINE,5944,Other expenses,612.36,0.00,612.36
Children and Young Peoples Services,Head of Childrens Social Care,085341,High Etherley Satelite Home,Supplies and Services,372009,Subscriptions E372,19-Dec-2024,000010396529058,NETFLIX.COM,4899,Subscriptions 372009,10.99,0.00,10.99
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Supplies and Services,348037,Subsistence E348,19-Dec-2024,000010396529064,Zettle_ THE WELL,5812,Subsistence,2.40,0.00,2.40
Adult and Health Services,Head of Adults,055807,Newton Aycliffe Pathways,Supplies and Services,304259,Equipment and Materials,19-Dec-2024,000010396529146,Amazon Music LZ8Z60MN5,5735,Equipment-purchase and rental,17.99,0.00,17.99
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396529154,TESCO CAFE SCREENS 237,5411,Catering costs - provisions,7.00,0.00,7.00
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Supplies and Services,352001,Conference Expenses,19-Dec-2024,000010396529172,GET LICENSED,7392,Conferencesseminars fees etc,298.99,0.00,298.99
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,308011,Furniture,19-Dec-2024,000010396529190,CORNERSTONE SUPPORTED,5712,Furniture repair and replacement,80.00,0.00,80.00
Resources BK0010,HR & Employee Services,010984,Training and Development,Employees,040149,Recruitment Instruction and Training,19-Dec-2024,000010396529234,WWW.CSCS.UK.COM,8249,Training-all costs,36.00,6.00,30.00
Children and Young Peoples Services,Head of Childrens Social Care,085336,Elderhurst Childrens Home Meadowfield,Supplies and Services,304403,Equipment and Materials,19-Dec-2024,000010396529252,AMZNMktplace 6U25P1L35,5999,Other consumables,19.99,0.00,19.99
Children and Young Peoples Services,Head of Childrens Social Care,085336,Elderhurst Childrens Home Meadowfield,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396529256,B&M 681 - DURHAM,5399,Catering costs - provisions,19.25,0.00,19.25
Children and Young Peoples Services,Head of Childrens Social Care,085336,Elderhurst Childrens Home Meadowfield,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396529260,ASDA GROCERIES ONLINE,5411,Catering costs - provisions,162.15,0.00,162.15
Children and Young Peoples Services,Head of Childrens Social Care,085336,Elderhurst Childrens Home Meadowfield,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396529266,ASDA STORES,5411,Catering costs - provisions,71.66,0.00,71.66
Children and Young Peoples Services,Head of Childrens Social Care,085336,Elderhurst Childrens Home Meadowfield,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396529270,ASDA GROCERIES ONLINE,5411,Catering costs - provisions,-18.67,0.00,-18.67
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,088104,BA/BC/Crook Intensive Family Support Team,Supplies and Services,304259,Equipment and Materials,19-Dec-2024,000010396529304,UKOFFICEDIRECT.CO.,5943,Equipment-purchase and rental,17.28,2.88,14.40
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,304259,Equipment and Materials,19-Dec-2024,000010396529330,MTF ENTERPRISES,5940,Equipment-purchase and rental,174.98,0.00,174.98
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,304403,Equipment and Materials,19-Dec-2024,000010396529334,AMZNMktplace T78YC1W14,5999,Other consumables,24.99,4.17,20.82
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,304403,Equipment and Materials,19-Dec-2024,000010396529338,AMZNMktplace 7X90W5EJ5,5999,Other consumables,9.99,1.67,8.32
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396529342,SAINSBURYS S/MKTS,5411,Catering costs - provisions,59.45,0.00,59.45
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396529344,SAINSBURYS S/MKTS,5411,Catering costs - provisions,67.85,0.00,67.85
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,304259,Equipment and Materials,19-Dec-2024,000010396529356,GEN REGISTER OFFICE,9399,Equipment-purchase and rental,42.00,0.00,42.00
Children and Young Peoples Services,Head of Education and Skills,070102,Engagement with Young People,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396529398,TESCO STORES 4358,5411,Catering costs - provisions,101.85,0.00,101.85
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085956,Lumley,Supplies and Services,328041,Clothing uniforms and laundry E328,19-Dec-2024,000010396529412,SHEIN.COM,5699,Clothing uniforms and laundry,35.95,0.00,35.95
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085956,Lumley,Supplies and Services,328041,Clothing uniforms and laundry E328,19-Dec-2024,000010396529414,JD Sports Fashion PLC,5655,Clothing uniforms and laundry,94.99,0.00,94.99
Children and Young Peoples Services,Head of Education and Skills,071802,Louisa Cent Nursery,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396529440,ASDA STORES,5411,Catering costs - provisions,8.50,0.00,8.50
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Premises,120037,Energy Costs,19-Dec-2024,000010396529444,WWW.OVOENERGY.COM,4900,Other fuels,10.00,0.00,10.00
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Premises,120037,Energy Costs,19-Dec-2024,000010396529450,OVO ENERGY,4900,Other fuels,10.00,0.00,10.00
Children and Young Peoples Services,Head of Education and Skills,078441,UK Shared Prosperity - People,Supplies and Services,364301,Grants to Voluntary Organisations,19-Dec-2024,000010396529472,DARLINGTON BOROUGH COU,9399,Hardship,14.50,0.00,14.50
Children and Young Peoples Services,Head of Education and Skills,078411,16-19 Education & Training,Supplies and Services,364301,Grants to Voluntary Organisations,19-Dec-2024,000010396529474,WWW.GONORTHEAST.CO.UK,4111,Hardship,3.00,0.00,3.00
Children and Young Peoples Services,Head of Education and Skills,078411,16-19 Education & Training,Supplies and Services,364301,Grants to Voluntary Organisations,19-Dec-2024,000010396529480,WWW.GONORTHEAST.CO.UK,4111,Hardship,3.00,0.00,3.00
Children and Young Peoples Services,Head of Education and Skills,078430,Sessional Employment,Supplies and Services,364301,Grants to Voluntary Organisations,19-Dec-2024,000010396529484,DURHAM COUNTY COUNCIL,9399,Hardship,12.50,0.00,12.50
Children and Young Peoples Services,Head of Childrens Social Care,085332,Middlestone Moor CU,Supplies and Services,348037,Subsistence E348,19-Dec-2024,000010396529532,FOX CUB,5813,Subsistence,232.69,0.00,232.69
Regeneration Economy and Growth,Corporate Property and Land,031994,FM-Civic Bldgs-Corten House,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396529554,LIDL GB DURHAM,5411,Catering costs - provisions,13.62,0.00,13.62
Neighbourhoods and Climate Change,Environmental Services,019100,Fleet - Strategic Fleet,Supplies and Services,304259,Equipment and Materials,19-Dec-2024,000010396529562,DISCLOSURE AND BARRING,9399,Equipment-purchase and rental,21.50,0.00,21.50
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Transport,235057,Public Transport,19-Dec-2024,000010396529628,National Express Limit,4131,Staff travelling,44.70,0.00,44.70
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,328041,Clothing uniforms and laundry E328,19-Dec-2024,000010396529638,SkateHut,5655,Clothing uniforms and laundry,129.95,0.00,129.95
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Transport,235057,Public Transport,19-Dec-2024,000010396529644,LNER ONLINE,4112,Staff travelling,143.10,0.00,143.10
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,328041,Clothing uniforms and laundry E328,19-Dec-2024,000010396529650,POUNDLAND LTD - 2410,5310,Clothing uniforms and laundry,125.00,0.00,125.00
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,328041,Clothing uniforms and laundry E328,19-Dec-2024,000010396529654,POUNDLAND LTD - 2410,5310,Clothing uniforms and laundry,50.00,0.00,50.00
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Supplies and Services,328041,Clothing uniforms and laundry E328,19-Dec-2024,000010396529658,POUNDLAND LTD - 2410,5310,Clothing uniforms and laundry,125.00,0.00,125.00
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Transport,235057,Public Transport,19-Dec-2024,000010396529662,BLUELINE TAXIS,4121,Staff travelling,75.00,0.00,75.00
Resources BK0010,Procurement Sales & Business Services,065502,Business Support - Crook,Transport,235057,Public Transport,19-Dec-2024,000010396529668,BLUELINE TAXIS,4121,Staff travelling,75.00,0.00,75.00
Resources BK0010,Digital Services,065335,School Services - Implementations,Supplies and Services,342033,Computers and Communications,19-Dec-2024,000010396529698,ZANDGROUP,5399,Computer hardware,73.74,0.00,73.74
Resources BK0010,Digital Services,065335,School Services - Implementations,Supplies and Services,342033,Computers and Communications,19-Dec-2024,000010396529704,LENOVO UK GBP - ECOM,5969,Computer hardware,42.38,7.06,35.32
Resources BK0010,Digital Services,065335,School Services - Implementations,Supplies and Services,342033,Computers and Communications,19-Dec-2024,000010396529716,LENOVO UK GBP - ECOM,5969,Computer hardware,17.32,2.89,14.43
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Transport,235057,Public Transport,19-Dec-2024,000010396529728,WWW.GONORTHEAST.CO.UK,4111,Staff travelling,34.00,0.00,34.00
Dedicated Schools Grant BG0015,DSG High Needs Block,079040,HNB Management and support,Supplies and Services,384999,Miscellaneous Expenses,19-Dec-2024,000010396529744,PATOSS LTD,8211,Other expenses,59.00,0.00,59.00
Regeneration Economy and Growth,Planning & Housing,031581,P&H-Homeless Prevention-Prevention Fund,Supplies and Services,384999,Miscellaneous Expenses,19-Dec-2024,000010396529752,High Street Vouchers,5311,Other expenses,50.00,0.00,50.00
Regeneration Economy and Growth,Planning & Housing,031581,P&H-Homeless Prevention-Prevention Fund,Supplies and Services,364501,Grants to Voluntary Organisations,19-Dec-2024,000010396529756,WWW BELIEVEHOUSING CO,9399,Housing - Landlord Incentives,191.90,0.00,191.90
Regeneration Economy and Growth,Planning & Housing,031581,P&H-Homeless Prevention-Prevention Fund,Transport,235073,Public Transport,19-Dec-2024,000010396529764,UBER TRIP,4121,Travel-clients/students/children,29.95,0.00,29.95
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,364320,Grants to Voluntary Organisations,19-Dec-2024,000010396529768,TRAVELODGE,3615,Accommodation assistance,763.60,0.00,763.60
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,364320,Grants to Voluntary Organisations,19-Dec-2024,000010396529774,TRAVELODGE,3615,Accommodation assistance,319.45,0.00,319.45
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,364320,Grants to Voluntary Organisations,19-Dec-2024,000010396529780,TRAVELODGE,3615,Accommodation assistance,215.42,0.00,215.42
Children and Young Peoples Services,Head of Childrens Social Care,085614,Families First Durham West,Supplies and Services,364301,Grants to Voluntary Organisations,19-Dec-2024,000010396529856,BOOKING.COM,4722,Hardship,"1,641.00",0.00,"1,641.00"
Regeneration Economy and Growth,Planning & Housing,031639,P&H-Homeless Prevention-Accom Ex Offenders (A.F.O),Supplies and Services,384999,Miscellaneous Expenses,19-Dec-2024,000010396529884,BRITISH HEART FOUNDATI,8398,Other expenses,176.25,0.00,176.25
Resources BK0010,Procurement Sales & Business Services,069800,Corporate Procurement,Supplies and Services,304999,Equipment and Materials,19-Dec-2024,000010396529974,MAILPOET,5815,Misc equipment tools and materials,448.37,90.24,358.13
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085965,Barnard,Supplies and Services,324117,Provisions E324,19-Dec-2024,000010396529996,TESCO STORES 6329,5411,Catering costs - provisions,135.22,0.00,135.22
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Transport,235057,Public Transport,19-Dec-2024,000010396530002,UBER TRIP,4121,Staff travelling,23.61,0.00,23.61
Regeneration Economy and Growth,Planning & Housing,031576,P&H-Homeless Prevention-B& B-Temp Accom,Supplies and Services,352001,Conference Expenses,19-Dec-2024,000010396530010,TRAVELODGE,3615,Conferencesseminars fees etc,88.19,0.00,88.19
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,304999,Equipment and Materials,19-Dec-2024,000010396530018,Brewers Durham,5251,Misc equipment tools and materials,90.49,0.00,90.49
Children and Young Peoples Services,Head of Early Help Inclusion & Vulnerable Children.,085963,Maple House,Supplies and Services,348037,Subsistence E348,19-Dec-2024,000010396530020,TIM HORTONS,5814,Subsistence,11.53,0.00,11.53
Children and Young Peoples Services,Head of Education and Skills,076001,Music Service,Supplies and Services,304403,Equipment and Materials,19-Dec-2024,000010396530186,Adobe,5734,Other consumables,24.96,4.16,20.80
Regeneration Economy and Growth,Planning & Housing,031634,P&H-Hsg Acc-Ind Liv-DCC Dispersed Supp Housing,Supplies and Services,308011,Furniture,19-Dec-2024,000010396530210,WWW.ARGOS.CO.UK,5311,Furniture repair and replacement,50.00,0.00,50.00
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Transport,235057,Public Transport,19-Dec-2024,000010396530254,WWW.GONORTHEAST.CO.UK,4111,Staff travelling,2.00,0.00,2.00
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Transport,235057,Public Transport,19-Dec-2024,000010396530264,WWW.GONORTHEAST.CO.UK,4111,Staff travelling,2.00,0.00,2.00
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Transport,235057,Public Transport,19-Dec-2024,000010396530272,WWW.GONORTHEAST.CO.UK,4111,Staff travelling,2.00,0.00,2.00
Regeneration Economy and Growth,Inclusive Growth & Partnerships,030110,UKSPF Flexible Fund,Transport,235057,Public Transport,19-Dec-2024,000010396530280,WWW.GONORTHEAST.CO.UK,4111,Staff travelling,2.00,0.00,2.00
