Body Name,Date Paid,Transaction Number,Amount,Invoice Date,Supplier Name,Supplier Type,Invoice Number,Account,Transaction Type,Transaction Type Description,Supplier Reporting,Expense Area,Cost Centre Description ,Service Area Categorisation,Service Division Categorisation,Expense Type
West Northamptonshire Council,24-May-23,51400306602,"£4,017.00",23-May-23,FOUR SEASONS (BAMFORD) LIMITED,CARE ESTABLISHMENT,NT842609 P134692-00002,E7145,CPN,Social Care West Northampton Council CareCost Payments,,LD Learning Disability RES LT [NCC],Learning Disability Support Res Long Term LD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Residential Care
West Northamptonshire Council,22-May-23,51400284429,"£4,028.46",27-Mar-23,ETAC Ltd,COMPANY,342480,XB000,II,Incoming Invoice Posting,,DFG's Owner Occupiers,DFG's Owner Occupiers,Housing and Communities Capital,Disabled Facilities Grants [NBC],"New Construction, Conversion and Renovation"
West Northamptonshire Council,22-May-23,51400302522,"£4,029.38",19-May-23,HACKLETON PRE-SCHOOL PLAYGROUP,NURSERY,1140000923-190523-HC FE 3 ID-295-307,E5000,SPS,AP Spreadsheet Import - Payments,,EYSFF 3 & 4 Year Old [NCC],Early Years 3 & 4 Year Old,Early Years Block,Early Years Free Entitlement [NCC],Grants to Voluntary Bodies
West Northamptonshire Council,24-May-23,51400306225,"£4,039.20",23-May-23,PINNACLE CARE LTD (Wolston Grange),CARE ESTABLISHMENT,N0014774 P134707-00001,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,30-May-23,51400298206,"£4,040.11",03-May-23,TRUSTMARQUE SOLUTIONS LTD,TRADE SUPPLIER,2362478,D5030,II,Incoming Invoice Posting,,DTI Contracts,Centralised IT Services Budgets - ex NCC,"Digital, Technology & Innovation",DTI Contracts,Computer software - purchase
West Northamptonshire Council,22-May-23,51400302532,"£4,040.11",19-May-23,Budding Butterflies,COMPANY,1140007187-190523-HC FE 3 ID-12998-317,E5000,SPS,AP Spreadsheet Import - Payments,,EYSFF 3 & 4 Year Old [NCC],Early Years 3 & 4 Year Old,Early Years Block,Early Years Free Entitlement [NCC],Grants to Voluntary Bodies
West Northamptonshire Council,19-May-23,51400300609,"£4,040.36",17-May-23,MEGA RESOURCES LTD,CARE ESTABLISHMENT,N2310724 P134191-00033,E7140,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People CCP ST [NCC],Physical Support CCP other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Rehabilitation And Respite Care
West Northamptonshire Council,22-May-23,51400302289,"£4,048.90",19-May-23,GRANGE PARK PRE-SCHOOL,NURSERY,1140000909-190523-HC FE 3 ID-3463-74,E5000,SPS,AP Spreadsheet Import - Payments,,EYSFF 3 & 4 Year Old [NCC],Early Years 3 & 4 Year Old,Early Years Block,Early Years Free Entitlement [NCC],Grants to Voluntary Bodies
West Northamptonshire Council,10-May-23,51400298614,"£4,050.00",01-May-23,Helen Redding Education Consultancy Ltd,EDUCATION,West Northamptonshire 007,D4100,SPV,AP VAT Spreadsheet Import - Payments,,High Needs Projects,High Needs Projects,High Needs Block,High Needs Projects,Consultancy
West Northamptonshire Council,24-May-23,51400305959,"£4,052.84",22-May-23,LIFEWAYS COMMUNITY CARE LTD,CARE ESTABLISHMENT,NT837405 P134377-00002,E7170,CPN,Social Care West Northampton Council CareCost Payments,,LD Learning Disability CCP LT [NCC],Learning Disability Support CCP Long Term LD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Suppported Living
