Transaction Number,Service - Fund ,Service  - Function ,Service - Cost Centre,Expense Type ,Expense Description,Supplier Name,Supplier Post Code (first 4 digits),Payment Date,Amount £,,,,
93715233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,05/07/2023,720.00,,,,
93695237,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,05/07/2023,720.00,,,,
96816233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,26/07/2023,"1,080.00",,,,
94333233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,10/07/2023,"1,080.00",,,,
93695236,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,05/07/2023,"1,080.00",,,,
93695238,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,05/07/2023,720.00,,,,
96812234,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,26/07/2023,"1,080.00",,,,
96811234,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,26/07/2023,"1,440.00",,,,
95823233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,19/07/2023,"1,440.00",,,,
94348233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,10/07/2023,720.00,,,,
93797233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,07/07/2023,"1,440.00",,,,
93714233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,05/07/2023,"1,080.00",,,,
93695234,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,05/07/2023,"1,800.00",,,,
96814233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,26/07/2023,720.00,,,,
95826233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,19/07/2023,"1,800.00",,,,
94367233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,10/07/2023,"1,080.00",,,,
94334233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,10/07/2023,"1,080.00",,,,
93801233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,07/07/2023,720.00,,,,
93695235,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,05/07/2023,"1,080.00",,,,
95828233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,19/07/2023,720.00,,,,
94366233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,10/07/2023,"1,080.00",,,,
96818233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,26/07/2023,"1,440.00",,,,
95829234,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,19/07/2023,720.00,,,,
95821233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,19/07/2023,"1,440.00",,,,
93686233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,05/07/2023,"1,440.00",,,,
94368233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,10/07/2023,720.00,,,,
94332233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,10/07/2023,"2,160.00",,,,
93798233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,ALPHA24 HEALTHCARE LTD,EC1M,07/07/2023,"1,440.00",,,,
95347269,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,ALTOGETHER CARE WEYMOUTH CARE HOME,DT4 ,14/07/2023,"5,029.10",,,,
95347269,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,ALTOGETHER CARE WEYMOUTH CARE HOME,DT4 ,14/07/2023,-784.75,,,,
94178247,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Residential Care,AMBERLEIGH CARE LTD,TF2 ,10/07/2023,"20,340.00",,,,
96152234,Responsive Repairs,Repairs,Responsive Repairs,Premises Costs,Repairs - Buildings,AMELIO UTILITIES(GLOU) LTD T/A 3 COUNTIES DRAIN SERVICES,GL1 ,21/07/2023,412.00,,,,
96152234,Responsive Repairs,Repairs,Responsive Repairs,Premises Costs,Repairs - Buildings,AMELIO UTILITIES(GLOU) LTD T/A 3 COUNTIES DRAIN SERVICES,GL1 ,21/07/2023,140.60,,,,
96152234,Responsive Repairs,Repairs,Responsive Repairs,Premises Costs,Repairs - Buildings,AMELIO UTILITIES(GLOU) LTD T/A 3 COUNTIES DRAIN SERVICES,GL1 ,21/07/2023,176.57,,,,
96152234,Responsive Repairs,Repairs,Responsive Repairs,Premises Costs,Repairs - Buildings,AMELIO UTILITIES(GLOU) LTD T/A 3 COUNTIES DRAIN SERVICES,GL1 ,21/07/2023,210.89,,,,
93708233,Routes to Employment,"Education, Inclusion and Skills",Multiply,Supplies and Services,Materials,AMENA HANMAN (DYSLEXIA ASSESSOR),SN3 ,05/07/2023,"1,440.00",,,,
97643233,NEV,"Economy, Growth and Place",Gablecross Junction,Capital,Professional Fees,AMEY OW LTD,L19 ,31/07/2023,"2,102.94",,,,
97643233,NEV,"Economy, Growth and Place",Southern Connector Road,Capital,Professional Fees,AMEY OW LTD,L19 ,31/07/2023,"32,471.19",,,,
93398233,NEV,"Economy, Growth and Place",Southern Connector Road,Capital,Professional Fees,AMEY OW LTD,L19 ,03/07/2023,"75,251.95",,,,
93398233,NEV,"Economy, Growth and Place",Package 2 - Nythe Road Junction and Piccadilly Roundabout,Capital,Professional Fees,AMEY OW LTD,L19 ,03/07/2023,"1,715.78",,,,
97643233,Town Centre,"Economy, Growth and Place",Fleming Way Improvement Scheme,Capital,Professional Fees,AMEY OW LTD,L19 ,31/07/2023,"17,529.42",,,,
93398233,NEV,"Economy, Growth and Place",Gablecross Junction,Capital,Professional Fees,AMEY OW LTD,L19 ,03/07/2023,"5,580.48",,,,
97644233,Highways & Transport,Highways & Transport,Project Delivery,Supplies and Services,Services,AMEY OW LTD,L19 ,31/07/2023,"67,634.89",,,,
93398233,NEV,"Economy, Growth and Place",White Hart Junction,Capital,Professional Fees,AMEY OW LTD,L19 ,03/07/2023,"4,002.68",,,,
93398233,Town Centre,"Economy, Growth and Place",Fleming Way Improvement Scheme,Capital,Professional Fees,AMEY OW LTD,L19 ,03/07/2023,"41,292.61",,,,
96380233,Property Estates,Property,Estates - Corporate Property General,Premises Costs,Rents,AMEY TPT,EC4A,21/07/2023,"2,785.00",,,,
96739233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,3rd Party Payments,Respite Care,AMICUS FOSTER CARE,BS2 ,26/07/2023,"2,600.00",,,,
96013233,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Independent Fostering Agency Placements,AMICUS FOSTER CARE,BS2 ,19/07/2023,"5,086.50",,,,
96014233,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Independent Fostering Agency Placements,AMICUS FOSTER CARE,BS2 ,19/07/2023,"5,256.05",,,,
96315233,Human Resources and Organisational Development,"People, Culture and Organisational Resilience",Organisational Development,Employees,Training,AMIE DEW,GL51,21/07/2023,675.00,,,,
95176233,Disabled Children,"Children, Families and Community Health Services",DCT Daytime Short Breaks,Transfer Payments,Personal Budget - Direct Payments - Other,REDACTED PERSONAL DATA,SN2 ,14/07/2023,"1,132.00",,,,
97349367,Mental Health,Adults,Mental Health 18-64,Transfer Payments,Personal Budget - Direct Payments - Domiciliary Care,REDACTED PERSONAL DATA,SN25,31/07/2023,619.34,,,,
94972241,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,REDACTED PERSONAL DATA,SN3 ,12/07/2023,937.44,,,,
97349354,Learning Disabilities,Adults,Learning Disability 18 - 64,Transfer Payments,Personal Budget - Direct Payments - Domiciliary Care,REDACTED PERSONAL DATA,SP11,31/07/2023,502.46,,,,
96744243,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN26,26/07/2023,675.00,,,,
94972421,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,REDACTED PERSONAL DATA,SN5 ,12/07/2023,"33,798.99",,,,
95702281,High Needs Block,DSG Skills and Attainment,SEN Resourcing Assessment Panel,3rd Party Payments,Top up funding - Maintained providers Pre 16,REDACTED PERSONAL DATA,SN5 ,19/07/2023,936.00,,,,
94972422,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,REDACTED PERSONAL DATA,SN5 ,12/07/2023,"3,042.00",,,,
94972420,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - two year olds,3rd Party Payments,Contracts - Child Care,REDACTED PERSONAL DATA,SN5 ,12/07/2023,"4,204.95",,,,
96744354,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,ANGELVIEW PROPERTIES LTD,ALBO,26/07/2023,590.00,,,,
97349609,Physical Support,Adults,Physical Support 18 - 64,Transfer Payments,Personal Budget - Direct Payments - Domiciliary Care,REDACTED PERSONAL DATA,SN25,31/07/2023,"2,686.51",,,,
96320233,HRA Overheads,Supervision & Management,Admin / Management General,Premises Costs,Insurance - Premises,AON UK LIMITED,EC3V,21/07/2023,"2,978.78",,,,
95418235,Supported Employment,Housing Services,Community Meals,Supplies and Services,Food,APETITO LIMITED,BA14,14/07/2023,837.52,,,,
95418238,Supported Employment,Housing Services,Community Meals,Supplies and Services,Food,APETITO LIMITED,BA14,14/07/2023,953.07,,,,
95418235,Supported Employment,Housing Services,Community Meals,Supplies and Services,Food,APETITO LIMITED,BA14,14/07/2023,17.84,,,,
96798233,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,APEX SCAFFOLDING SERVICES,SN2 ,26/07/2023,450.00,,,,
96801234,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,APEX SCAFFOLDING SERVICES,SN2 ,26/07/2023,"2,262.86",,,,
96797233,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,APEX SCAFFOLDING SERVICES,SN2 ,26/07/2023,550.00,,,,
96799233,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,APEX SCAFFOLDING SERVICES,SN2 ,26/07/2023,924.00,,,,
96801233,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,APEX SCAFFOLDING SERVICES,SN2 ,26/07/2023,570.00,,,,
96080233,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,APEX SCAFFOLDING SERVICES,SN2 ,21/07/2023,660.00,,,,
96079233,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,APEX SCAFFOLDING SERVICES,SN2 ,21/07/2023,"1,040.00",,,,
96078233,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,APEX SCAFFOLDING SERVICES,SN2 ,21/07/2023,550.00,,,,
96800233,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,APEX SCAFFOLDING SERVICES,SN2 ,26/07/2023,550.00,,,,
95420233,,,Balance Sheet,Balance Sheet & Recharge,Resources Recharges,APOGEE CORPORATION LIMITED,EC2A,14/07/2023,"10,688.52",,,,
96833233,,,Balance Sheet,Balance Sheet & Recharge,Resources Recharges,APOGEE CORPORATION LIMITED,EC2A,26/07/2023,"4,549.22",,,,
95421233,,,Balance Sheet,Balance Sheet & Recharge,Resources Recharges,APOGEE CORPORATION LIMITED,EC2A,14/07/2023,"3,911.89",,,,
95318233,Learning Disabilities,Adults,Learning Disability 18 - 64,3rd Party Payments,Residential Care,APPLEFORD LTD T/A DANESWOOD,BS25,14/07/2023,"27,510.15",,,,
95318233,Learning Disabilities,Adults,Learning Disability 18 - 64,Income,Client Contribution - Residential,APPLEFORD LTD T/A DANESWOOD,BS25,14/07/2023,-548.50,,,,
94728233,Adults - Staffing and Supporting People,Adults,Blue Badges,Supplies and Services,Materials,APS GROUP,SK3 ,12/07/2023,"1,634.13",,,,
96007233,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Residential Care,REDACTED PERSONAL DATA,LL40,19/07/2023,"8,483.00",,,,
96006233,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Residential Care,REDACTED PERSONAL DATA,LL40,19/07/2023,"16,966.00",,,,
95702233,High Needs Block,DSG Skills and Attainment,SEN Resourcing Assessment Panel,3rd Party Payments,Top up funding - Maintained providers Pre 16,REDACTED PERSONAL DATA,SN2 ,19/07/2023,"7,980.00",,,,
94972242,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,REDACTED PERSONAL DATA,SN2 ,12/07/2023,"3,231.90",,,,
94972243,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,REDACTED PERSONAL DATA,SN2 ,12/07/2023,"1,541.28",,,,
95648241,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,REDACTED PERSONAL DATA,SN2 ,19/07/2023,"7,980.00",,,,
94858233,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Residential Care,AREA CAMDEN GROUP,N8 0,12/07/2023,"21,857.10",,,,
94679234,Human Resources and Organisational Development,"People, Culture and Organisational Resilience",Pay & Reward,Employees,Temporary / Agency - by Accounts Payable,ARGONAUT MANAGEMENT SERVICES LIMITED,N11 ,12/07/2023,"3,600.00",,,,
95347275,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Nursing Care,ARIA HEALTHCARE GROUP LTD,CO4 ,14/07/2023,"7,500.00",,,,
97659233,Lydiard Park,Culture & Heritage,Lydiard : Hotel Operations,Supplies and Services,Liquid,ARKELLS BREWERY LTD,SN2 ,31/07/2023,"1,560.91",,,,
93625233,Lydiard Park,Culture & Heritage,Lydiard : Hotel Operations,Supplies and Services,Liquid,ARKELLS BREWERY LTD,SN2 ,05/07/2023,621.34,,,,
96732233,Lydiard Park,Culture & Heritage,Lydiard : Hotel Operations,Supplies and Services,Liquid,ARKELLS BREWERY LTD,SN2 ,26/07/2023,776.80,,,,
94691233,Lydiard Park,Culture & Heritage,Lydiard : Hotel Operations,Supplies and Services,Liquid,ARKELLS BREWERY LTD,SN2 ,12/07/2023,763.99,,,,
94724233,Streetsmart,Streetsmart,Waterside Fleet Hires,Transport Costs,Vehicle Hire / Contract,ARNOLD PLANT HIRE LIMITED,SK6 ,12/07/2023,"1,540.00",,,,
94725233,Streetsmart,Streetsmart,Waterside Fleet Hires,Transport Costs,Vehicle Hire / Contract,ARNOLD PLANT HIRE LIMITED,SK6 ,12/07/2023,"1,166.00",,,,
95347273,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Residential Care,ARTI CARE HOMES (GLOUCESTER) LIMITED,WD7 ,14/07/2023,"6,000.00",,,,
Corporate Card Transaction,Community Health & Wellbeing,Public Health,Community Health and Wellbeing Management,Supplies and Services,Food,Asda Stores,,27/06/2023,800.00,,,,
Corporate Card Transaction,Community Health & Wellbeing,Public Health,Community Health and Wellbeing Management,Supplies and Services,Food,Asda Stores,,27/06/2023,700.00,,,,
96599233,Public Health,Public Health,DAAT,3rd Party Payments,Contract Payments,ASDA STORES LTD,LS11,26/07/2023,728.00,,,,
95319233,Mental Health,Adults,Mental Health 18-64,Income,Client Contribution - Residential,ASH VIEW HOUSE,BS15,14/07/2023,-523.50,,,,
95319233,Mental Health,Adults,Mental Health 18-64,3rd Party Payments,Residential Care,ASH VIEW HOUSE,BS15,14/07/2023,"9,992.15",,,,
93685233,Traded Services,"Education, Inclusion and Skills",Plas Pencelli Outdoor Education Centre,Supplies and Services,Materials,ASHBURNHAM BAKERY,LD3 ,05/07/2023,581.54,,,,
95247233,Mental Health,Adults,Mental Health 65 and over,Income,Client Contribution - Residential,ASHBURY LODGE,SN3 ,14/07/2023,-864.00,,,,
95247233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Residential,ASHBURY LODGE,SN3 ,14/07/2023,"-1,108.25",,,,
95247233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Residential Care,ASHBURY LODGE,SN3 ,14/07/2023,"4,096.17",,,, 
95247233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Residential,ASHBURY LODGE,SN3 ,14/07/2023,-944.98,,,,
95247233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Residential,ASHBURY LODGE,SN3 ,14/07/2023,498.96,,,,
95247233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Residential,ASHBURY LODGE,SN3 ,14/07/2023,-864.00,,,,
95247233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Residential,ASHBURY LODGE,SN3 ,14/07/2023,-822.10,,,,
95247233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Residential,ASHBURY LODGE,SN3 ,14/07/2023,888.69,,,,
95247233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Residential,ASHBURY LODGE,SN3 ,14/07/2023,"-1,088.64",,,,
95247233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Residential,ASHBURY LODGE,SN3 ,14/07/2023,"1,777.37",,,,
