Authority,Service Area,Description,Payment,Amount,Supplier
Bolton BMC,Adult Services,Clients Aids & Adaptations,12-Jun-23,"£1,781.99",Prism Medical UK
Bolton BMC,Adult Services,Clients Aids & Adaptations,15-Jun-23,£835.98,Prism Medical UK
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£13,840.20",Queens Park View#Intelligent Care
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£3,265.90",Randomlight Ltd#Heightside House
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£32,846.70",Raven
Bolton BMC,Adult Services,Client Support Costs,01-Jun-23,"£1,310.00",Redacted - Personal Data
Bolton BMC,Adult Services,Agency Staff - Other,02-Jun-23,£793.13,Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,09-Jun-23,£705.25,Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,23-Jun-23,£622.62,Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,16-Jun-23,£736.43,Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,16-Jun-23,"£1,227.38",Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,16-Jun-23,"£1,194.65",Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,02-Jun-23,£965.54,Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,02-Jun-23,"£1,227.38",Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,02-Jun-23,"£1,547.28",Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,02-Jun-23,"£1,117.48",Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,09-Jun-23,£981.90,Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,09-Jun-23,£981.90,Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,09-Jun-23,£736.43,Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,09-Jun-23,£736.43,Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,23-Jun-23,£900.08,Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,23-Jun-23,£736.43,Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,23-Jun-23,£736.43,Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,23-Jun-23,£818.25,Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,23-Jun-23,"£1,211.01",Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,16-Jun-23,"£1,284.64",Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,09-Jun-23,"£1,284.64",Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,09-Jun-23,£963.48,Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,23-Jun-23,"£1,284.64",Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,16-Jun-23,"£1,211.01",Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,02-Jun-23,"£1,227.38",Reed#Reed Specialist Recruitment Limited
Bolton BMC,Adult Services,Agency Staff - Other,09-Jun-23,£981.90,Reed#Reed Specialist Recruitment Limited
