Authority,Service Area,Description,Payment, Amount ,Supplier
Bolton MBC,Adult Services,Contracted Services,16-Oct-23," £7,097.60 ",Oakdale Supported Living
Bolton MBC,Adult Services,Contracted Services,06-Oct-23," £2,201.92 ",Orchid Home Care Support
Bolton MBC,Adult Services,Contracted Services,06-Oct-23, £681.54 ,Orchid Home Care Support
Bolton MBC,Adult Services,Contracted Services,06-Oct-23, £555.40 ,Orchid Home Care Support
Bolton MBC,Adult Services,Contracted Services,06-Oct-23, £825.72 ,Orchid Home Care Support
Bolton MBC,Adult Services,Contracted Services,06-Oct-23," £1,926.65 ",Orchid Home Care Support
Bolton MBC,Adult Services,Contracted Services,06-Oct-23, £919.11 ,Orchid Home Care Support
Bolton MBC,Adult Services,Contracted Services,06-Oct-23," £2,817.92 ",Orchid Home Care Support
Bolton MBC,Adult Services,Contracted Services,06-Oct-23, £983.00 ,Orchid Home Care Support
Bolton MBC,Adult Services,Contracted Services,06-Oct-23," £2,201.92 ",Orchid Home Care Support
Bolton MBC,Adult Services,Contracted Services,06-Oct-23, £661.88 ,Orchid Home Care Support
Bolton MBC,Adult Services,Contracted Services,06-Oct-23, £825.72 ,Orchid Home Care Support
Bolton MBC,Adult Services,Contracted Services,06-Oct-23," £1,926.65 ",Orchid Home Care Support
Bolton MBC,Adult Services,Contracted Services,06-Oct-23, £933.85 ,Orchid Home Care Support
Bolton MBC,Adult Services,Contracted Services,06-Oct-23," £2,817.92 ",Orchid Home Care Support
Bolton MBC,Adult Services,Contracted Services,06-Oct-23, £894.53 ,Orchid Home Care Support
