FORMAT CIAXLONE REPORT,DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,
*,Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference
LIST,Blackpool Council,Konica Minolta Business (Uk) Ltd,199049,1000277,8/04/2024,317.45,52.91,Bispham Endowed -Reprographics,10017,63004,Operating Lease,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED031,Bispham Endowed C Of E Primary - 5,1168915248
LIST,Blackpool Council,Dac Beachcroft Llp,199074,1001560,5/04/2024,"3,303.60",550.60,Hounds Hill,50062,63807,Legal and Court Costs,Communication & Regeneration - 1,AMCPI,HJ,Growth & Prosperity Team - 3,HJA1,Growth - 5,01-10240052
LIST,Blackpool Council,Dac Beachcroft Llp,199085,1001560,5/04/2024,"2,227.62",371.27,Hounds Hill,50062,63807,Legal and Court Costs,Communication & Regeneration - 1,AMCPI,HJ,Growth & Prosperity Team - 3,HJA1,Growth - 5,01-10241369
LIST,Blackpool Council,Dac Beachcroft Llp,199088,1001560,2/04/2024,"1,357.20",226.20,,,63413,Consultants,Community & Env Services - 1,BPLSER,CSTENV,Coastal Environmental - 3,CSTENV2,Coastal Environ - 5,01-10241341
LIST,Blackpool Council,Dwf Law Llp,199096,1003830,5/04/2024,"4,539.60",756.60,,,64705,Solicitors Fees,Communication & Regeneration - 1,AMCPI,HJ,Growth & Prosperity Team - 3,HJA1,Growth - 5,157-0492225
LIST,Blackpool Council,Stannah Lift Services Ltd,199124,1000811,19/04/2024,"3,813.40",635.57,Csdp,90000,65401,VAT ADJUSTMENT,Not Applicable - 1,NA,NA,Not Applicable - 3,NA,Not Applicable - 5,1085645360
LIST,Blackpool Council,Valtech Limited,199396,1003725,2/04/2024,544.82,90.80,Blue Badge Reform,40098,63401,General Services,Resources - 1,TRSTOT,FCAD,Customer First - 3,FCAD2,Customer First - 5,UKSI23628
LIST,Blackpool Council,Curve Learning And Development Ltd,199401,1002411,2/04/2024,439.20,73.20,Adults Training,20032,60911,Training Expenses,Adult Services - 1,ADULTS,ADULTTR,Adults Training - 3,ADULTTR2,Adults Training - 5,21161
LIST,Blackpool Council,Fylde Care Group Ltd,199509,1006368,2/04/2024,"1,754.86",0.00,Residential Placements,20474,64505,Residential Homes,Adult Services - 1,ADULTS,COMPLA1,Adult Commissioning Placements - 3,COMPLA3,Adult Commissioning Placements - 5,660091I
LIST,Blackpool Council,Courtyard Care Limited,200645,1002466,3/04/2024,"42,400.32",0.00,External Residential,10541,64501,Private Contractors,Children's Services - 1,CHISER,JEA,Senior Management - 3,JEA2,Senior Management JEA2 - 5,42376
