UID,Council,Contract Status,Name,Classification,Route to Market,Contract Type Detail,Start Date,End Date,Maximum Extension Date,Annual Contract Value (average),Value,Supplier Name,Company Registration Number,Postal Code,Supplier Type,Customer Name
7920, Trafford Borough Council,Live (On-going),Community Domestic Abuse Services,151510 - Healthcare - Public Health,OJEU Tender (Light Touch), Contract,01/04/2020,31/03/2025,31/03/2025,"�179,000.00","�895,000.00",Trafford Domestic Abuse Services,-,M32 0PS,-,"Trafford Borough Council, TRAFF - Integrated Commissioning"
10719, Trafford Borough Council,Live (One Off),Domestic Abuse Community Programmes,151510 - Healthcare - Public Health,RBS - Low/Med - Simple (RFQ), Contract,01/04/2022,31/03/2025,31/03/2025,,"�240,000.00",Trafford Domestic Abuse Services,-,M32 0PS,-,"Trafford Borough Council, TRAFF - Integrated Commissioning"
10683, Trafford Borough Council,Live (On-going),Chlamydia and Gonorrhoea Screening Support Service,151514 - Healthcare - Public Health - Specialist Services,RBS - Low/Med - Simple (RFQ), Contract,01/04/2022,31/03/2027,31/03/2027,"�110,000.00","�546,300.00",Brook Young People,-,EC2P 2TA,-,"STAR, Trafford Borough Council, TRAFF - Integrated Commissioning"
11785, Trafford Borough Council,Live (One Off),Council Chamber and Committee rooms 2-4 Conferencing refresh,"270000 - Information Communication Technology, 271200 - Information Communication Technology - Hardware",RBS - Med/High - Advanced (Open), Contract,01/11/2022,31/10/2023,-,,"�161,505.70",GV AV Limited,-,TW3 2EB,-,"STAR, TRAFF - Governance and Community Strategy"
11890, Trafford Borough Council,Live (On-going),Microsoft Dynamics Implementation Partner,"270000 - Information Communication Technology, 271501 - Information Communication Technology - Services, 261517 - Information Communication Technology - Services - Consultancy",OJEU Tender, Contract,01/11/2022,31/10/2024,-,,"�872,840.00",RedCortex Ltd,-,CF24 0ED,-,"STAR, TRAFF - Finance and Systems"
3849, Trafford Borough Council,Live (On-going),Greater Manchester Learning Disability and Autism FPS (Trafford),321000 - Social Community Care Supplies & Services - Adult,Procured by Other, Flexible Purchasing System,01/08/2017,31/07/2024,-,�0.00,�0.00,Various Suppliers,-,Various,-,"RBC - Adult Services, TRAFF - Adults' Services"
10684, Trafford Borough Council,Live (On-going),Trafford Telecare and Assistive Technology ,321000 - Social Community Care Supplies & Services - Adult,OJEU Tender, Contract,01/04/2022,31/03/2026,31/03/2029,"�310,000.00","�2,170,000.00",Trafford Housing Trust,-,M33 6AG,-,"STAR, TRAFF - Adults' Services"
11723, Trafford Borough Council,Live (On-going),"Provision of database software for Youth Justice, NCCIS, Youth Service, and Children�s Centres",271440 - Information Communication Technology - Software,Call Off (External), Contract,01/04/2022,31/03/2026,31/03/2026,"�30,000.00","�119,166.90",Access UK Ltd,-,EC3N 1RE,-,"STAR, Trafford Borough Council, TRAFF - Adults' Services, TRAFF - Children's Services, TRAFF - Children, Families and Wellbeing, TRAFF - Finance and Systems, TRAFF - Governance and Community Strategy, TRAFF - Integrated Commissioning, TRAFF - Place, TRAFF - Strategy and Resources"
11980, Trafford Borough Council,Live (One Off),Project Team - CAN,261300 - Human Resources - Recruitment & Assessment,RBS - Low - Quick Quote, Contract,10/11/2022,10/05/2023,-,"�154,522.00","�154,522.00",Taylor Davenport Resourcing,-,G74 5PA,-,"Trafford Borough Council, TRAFF - Children's Services"
3497, Trafford Borough Council,Live (On-going),Children�s and young people�s Residential Placements,401001 - Social Community Care Supplies & Services - Children - Community Based Services,OJEU Tender, Flexible Purchasing System,01/04/2018,31/03/2028,31/03/2028,"�30,000,000.00","�30,000,000.00",Various Suppliers,-,Various,-,"STAR, TRAFF - Children, Families and Wellbeing"
10298, Trafford Borough Council,Live (On-going),Trafford Homecare and Reablement at Home FPS,321000 - Social Community Care Supplies & Services - Adult,Procured by Other, Flexible Purchasing System,01/04/2021,31/03/2026,-,�0.00,�0.00,Various Suppliers,-,Various,-,"RBC - Adult Services, TRAFF - Adults' Services"
4077, Trafford Borough Council,Live (On-going),Children and Young People�s Foster Care Placements,321100 - Social Community Care Supplies & Services - Children,OJEU Tender, Flexible Purchasing System,05/04/2018,04/04/2028,-,,"�1,100,000,000.00",Various Suppliers,-,Various,-,"STAR, TRAFF - Children, Families and Wellbeing"
10695, Trafford Borough Council,Live (On-going),Online Parenting Courses,321100 - Social Community Care Supplies & Services - Children,RBS - Low - Quick Quote, Contract,01/04/2022,31/03/2024,-,,"�20,000.00",Solihull Approach,-,B37 7TR,-,"STAR, TRAFF - Children, Families and Wellbeing"
10708, Trafford Borough Council,Live (On-going),"Voluntary, Community and Social Enterprise (VCSE) Infrastructure Support Service1",321100 - Social Community Care Supplies & Services - Children,RBS - Med/High - Advanced (Open), Contract,01/10/2022,30/12/2025,-,,"�500,000.00",Pulse Regeneration,-,x,-,"STAR, TRAFF - Children's Services, TRAFF - Children, Families and Wellbeing"
