DIRECTORATE,SECTION,DIVISION,VENDOR_NAME,VENDOR_SITE_ID,PAYMENT_DATE,VOUCHER_NO,AMOUNT,IRRECOVERABLE VATE,PURPOSE_OF_SPEND,PROCUREMENT_CLASSIFICATION
Communities & Place,Traffic & Transportation,Planning & Transportation,REDACTED - PERSONAL DATA,1010473,07/03/2023,4060882,"3,680.16",0.00,N/A,N/A
Communities & Place,Traffic & Transportation,Planning & Transportation,REDACTED - PERSONAL DATA,1010473,07/03/2023,4066114,"3,419.82",0.00,N/A,N/A
People Services - Adults and Health,Mental Health Support,Mental Health,REDACTED - PERSONAL DATA,2011475,28/03/2023,4211648,"2,101.80",0.00,N/A,N/A
People Services - Adults and Health,Mental Health Support,Mental Health,REDACTED - PERSONAL DATA,976487,28/03/2023,4211568,802.04,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Transitions and Ordinary Lives,REDACTED - PERSONAL DATA,1178471,28/03/2023,4212607,522.04,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Community Support,REDACTED - PERSONAL DATA,112608,28/03/2023,4212218,"1,226.00",0.00,N/A,N/A
People Services - Adults and Health,Mental Health Support,Mental Health,REDACTED - PERSONAL DATA,1570477,28/03/2023,4212674,971.60,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Community Support,REDACTED - PERSONAL DATA,235398,28/03/2023,4212404,662.84,0.00,N/A,N/A
People Services - Adults and Health,Learning Disability Support,Community Support,REDACTED - PERSONAL DATA,183349,28/03/2023,4211866,640.00,0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,1432473,28/03/2023,4211511,764.04,0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,1641477,28/03/2023,4212330,700.00,0.00,N/A,N/A
People Services - Adults and Health,Physical Support,Community Support,REDACTED - PERSONAL DATA,476425,28/03/2023,4212718,784.60,0.00,N/A,N/A
People Services - Adults and Health,Support to Carers,Community Support,REDACTED - PERSONAL DATA,2096468,28/03/2023,4211991,704.72,0.00,N/A,N/A
People Services - Adults and Health,Support to Carers,Community Support,REDACTED - PERSONAL DATA,2096468,16/03/2023,4192141,654.38,0.00,N/A,N/A
