Directorate,PROCESSING DATE,MERCHANT NAME,GROSS AMOUNT,MERCHANT CATEGORY CODE DESCRIPTION
Corporate Resources,31/05/2023,AMAZON.CO.UK D76UR7R55,£35.98,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
Corporate Resources,31/05/2023,AMAZON.CO.UK QG1BS6UW5,£35.98,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
Corporate Resources,31/05/2023,AMAZON.CO.UK 3O87W8PJ5,£35.98,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
Corporate Resources,31/05/2023,AMZNMKTPLACE,£7.50,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,31/05/2023,AMAZON.CO.UK IF75C8WY5,£35.98,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
Corporate Resources,02/06/2023,ZOHO-DESK,£184.44,COMPUTER SOFTWARE STORES
Corporate Resources,02/06/2023,,£5.07,
Corporate Resources,05/06/2023,AWS EMEA,£76.22,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED
Corporate Resources,14/06/2023,AMZNMKTPLACE,£115.20,MISCELLANEOUS AND SPECIALTY RETAIL STORES
Corporate Resources,22/06/2023,POSTERBOOKING.COM,£240.00,DIGITAL GOODS SOFTWARE APPLICATIONS
Corporate Resources,26/06/2023,AMAZON.CO.UK MU0LP7M65,£11.54,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
Corporate Resources,26/06/2023,CMIT ELEARNING,£50.00,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED
Corporate Resources,26/06/2023,CMIT ELEARNING,£50.00,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED
Corporate Resources,26/06/2023,THE KNOWLEDGE ACADEMY,£999.00,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED
Corporate Resources,26/06/2023,CMIT ELEARNING,£855.00,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED
Corporate Resources,03/07/2023,,£4.97,
Corporate Resources,03/07/2023,AWS EMEA,£73.05,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED
Corporate Resources,03/07/2023,ZOHO-DESK,£180.75,COMPUTER SOFTWARE STORES
Derby Homes,04/04/2023,TRAVELODGE,355.85,TRAVELODGE
Derby Homes,04/04/2023,HOLIDAY INNS,615.95,HOLIDAY INNS
Derby Homes,04/04/2023,TRAVELODGE,60.15,TRAVELODGE
Derby Homes,05/04/2023,TRAVELODGE,135.61,TRAVELODGE
Derby Homes,11/04/2023,HOLIDAY INNS,713.92,HOLIDAY INNS
Derby Homes,11/04/2023,HOLIDAY INNS,713.92,HOLIDAY INNS
Derby Homes,12/04/2023,HOLIDAY INNS,490.94,HOLIDAY INNS
Derby Homes,12/04/2023,HOLIDAY INNS,490.94,HOLIDAY INNS
Derby Homes,13/04/2023,TRAVELODGE,457.83,TRAVELODGE
Derby Homes,19/04/2023,HOLIDAY INNS,637.93,HOLIDAY INNS
Derby Homes,19/04/2023,HOLIDAY INNS,637.93,HOLIDAY INNS
Derby Homes,25/04/2023,TRAVELODGE,813.79,TRAVELODGE
Derby Homes,25/04/2023,TRAVELODGE,597.59,TRAVELODGE
Derby Homes,27/04/2023,TRAVELODGE,651.70,TRAVELODGE
Derby Homes,05/05/2023,HOLIDAY INNS,"£1,465.86",HOLIDAY INNS
Derby Homes,05/05/2023,HOLIDAY INNS,"£1,465.86",HOLIDAY INNS
Derby Homes,10/05/2023,TRAVELODGE,£481.29,TRAVELODGE
Derby Homes,10/05/2023,TRAVELODGE,£834.21,TRAVELODGE
Derby Homes,11/05/2023,TRAVELODGE,£391.60,TRAVELODGE
Derby Homes,16/05/2023,TRAVELODGE,£135.61,TRAVELODGE
Derby Homes,16/05/2023,LEONARDO HTL DERBY ECO,£884.50,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,16/05/2023,TRAVELODGE,£607.84,TRAVELODGE
Derby Homes,17/05/2023,TRAVELODGE,£174.37,TRAVELODGE
Derby Homes,17/05/2023,TRAVELODGE,£293.65,TRAVELODGE
Derby Homes,17/05/2023,PREMIER INN,£74.99,PREMIER INN
Derby Homes,18/05/2023,TRAVELODGE,£107.88,TRAVELODGE
Derby Homes,23/05/2023,TRAVELODGE,£62.19,TRAVELODGE
Derby Homes,23/05/2023,TRAVELODGE,£62.20,TRAVELODGE
Derby Homes,24/05/2023,PREMIER INN,£284.97,PREMIER INN
Derby Homes,24/05/2023,PREMIER INN,£67.00,PREMIER INN
Derby Homes,24/05/2023,TRAVELODGE,£571.05,TRAVELODGE
Derby Homes,31/05/2023,TRAVELODGE,"£1,232.01",TRAVELODGE
Derby Homes,31/05/2023,THE GEORGIAN HOUSE HO,£800.00,"EATING PLACES, RESTAURANTS"
Derby Homes,13/06/2023,LEONARDO HTL DERBY FRO,"£1,094.00","LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
People Services,11/05/2023,TVLICENSING.CO.UK,£159.00,"CONSULTING, MANAGEMENT AND PUBLIC RELATIONS SVCS"
People Services,30/05/2023,AMZNMKTPLACE,£19.96,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,30/05/2023,HM PASSPORT OFFICE,£64.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,16/06/2023,DERBY.GOV.UK,£11.00,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED
People Services,04/04/2023,ASDA SUPERSTORE,40.88,"GROCERY STORES, SUPERMARKETS"
People Services,05/04/2023,STARTSELECT.HELP 23GYC,25.99,DIGITAL GOODS GAMES
People Services,11/04/2023,DRAYTON MANOR RESORT L,39.96,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,11/04/2023,AMAZON.CO.UK YF9DS6AP5,129.98,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,11/04/2023,DRAYTON MANOR PARK,6.00,AUTOMOBILE PARKING LOTS AND GARAGES
People Services,11/04/2023,DRAYTON MANOR RESORT L,8.34,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,11/04/2023,DRAYTON MANOR RESORT L,4.50,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,11/04/2023,DRAYTON MANOR RESORT L,13.85,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS"
People Services,11/04/2023,DISCOVERY CENTRE,75.00,TOURIST ATTRACTIONS AND EXHIBITS
People Services,11/04/2023,ROLLERWORLD,7.20,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED)
People Services,11/04/2023,AMZNMKTPLACE,10.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,11/04/2023,FRUUGO.COM,13.76,DEPARTMENT STORES
People Services,13/04/2023,SP ESOTERIC AFTM,47.00,WOMEN'S ACCESSORY AND SPECIALTY STORES
People Services,14/04/2023,AMZNMKTPLACE,2.95,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,14/04/2023,STEAM PURCHASE,5.79,DIGITAL GOODS GAMES
People Services,25/04/2023,CEX,36.00,ELECTRICAL PARTS AND EQUIPMENT
People Services,25/04/2023,DERBION CENTRE,1.50,AUTOMOBILE PARKING LOTS AND GARAGES
People Services,25/04/2023,WILKO RETAIL LIMITED,24.00,MISCELLANEOUS GENERAL MERCHANDISE
People Services,05/05/2023,SCHOOLGATEWA NOELBAKER,£40.00,"COLLEGES, UNIV, PRO SCHOOLS, JUNIOR COLLEGES"
People Services,09/05/2023,AMZN DIGITAL,£19.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,09/05/2023,AMAZON.CO.UK ZJ8E98YX5,£25.00,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,09/05/2023,AMZNMKTPLACE,£19.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,09/05/2023,JUST EAT,£37.33,FAST FOOD RESTAURANTS
People Services,09/05/2023,AMZNMKTPLACE,£24.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,09/05/2023,ASDA SUPERSTORE,£18.15,"GROCERY STORES, SUPERMARKETS"
People Services,11/05/2023,WILKO RETAIL LIMITED,£35.00,SUNDRY GENERAL MERCHANDISE
People Services,11/05/2023,AMAZON.CO.UK UN7RQ13U5,£25.00,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,11/05/2023,AMZNMKTPLACE,£69.97,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,11/05/2023,DAMAGED SOCIETY,£19.00,MEN'S AND WOMEN'S CLOTHING STORES
People Services,11/05/2023,REVOLVE,£7.10,MEN'S AND WOMEN'S CLOTHING STORES
People Services,11/05/2023,LUVYABABES,£33.06,FAMILY CLOTHING STORES
People Services,11/05/2023,REVOLVE,£20.00,MEN'S AND WOMEN'S CLOTHING STORES
People Services,11/05/2023,CLAIRE'S ACCESSORIES,£8.00,ACCESSORY AND APPAREL SHOPS - MISCELLANEOUS
People Services,15/05/2023,SINFIN ASDA KFC,£9.98,FAST FOOD RESTAURANTS
People Services,15/05/2023,DAY-NIGHT PHARMACY,£11.56,"DRUG STORES, PHARMACIES"
People Services,15/05/2023,ASDA SUPERSTORE,£6.50,"GROCERY STORES, SUPERMARKETS"
People Services,18/05/2023,AMZNMKTPLACE,£46.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,02/06/2023,ASDA SUPERSTORE,£2.50,"GROCERY STORES, SUPERMARKETS"
People Services,06/06/2023,ASDA GROCERIES ONLINE,£188.87,"GROCERY STORES, SUPERMARKETS"
People Services,06/06/2023,ASDA GROCERIES ONLINE,-£1.97,"GROCERY STORES, SUPERMARKETS"
People Services,07/06/2023,TESCO STORE,£20.00,"GROCERY STORES, SUPERMARKETS"
People Services,07/06/2023,ASDA SUPERSTORE,£16.80,"GROCERY STORES, SUPERMARKETS"
People Services,07/06/2023,POUNDLAND LTD - 1453,£2.50,DISCOUNT STORES
People Services,07/06/2023,FOOTASYLUM LIMITED,£25.19,SHOE STORES
People Services,07/06/2023,J D SPORTS 267,£127.20,SPORTING GOODS STORES
People Services,07/06/2023,FOOTASYLUM LIMITED,£108.23,SHOE STORES
People Services,16/06/2023,TESCO STORE,£10.00,"GROCERY STORES, SUPERMARKETS"
People Services,04/04/2023,AMZNMKTPLACE AMAZON.CO,34.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,04/04/2023,AMZNMKTPLACE,8.93,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,04/04/2023,AMZNMKTPLACE,19.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,04/04/2023,AMZNMKTPLACE AMAZON.CO,39.48,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,04/04/2023,AMZNMKTPLACE AMAZON.CO,23.73,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,04/04/2023,AMZNMKTPLACE AMAZON.CO,5.38,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,04/04/2023,AMZNMKTPLACE AMAZON.CO,7.26,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,04/04/2023,AMZNMKTPLACE AMAZON.CO,4.97,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,05/04/2023,AMZNMKTPLACE,5.00,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,06/04/2023,AMZ AMAZON.CO.UK,-37.88,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,18/04/2023,AMZNMKTPLACE,14.85,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,19/04/2023,AMZNMKTPLACE AMAZON.CO,6.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,19/04/2023,AMZNMKTPLACE AMAZON.CO,14.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,19/04/2023,AMZNMKTPLACE,88.00,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,24/04/2023,AMAZON.CO.UK EQ5ZH1WQ5,16.20,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,24/04/2023,AMZNMKTPLACE AMAZON.CO,55.93,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,24/04/2023,AMZNMKTPLACE,11.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,24/04/2023,AMZNMKTPLACE,12.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,24/04/2023,AMZNMKTPLACE,9.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,24/04/2023,AMZNMKTPLACE AMAZON.CO,10.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,24/04/2023,AMAZON.CO.UK SD72Q8HY5,28.02,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,24/04/2023,AMZNMKTPLACE,12.89,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,25/04/2023,AMZNMKTPLACE AMAZON.CO,10.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,25/04/2023,AMZNMKTPLACE AMAZON.CO,4.40,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,26/04/2023,AMZNMKTPLACE,24.64,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,26/04/2023,AMZNMKTPLACE,10.89,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,26/04/2023,AMZNMKTPLACE,25.01,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,26/04/2023,AMAZON.CO.UK 5J4359H75,21.91,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,26/04/2023,AMZNMKTPLACE,11.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,26/04/2023,AMAZON.CO.UK AU9I97WS5,9.35,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,26/04/2023,AMZNMKTPLACE,21.78,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,26/04/2023,AMZNMKTPLACE,4.49,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,26/04/2023,AMZNMKTPLACE,9.59,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,26/04/2023,AMZNMKTPLACE AMAZON.CO,25.16,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,26/04/2023,AMZNMKTPLACE,8.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,26/04/2023,AMZNMKTPLACE,2.21,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,27/04/2023,AMZNMKTPLACE AMAZON.CO,28.25,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,27/04/2023,AMZNMKTPLACE,5.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,27/04/2023,AMZNMKTPLACE AMAZON.CO,5.95,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,27/04/2023,WORKWEAR EXPRESS,71.63,MEN'S/WOMEN'S/CHILDREN'S UNIFORMS/COMMERCIAL CLOTH
People Services,27/04/2023,AMZNMKTPLACE AMAZON.CO,14.37,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,27/04/2023,AMZNMKTPLACE,6.18,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,27/04/2023,AMZNMKTPLACE,4.09,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,27/04/2023,AMZNMKTPLACE AMAZON.CO,7.80,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,27/04/2023,AMAZON.CO.UK 5O9K240I5,3.49,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,28/04/2023,AMZNMKTPLACE,88.52,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,02/05/2023,AMZNMKTPLACE,7.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,11/05/2023,AMZ AMAZON.CO.UK,-£5.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,17/05/2023,WORKWEAR EXPRESS,-£64.49,MEN'S/WOMEN'S/CHILDREN'S UNIFORMS/COMMERCIAL CLOTH
People Services,25/05/2023,AMZNMKTPLACE AMAZON.CO,£40.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,26/05/2023,AMZNMKTPLACE,£26.45,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,26/05/2023,WORKWEAR EXPRESS,£851.45,MEN'S/WOMEN'S/CHILDREN'S UNIFORMS/COMMERCIAL CLOTH
People Services,26/05/2023,AMZNMKTPLACE,£60.83,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,26/05/2023,AMZNMKTPLACE,£6.49,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,30/05/2023,AMZNMKTPLACE,£42.36,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,30/05/2023,AMZNMKTPLACE,£59.00,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,30/05/2023,AMZNMKTPLACE,£3.95,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,30/05/2023,AMZNMKTPLACE,£50.80,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,30/05/2023,AMZNMKTPLACE,£20.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,31/05/2023,AMZNMKTPLACE,£7.39,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,31/05/2023,AMZNMKTPLACE,£91.11,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,06/06/2023,WORKWEAR EXPRESS,£60.00,MEN'S/WOMEN'S/CHILDREN'S UNIFORMS/COMMERCIAL CLOTH
People Services,07/06/2023,AMZNMKTPLACE,£11.25,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,08/06/2023,AMZNMKTPLACE,£18.95,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,08/06/2023,AMZNMKTPLACE,£3.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,08/06/2023,AMZNMKTPLACE,£19.39,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,08/06/2023,AMZNMKTPLACE,£22.30,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,09/06/2023,AMAZON.CO.UK VK0G98MB5,£20.44,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,09/06/2023,AMZNMKTPLACE,£21.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,09/06/2023,AMZNMKTPLACE,£24.30,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,09/06/2023,AMAZON.CO.UK VM1KC57M5,£69.99,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,09/06/2023,AMZNMKTPLACE,£5.97,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,09/06/2023,AMZNMKTPLACE AMAZON.CO,£9.33,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,12/06/2023,AMZNMKTPLACE AMAZON.CO,£3.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,12/06/2023,AMZNMKTPLACE AMAZON.CO,£22.78,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,12/06/2023,AMZNMKTPLACE AMAZON.CO,£0.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,14/06/2023,AMZNMKTPLACE,£11.45,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,14/06/2023,AMZNMKTPLACE,£11.92,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,14/06/2023,AMZ AMAZON WAREHOUSE,-£22.30,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,15/06/2023,AMZNMKTPLACE AMAZON.CO,£5.49,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,15/06/2023,AMZNMKTPLACE AMAZON.CO,£15.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,16/06/2023,AMZ AMAZON.CO.UK,-£6.18,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,19/06/2023,AMZNMKTPLACE,£5.95,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,19/06/2023,AMZNMKTPLACE,£14.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,23/06/2023,AMZNMKTPLACE AMAZON.CO,£12.99,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,23/06/2023,AMZNMKTPLACE AMAZON.CO,£159.14,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,03/07/2023,AMAZON.CO.UK G38E37BD5,£13.99,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,03/07/2023,AMZNMKTPLACE,£31.13,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,03/07/2023,AMZNMKTPLACE,£13.02,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,03/07/2023,AMZNMKTPLACE,£48.58,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,03/07/2023,AMAZON.CO.UK X67VK0Z15,£21.35,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
People Services,03/07/2023,AMZNMKTPLACE,£26.98,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,03/07/2023,AMZNMKTPLACE,£29.74,MISCELLANEOUS AND SPECIALTY RETAIL STORES
People Services,28/06/2023,WWW.ARGOS.CO.UK,£80.00,DEPARTMENT STORES
People Services,15/05/2023,BKG HOTEL AT BOOKING.C,£143.00,TRAVEL AGENCIES AND TOUR OPERATORS
People Services,15/05/2023,IBIS HOTEL - DERBY,£17.80,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
People Services,23/06/2023,PREMIER INN,£87.00,PREMIER INN
Derby Homes,05/04/2023,KINGS HIGHWAY,63.00,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,05/04/2023,IBIS HOTEL - DERBY,475.30,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,05/04/2023,IBIS HOTEL - DERBY,475.30,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,05/04/2023,TRAVELODGE,916.69,TRAVELODGE
Derby Homes,05/04/2023,KINGS HIGHWAY,300.00,"BAR,LOUNGE,DISCO,NIGHTCLUB,TAVERN-ALCOHOLIC DRINKS"
Derby Homes,06/04/2023,HOLIDAY INNS,787.93,HOLIDAY INNS
Derby Homes,06/04/2023,HOLIDAY INNS,787.93,HOLIDAY INNS
Derby Homes,06/04/2023,HOLIDAY INNS,154.23,HOLIDAY INNS
Derby Homes,06/04/2023,HOLIDAY INNS,787.93,HOLIDAY INNS
Derby Homes,17/04/2023,PREMIER INN,64.00,PREMIER INN
Derby Homes,19/04/2023,PREMIER INN,170.43,PREMIER INN
Derby Homes,19/04/2023,IBIS HOTEL - DERBY,475.30,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,19/04/2023,T Q HOTELS LIMITED,100.00,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,20/04/2023,PREMIER INN,312.00,PREMIER INN
Derby Homes,21/04/2023,T Q HOTELS LIMITED,50.00,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,21/04/2023,TRAVELODGE,521.07,TRAVELODGE
Derby Homes,21/04/2023,TRAVELODGE,472.11,TRAVELODGE
Derby Homes,21/04/2023,IBIS HOTEL - DERBY,496.30,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,24/04/2023,PREMIER INN,335.96,PREMIER INN
Derby Homes,24/04/2023,T Q HOTELS LIMITED,50.00,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,24/04/2023,TRAVELODGE,576.15,TRAVELODGE
Derby Homes,25/04/2023,THE GEORGIAN HOUSE HOT,"1,080.00","LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,25/04/2023,IBIS HOTEL - DERBY,496.30,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,26/04/2023,BLUE JAY,209.24,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,26/04/2023,BEECHWOOD PARK,"1,080.00","LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,26/04/2023,PREMIER INN,64.39,PREMIER INN
Derby Homes,26/04/2023,T Q HOTELS LIMITED,200.00,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,28/04/2023,TRAVELODGE,417.03,TRAVELODGE
Derby Homes,28/04/2023,PREMIER INN,706.93,PREMIER INN
Derby Homes,03/05/2023,THE GEORGIAN HOUSE HOT,£945.00,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,03/05/2023,TRAVELODGE,£591.45,TRAVELODGE
Derby Homes,03/05/2023,TRAVELODGE,£525.22,TRAVELODGE
Derby Homes,03/05/2023,HOLIDAY INNS,£975.92,HOLIDAY INNS
Derby Homes,04/05/2023,PREMIER INN,£70.55,PREMIER INN
Derby Homes,04/05/2023,IBIS HOTEL - DERBY,£496.30,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,04/05/2023,PREMIER INN,£72.25,PREMIER INN
Derby Homes,04/05/2023,KINGS HIGHWAY,£296.10,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,05/05/2023,PREMIER INN,£556.93,PREMIER INN
Derby Homes,05/05/2023,KINGS HIGHWAY,£39.35,"BAR,LOUNGE,DISCO,NIGHTCLUB,TAVERN-ALCOHOLIC DRINKS"
Derby Homes,09/05/2023,PREMIER INN,£420.00,PREMIER INN
Derby Homes,09/05/2023,KINGS HIGHWAY,-£183.60,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,09/05/2023,HOLIDAY INNS,£368.52,HOLIDAY INNS
Derby Homes,09/05/2023,PREMIER INN,-£59.94,PREMIER INN
Derby Homes,09/05/2023,PREMIER INN,£628.88,PREMIER INN
Derby Homes,10/05/2023,THE GEORGIAN HOUSE HOT,£945.00,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,11/05/2023,PREMIER INN,£698.93,PREMIER INN
Derby Homes,11/05/2023,TRAVELODGE,£468.03,TRAVELODGE
Derby Homes,11/05/2023,PREMIER INN,"£1,443.86",PREMIER INN
Derby Homes,11/05/2023,PREMIER INN,£252.97,PREMIER INN
Derby Homes,11/05/2023,HOLIDAY INNS,£790.92,HOLIDAY INNS
Derby Homes,11/05/2023,PREMIER INN,-£9.99,PREMIER INN
Derby Homes,11/05/2023,HOLIDAY INNS,-£30.00,HOLIDAY INNS
Derby Homes,11/05/2023,IBIS HOTEL - DERBY,£992.60,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,12/05/2023,PREMIER INN,£677.93,PREMIER INN
Derby Homes,12/05/2023,BEECHWOOD PARK,£840.00,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
Derby Homes,12/05/2023,BEECHWOOD PARK,£840.00,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED"
