Proclass,Proclass(T),Supplier,Supplier(T) 2,Directorate(T),Cost Centre,Cost Centre(T),Account Code,Account Code(T),Transaction No,Period,Transaction Date,Amount,Comments
320000,Social Community Care Supplies & Services,422336,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126746,202310,07/01/2024,2903.06,
320000,Social Community Care Supplies & Services,406671,REDACTED PERSONAL DATA,People,11965,PI Direct Payments,R6290,Client Support,20126561,202310,07/01/2024,1522.2,
320000,Social Community Care Supplies & Services,406671,REDACTED PERSONAL DATA,People,11965,PI Direct Payments,R6290,Client Support,20126561,202310,07/01/2024,1522.2,
320000,Social Community Care Supplies & Services,406671,REDACTED PERSONAL DATA,People,11965,PI Direct Payments,R6290,Client Support,20126561,202310,07/01/2024,1522.2,
320000,Social Community Care Supplies & Services,406671,REDACTED PERSONAL DATA,People,11965,PI Direct Payments,R6290,Client Support,20126561,202310,07/01/2024,1522.2,
320000,Social Community Care Supplies & Services,407835,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126668,202310,07/01/2024,507.62,
320000,Social Community Care Supplies & Services,407835,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126668,202310,07/01/2024,507.62,
320000,Social Community Care Supplies & Services,407835,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126668,202310,07/01/2024,507.62,
320000,Social Community Care Supplies & Services,407835,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126668,202310,07/01/2024,507.62,
320000,Social Community Care Supplies & Services,412839,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126598,202310,07/01/2024,640.64,
320000,Social Community Care Supplies & Services,412839,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126598,202310,07/01/2024,640.64,
320000,Social Community Care Supplies & Services,412839,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126598,202310,07/01/2024,640.64,
320000,Social Community Care Supplies & Services,412839,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126598,202310,07/01/2024,640.64,
320000,Social Community Care Supplies & Services,405885,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126597,202310,07/01/2024,671.5,
320000,Social Community Care Supplies & Services,405885,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126597,202310,07/01/2024,671.5,
320000,Social Community Care Supplies & Services,405885,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126597,202310,07/01/2024,671.5,
320000,Social Community Care Supplies & Services,405885,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126597,202310,07/01/2024,671.5,
320000,Social Community Care Supplies & Services,421744,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126624,202310,07/01/2024,1571.03,
320000,Social Community Care Supplies & Services,421744,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126624,202310,07/01/2024,1571.03,
320000,Social Community Care Supplies & Services,421744,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126624,202310,07/01/2024,1571.03,
320000,Social Community Care Supplies & Services,421744,REDACTED PERSONAL DATA,People,10554,LD Direct Payments,R6290,Client Support,20126624,202310,07/01/2024,1571.03,
