Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,
Reporting Period:  09,,,,,,,,,
Start Date:  12 November 2023,,,,,,,,,
End Date: 09 December 2023,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,
,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,
SURFACE TRANSPORT CORP,Telent Technology Services Ltd,Connect PFI Service Costs,1002/5110349830,15 November 2023,"335,613.62",,,,
TFL CORPORATE,TURNER & TOWNSEND PROJECT MANAGEMEN,Professional Engineering Services,1001/5110358586,04 December 2023,"334,822.92",,,,
TFL CORPORATE,TURNER & TOWNSEND PROJECT MANAGEMEN,Professional Engineering Services,1001/5110361589,06 December 2023,"332,507.44",,,,
RAIL FOR LONDON LIMITED,Giffen Group Ltd,Infrastructure Maintenance and Repair,1020/5110357540,22 November 2023,"326,656.15",,,,
SURFACE TRANSPORT CORP,Telent Technology Services Ltd,Road Maintenance,1002/5110347219,13 November 2023,"326,188.83",,,,
SURFACE TRANSPORT CORP,Siemens Mobility Limited,PCN and Penalty Fare Processing,1002/5110350057,15 November 2023,"317,003.59",,,,
RAIL FOR LONDON LIMITED,TIFLEX LTD,Maintenance Materials,1020/5110353178,22 November 2023,"316,777.85",,,,
LONDON UNDERGROUND LTD,OTIS LIMITED,Escalators,1005/5110342464,15 November 2023,"315,881.46",,,,
DOCKLANDS LIGHT RAILWAY,Cleshar Contract Services Limited,Maintenance Materials,1012/5110353744,22 November 2023,"310,585.00",,,,
LONDON BUS SERVICES LTD,GBM Services Limited,Office Cleaning,1006/5110354778,13 November 2023,"309,659.81",,,,
