,Payments for Publishing for Invoices paid between 01-AUG-2023 and 31-AUG-2023,,,,,,
SPRINGCARE LIMITED,136879,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,136879,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,136879,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,136880,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130838,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130839,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130838,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130838,02-AUG-2023,536.00,Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,136879,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,136879,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,136879,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,136879,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130838,02-AUG-2023,"1,014.29",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,136880,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130838,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,136879,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130839,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130838,02-AUG-2023,"1,160.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130838,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130838,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
SPRINGCARE LIMITED,136879,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Social Care Activities,
SPRINGCARE LIMITED,130838,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6132,Social Care Activities,
SPRINGCARE LIMITED,136879,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130838,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
SPRINGCARE LIMITED,136879,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130838,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
SPRINGCARE LIMITED,136879,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130838,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
SPRINGCARE LIMITED,136879,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130838,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130839,02-AUG-2023,500.71,Adults Care and Health and Strategic Commissioning,S6141,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130838,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
SPRINGCARE LIMITED,136880,30-AUG-2023,"1,910.57",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
SPRINGCARE LIMITED,136879,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130838,02-AUG-2023,"1,365.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130838,02-AUG-2023,"1,001.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130839,02-AUG-2023,"1,379.86",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
SPRINGCARE LIMITED,136879,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
SPRINGCARE LIMITED,136879,30-AUG-2023,"1,115.71",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130839,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Memory & Cognition Support - Older People (65+),
SPRINGCARE LIMITED,136880,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Memory & Cognition Support - Older People (65+),
SPRINGCARE LIMITED,136880,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Memory & Cognition Support - Older People (65+),
SPRINGCARE LIMITED,130839,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Memory & Cognition Support - Older People (65+),
SPRINGCARE LIMITED,130839,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
SPRINGCARE LIMITED,130839,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
SPRINGCARE LIMITED,136880,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
SPRINGCARE LIMITED,136880,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Mental Health Support - Older People (65+),
SPRINGCARE LIMITED,136880,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Physical Support - Older People (65+),
SPRINGCARE LIMITED,130839,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Physical Support - Older People (65+),
SPRINGFIELD MOBILE (LANCS) LIMITED,133467,15-AUG-2023,"1,300.00","Children, Families & Education",E5945,Specialist Contracts & Fees,
SPRINGFIELD MOBILE (LANCS) LIMITED,133212,14-AUG-2023,"1,879.00","Children, Families & Education",E5945,Specialist Contracts & Fees,
SPRINGFIELD MOBILE (LANCS) LIMITED,133212,14-AUG-2023,"1,879.00","Children, Families & Education",E5945,Specialist Contracts & Fees,
SPRINGFIELD MOBILE (LANCS) LIMITED,133510,16-AUG-2023,"1,733.33",Capital,C2183,Contractors - Main,
SRIXON SPORTS EUROPE LIMITED,131666,03-AUG-2023,655.20,Neighbourhood Services,L3401,Services,
SSE,134793,18-AUG-2023,"1,316.26",Finance,F6075,Benefits,
SSE,134793,18-AUG-2023,"1,384.37",Finance,F6075,Benefits,
ST AGNES PRE SCHOOL GROUP,136553,29-AUG-2023,750.75,"Children, Families & Education",E1170,Services,
ST AGNES PRE SCHOOL GROUP,136553,29-AUG-2023,"2,268.21","Children, Families & Education",E1170,Services,
ST BRIDGETS PRE SCHOOL PLAYGR,136554,29-AUG-2023,"7,675.99","Children, Families & Education",E1170,Services,
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,600.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,600.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
ST GEORGES NURSING HOME,136881,30-AUG-2023,896.00,Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,896.00,Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,229.00",Adults Care and Health and Strategic Commissioning,S6132,Mental Health Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Mental Health Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Learning & Disability Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Learning & Disability Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Memory & Cognition Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Memory & Cognition Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"6,384.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"1,802.57",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,340.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,702.00,Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,864.00,Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,160.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"1,379.86",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,016.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,002.86",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,728.00,Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"12,096.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,840.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,804.00",Adults Care and Health and Strategic Commissioning,S6142,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6162,Mental Health Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6162,Mental Health Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6166,Physical Support - Adults (18-64),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6166,Physical Support - Adults (18-64),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Memory & Cognition Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Memory & Cognition Support - Older People (65+),
ST GEORGES NURSING HOME,130840,02-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Physical Support - Older People (65+),
ST GEORGES NURSING HOME,136881,30-AUG-2023,"2,972.00",Adults Care and Health and Strategic Commissioning,S6167,Physical Support - Older People (65+),
ST HELENS COUNCIL,131668,03-AUG-2023,720.00,"Children, Families & Education",E5221,Pupil Premium,
ST HELENS COUNCIL,133511,16-AUG-2023,660.00,"Children, Families & Education",E5221,Pupil Premium,
ST HELENS COUNCIL,136555,29-AUG-2023,700.00,Neighbourhood Services,H4088,"Other Grants, Reimbursements and Contributions",
ST JOHN PLESSINGTON CATHOLIC COLLEGE (ACADEMY),132466,08-AUG-2023,"2,400.00","Children, Families & Education",E6020,Hired or Contracted services,
ST JOSEPH'S,136882,30-AUG-2023,"5,010.60",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Adults (18-64),
ST JOSEPH'S,130841,02-AUG-2023,"5,010.60",Adults Care and Health and Strategic Commissioning,S6132,Physical Support - Adults (18-64),
ST MARTINS RESIDENTIAL HOME,136883,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Adults (18-64),
ST MARTINS RESIDENTIAL HOME,136883,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Adults (18-64),
ST MARTINS RESIDENTIAL HOME,136883,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Adults (18-64),
ST MARTINS RESIDENTIAL HOME,130842,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Adults (18-64),
ST MARTINS RESIDENTIAL HOME,130842,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Adults (18-64),
ST MARTINS RESIDENTIAL HOME,130842,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Adults (18-64),
ST MARTINS RESIDENTIAL HOME,136883,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Adults (18-64),
ST MARTINS RESIDENTIAL HOME,130842,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Adults (18-64),
ST MARTINS RESIDENTIAL HOME,130842,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Older People (65+),
ST MARTINS RESIDENTIAL HOME,136883,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Older People (65+),
ST MARTINS RESIDENTIAL HOME,130842,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Older People (65+),
ST MARTINS RESIDENTIAL HOME,136883,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6142,Mental Health Support - Older People (65+),
ST MARTINS RESIDENTIAL HOME,130842,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6161,Mental Health Support - Adults (18-64),
ST MARTINS RESIDENTIAL HOME,130842,02-AUG-2023,"2,093.00",Adults Care and Health and Strategic Commissioning,S6161,Mental Health Support - Adults (18-64),
ST MARTINS RESIDENTIAL HOME,136883,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6161,Mental Health Support - Adults (18-64),
ST MARTINS RESIDENTIAL HOME,136883,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6162,Mental Health Support - Adults (18-64),
ST MARTINS RESIDENTIAL HOME,130842,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6162,Mental Health Support - Adults (18-64),
ST MARTINS RESIDENTIAL HOME,136883,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6162,Mental Health Support - Older People (65+),
ST MARTINS RESIDENTIAL HOME,130842,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6162,Mental Health Support - Older People (65+),
ST MARTINS RESIDENTIAL HOME,136883,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6166,Mental Health Support - Adults (18-64),
ST MARTINS RESIDENTIAL HOME,130842,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6166,Mental Health Support - Adults (18-64),
ST MARTINS RESIDENTIAL HOME,130842,02-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6166,Mental Health Support - Older People (65+),
ST MARTINS RESIDENTIAL HOME,136883,30-AUG-2023,"2,548.00",Adults Care and Health and Strategic Commissioning,S6166,Mental Health Support - Older People (65+),
ST MARYS CATHOLIC COLLEGE (ACADEMY),135561,24-AUG-2023,"35,000.00","Children, Families & Education",E5941,Specialist Contracts & Fees,
STANDARD FUEL OILS LIMITED,131969,04-AUG-2023,"4,422.62",Neighbourhood Services,L4971,Direct Transport Costs,
STANDARD FUEL OILS LIMITED,131969,04-AUG-2023,"44,252.12",Neighbourhood Services,T4020,Direct Transport Costs,
STANNAH MANAGEMENT SERVICES LIMITED T/A STANNAH LIFTS LIMITED,134977,21-AUG-2023,"3,259.00",Capital,C4112,Expenditure on Capital Grants,
STANNAH MANAGEMENT SERVICES LIMITED T/A STANNAH LIFTS LIMITED,136452,29-AUG-2023,"6,380.00",Capital,C4115,Expenditure on Capital Grants,
STANNAH MANAGEMENT SERVICES LIMITED T/A STANNAH LIFTS LIMITED,133206,14-AUG-2023,"2,624.00",Capital,C4115,Expenditure on Capital Grants,
STANNAH MANAGEMENT SERVICES LIMITED T/A STANNAH LIFTS LIMITED,136452,29-AUG-2023,"5,513.00",Capital,C4115,Expenditure on Capital Grants,
STANNAH MANAGEMENT SERVICES LIMITED T/A STANNAH LIFTS LIMITED,136452,29-AUG-2023,"5,658.00",Capital,C4115,Expenditure on Capital Grants,
STANNAH MANAGEMENT SERVICES LIMITED T/A STANNAH LIFTS LIMITED,136452,29-AUG-2023,"5,438.00",Capital,C4115,Expenditure on Capital Grants,
STANNAH MANAGEMENT SERVICES LIMITED T/A STANNAH LIFTS LIMITED,136452,29-AUG-2023,"5,588.00",Capital,C4115,Expenditure on Capital Grants,
STANNAH MANAGEMENT SERVICES LIMITED T/A STANNAH LIFTS LIMITED,132467,08-AUG-2023,"3,998.00",Capital,C4115,Expenditure on Capital Grants,
STANNAH MANAGEMENT SERVICES LIMITED T/A STANNAH LIFTS LIMITED,134977,21-AUG-2023,"2,634.00",Capital,C4115,Expenditure on Capital Grants,
STANNAH MANAGEMENT SERVICES LIMITED T/A STANNAH LIFTS LIMITED,133206,14-AUG-2023,"2,697.00",Capital,C4115,Expenditure on Capital Grants,
STANNAH MANAGEMENT SERVICES LIMITED T/A STANNAH LIFTS LIMITED,134977,21-AUG-2023,"2,814.00",Capital,C4115,Expenditure on Capital Grants,
STANNAH MANAGEMENT SERVICES LIMITED T/A STANNAH LIFTS LIMITED,134451,17-AUG-2023,"2,163.00",Capital,C4115,Expenditure on Capital Grants,
STANSTY HOUSE LIMITED,130843,02-AUG-2023,"1,812.00",Adults Care and Health and Strategic Commissioning,S6141,Learning & Disability Support - Older People (65+),
STANSTY HOUSE LIMITED,136884,30-AUG-2023,"1,812.00",Adults Care and Health and Strategic Commissioning,S6141,Learning & Disability Support - Older People (65+),
Stantec,134563,17-AUG-2023,"2,925.00",Regeneration & Place,D3100,Hired or Contracted services,
Stantec,134563,17-AUG-2023,"1,296.74",Regeneration & Place,D3100,Hired or Contracted services,
Stantec,134563,17-AUG-2023,"2,795.00",Regeneration & Place,D3100,Hired or Contracted services,
Stantec,134563,17-AUG-2023,"1,375.00",Regeneration & Place,D3100,Hired or Contracted services,
StellarCare NW LTD,136912,30-AUG-2023,"2,953.92",Adults Care and Health and Strategic Commissioning,S6131,Physical Support - Older People (65+),
StellarCare NW LTD,136912,30-AUG-2023,"1,140.30",Adults Care and Health and Strategic Commissioning,S6162,Physical Support - Older People (65+),
STEPHEN & SANDRA LINDFIELD,132300,08-AUG-2023,"1,335.71","Children, Families & Education",E7080,Care Provision,
STEVE WELLS ASSOCIATES LIMITED,130895,02-AUG-2023,"4,900.00",Neighbourhood Services,L5840,Hired or Contracted services,
Stiltz Limited,132136,07-AUG-2023,"10,860.00",Capital,C4117,Expenditure on Capital Grants,
STREETMASTER (SOUTH WALES) LIMITED,132001,07-AUG-2023,790.00,Neighbourhood Services,L4821,"Equipment, Furniture & Materials",
STREETMASTER (SOUTH WALES) LIMITED,131970,04-AUG-2023,"3,313.20",Neighbourhood Services,L4979,"Equipment, Furniture & Materials",
SUNSHINE'S HOUSE-DONNA MCLAUGHLIN,136558,29-AUG-2023,763.35,"Children, Families & Education",E1170,Services,
SUPPORT 2 INDEPENDENCE,132599,09-AUG-2023,-139.52,Adults Care and Health and Strategic Commissioning,S6121,Customer and Client - Community Care,
SUPPORT 2 INDEPENDENCE,132599,09-AUG-2023,"37,468.96",Adults Care and Health and Strategic Commissioning,S6121,Learning & Disability Support - Adults (18-64),
SUPPORT 2 INDEPENDENCE,132599,09-AUG-2023,"3,920.00",Adults Care and Health and Strategic Commissioning,S6131,Mental Health Support - Adults (18-64),
SUPPORT 2 INDEPENDENCE,132599,09-AUG-2023,"45,025.00",Adults Care and Health and Strategic Commissioning,S6132,Learning & Disability Support - Adults (18-64),
SUPPORT 2 INDEPENDENCE,132599,09-AUG-2023,"5,942.75",Adults Care and Health and Strategic Commissioning,S6132,Learning & Disability Support - Older People (65+),
