Local Authority,Directorate,Service Area,Service Division,Expense Type,Supplier Name,Transaction Number,Payment Date,Expense Category,Invoice Value  £
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,SPRINGFIELD LODGE NURSING HOME,7003702694,18.07.2023,REVENUE,"3,141.94"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THE CROFT CARE HOME,7003702719,18.07.2023,REVENUE,"11,033.23"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THORNBURY CARE CENTRE,7003702825,18.07.2023,REVENUE,"22,445.27"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THORNCLIFFE HOUSE,7003702686,18.07.2023,REVENUE,"12,323.70"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,VILLAGE CARE HOME LTD,7003702744,18.07.2023,REVENUE,"21,148.53"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,WELLBURN CARE HOMES,7003702738,18.07.2023,REVENUE,"4,112.31"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,YOHDEN CARE COMPLEX,7003702837,18.07.2023,REVENUE,761.58
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,HOUSING AND CARE 21 BECKWITH MEWS,5122750947,24.07.2023,REVENUE,"3,118.08"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ARCHERS PARK,7003706221,24.07.2023,REVENUE,"24,701.90"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASHTON GRANGE CARE HOME,7003706208,24.07.2023,REVENUE,"27,737.52"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BERWICK CARE LTD - LA CURA HOUSE,7003706229,24.07.2023,REVENUE,787.16
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CARE UK SERVICES LIMITED,7003706290,24.07.2023,REVENUE,"3,856.60"
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CEDAR HOUSE,7003706217,24.07.2023,REVENUE,"19,548.97"
