Organisation Name,Barnsley Metropolitan Borough Council,,,,,,
Organisation Code,http://opendatacommunities.org/id/metropolitan-district-council/barnsley,,,,,,
Document Title,"Expenditure Exceeding £500/Grants to Voluntary, Community and Social Enterprise Organisations -May 2023",,,,,,
Effective Date,01/05/2023 - 31/05/2023,,,,,,
,,,,,,,
Transaction Date,Gross Amount £,Supplier Name,Expense Area,Expense Type,Expense Code,VCSE,Charity Number
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Special Guardianship,506041,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Adoptions,506005,N,N/A
03.05.2023,858.31,REDACTED PERSONAL DATA,Childrens Services,Adoptions,506005,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Adoptions,506005,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Special Guardianship,506041,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Adoptions,506005,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Adoptions,506005,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Special Guardianship,506041,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Special Guardianship,506041,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
03.05.2023,720,REDACTED PERSONAL DATA,Childrens Services,Maintenance (Foster Parents),506003,N,N/A
